UCL_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
UCL101001,..,2954,9251,2343,2579,2685,2565,2625,1307,1597,27913,..,3321,13362,3892,4658,5521,5326,4737,2144,1831,44805,..,36,171,151,364,894,1496,2902,3000,1243,10261,..,21,73,24,26,43,62,117,92,50,513,..,3387,13609,4065,5054,6452,6889,7759,5239,3127,55580,..,5,25,10,7,8,11,29,56,96,245,..,6346,22884,6418,7636,9148,9469,10414,6601,4818,83732,7270,10111,5560,975,1210,1332,1874,2462,2124,1469,34387,9746,17755,19326,5278,7208,9963,13712,16691,12044,4677,116400,63,377,664,410,890,1631,2163,3203,2809,1741,13948,47,102,113,38,49,62,83,86,80,70,718,9862,18238,20099,5728,8150,11649,15957,19974,14931,6482,131063,15,22,23,8,8,8,13,16,18,349,473,17143,28371,25677,6707,9366,12985,17843,22456,17072,8299,165920,22678,7026,13899,4639,5068,5395,5180,5080,2911,2247,74115,38427,33291,73022,12238,15161,18322,19543,20068,11141,5554,246761,491,2052,6490,1690,2678,3862,3398,3674,2318,1816,28464,219,219,411,71,96,94,109,96,55,94,1468,39135,35559
UCL102001,..,19,67,17,13,27,20,22,7,3,194,..,5,62,23,16,17,35,28,11,11,216,..,0,0,0,3,0,14,15,10,0,41,..,0,0,0,0,0,0,3,0,0,4,..,5,62,23,21,17,48,46,22,9,261,..,0,0,0,0,0,0,0,3,0,7,..,22,135,43,30,41,66,66,28,16,458,39,60,30,9,10,9,6,6,3,9,186,16,36,65,11,18,27,34,21,15,6,252,0,0,0,0,0,0,0,3,0,4,13,4,0,3,0,0,0,0,0,0,0,4,20,36,70,11,14,27,36,26,18,8,271,0,0,0,0,0,0,0,0,0,0,0,59,92,101,19,26,36,48,34,22,20,452,118,29,71,24,15,14,9,12,11,9,304,87,56,394,62,54,74,105,88,41,16,984,0,0,8,8,4,3,13,10,3,0,47,0,3,3,0,0,0,0,0,0,0,7,90,64
UCL102002,..,145,553,133,120,115,107,96,58,76,1399,..,38,209,71,85,78,57,46,25,32,633,..,0,0,0,0,5,9,28,32,10,87,..,0,3,0,0,0,3,0,0,0,8,..,38,209,73,83,88,77,74,49,35,734,..,0,0,0,0,0,0,0,0,0,8,..,178,769,210,204,199,184,165,112,116,2135,297,532,294,38,32,23,26,34,21,58,1351,64,145,172,42,36,45,55,51,23,33,672,0,0,0,0,0,6,9,9,9,6,48,0,0,0,0,0,0,0,0,0,0,0,68,146,172,47,38,51,67,62,32,37,722,0,0,0,0,0,0,0,0,0,9,9,367,677,468,91,73,69,88,99,59,99,2086,899,247,397,76,104,88,82,58,36,76,2064,241,206,599,130,151,143,114,114,64,58,1821,6,11,46,5,13,9,22,17,14,11,165,0,0,4,0,0,0,0,3,0,0,5,246,214
UCL102003,..,29,114,29,32,23,15,24,16,13,290,..,3,30,16,16,3,17,3,5,4,106,..,0,0,0,0,0,0,3,7,0,13,..,0,0,0,0,0,0,0,0,0,0,..,3,30,17,16,3,16,7,12,4,117,..,0,0,0,0,0,0,0,0,3,3,..,32,142,45,52,32,33,33,27,25,416,66,103,61,10,7,13,5,6,4,10,293,5,25,16,6,8,15,19,20,5,10,129,0,0,0,0,0,0,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,25,16,6,8,15,23,24,10,11,145,0,0,0,0,0,0,0,0,0,0,0,66,130,82,10,15,27,28,35,15,24,431,131,59,110,28,22,8,25,17,5,17,419,25,25,138,38,23,33,44,23,12,13,374,0,0,7,0,3,0,7,3,6,0,32,0,0,0,0,0,0,0,0,0,0,0,25,30
UCL102004,..,135,411,128,153,89,76,109,48,49,1200,..,42,244,85,123,130,95,82,34,39,887,..,0,3,0,9,21,65,50,97,36,284,..,0,0,0,0,0,0,0,3,3,9,..,41,250,88,138,148,159,137,137,77,1180,..,0,0,0,0,0,0,0,0,0,0,..,178,667,215,289,234,240,247,186,130,2377,280,384,223,41,61,46,63,81,72,76,1337,62,218,275,90,134,129,265,364,255,93,1880,3,9,12,3,15,19,52,78,66,38,296,0,4,4,0,0,0,3,0,0,0,17,68,228,293,93,146,155,319,436,321,136,2197,0,0,0,0,0,0,0,0,0,5,9,350,609,521,137,206,203,381,520,388,216,3540,735,237,453,128,134,99,111,117,54,68,2141,287,265,885,186,258,307,342,324,188,75,3115,5,11,39,7,19,31,54,61,46,32,308,0,6,3,0,0,0,0,5,0,3,18,300,278
UCL102005,..,80,267,88,109,115,99,80,29,67,923,..,44,267,76,136,149,209,94,38,31,1043,..,0,5,3,3,37,68,61,108,47,327,..,0,0,3,0,0,0,0,0,0,6,..,43,275,80,145,183,273,151,148,79,1380,..,0,0,0,0,0,0,0,0,0,3,..,126,534,165,249,303,369,234,174,149,2307,232,329,183,24,30,44,63,74,63,52,1094,126,231,336,66,106,222,386,534,435,126,2568,0,8,9,5,24,41,83,129,100,48,442,0,3,4,0,0,0,0,0,3,0,13,128,244,343,73,132,263,464,657,535,169,3018,0,0,0,0,0,0,0,0,0,3,9,364,574,523,100,160,303,531,731,600,226,4115,592,160,315,109,81,82,79,71,46,60,1588,414,314,843,213,286,355,408,407,214,100,3555,3,17,61,29,38,47,93,82,64,25,468,0,0,8,3,0,0,0,3,0,0,15,422,336
UCL111001,..,11,51,7,9,5,12,13,15,4,131,..,0,59,33,27,23,22,22,5,8,201,..,0,6,3,6,10,11,12,10,4,50,..,0,0,0,0,0,0,0,0,0,3,..,0,58,33,30,27,35,35,13,13,254,..,0,0,0,0,0,0,0,0,0,0,..,10,108,47,45,32,50,46,27,20,382,26,44,37,9,3,3,0,3,3,5,137,10,18,66,29,23,18,11,26,6,3,195,0,0,6,3,3,3,5,9,6,0,32,0,0,0,0,0,0,0,0,0,0,0,10,18,72,28,23,16,16,31,11,3,228,0,0,0,0,0,0,0,0,0,0,0,35,56,113,38,28,23,19,39,12,11,372,77,25,50,12,13,3,10,11,3,5,215,18,36,261,43,48,44,38,38,20,8,545,0,0,19,16,8,5,13,3,6,0,65,0,0,3,0,0,0,0,0,0,0,9,17,37
UCL111002,..,17,84,26,20,24,19,14,13,11,226,..,7,54,13,23,11,9,11,5,6,141,..,0,0,0,0,0,4,3,4,0,17,..,0,0,0,0,0,0,0,0,0,0,..,7,54,13,23,10,13,16,7,7,155,..,0,0,0,0,0,0,0,0,0,0,..,25,135,41,48,34,36,28,21,22,384,56,65,48,5,3,0,8,3,0,3,198,9,19,63,4,10,14,13,9,3,9,152,0,4,0,0,0,3,8,5,3,3,20,0,0,0,0,0,0,0,0,0,0,3,7,21,64,4,10,17,24,19,6,8,176,0,0,0,0,0,0,0,0,0,0,0,63,91,111,11,12,16,31,17,6,20,379,161,47,69,23,13,20,8,15,9,4,365,34,61,154,30,50,33,29,31,14,9,447,0,13,20,8,6,9,16,20,0,14,104,0,0,0,0,0,0,0,0,0,0,0,34,67
UCL112001,..,3,33,3,13,19,8,5,3,0,88,..,0,41,3,8,21,37,21,12,7,154,..,0,0,0,0,3,13,18,12,8,50,..,0,0,0,0,0,0,0,0,0,0,..,0,41,3,8,23,50,39,23,14,200,..,0,0,0,0,0,0,0,0,0,0,..,8,79,10,16,42,58,41,28,15,288,37,36,41,9,3,9,0,4,9,8,148,8,33,37,10,18,10,37,61,40,13,260,0,0,0,0,0,0,13,24,21,10,66,0,0,0,0,0,0,0,0,0,0,3,8,31,34,10,18,10,43,81,62,26,324,0,0,0,0,0,0,0,0,0,0,0,42,75,76,15,22,18,44,85,62,30,473,42,15,10,6,3,5,4,14,4,3,110,14,20,101,16,46,43,63,131,75,17,519,0,0,3,0,7,7,8,4,5,3,40,0,0,0,0,0,0,0,0,0,0,4,14,20
UCL112002,..,17,29,4,6,20,7,6,8,0,103,..,5,17,13,6,5,8,18,3,0,78,..,0,0,0,0,0,3,0,8,0,12,..,0,0,0,0,0,0,0,0,0,0,..,5,17,13,9,6,10,16,12,0,91,..,0,0,0,0,0,0,0,0,0,0,..,18,53,14,14,27,21,26,16,7,191,34,52,26,8,10,7,4,4,7,4,143,3,25,23,12,13,3,4,13,6,3,101,0,0,0,0,0,3,6,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,3,26,23,12,13,7,12,11,12,3,119,0,0,0,0,0,0,0,0,0,22,23,39,78,47,15,23,14,18,17,18,34,290,49,10,33,6,3,10,3,0,3,6,125,21,12,82,12,13,16,15,20,8,4,213,0,0,6,0,0,0,3,3,4,3,16,0,0,0,0,0,0,0,0,0,0,3,21,12
