UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL114018,117,104,226,387,376,768,21,31,54,51,58,113,467,463,930,224,217,436,71,53,123,66,59,119,358,330,680,13,11,24,4,10,9,30,15,52,17,61,79,0,3,3,67,101,168,33,60,90,13,33,45,13,14,22,26,56,82,0,0,0,86,153,241,3,6,7,11,29,43,0,0,0,17,34,47,319,341,658,1431,1528,2955
UCL114019,51,48,98,176,143,316,47,44,88,8,5,12,225,192,419,87,75,164,87,77,168,5,8,11,178,162,340,4,8,11,0,9,11,23,13,36,19,33,47,0,0,3,40,62,108,4,17,26,3,14,19,3,3,10,23,44,70,0,0,0,37,85,116,0,3,3,3,13,16,0,0,0,3,17,22,303,363,672,844,928,1773
UCL114020,82,88,165,228,205,429,65,79,147,15,20,40,309,302,613,128,119,249,23,22,44,12,16,30,164,156,325,3,5,5,10,12,16,18,11,28,20,40,60,0,4,3,48,74,121,4,8,13,3,13,13,6,9,13,16,44,63,0,0,0,27,77,106,0,0,3,8,9,12,0,0,3,9,12,18,502,505,1013,1145,1210,2359
UCL114021,83,69,150,228,238,464,66,59,129,62,32,92,354,329,683,125,126,253,189,144,331,33,34,69,347,302,650,6,11,13,3,9,12,39,15,55,21,36,54,0,0,0,75,66,142,20,33,53,6,16,24,3,5,12,24,52,75,0,0,0,53,113,163,3,20,21,7,22,32,0,0,0,9,44,57,242,253,492,1164,1175,2338
UCL114022,70,81,155,256,235,489,92,99,193,85,62,146,434,398,835,189,190,376,66,81,146,16,28,49,268,303,579,14,20,30,5,25,28,26,14,39,24,52,74,0,0,0,63,111,175,25,25,44,12,23,37,5,14,21,15,75,90,0,0,0,58,132,195,6,14,20,18,28,45,0,0,0,23,43,63,397,496,895,1323,1561,2882
UCL114023,58,41,97,146,125,273,31,27,55,20,27,48,193,175,371,127,131,262,3,3,6,11,22,33,144,158,305,3,12,9,3,17,23,17,5,25,11,29,40,0,0,0,39,66,106,9,10,20,3,8,16,0,4,3,9,21,31,0,0,0,16,45,64,0,4,4,3,15,12,0,0,0,3,15,21,291,346,636,750,846,1593
UCL114024,56,63,118,207,212,420,45,38,78,4,3,8,256,258,506,145,135,283,0,14,15,3,0,6,147,154,299,5,5,12,8,3,16,26,11,34,12,26,38,0,0,0,47,49,99,3,8,16,8,7,16,3,8,13,14,33,51,0,0,0,23,57,85,0,3,4,6,8,13,0,0,0,8,16,23,312,388,703,850,986,1835
UCL114025,102,93,187,323,325,648,105,96,200,27,32,62,456,451,902,205,205,408,95,79,173,31,23,55,337,302,639,14,10,22,3,7,10,35,49,81,21,69,91,0,3,3,74,140,210,10,31,41,5,18,27,6,14,24,30,40,66,0,0,0,60,103,160,0,4,4,12,26,34,0,0,0,12,30,37,447,539,985,1479,1645,3130
UCL114026,85,73,159,262,264,526,97,92,189,15,13,33,374,375,753,137,143,280,69,53,122,19,13,33,224,210,434,0,4,3,0,11,12,13,15,28,17,60,74,0,3,3,40,86,126,21,34,58,18,33,47,4,11,16,13,55,71,0,0,0,52,137,193,3,7,10,7,22,28,0,0,0,13,25,40,194,243,435,979,1149,2126
UCL114027,41,32,68,160,127,286,16,20,41,31,21,50,212,168,378,113,98,205,7,9,15,34,33,66,152,137,286,4,3,3,3,3,5,18,13,28,13,17,31,0,0,0,34,39,65,20,21,37,0,7,4,0,7,8,6,13,21,0,3,3,28,58,80,3,5,7,4,16,14,0,0,3,5,16,27,185,215,402,655,664,1316
UCL114028,46,33,79,130,141,270,7,6,12,11,16,22,143,154,301,59,41,100,43,39,85,13,23,32,115,102,220,5,5,13,3,12,12,7,12,14,6,23,30,0,0,0,19,48,70,4,6,16,0,11,12,0,0,0,8,19,25,0,0,0,16,39,53,0,0,0,3,11,12,0,0,0,9,11,14,182,201,380,526,581,1111
UCL114029,64,59,126,181,162,338,49,56,102,10,7,17,238,227,461,141,138,282,40,42,78,18,13,30,196,191,388,4,6,13,3,5,9,20,14,36,11,24,32,0,0,0,42,51,89,28,19,47,7,16,18,4,6,13,15,24,36,0,0,0,51,69,117,3,4,6,3,18,25,0,0,0,10,25,33,129,136,258,724,749,1473
UCL114030,47,60,106,212,217,430,48,50,98,0,0,0,264,263,531,140,139,283,21,31,53,3,3,3,170,174,339,7,7,13,4,12,17,18,29,45,22,45,68,0,3,3,49,96,144,3,14,24,5,9,16,0,9,9,12,27,43,0,0,0,21,60,88,0,8,5,3,6,11,0,0,0,5,13,19,347,371,716,905,1031,1938
UCL114031,74,75,153,244,248,488,61,64,121,11,7,23,312,315,628,159,169,329,47,59,105,11,13,27,219,241,461,7,25,30,0,33,35,19,23,43,20,54,74,0,3,3,44,132,173,5,25,31,6,13,20,4,4,10,8,34,46,0,0,0,28,77,105,3,5,11,9,17,23,0,0,0,11,21,32,280,286,570,979,1152,2130
UCL114032,45,35,86,133,121,255,39,31,68,7,8,12,187,158,339,88,95,187,21,18,40,11,18,23,120,130,251,3,9,10,3,6,7,12,8,22,20,35,50,0,0,0,41,59,96,5,4,13,4,14,19,0,0,3,10,30,36,0,0,0,18,49,67,0,5,5,4,13,18,0,0,0,4,19,19,260,257,520,674,703,1376
UCL114033,7,11,23,30,40,68,28,22,53,0,0,0,58,65,127,16,28,45,9,21,28,0,7,4,27,48,81,0,4,5,3,3,3,8,0,8,3,3,4,0,0,3,15,7,27,4,6,14,0,7,5,0,0,0,0,0,0,0,0,0,4,16,19,0,0,0,0,6,3,0,0,0,0,6,9,88,94,189,206,256,459
UCL114034,69,47,121,189,163,349,68,67,134,3,6,10,261,238,501,119,124,243,28,21,46,11,14,21,157,159,318,5,0,11,4,8,8,16,15,33,16,44,60,0,0,0,46,70,115,11,28,33,10,18,28,9,17,25,25,42,66,0,0,0,49,105,155,6,4,12,5,9,17,0,0,0,14,18,30,232,315,545,831,949,1776
UCL114035,73,66,143,254,246,506,88,79,164,10,6,18,352,326,683,140,138,278,74,67,143,4,12,20,221,216,439,9,10,17,0,10,10,29,27,53,17,53,71,0,4,3,54,101,154,8,16,30,3,9,10,3,9,9,11,39,43,3,0,0,25,72,96,3,3,10,3,18,21,0,0,0,8,23,34,272,311,582,1008,1120,2123
UCL115001,24,25,44,70,74,147,14,22,39,0,5,3,88,102,185,35,32,68,32,35,66,0,3,3,66,70,137,0,0,3,0,0,0,3,3,9,7,8,15,0,0,0,8,16,26,0,4,3,0,3,3,0,0,0,0,10,12,0,0,0,3,14,17,0,0,0,0,10,11,0,0,0,3,10,11,88,91,174,280,324,596
UCL115002,16,21,33,84,71,158,8,6,7,0,7,5,93,78,170,27,22,51,47,22,69,3,4,3,74,52,126,0,3,3,0,0,0,8,0,8,0,5,5,0,0,0,11,6,20,5,9,18,0,0,0,0,0,4,0,7,7,0,0,0,12,21,26,0,0,0,3,6,10,0,0,0,4,5,6,36,25,61,241,208,448
UCL115003,16,11,28,48,39,84,8,4,12,0,0,3,50,41,97,49,38,84,0,3,3,4,5,9,53,38,88,0,3,3,0,3,3,6,0,5,3,3,10,0,0,0,10,14,17,0,3,3,3,0,3,0,0,7,4,7,11,0,0,0,13,10,17,0,3,3,3,9,9,0,0,0,3,10,16,82,82,170,227,209,440
UCL115004,5,12,17,32,25,60,16,14,29,3,0,3,49,41,88,27,32,61,13,4,17,0,0,3,44,37,80,0,0,0,0,0,0,5,0,5,0,3,5,0,0,0,3,6,9,0,4,4,0,0,0,0,0,0,3,3,6,0,0,0,3,7,7,0,0,0,3,0,0,0,0,0,3,0,4,58,61,120,172,157,330
UCL115005,21,15,40,78,75,154,6,17,22,10,5,15,100,95,197,30,31,61,10,25,31,3,4,9,43,64,104,3,0,3,0,4,4,6,0,11,3,3,9,0,0,0,16,11,26,0,8,11,4,3,9,0,0,0,8,21,29,0,0,0,14,33,49,0,0,0,3,5,6,0,0,0,3,3,7,68,88,155,256,313,570
UCL115006,37,29,63,120,106,227,15,16,36,20,24,41,158,145,306,99,72,172,11,17,29,16,24,39,120,121,241,0,3,4,0,0,3,26,11,34,14,18,24,0,0,0,38,26,63,11,18,25,0,11,16,0,9,8,8,14,23,0,0,0,23,51,74,0,0,4,9,8,18,0,0,0,5,15,19,100,85,187,483,473,953
UCL115007,6,8,18,43,25,67,0,0,0,0,0,0,43,25,67,24,29,48,0,3,3,0,0,0,24,30,47,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,6,6,3,0,8,0,0,0,0,0,0,3,0,4,0,0,0,7,5,6,0,0,3,0,3,3,0,0,0,0,4,6,57,69,126,131,138,272
UCL115008,16,15,29,46,37,85,10,15,31,12,7,22,75,57,132,29,33,61,13,5,21,10,7,18,52,51,97,0,0,0,0,0,0,3,0,5,6,5,11,0,0,0,6,5,16,4,5,10,0,0,3,0,3,3,0,6,9,0,0,0,3,12,22,0,0,0,0,7,8,0,0,3,0,4,6,91,89,181,241,246,482
UCL115009,12,4,17,31,26,58,5,10,14,0,0,0,34,36,67,17,14,32,0,0,0,0,0,0,17,14,32,0,3,3,0,3,3,0,0,0,0,7,6,0,0,0,3,8,11,3,3,9,0,0,0,0,0,0,4,0,5,0,0,0,6,10,14,0,0,0,3,3,7,0,0,0,3,3,7,69,62,132,144,144,283
UCL115010,21,8,31,54,71,120,5,0,3,4,0,5,57,69,132,38,31,70,3,9,9,3,0,3,45,43,85,3,4,6,0,0,0,10,3,12,4,7,13,0,0,0,14,18,29,0,3,4,0,0,5,0,3,3,0,5,9,0,0,0,6,11,17,0,0,0,0,3,5,0,0,0,0,3,5,61,73,129,205,228,432
UCL115011,12,8,15,16,14,27,19,14,31,0,0,0,31,28,60,21,14,30,9,10,14,0,0,0,28,17,51,0,0,0,0,0,0,4,0,7,0,0,3,0,0,0,7,3,7,0,0,0,5,0,5,0,3,3,0,4,5,0,0,0,4,9,15,0,0,0,0,0,3,0,0,0,0,0,3,53,63,115,135,124,261
UCL115012,42,31,71,112,89,198,42,29,72,42,41,83,193,163,355,98,104,206,14,19,26,11,13,24,123,132,255,0,3,5,0,3,3,19,8,24,6,17,24,0,0,0,27,32,60,5,8,11,3,15,21,0,4,3,8,24,34,0,0,0,20,49,67,0,3,3,3,9,14,0,0,0,3,10,18,199,188,385,609,607,1215
UCL115013,33,39,70,102,99,202,24,35,57,37,24,65,166,157,322,97,93,192,4,10,10,17,20,34,119,120,240,5,3,10,5,9,12,0,0,5,6,22,33,0,0,0,21,32,54,3,10,10,11,11,20,4,4,5,14,42,49,0,0,0,24,62,87,0,0,0,7,3,8,0,0,0,7,4,11,106,133,241,481,547,1026
UCL115014,14,13,22,49,40,89,0,0,0,11,5,11,53,43,103,31,30,56,0,0,0,5,3,6,39,34,66,0,0,0,3,0,3,3,4,9,4,8,13,0,0,0,14,10,27,0,0,0,0,0,5,0,3,3,3,4,12,0,0,0,7,15,23,0,0,0,0,4,4,0,0,0,0,4,4,50,59,112,176,179,356
UCL115015,22,18,40,74,69,145,0,3,3,3,4,4,81,75,151,12,8,22,5,3,7,12,19,28,27,27,53,0,4,4,0,0,0,3,3,3,4,10,15,0,0,0,7,12,19,6,13,19,3,0,3,0,0,4,12,17,26,0,0,0,21,30,52,0,0,0,4,0,3,0,0,0,3,4,6,51,60,112,213,227,439
UCL115016,7,10,10,21,29,51,0,0,0,0,0,0,21,29,51,14,21,33,0,0,0,0,0,0,12,23,35,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,7,5,8,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,5,7,0,0,0,0,6,6,0,0,0,3,6,10,62,76,139,109,148,259
UCL115017,27,38,64,145,116,261,3,0,10,13,13,31,162,137,297,35,48,89,16,13,28,37,25,59,86,88,175,3,3,8,0,3,8,14,7,21,17,33,50,0,0,0,37,48,86,12,10,23,10,17,29,3,3,10,16,40,64,0,0,0,49,77,122,3,7,9,5,15,15,0,0,0,11,18,28,138,161,302,504,570,1075
UCL115018,34,23,62,97,98,192,38,34,67,3,0,3,138,127,267,95,96,190,9,7,19,0,7,14,107,110,221,0,3,4,0,5,9,15,8,27,9,23,30,0,0,0,24,39,66,3,17,18,3,7,5,0,6,12,5,16,25,0,0,0,18,42,61,0,3,3,0,10,10,0,3,3,0,11,13,139,118,253,462,480,944
UCL115019,13,9,24,28,29,61,13,18,33,0,0,0,47,50,90,24,33,58,4,0,4,0,0,0,30,33,57,0,3,3,0,0,0,3,3,11,3,5,11,0,0,0,12,10,20,3,0,3,0,0,0,0,3,3,0,5,5,0,0,0,5,13,16,0,0,3,0,0,3,0,0,0,3,3,3,48,55,102,153,170,317
UCL115020,25,29,54,75,76,145,30,30,58,3,5,7,108,108,221,69,46,114,47,59,109,13,19,30,124,123,254,0,0,3,4,3,4,15,4,22,7,20,25,0,0,0,26,24,55,7,6,15,0,7,7,0,3,3,0,14,20,0,0,0,9,27,42,0,0,0,0,4,4,0,0,0,0,4,6,64,66,136,372,392,760
UCL115021,6,8,16,47,30,73,12,17,24,0,0,0,57,44,98,34,26,58,7,9,21,0,0,3,43,32,81,0,0,0,0,0,0,5,5,8,3,12,15,0,0,0,4,23,28,0,3,3,0,4,4,0,0,0,0,5,6,0,0,0,3,14,16,0,0,0,0,0,0,0,0,0,0,0,0,52,49,98,166,168,337
UCL115022,17,19,35,62,52,118,26,21,45,3,0,3,88,78,168,26,43,66,5,6,10,3,0,7,33,49,78,0,0,0,3,3,5,0,7,5,0,11,13,0,0,0,9,23,28,0,0,4,0,3,3,0,0,0,7,12,17,0,0,0,10,21,28,0,0,0,0,3,3,0,0,0,0,3,6,158,182,340,317,366,683
UCL115023,17,16,32,53,61,112,4,0,10,15,8,21,75,73,142,38,57,100,10,5,14,12,20,31,63,79,144,3,0,3,0,0,0,4,0,4,6,12,14,0,0,0,14,8,22,3,12,19,6,6,10,3,7,5,3,14,18,0,0,0,15,36,51,0,0,0,3,0,4,0,0,0,3,3,10,41,41,80,224,255,485
UCL115024,13,9,19,33,30,65,30,14,50,0,0,0,68,47,116,19,18,38,4,6,11,0,0,0,20,27,46,0,3,3,0,0,0,3,6,9,0,5,8,0,0,0,3,13,22,0,3,3,0,3,3,0,0,0,5,8,17,0,0,0,7,17,22,0,0,3,3,6,6,0,0,0,5,5,5,47,85,139,176,203,378
UCL115025,36,39,78,100,91,192,32,40,76,11,14,27,138,149,293,50,39,86,32,28,56,5,19,24,85,84,175,3,0,3,0,3,5,4,9,13,8,16,21,0,0,0,23,23,49,8,15,24,3,3,7,3,5,10,6,21,20,0,0,0,13,41,59,0,0,4,4,5,13,0,0,0,4,10,12,98,110,206,404,462,862
UCL115026,16,14,33,67,60,128,8,17,26,17,21,36,91,95,191,52,24,69,38,34,72,15,10,33,104,66,175,0,0,0,0,0,0,5,0,7,7,7,14,0,0,0,11,11,25,0,6,10,5,3,8,0,3,3,7,16,23,0,0,0,12,28,47,0,0,0,0,7,5,0,0,0,0,10,13,70,76,145,312,306,616
UCL115027,11,9,25,30,31,61,0,3,3,13,6,25,46,43,92,25,37,59,16,11,23,10,11,17,44,55,102,0,0,0,0,11,8,3,4,5,5,8,12,0,0,0,9,16,30,0,9,6,10,15,24,0,0,3,3,18,25,0,0,0,15,41,58,0,0,0,3,5,7,0,0,0,3,5,7,76,94,165,203,273,475
UCL115028,11,6,16,33,27,58,3,0,8,0,0,0,35,31,65,29,22,55,0,0,3,0,0,0,32,23,55,3,3,3,0,0,0,0,0,4,0,6,11,0,0,0,4,10,19,0,4,12,0,0,3,0,0,0,3,0,5,0,0,0,9,10,14,0,3,0,0,3,3,0,0,0,0,4,3,39,34,73,129,123,249
UCL115029,22,7,28,89,75,166,11,8,17,3,4,4,103,89,192,39,30,70,26,35,61,8,7,16,74,73,145,0,4,3,0,0,0,4,4,8,7,13,20,0,0,0,18,18,34,6,6,14,0,3,3,0,0,4,4,19,26,0,0,0,14,32,43,0,5,5,0,0,0,0,0,0,0,5,3,80,122,198,306,343,653
UCL115030,25,15,48,71,68,135,3,3,3,0,4,3,70,74,146,30,49,84,12,19,31,3,0,3,45,76,117,0,3,4,0,0,0,8,5,16,10,6,21,0,0,0,21,20,41,17,22,36,7,3,11,0,6,8,7,29,39,0,0,0,29,69,97,0,0,0,3,3,8,0,0,0,3,8,11,39,39,81,234,292,530
UCL115031,38,36,68,171,144,318,20,10,32,4,3,12,197,159,360,93,87,184,27,42,65,11,9,26,136,142,269,3,10,11,0,0,4,22,12,31,20,14,34,0,0,0,42,35,74,8,10,16,6,7,16,0,3,3,29,41,67,0,0,0,43,60,107,3,0,6,6,13,16,0,0,0,7,17,22,119,102,218,580,546,1128
UCL115032,22,20,36,88,64,148,8,7,20,9,15,19,104,86,190,50,44,97,3,8,6,14,23,38,72,70,138,0,3,3,0,0,0,12,5,18,5,12,12,0,0,0,15,21,35,5,17,20,0,3,3,0,5,3,3,7,8,0,0,0,11,25,39,0,5,5,0,8,5,0,0,0,0,10,14,51,72,122,273,300,574
UCL115033,46,38,79,84,67,149,36,44,78,40,30,77,164,143,306,44,47,90,13,36,45,31,37,76,94,124,210,3,5,6,0,0,0,3,6,14,16,13,33,0,0,0,24,32,55,3,8,12,5,5,10,3,3,7,12,22,34,0,0,0,24,40,67,0,4,4,3,6,10,0,0,0,3,9,9,74,87,161,419,471,887
UCL115034,32,18,50,108,89,201,13,7,24,9,9,18,129,107,237,70,60,132,25,18,45,9,12,23,114,87,199,3,7,9,0,3,3,19,6,19,5,8,14,0,0,0,21,27,54,6,20,31,4,15,21,3,4,9,3,16,25,0,0,0,21,56,79,4,6,8,0,9,15,0,0,0,4,14,21,125,106,228,443,427,877
UCL115035,5,17,18,49,45,95,3,3,10,17,12,33,74,67,139,42,24,63,16,17,28,17,20,35,67,57,131,0,0,3,3,0,3,9,3,10,3,3,9,0,0,0,17,4,20,3,18,24,3,3,5,4,0,4,9,7,16,0,0,0,15,35,51,0,0,0,0,3,4,0,0,0,0,3,4,28,23,49,209,202,416
UCL115036,10,9,20,48,47,95,16,8,25,0,3,7,64,60,127,41,38,79,0,3,3,3,0,3,48,39,88,0,0,0,0,4,7,4,3,7,3,8,15,0,0,0,6,14,27,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,3,15,15,0,0,0,0,5,5,0,0,0,0,5,5,38,49,89,174,195,369
UCL115037,29,36,65,95,90,189,63,72,135,0,3,6,162,170,330,102,95,190,0,3,3,3,0,3,100,94,202,3,0,7,0,0,0,16,12,22,11,41,50,3,0,3,29,55,85,0,8,6,0,3,3,3,4,5,9,26,41,0,0,0,15,42,57,0,5,5,0,11,9,0,3,3,0,11,19,273,237,511,604,642,1252
UCL115038,22,13,33,57,53,112,8,5,17,9,9,18,74,67,142,30,20,54,15,7,26,3,3,6,52,36,86,0,0,0,0,0,0,8,3,14,10,5,16,0,0,0,19,12,36,7,7,15,4,9,9,0,3,3,3,3,14,0,0,0,18,20,39,0,0,0,0,0,0,0,0,0,0,0,0,44,52,91,236,203,434
UCL115039,31,25,59,78,82,163,35,41,77,0,5,6,118,128,247,66,72,142,0,4,3,11,8,20,86,82,168,3,4,8,0,0,0,3,3,4,7,15,21,0,0,0,7,28,36,8,13,21,3,0,3,0,3,5,7,9,17,0,0,0,12,29,40,0,3,3,0,3,9,0,0,0,0,10,8,169,164,329,423,462,887
UCL115040,22,22,46,46,46,93,41,28,68,0,0,3,87,77,166,30,37,72,18,13,33,17,9,25,63,58,125,0,5,6,0,4,4,3,3,4,4,5,7,0,0,0,6,10,19,3,8,6,4,3,5,0,3,3,3,12,15,0,0,0,5,29,35,0,0,0,0,0,4,0,0,0,0,3,3,81,97,177,269,297,568
UCL115041,20,15,37,70,65,134,24,20,48,3,0,3,104,87,186,62,77,136,0,0,0,3,0,3,65,77,139,3,0,3,0,8,7,0,13,10,11,15,27,0,0,0,16,26,48,3,0,5,0,0,0,0,3,3,7,20,29,0,0,0,13,29,43,0,3,3,3,4,7,0,0,0,3,3,10,130,158,280,342,395,738
UCL115042,26,20,45,65,54,121,23,29,51,0,0,0,88,85,167,52,59,111,0,0,0,0,0,4,59,58,119,0,3,3,0,4,4,4,4,13,3,13,15,0,0,0,8,28,38,0,3,3,0,3,3,0,0,0,0,8,15,0,0,0,6,13,18,0,0,0,0,0,0,0,0,0,0,0,0,221,225,441,400,429,835
UCL115043,18,16,32,67,50,112,11,20,37,3,3,8,83,79,156,47,42,86,3,6,9,3,7,7,47,57,105,0,0,0,0,0,4,3,3,5,5,9,17,0,0,0,10,18,27,4,10,12,0,7,7,0,0,6,9,8,13,0,0,0,8,25,33,0,0,3,0,0,0,0,0,0,0,3,4,50,39,90,220,230,453
UCL115044,22,15,37,46,50,99,23,23,44,0,0,0,69,74,149,44,38,77,6,7,10,3,0,3,51,48,96,5,0,7,0,3,6,13,0,15,6,14,12,0,0,0,18,15,33,0,8,13,0,3,3,0,3,3,12,15,22,0,0,0,8,29,38,0,0,0,3,5,5,0,0,0,3,5,5,86,88,176,260,274,530
UCL115045,30,27,53,71,81,155,6,7,13,8,5,17,87,98,185,50,56,102,22,13,38,10,16,24,87,76,166,3,3,5,0,4,5,16,4,17,10,17,24,0,0,0,26,24,50,10,18,22,0,4,9,0,5,5,9,12,15,0,0,0,16,37,56,0,0,0,0,3,5,0,0,0,3,5,8,182,164,343,428,427,853
UCL115046,14,18,27,42,30,80,16,5,21,3,4,11,59,42,101,44,31,76,0,0,0,0,0,0,46,37,79,0,0,0,0,3,3,5,5,8,3,4,4,0,0,0,9,12,20,3,3,4,0,0,0,0,0,0,0,0,4,0,0,0,7,3,6,0,5,7,0,6,6,0,0,0,0,8,8,54,52,103,182,168,348
UCL115047,23,7,30,77,61,131,0,0,0,3,4,4,79,63,138,29,46,69,0,0,0,4,7,10,33,54,87,5,0,3,0,0,0,4,3,7,4,9,9,0,0,0,8,15,24,4,0,6,0,3,4,0,0,0,5,13,18,0,0,0,6,19,26,0,0,0,0,0,3,0,0,0,0,4,4,78,88,165,226,247,478
UCL115048,19,7,28,48,37,85,9,14,24,0,3,3,56,49,108,34,30,61,14,14,33,0,0,0,50,52,100,0,0,0,0,3,3,3,3,5,4,3,13,0,0,0,13,7,19,0,3,4,0,0,0,0,0,0,0,6,9,0,0,0,3,13,12,0,0,0,0,0,0,0,0,0,0,0,0,59,45,108,191,174,371
UCL115049,5,5,10,24,21,44,11,11,21,0,0,0,31,29,63,30,32,61,0,0,0,0,0,3,30,35,70,3,0,3,0,0,0,3,0,3,0,4,9,0,0,0,5,9,11,0,0,0,0,3,3,0,0,0,3,7,9,0,0,0,3,9,15,0,0,0,0,0,5,0,0,0,0,4,4,28,37,71,112,132,242
UCL115050,10,3,17,37,40,77,10,9,17,10,0,8,54,50,104,19,23,41,3,11,15,5,11,17,27,46,77,0,0,0,0,0,5,9,0,7,5,3,10,0,0,0,11,5,20,9,10,25,0,0,3,3,0,3,0,14,13,0,0,0,19,24,42,0,0,0,0,4,4,0,0,0,0,4,4,27,33,63,160,160,324
UCL115051,20,21,35,71,67,141,11,10,27,0,0,0,83,76,163,57,72,135,3,0,3,0,0,0,63,79,136,0,4,5,3,0,3,11,0,12,3,5,10,0,0,0,16,14,30,9,6,14,0,3,3,3,0,3,4,7,15,0,0,0,11,21,36,0,0,0,0,7,7,0,0,0,0,7,7,94,110,203,290,325,610
UCL115052,20,22,44,107,91,194,4,3,6,3,0,5,115,94,208,69,77,146,11,11,19,0,0,0,77,88,167,3,0,6,0,3,3,14,13,20,8,13,21,0,0,0,22,31,55,0,6,8,3,10,12,0,0,0,0,5,6,0,0,0,5,18,23,3,0,5,0,4,9,0,0,0,4,11,12,137,159,293,387,412,797
UCL115053,48,36,82,95,86,185,41,29,68,15,11,22,150,124,272,55,56,114,19,19,34,24,30,52,93,109,201,8,7,14,0,3,3,12,10,27,13,16,28,0,0,0,34,37,69,177,405,582,45,65,107,16,16,33,26,40,69,0,0,0,265,529,792,16,3,20,3,5,13,0,0,0,25,6,34,73,82,154,683,915,1595
UCL115054,13,26,42,67,72,144,25,26,54,0,0,0,97,104,199,48,49,100,23,21,46,4,0,6,81,73,151,3,3,11,0,3,7,5,7,16,11,10,19,0,0,4,19,24,51,0,7,11,3,5,13,0,3,3,6,20,24,0,0,0,11,33,46,0,0,0,0,4,4,0,0,0,0,7,6,135,149,278,353,417,770
UCL115055,12,9,20,25,18,44,3,7,19,4,0,10,42,28,70,10,23,29,0,0,4,4,4,13,21,24,45,0,4,4,0,5,5,11,4,14,3,5,12,0,0,0,12,21,31,0,6,4,0,6,6,0,0,0,0,6,6,0,0,0,0,18,19,0,3,3,0,3,3,0,0,0,3,4,7,117,134,246,202,239,439
