UCL_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL101001,1292,3819,9744,15970,5734,28325,2221,13420,1579,82091,9822,34395,26038,33685,26448,33036,8249,18333,4251,194256,63514,175733,62726,49847,70570,41761,23357,32452,11212,531171,86201,148918,51021,35697,69623,29776,24756,25648,8993,480629,72867,104773,44459,32621,66861,26893,28206,29829,7599,414102,39523,67238,28365,20070,46934,17765,21585,23882,4568,269934,9448,19098,6194,4357,12350,5017,4724,5435,1519,68146,1160,2401,550,334,1156,592,322,564,472,7558,187,288,63,35,125,74,27,50,165,1020,283998,556667,229152,192633,299794,183251,113438,149613,40357,2048906
UCL102001,20,24,136,226,70,421,30,187,12,1126,105,162,363,346,337,279,55,155,34,1842,495,966,734,517,810,335,196,331,114,4494,786,1026,500,425,757,247,179,263,89,4280,926,903,515,407,1050,226,222,287,108,4640,385,483,282,230,556,153,181,252,60,2578,51,102,43,44,86,33,51,48,7,471,8,10,3,0,3,3,6,4,7,46,0,0,0,0,0,0,0,0,0,4,2772,3684,2582,2186,3678,1703,925,1525,430,19476
UCL102002,107,149,1041,1346,321,2981,243,1726,124,8044,598,1158,2521,2290,1092,2062,491,1534,185,11931,2420,5464,4817,3195,2914,2173,1283,2250,403,24923,3828,6179,4416,3095,4017,2013,1614,2364,466,27990,3976,5815,4058,3617,4913,2382,1976,2980,485,30207,2533,4382,2758,2413,3749,1887,1733,2224,372,22065,591,1039,476,406,853,475,400,415,110,4760,82,98,37,18,50,35,28,35,56,437,11,15,3,3,4,4,3,4,19,58,14153,24302,20128,16398,17910,14004,7765,13537,2217,130416
UCL102003,10,15,175,254,52,596,25,331,26,1477,96,149,370,380,161,376,66,262,21,1887,362,789,789,583,419,378,183,401,68,3962,589,1031,829,663,675,357,229,426,75,4868,654,1004,715,753,799,491,313,588,61,5378,500,817,571,626,621,464,293,524,73,4496,123,174,111,121,148,110,93,120,24,1016,11,19,7,8,10,9,17,22,13,111,0,3,0,0,3,4,0,3,4,19,2353,3994,3561,3382,2881,2776,1215,2670,376,23208
UCL102004,111,242,1020,1535,353,3106,198,1790,98,8447,623,1931,2763,3311,1461,2727,532,1686,204,15239,2767,9741,5620,3764,3995,2383,1618,2269,453,32615,4020,9100,4407,3068,4477,1928,1779,2144,452,31385,3987,7272,4106,3310,5323,2138,2214,2643,433,31427,2552,5514,2583,2109,3701,1489,1763,2067,276,22054,507,1050,381,330,696,358,324,388,101,4135,58,141,41,16,64,35,28,42,45,474,12,6,4,0,7,0,5,3,9,47,14642,34997,20930,17454,20080,14175,8455,13033,2075,145825
UCL102005,93,184,1047,1138,313,2303,184,1283,86,6631,505,1570,2426,2538,1351,1930,429,1325,167,12250,2104,6105,4285,3062,3056,1836,1324,1776,401,23941,3075,6107,3732,2681,3620,1680,1847,1890,408,25035,3186,5072,3374,2809,3963,1766,2145,2304,378,24994,1886,3633,2140,1709,2458,1110,1626,1697,197,16454,334,700,304,246,421,219,251,283,73,2825,39,70,28,15,27,14,19,36,38,294,6,10,0,0,7,0,3,0,15,44,11231,23455,17321,14197,15215,10851,7840,10588,1772,112471
UCL111001,24,35,190,222,65,553,28,286,20,1419,89,204,495,447,199,368,99,243,43,2185,395,1129,832,612,456,415,298,413,49,4598,616,975,582,494,611,306,294,363,62,4301,581,901,530,485,742,358,344,403,64,4401,425,719,411,369,574,296,303,425,48,3563,109,171,69,64,120,71,93,92,18,800,8,12,8,6,12,3,6,12,6,67,0,3,0,0,0,0,0,0,4,7,2243,4142,3117,2697,2773,2364,1462,2239,313,21339
UCL111002,23,33,295,322,98,758,61,524,24,2134,151,283,751,577,337,577,205,459,44,3395,626,1433,1791,931,977,685,764,820,106,8121,817,1472,1371,775,1074,563,844,693,122,7737,853,1221,1044,778,1155,557,871,773,109,7365,504,916,599,461,712,362,593,576,62,4790,88,156,87,70,145,80,101,105,31,858,18,11,12,6,12,4,8,9,3,76,3,0,0,0,0,0,0,0,11,16,3085,5533,5950,3912,4508,3579,3448,3964,508,34491
UCL112001,17,12,66,113,29,221,14,114,8,599,49,129,124,226,101,214,44,169,10,1062,135,458,234,248,195,156,65,218,17,1724,174,477,152,169,176,98,45,130,18,1441,213,490,144,172,262,90,74,150,17,1615,169,410,144,119,194,72,56,114,23,1311,31,105,21,28,32,19,15,21,6,287,3,3,4,3,11,0,0,4,4,34,0,0,0,0,0,0,0,0,0,4,796,2096,888,1083,1005,872,310,926,99,8068
UCL112002,13,18,114,165,24,331,18,203,23,911,64,153,291,432,124,307,56,216,19,1659,300,704,649,446,346,302,168,308,43,3269,361,645,416,355,410,207,207,291,52,2961,376,625,318,388,447,173,233,367,38,2970,274,542,237,264,324,145,204,272,34,2308,64,106,51,52,77,30,41,55,11,492,9,8,7,0,5,5,9,6,3,66,0,0,0,0,0,0,0,0,0,11,1464,2817,2081,2117,1762,1520,937,1722,219,14638
UCL112003,6,14,83,175,22,145,8,134,3,589,42,74,160,209,63,154,30,122,9,871,196,382,309,289,194,142,73,186,36,1818,338,849,327,300,336,154,102,174,36,2610,451,970,385,406,438,180,144,237,29,3233,354,952,273,303,368,143,160,219,37,2801,106,286,52,79,102,53,46,57,11,787,10,24,3,10,4,5,3,5,4,71,3,0,0,0,3,4,0,0,3,16,1498,3550,1600,1757,1538,980,565,1135,173,12795
UCL112004,6,14,67,111,16,194,12,107,9,531,29,43,130,130,44,82,23,72,10,576,141,235,239,158,109,95,63,126,17,1181,288,444,240,161,175,148,61,104,26,1654,355,567,297,197,273,151,77,164,20,2114,324,552,217,142,233,128,70,131,22,1817,130,205,65,45,107,92,29,46,11,729,29,40,8,6,14,12,5,5,3,126,0,0,0,0,0,3,0,0,3,10,1301,2116,1265,959,968,909,338,756,119,8726
UCL112005,3,5,74,86,21,183,15,126,13,523,37,44,194,144,84,132,46,145,19,828,134,200,355,232,176,170,211,222,22,1712,169,184,278,194,169,148,256,194,19,1621,170,179,240,202,197,113,240,236,30,1608,95,168,144,130,110,96,178,184,25,1137,31,38,16,19,18,27,38,28,3,214,3,3,0,0,4,0,0,3,3,21,0,0,0,0,0,0,0,0,0,6,646,832,1304,1004,778,869,973,1130,128,7661
UCL112006,21,13,128,203,53,532,27,303,21,1298,80,173,342,323,152,293,55,239,27,1682,358,820,590,497,418,327,159,412,55,3639,490,942,536,440,623,357,188,360,74,4011,578,878,508,567,701,410,243,461,65,4404,445,731,361,410,530,313,231,392,47,3462,120,151,80,59,127,89,73,75,20,783,9,9,5,3,9,8,6,12,13,68,3,0,0,0,0,0,0,3,0,7,2105,3720,2544,2502,2617,2335,979,2254,315,19363
