UCL_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
UCL101001,2739,7488,7192,7199,5749,4054,1610,492,36529,5484,26302,26709,11284,4767,1227,153,35,75959,11894,45117,45864,48377,42389,29014,14601,4969,242226,7138,20139,19195,16921,11584,7727,4211,1242,88150,1058,3258,3584,3157,2275,1098,566,184,15187,2901,11823,9669,8150,6572,4007,2179,872,46173,1078,5475,5294,5439,6567,4222,1787,534,30389,16690,68131,57619,42416,29001,16553,5523,1706,237643,7008,22646,20173,17303,13962,8537,3088,905,93616,5284,13733,9508,5581,3507,1855,712,212,40400,3100,10607,7735,5432,3072,1924,860,242,32976,783,508,360,343,343,318,212,78,2949,982,2961,3299,2957,2099,1244,557,262,14364,21716,31901,24794,20485,16326,12810,9012,5253,142297,87859,270097,240983,195062,148220,94581,45072,16977,1098857,3461,9933,8803,7160,4700,2380,841,242,37526,1180,9071,8740,4708,2107,585,86,13,26485,1698,7744,5924,5349,3833,2272,1796,842,29458,1305,4406,3248,2194,1197,431,163,42,12984,688,1843,1693,1182,780,327,143,32,6700,8665,34075,26504,23100,19747,10830,5252,2005,130182,5613,22726,21523,19883,20016,12638,4995,1669,109061,24146,89545
UCL102001,16,49,66,81,53,23,8,3,296,41,208,159,96,67,12,3,0,587,122,500,428,461,360,179,77,20,2142,113,212,167,210,179,90,43,15,1039,11,36,55,60,34,17,5,0,215,16,44,61,49,39,20,5,3,242,9,46,51,51,40,24,13,3,235,69,293,312,363,167,80,23,4,1304,55,174,224,262,146,102,18,0,975,30,80,57,41,22,12,0,5,240,40,111,74,61,42,13,4,0,356,0,5,0,0,4,0,0,0,14,11,26,46,31,24,7,5,0,143,147,236,213,222,131,102,81,31,1158,660,2016,1917,2000,1297,684,287,83,8941,20,78,71,59,31,14,3,0,271,25,67,44,38,17,4,0,0,193,7,46,41,37,23,11,5,5,179,13,22,13,17,5,3,0,0,72,9,22,27,12,11,6,0,0,82,79,213,189,247,169,67,45,11,1018,40,200,161,193,110,67,22,9,793,160,520
UCL102002,72,196,221,225,218,195,99,33,1253,190,550,619,438,207,88,16,3,2110,768,2541,2968,3853,3983,3513,1987,738,20353,670,1901,2016,1980,1619,1185,681,209,10262,185,443,454,399,308,179,94,26,2085,131,595,656,606,578,277,161,69,3070,88,434,459,466,774,566,242,76,3107,479,1344,1873,1834,1607,1310,543,158,9151,305,861,906,906,723,576,223,80,4583,277,415,382,278,247,137,76,26,1843,280,605,620,520,378,319,153,36,2907,29,16,12,12,20,24,44,8,163,46,105,159,191,165,117,53,31,864,1387,1216,1297,1493,1449,1468,1302,844,10448,4912,11226,12638,13199,12265,9943,5684,2336,72202,84,230,312,245,207,109,40,11,1248,35,100,147,174,137,69,14,3,678,36,141,177,239,236,174,170,76,1256,30,93,105,81,63,22,9,0,401,91,122,152,144,85,26,6,3,638,645,2045,2163,2467,2362,1313,569,189,11753,300,1555,1611,1505,1742,1085,486,130,8407,1195,2955
UCL102003,7,22,26,37,35,43,24,9,193,35,53,71,55,35,13,3,0,261,137,408,472,578,671,765,523,183,3739,88,326,421,386,386,344,215,70,2234,18,64,78,89,74,42,25,5,393,24,117,140,158,129,81,38,12,696,6,57,92,119,176,146,72,23,687,73,186,277,275,279,226,109,43,1472,65,131,158,160,140,128,50,20,842,30,63,59,58,33,39,23,10,301,60,136,156,123,125,84,49,12,734,0,0,3,3,5,12,6,10,52,10,24,34,23,23,33,17,9,171,264,233,269,305,345,396,401,237,2455,811,1808,2258,2373,2460,2341,1540,638,14233,3,37,40,38,30,18,5,6,177,4,9,13,37,30,11,7,0,106,13,14,24,34,41,31,39,27,229,10,24,35,29,14,7,3,0,111,7,15,25,22,20,3,4,0,88,126,395,420,455,515,311,175,52,2445,43,245,338,334,401,246,101,30,1734,175,451
UCL102004,148,449,382,320,361,293,122,30,2098,263,665,572,352,208,77,6,4,2140,1394,4679,4474,5259,5053,4055,1979,681,27583,703,1948,1730,1756,1483,1042,548,176,9391,129,352,447,349,238,158,57,16,1738,185,1065,1002,870,827,389,153,65,4561,82,579,619,619,1003,633,261,73,3860,657,1978,2136,1936,1672,1068,362,75,9878,449,990,1057,980,884,545,216,61,5182,317,579,360,244,192,111,43,6,1851,309,667,585,438,311,219,120,30,2675,40,24,12,15,17,22,28,14,171,77,139,177,193,157,93,46,18,889,1166,1287,1178,1443,1364,1358,1115,729,9639,5925,15395,14724,14770,13766,10064,5043,1980,81659,155,491,436,349,307,161,35,7,1941,25,150,163,152,103,42,14,0,645,60,348,320,281,216,145,121,74,1571,61,164,177,113,60,22,10,0,606,85,170,205,127,63,34,5,0,696,915,3352,2825,2810,2639,1298,554,200,14598,405,1793,1990,1701,2240,1330,531,141,10134,1542,3960
UCL102005,174,402,330,258,272,228,81,11,1770,272,787,579,323,163,60,9,3,2189,1302,3576,3706,4323,4272,3032,1578,475,22261,726,1508,1477,1385,1000,730,453,130,7406,116,274,312,218,185,83,34,18,1240,155,606,619,514,441,202,87,39,2663,81,440,470,417,687,377,140,50,2648,619,1405,1594,1447,1137,686,179,54,7132,407,935,872,728,641,364,121,37,4100,275,434,311,208,167,72,31,6,1498,289,482,455,351,226,186,87,27,2118,48,12,7,14,7,22,23,8,152,55,115,147,153,122,72,35,21,718,1231,1190,1093,1208,1135,1140,991,463,8452,5743,12169,11979,11548,10450,7261,3848,1331,64326,182,388,335,239,178,94,29,6,1441,43,158,219,150,103,43,10,0,721,80,272,271,264,213,142,120,62,1422,33,104,107,90,43,16,10,3,396,41,121,131,93,48,19,8,5,465,667,1981,1791,1712,1571,727,304,80,8842,387,1501,1520,1328,1620,859,327,72,7609,1363,3143
UCL111001,9,36,56,34,37,24,9,0,206,29,66,87,48,22,13,0,0,274,192,612,489,550,528,387,182,54,2995,156,316,217,199,230,124,81,28,1355,26,63,82,76,78,63,38,5,448,13,115,109,98,88,50,13,10,503,13,80,87,99,135,72,30,5,515,91,296,321,283,253,158,53,20,1474,59,146,137,121,97,66,14,7,655,28,63,38,34,23,18,3,0,223,59,127,121,79,50,34,18,9,501,14,3,6,3,4,7,4,3,38,11,24,32,26,23,9,12,0,134,319,281,246,261,270,222,191,91,1874,1017,2233,2019,1917,1848,1249,647,238,11185,8,39,37,41,26,11,5,0,175,5,19,21,21,29,14,0,0,110,14,38,32,45,23,20,11,10,200,3,16,15,14,13,5,0,0,65,26,41,42,28,13,3,3,0,151,155,448,353,322,386,215,79,29,1993,72,306,266,252,316,161,68,14,1458,260,560
UCL111002,16,57,57,45,52,49,15,4,297,44,121,95,50,34,13,3,0,360,432,1552,1427,1333,1118,772,326,90,7051,146,380,314,292,248,205,98,30,1711,25,87,102,62,56,33,9,3,372,33,123,138,128,129,52,25,3,628,15,97,119,120,147,105,32,13,644,109,368,434,421,302,166,58,9,1868,83,173,187,160,143,78,44,3,875,40,67,58,31,22,25,8,4,256,82,176,158,99,72,61,34,5,688,3,3,9,0,10,7,4,0,36,5,48,52,55,30,16,11,4,219,317,353,358,343,313,267,205,98,2250,1360,3587,3511,3136,2676,1848,873,256,17240,15,78,91,62,50,21,0,3,323,3,36,30,28,26,12,0,0,144,22,96,62,78,44,13,16,10,342,8,33,26,23,12,4,3,0,113,29,42,48,27,14,10,0,0,165,192,649,557,567,498,255,102,35,2853,89,416,426,349,394,173,69,30,1943,449,1155
UCL112001,21,69,54,45,57,48,22,7,326,20,53,37,20,7,3,0,3,148,58,140,96,115,122,88,53,21,691,31,65,64,69,67,51,32,3,391,51,78,77,71,41,31,25,8,371,10,76,37,36,28,17,11,7,219,6,42,42,56,69,35,13,3,263,49,111,89,91,78,56,35,4,517,65,108,108,118,111,91,32,10,636,18,28,26,27,22,14,3,0,124,39,54,33,19,21,3,3,0,174,12,0,0,0,0,3,0,0,15,8,8,12,12,7,4,3,0,53,226,125,76,114,99,74,57,38,804,602,961,749,786,723,522,284,107,4726,24,57,38,41,24,14,4,5,214,4,18,5,8,8,3,0,0,38,5,11,12,16,3,8,6,0,53,3,5,5,4,3,3,0,0,25,35,47,28,17,10,7,3,0,156,92,197,122,128,133,103,51,27,851,36,128,142,131,178,98,60,12,786,95,172
UCL112002,5,18,17,31,31,28,11,0,138,14,72,53,36,21,7,0,0,204,140,446,381,378,405,265,118,32,2164,84,206,148,149,133,84,44,14,848,20,47,64,55,36,34,23,9,282,32,82,60,61,58,21,4,0,330,11,65,63,67,103,47,15,7,382,74,188,195,179,126,90,35,11,890,55,103,86,116,75,67,26,8,538,24,43,32,26,15,18,7,4,164,43,93,71,57,48,31,14,0,353,7,3,0,0,3,0,0,3,18,10,9,11,25,7,10,4,3,76,423,410,278,205,172,154,96,50,1780,943,1788,1459,1363,1231,861,393,147,8182,7,19,30,19,12,19,3,0,117,3,22,12,14,16,4,0,0,66,3,24,21,23,30,9,8,8,128,0,9,9,10,11,0,0,0,37,13,19,23,24,12,5,0,0,95,105,242,196,227,265,148,68,41,1281,56,226,204,206,237,131,55,34,1148,157,375
