UCL_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL114002,15,15,13,15,11,0,0,68,3,0,0,0,0,0,0,8,0,3,0,0,3,0,0,13,22,25,24,28,37,3,3,147,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,23,33,27,29,36,3,3,151,17,12,15,6,5,0,0,54,0,0,3,0,0,0,0,3,36,45,37,38,44,3,3,209
UCL114003,14,29,31,19,29,9,0,133,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,45,44,28,49,5,0,197,0,0,0,0,0,0,0,0,3,11,0,3,0,0,0,10,3,11,0,3,0,0,0,14,28,50,44,35,49,9,0,214,18,26,13,11,11,4,3,82,0,0,0,0,0,0,0,0,50,73,54,47,60,11,3,301
UCL114004,8,23,24,21,19,3,0,106,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,40,39,23,38,10,0,161,4,3,4,0,0,0,0,13,3,4,0,3,0,0,0,10,4,6,3,3,0,0,0,22,14,44,44,27,40,10,0,184,34,39,21,9,19,3,0,125,6,0,0,0,0,0,0,3,56,86,67,40,57,9,0,310
UCL114005,22,45,31,29,23,3,0,153,4,0,4,3,4,0,0,15,0,0,0,0,0,0,0,3,39,74,58,48,50,5,4,277,5,15,9,6,8,0,0,50,6,12,0,3,6,3,0,30,15,32,12,7,13,3,0,74,54,101,70,59,65,8,4,353,155,138,63,37,38,6,0,436,5,6,0,0,5,0,0,18,213,245,132,93,109,17,4,804
UCL114006,19,42,13,17,13,0,0,109,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,25,52,34,28,43,7,3,190,0,9,4,0,0,0,0,12,8,5,0,0,0,0,0,10,9,8,5,0,0,0,0,24,37,60,38,27,43,7,3,214,39,37,26,19,6,4,0,129,0,3,0,0,3,0,0,10,70,98,62,43,52,14,3,345
UCL114007,8,17,18,7,10,0,0,65,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,15,32,33,17,20,3,0,117,3,7,6,6,0,0,0,21,3,5,3,0,0,0,0,15,7,9,9,5,0,0,0,33,19,47,41,24,21,3,0,153,44,41,25,12,10,4,0,138,0,0,0,0,0,0,0,0,65,91,64,40,33,3,0,290
UCL114008,14,13,20,18,17,0,0,86,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,3,21,34,40,27,35,3,0,148,3,0,3,3,3,0,0,13,7,11,4,0,0,0,0,24,9,10,8,3,3,0,0,32,28,45,40,32,36,4,0,181,18,21,0,7,4,0,0,55,0,3,3,0,0,0,0,6,50,71,42,35,44,3,0,245
UCL114009,16,35,21,19,25,4,0,122,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,26,60,36,28,46,6,0,203,0,3,5,3,8,0,0,27,8,3,3,3,0,0,0,16,8,7,12,7,8,0,0,41,30,67,44,34,47,12,0,240,86,81,29,24,21,0,3,245,0,0,0,0,0,0,0,3,117,149,77,60,72,12,5,488
UCL114010,26,30,28,13,25,0,0,120,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,31,40,46,34,45,6,0,198,0,0,0,0,0,0,0,3,4,8,0,6,0,0,0,16,3,9,0,3,5,0,0,19,36,48,45,33,46,9,0,222,41,44,15,14,15,8,0,133,0,3,0,0,0,0,0,3,76,90,59,51,62,13,0,352
UCL114011,18,44,29,11,19,0,0,124,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,9,29,76,45,24,37,5,3,228,6,4,4,0,7,0,0,17,7,0,0,3,0,0,0,15,12,7,6,6,4,0,0,31,39,83,56,30,44,5,3,260,64,47,26,20,11,0,0,171,0,3,0,0,0,0,0,5,106,132,82,49,61,5,3,437
UCL114012,12,25,19,8,13,0,0,73,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,28,46,29,16,27,0,0,145,9,4,0,0,4,0,0,18,4,3,3,3,0,0,0,14,6,8,4,3,3,0,0,30,32,56,35,22,30,0,0,174,54,49,34,21,12,0,3,175,0,0,0,0,0,0,0,0,87,101,72,36,47,0,3,354
UCL114013,36,19,15,12,16,5,0,112,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,56,58,38,22,39,9,3,224,7,5,5,0,4,0,0,29,13,14,3,0,3,0,0,28,20,16,10,4,3,0,0,53,71,75,48,31,38,9,3,274,81,56,28,25,14,0,0,202,0,0,0,0,0,0,0,3,150,136,76,54,53,7,3,476
