UCL_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL101001,10281,3323,4587,838,19031,3428,1064,1618,305,6420,2779,2077,4696,424,9975,1807,1551,4914,243,8518,13688,5030,8112,739,27569,7616,7595,12079,780,28066,33503,12334,13725,1402,60968,20282,18457,15027,1823,55592,27270,28242,17103,2229,74832,25867,31849,13940,2082,73748,18402,31816,11296,1495,63007,20056,33377,9277,1422,64125,43831,73069,14456,2664,134022,31165,57322,6866,1533,96879,21351,43809,3131,802,69089,16007,37683,4118,457,58264,39493,104751,4077,844,149168,23878,59884,14725,919,99409,5499,4982,3210,380,14067,366202,558210,166958,21372,1112747
UCL102001,31,7,23,0,61,14,9,9,0,30,14,10,34,0,57,9,3,56,3,66,82,19,65,3,171,51,27,93,3,175,247,49,122,13,430,181,100,141,11,430,245,159,142,11,564,247,194,142,17,597,193,199,123,12,535,214,255,112,8,594,474,570,179,23,1244,314,576,70,21,984,226,503,34,0,763,158,373,34,0,576,285,874,27,3,1189,212,505,140,7,867,41,26,28,8,106,3241,4472,1588,138,9437
UCL102002,404,80,221,20,719,227,54,104,7,396,190,67,361,20,634,124,51,532,4,703,1399,172,921,57,2550,761,257,1706,55,2783,5258,555,1742,106,7660,2791,1070,1908,170,5939,3205,1998,1909,150,7257,2925,2598,1338,145,7004,1638,2738,1010,67,5451,1795,2820,801,48,5464,3248,5602,976,97,9921,1923,4173,368,49,6521,1047,2621,160,21,3846,625,1686,135,7,2452,1038,2894,117,13,4054,1906,4128,1564,80,7681,744,307,341,29,1415,31236,33860,16218,1148,82459
UCL102003,82,13,35,0,141,60,3,25,4,96,39,15,62,3,116,18,7,87,0,110,373,34,164,4,578,209,38,328,7,585,1417,122,354,21,1917,699,223,357,38,1320,823,417,398,34,1671,715,467,267,36,1487,351,496,177,9,1038,363,434,128,16,935,667,840,133,12,1652,358,603,50,5,1015,173,384,14,3,570,81,222,11,0,321,159,412,12,3,590,454,671,272,21,1426,201,43,64,3,316,7251,5457,2952,218,15879
UCL102004,334,78,179,21,605,193,48,95,16,344,188,76,365,24,651,139,39,505,10,687,1291,179,918,79,2469,737,250,1539,67,2593,4856,564,1701,130,7257,2528,1003,1754,187,5480,3302,1777,1851,170,7095,2979,2348,1349,157,6831,1826,2426,965,97,5313,1948,2651,771,78,5443,3917,5630,941,118,10601,2521,4766,370,55,7715,1471,3270,115,32,4893,821,2029,149,12,3011,1566,4244,147,9,5974,2150,4106,1324,57,7639,515,300,262,36,1116,33282,35776,15300,1363,85719
UCL102005,384,105,167,23,679,246,42,105,21,401,184,80,331,30,622,113,41,423,15,590,1220,249,779,48,2290,705,297,1280,59,2338,4201,596,1404,112,6313,1961,956,1401,153,4474,2427,1654,1397,142,5626,2126,2089,1019,99,5332,1247,2170,764,69,4241,1370,2363,603,56,4396,2611,4861,829,87,8394,1660,3888,331,50,5936,1001,2523,144,20,3687,558,1688,92,9,2350,948,3338,128,14,4428,1585,3463,1127,51,6225,514,223,259,21,1021,25062,30633,12572,1071,69336
UCL111001,47,10,24,4,91,24,7,20,4,58,25,12,69,9,113,24,0,103,0,128,171,32,195,7,407,101,74,259,7,444,657,107,268,12,1042,382,194,271,17,867,525,315,245,25,1106,523,434,155,17,1133,285,397,123,22,823,329,383,92,7,802,579,771,92,10,1458,342,561,38,3,939,176,360,9,0,549,86,187,20,0,296,152,293,15,0,464,332,531,162,8,1033,113,57,55,3,225,4865,4732,2215,162,11976
UCL111002,71,24,49,4,156,52,6,24,3,88,37,17,85,8,140,35,18,160,3,210,352,49,235,12,652,195,83,444,19,743,1160,163,545,36,1902,633,282,474,44,1438,741,523,468,43,1773,665,769,352,36,1823,487,756,238,22,1502,483,756,159,12,1411,923,1554,237,25,2736,530,1204,78,14,1824,324,707,25,9,1065,129,470,25,3,624,226,861,22,3,1116,445,1099,303,14,1859,166,71,82,5,319,7648,9420,4000,316,21387
UCL112001,16,5,15,5,37,11,3,0,0,12,16,3,28,6,51,3,3,37,0,42,62,20,61,7,148,48,31,120,3,205,203,50,118,9,381,163,77,120,17,372,168,127,106,15,411,193,139,67,13,411,97,153,54,9,315,127,120,37,7,295,234,242,37,3,510,124,147,14,3,290,68,109,0,0,179,37,77,7,0,122,75,122,5,0,205,112,211,61,4,391,26,11,26,3,71,1792,1655,915,101,4462
UCL112002,31,10,10,0,57,18,7,13,7,41,19,7,47,3,70,15,4,71,0,87,122,23,101,11,260,59,30,205,0,300,379,60,192,9,643,219,120,182,19,542,270,200,183,14,670,301,276,134,10,717,189,255,93,11,552,179,254,77,9,521,384,549,79,5,1024,244,449,19,6,717,146,318,12,0,477,65,173,10,0,246,107,247,7,0,364,175,387,137,6,713,58,26,40,0,133,2997,3395,1622,113,8135
UCL112003,27,13,14,0,52,26,4,14,0,43,15,3,25,0,42,9,0,50,0,61,124,19,83,3,232,84,31,151,4,267,367,52,154,8,583,256,95,163,13,531,351,205,160,11,726,317,214,115,12,654,192,236,74,7,511,198,250,69,3,519,338,497,85,0,928,226,363,35,0,624,115,225,6,4,345,87,140,13,0,240,146,233,12,0,388,205,362,103,5,674,35,27,25,3,99,3118,2973,1341,79,7521
UCL112004,39,4,10,0,55,28,4,15,0,39,22,9,12,4,40,16,0,22,0,35,103,13,29,0,146,65,20,57,0,135,365,24,73,4,476,258,54,86,8,407,319,112,105,10,546,297,118,81,0,496,164,132,57,3,358,160,150,31,3,352,288,336,53,9,691,161,207,22,9,392,101,160,10,0,277,82,107,4,0,197,210,308,5,0,522,188,334,105,3,633,46,26,10,0,85,2903,2132,786,56,5877
UCL112005,21,11,22,3,55,13,3,12,0,25,12,5,44,3,64,11,3,70,0,86,100,15,106,8,235,70,22,196,3,295,421,73,214,11,710,173,109,148,17,445,183,179,152,8,525,178,175,80,14,447,102,161,76,3,346,108,179,53,3,345,186,290,49,4,531,86,204,18,0,305,55,127,4,8,192,21,77,9,0,110,41,148,10,0,199,117,206,97,5,421,45,21,36,3,102,1960,2007,1373,95,5434
UCL112006,46,20,32,0,103,22,10,20,0,56,27,14,57,4,102,17,3,99,0,125,267,41,176,3,484,132,49,309,12,507,919,107,365,15,1406,514,187,362,26,1085,562,380,330,24,1297,585,437,219,26,1269,320,399,124,4,846,286,371,93,6,760,488,683,115,7,1290,276,459,30,0,764,129,271,12,0,415,73,191,11,0,268,151,248,17,0,411,324,538,228,10,1096,91,33,73,3,204,5243,4451,2658,140,12488
UCL112007,29,7,20,3,57,14,0,10,3,30,11,8,48,4,75,10,3,85,0,101,126,13,123,11,269,70,29,214,5,319,410,66,211,21,713,219,127,241,20,601,312,231,232,19,795,329,281,149,22,775,203,288,83,10,592,241,306,75,9,623,394,549,94,16,1052,229,408,26,3,678,145,255,9,0,413,62,159,8,0,227,144,214,11,0,367,232,463,153,8,860,69,28,67,6,174,3252,3439,1865,165,8718
UCL112008,24,3,11,0,39,19,0,9,0,35,6,4,30,3,49,11,5,45,0,58,95,15,89,3,201,30,24,122,8,185,310,34,142,7,497,173,97,142,13,419,234,141,125,11,515,233,177,111,10,537,111,178,58,5,358,154,164,43,9,369,248,379,50,3,683,140,270,21,0,433,72,169,10,0,253,37,88,7,3,136,64,144,5,3,223,148,263,91,7,506,57,24,33,0,113,2189,2174,1151,91,5611
UCL112009,21,5,10,0,44,9,0,18,0,32,19,0,46,3,70,9,6,59,0,80,114,25,131,3,273,80,28,240,9,356,399,66,239,21,716,226,107,203,18,559,297,231,199,26,752,285,264,129,14,686,163,247,109,9,527,187,218,52,4,463,253,402,78,7,737,111,223,20,0,353,56,116,4,0,175,23,74,11,0,112,47,97,5,0,151,151,216,139,14,510,39,15,35,3,99,2491,2339,1730,126,6686
