UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL101001,191,2852,65,39493,1064,172,126,420,187,685,72,400,177,2047,18542,23878,444,100,198,172,77,173,38,150,95,2202,1844,5499,101918,15191,2512,42126,4765,40686,1928,23244,3343,108580,21917,366202
UCL102001,0,5,0,285,16,0,0,6,0,3,3,0,3,12,171,212,0,0,3,0,0,0,0,0,3,17,13,41,1075,85,27,451,65,349,27,173,31,762,198,3241
UCL102002,12,137,3,1038,60,14,3,43,6,63,4,39,13,291,1372,1906,26,9,11,16,11,16,3,9,15,366,258,744,5035,1153,208,3529,311,2758,186,2180,297,13716,1853,31236
UCL102003,0,29,0,159,7,3,3,7,0,7,3,7,0,101,315,454,9,3,0,0,0,3,0,4,0,101,73,201,825,316,36,736,60,484,49,526,73,3693,457,7251
UCL102004,13,157,3,1566,59,14,3,48,8,52,8,32,10,279,1645,2150,17,9,13,12,0,13,3,14,9,261,154,515,6250,1241,180,4150,394,2833,191,2313,354,13403,1977,33282
UCL102005,12,97,3,948,47,5,7,40,4,55,5,27,9,252,1134,1585,19,4,4,16,0,8,3,4,11,244,196,514,4193,820,133,2805,310,2246,171,1678,289,10924,1496,25062
UCL111001,0,18,0,152,10,3,0,13,3,10,0,10,0,40,247,332,7,3,3,6,0,4,0,0,3,47,40,113,927,224,30,772,68,459,19,366,52,1629,316,4865
UCL111002,0,19,0,226,17,0,3,6,3,13,3,3,5,50,336,445,11,3,8,3,0,0,0,6,3,77,47,166,1548,244,50,997,110,734,54,486,87,2917,419,7648
UCL112001,0,10,0,75,0,0,0,3,0,4,0,0,0,8,87,112,0,0,0,0,0,0,0,0,0,18,4,26,345,101,8,255,12,188,5,127,18,624,102,1792
UCL112002,0,3,0,107,7,0,0,0,0,7,0,3,0,22,129,175,3,0,0,3,4,4,0,0,0,32,15,58,672,100,26,452,34,278,22,218,38,1010,160,2997
