UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL113002,3,0,0,29,6,9,0,6,0,6,0,4,4,15,39,87,0,0,0,0,0,0,0,0,0,5,3,8,124,59,3,183,20,107,4,71,13,127,45,766
UCL113003,0,0,0,112,32,5,0,25,3,16,0,12,4,19,106,235,5,0,0,8,0,0,0,0,3,8,7,23,326,47,13,376,54,229,22,94,28,169,118,1465
UCL113004,0,0,0,41,13,0,0,13,0,4,0,0,0,0,33,63,0,0,0,0,0,0,0,0,0,0,0,0,145,28,7,202,23,70,8,17,3,18,41,554
UCL113005,0,0,0,57,30,5,0,23,6,12,7,9,3,18,73,180,7,0,3,4,0,0,0,0,0,3,4,18,231,76,15,370,37,166,16,105,20,176,83,1296
UCL113006,0,4,0,50,25,9,3,19,0,17,0,8,0,18,79,177,0,0,0,0,0,0,0,0,3,7,0,11,273,72,5,378,49,236,18,88,23,196,82,1418
UCL113007,0,5,0,126,54,3,0,53,9,20,3,3,0,18,93,265,8,0,3,6,0,4,0,0,0,6,11,32,463,54,21,712,69,352,17,79,13,206,112,2107
UCL113008,0,0,0,11,8,4,0,13,0,0,0,3,0,13,28,77,0,0,0,0,0,0,0,0,0,5,3,13,126,43,9,175,10,101,8,59,8,128,39,708
UCL113009,0,0,0,234,35,11,3,41,5,11,3,6,3,13,100,219,0,0,5,0,0,0,0,0,0,0,0,9,312,67,16,554,66,235,12,76,26,131,104,1598
UCL113010,0,0,0,82,34,8,3,33,0,18,3,15,4,22,76,209,0,0,0,3,0,0,0,0,0,5,5,17,304,52,12,526,58,348,22,117,26,256,88,1818
UCL113011,0,3,0,92,17,3,0,17,4,14,0,4,0,13,36,113,0,0,0,3,0,0,0,0,0,9,3,19,177,41,12,334,45,156,8,61,13,134,46,1025
UCL113012,0,4,0,123,40,4,3,26,3,23,3,12,0,20,110,237,4,3,3,3,0,0,0,0,0,4,8,22,370,65,17,581,52,319,30,122,19,201,123,1898
UCL113013,0,0,0,121,17,6,0,23,0,13,0,3,0,8,56,140,0,0,0,0,0,6,0,0,0,0,3,6,213,41,13,394,43,254,20,50,18,71,65,1181
UCL113014,0,0,0,105,21,0,3,21,0,14,0,4,3,7,39,115,0,0,0,3,0,0,0,0,0,0,5,14,204,33,7,335,33,246,13,46,22,105,54,1103
UCL113015,3,4,0,111,22,4,0,26,0,19,3,8,0,15,107,193,3,0,0,0,0,3,0,0,0,0,0,10,242,64,18,399,31,199,16,67,15,125,108,1288
UCL113016,0,0,0,62,17,5,0,17,3,20,0,12,0,17,76,166,3,0,0,0,0,0,0,0,0,0,0,4,226,43,13,361,52,271,9,86,14,169,81,1320
UCL113017,0,3,0,197,20,6,0,43,4,18,3,4,0,10,85,200,0,0,0,10,0,0,0,0,0,0,6,17,266,43,10,546,47,379,17,58,26,119,94,1595
UCL113018,0,0,0,15,9,5,0,10,0,8,0,0,0,10,51,104,3,0,0,0,0,0,0,0,3,3,3,12,125,46,10,225,27,165,7,54,18,133,53,860
UCL113019,0,0,0,46,21,3,3,40,0,17,0,7,0,20,61,176,0,0,0,0,0,0,0,0,3,5,9,21,257,65,13,393,37,223,14,118,27,242,73,1474
UCL113020,0,6,0,44,12,11,3,24,0,11,0,9,0,18,62,146,4,0,0,4,0,0,0,0,0,0,7,17,167,81,12,334,33,161,19,87,8,139,67,1109
UCL114001,0,0,0,25,6,0,0,7,0,3,0,0,0,4,29,63,0,0,0,0,0,0,0,0,0,0,0,3,103,17,4,136,19,78,8,29,7,35,35,476
UCL114002,0,0,0,39,9,8,0,10,0,8,0,8,0,4,50,99,0,0,0,0,0,0,0,0,0,0,0,3,95,34,6,196,20,73,6,37,4,45,49,559
UCL114003,0,6,0,87,10,3,0,11,0,3,0,4,3,5,56,104,0,0,0,0,0,0,0,0,0,0,4,9,111,86,17,195,15,83,13,52,9,54,62,702
UCL114004,0,0,0,14,5,3,0,10,0,4,0,4,0,11,28,70,0,0,0,0,0,0,0,0,0,8,0,6,68,22,4,106,14,69,6,32,11,85,29,439
UCL114005,0,0,0,8,10,3,0,9,0,9,3,10,0,16,23,80,0,0,0,0,0,0,0,0,0,5,0,11,132,52,3,189,20,166,21,75,16,130,21,836
UCL114006,0,0,0,33,24,3,0,13,0,4,0,3,0,7,19,71,0,0,0,0,0,0,0,0,0,0,3,6,143,25,4,151,24,85,8,24,11,41,26,534
UCL114007,0,0,0,10,10,3,0,6,0,3,0,3,0,5,24,60,0,0,0,0,0,0,0,0,0,0,3,10,91,22,6,128,19,60,4,14,8,57,28,437
UCL114008,0,0,0,15,13,3,0,10,3,0,0,0,0,4,28,67,0,0,0,3,0,0,0,0,0,3,3,12,98,24,12,144,20,69,11,28,3,31,33,463
UCL114009,0,0,0,30,16,0,3,11,0,5,0,0,0,10,28,75,0,0,0,0,0,0,0,0,0,4,0,6,154,28,7,222,23,110,13,33,16,93,29,719
UCL114010,0,0,0,36,13,0,0,13,0,7,0,0,3,5,32,71,0,0,0,5,0,0,0,0,0,0,0,6,131,14,5,191,12,69,17,25,11,43,36,555
UCL114011,0,0,0,27,16,0,0,10,3,7,0,4,0,11,27,72,0,0,0,3,0,0,0,0,0,4,3,12,139,24,6,178,26,99,13,30,4,53,30,604
UCL114012,0,0,0,9,11,3,0,7,0,0,0,3,0,4,22,52,0,0,0,0,0,0,0,0,0,0,0,0,76,22,3,100,14,62,9,30,3,44,28,389
UCL114013,0,0,0,55,10,0,0,17,6,4,0,0,0,3,49,91,3,0,0,0,0,0,0,0,0,3,0,10,158,19,10,242,35,139,9,33,17,70,52,786
UCL114014,0,0,0,128,16,4,3,19,0,5,3,3,0,8,43,111,0,0,0,3,0,0,0,0,0,3,4,9,220,39,10,418,42,128,13,42,8,43,51,999
UCL114015,0,0,0,21,16,3,4,10,3,3,0,7,0,6,39,90,0,3,0,0,0,0,0,3,0,3,0,11,180,42,14,201,16,121,11,58,13,101,50,808
UCL114016,0,0,0,36,16,6,0,17,4,0,0,3,0,4,35,80,0,0,0,0,0,0,0,0,0,0,0,3,171,22,5,196,23,123,4,20,5,47,31,660
UCL114017,0,0,0,91,21,5,0,20,0,7,0,4,3,5,53,116,0,3,3,0,0,0,0,0,0,0,0,11,149,59,9,288,21,89,9,47,11,38,55,779
UCL114018,0,0,0,98,21,3,0,19,3,15,4,10,4,9,96,173,4,0,0,3,0,0,0,0,0,0,3,12,277,40,13,387,46,238,24,54,24,63,99,1261
UCL114019,0,0,0,28,15,3,0,7,0,10,0,0,0,8,35,83,0,0,0,0,0,0,0,0,0,0,0,0,120,32,8,161,18,68,10,32,5,60,39,564
UCL114020,0,3,0,29,24,0,0,17,6,10,0,0,0,6,36,97,3,0,4,0,0,7,0,0,0,0,4,15,151,13,9,181,25,99,5,21,6,57,42,611
UCL114021,0,0,0,63,11,0,3,15,3,10,3,0,0,9,36,86,0,0,0,0,0,0,0,0,0,0,0,4,167,33,6,275,29,136,7,37,4,44,44,786
UCL114022,0,0,0,20,13,7,0,14,0,8,0,8,0,3,31,97,0,0,0,0,0,0,0,0,0,0,0,11,148,50,18,250,22,149,12,66,8,93,37,857
UCL114023,0,0,0,8,9,0,0,8,0,3,0,3,0,11,14,52,0,0,0,0,0,0,0,0,0,0,3,4,49,26,3,82,5,48,9,38,0,91,15,363
UCL114024,0,0,0,40,19,0,3,8,0,10,0,3,0,6,28,77,0,0,0,0,0,0,0,0,0,0,0,7,157,19,11,181,20,84,3,17,9,38,27,565
UCL114025,0,0,0,56,20,3,0,27,3,13,0,0,0,8,56,134,0,0,0,3,0,0,0,0,0,3,3,12,206,21,12,292,37,176,5,32,8,92,68,955
UCL114026,0,0,0,38,10,3,0,13,0,10,0,3,0,3,60,101,0,0,0,0,0,0,0,0,0,0,3,11,125,33,0,306,21,140,13,35,4,59,64,809
UCL114027,0,0,0,37,9,4,0,8,0,3,0,4,3,3,42,82,0,0,0,0,0,0,0,0,0,0,0,4,99,21,4,142,12,70,3,23,7,35,47,455
UCL114028,0,0,0,12,8,0,0,8,0,3,0,6,0,10,17,52,0,0,0,0,0,0,0,0,0,0,0,4,66,19,7,97,11,55,12,31,3,55,16,364
UCL114029,0,0,0,33,14,0,4,7,3,3,0,0,3,4,44,92,0,0,0,0,0,0,0,0,0,4,0,4,138,26,6,196,18,107,6,30,5,60,43,641
UCL114030,0,0,0,15,12,4,0,10,0,13,0,0,3,0,35,71,4,0,0,0,0,0,0,0,0,0,0,9,104,25,6,213,12,93,6,23,11,52,38,576
UCL114031,0,0,0,17,10,4,0,3,0,7,0,6,0,13,23,64,0,0,0,0,0,0,0,0,3,3,3,8,120,25,3,185,13,92,7,39,15,82,29,608
UCL114032,0,0,0,18,3,0,0,6,0,0,0,0,0,3,26,47,0,0,0,0,0,0,0,0,0,3,3,7,55,34,6,118,12,47,7,25,9,57,32,409
UCL114033,0,0,0,7,3,0,0,3,0,3,0,0,0,0,11,24,0,0,0,0,0,0,0,0,0,0,0,0,36,0,3,54,11,18,3,5,0,8,11,152
UCL114034,0,0,0,46,13,0,0,14,0,5,0,0,0,8,22,64,0,0,0,0,0,0,0,0,0,0,3,3,147,13,7,192,39,90,8,28,4,43,25,602
UCL114035,0,0,0,16,7,0,0,7,0,6,0,0,0,7,36,63,0,0,0,0,0,0,0,0,0,0,3,3,94,29,11,155,14,122,3,42,13,72,38,594
UCL115001,0,0,0,14,3,0,0,0,0,3,0,0,0,4,16,28,0,0,0,0,0,0,0,0,0,0,0,0,49,8,0,58,10,39,0,14,3,16,17,218
UCL115002,0,0,0,18,5,0,0,6,0,0,0,3,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,4,58,3,0,70,7,37,0,4,0,10,6,205
