UCL_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
UCL101001,678215,178078,377339,5863,4047,1243535,80383,26286,55096,1242,736,163749,17699,6034,13539,479,1284,39041,776295,210402,445979,7578,6074,1446323
UCL102001,7267,2208,1808,19,28,11324,1057,470,481,4,4,2015,191,93,62,6,6,357,8513,2775,2355,24,32,13701
UCL102002,74460,10277,6338,623,276,91970,12053,4051,2445,395,114,19060,2142,636,418,57,117,3376,88662,14959,9204,1083,504,114410
UCL102003,11223,4031,2507,470,72,18296,1860,1464,972,339,22,4651,335,240,184,52,10,818,13419,5726,3656,855,109,23767
UCL102004,80248,11193,6934,386,274,99038,13121,3768,2910,252,58,20115,1944,471,421,40,62,2942,95313,15434,10271,684,395,122093
UCL102005,56028,8907,9592,484,326,75335,9976,3008,3021,301,103,16415,1523,442,495,59,138,2652,67527,12358,13114,845,564,94407
UCL111001,12010,2191,239,56,43,14546,2305,989,107,21,20,3436,347,139,31,3,0,524,14662,3325,379,82,65,18506
UCL111002,20391,1765,378,65,154,22752,3392,735,240,34,119,4522,489,70,27,6,102,695,24276,2563,645,102,376,27965
UCL112001,4640,640,338,17,46,5685,863,219,134,3,8,1226,136,29,27,0,8,198,5638,888,497,22,56,7104
UCL112002,7989,963,343,25,46,9373,1458,439,211,7,41,2154,213,49,21,0,46,335,9652,1452,581,38,140,11861
UCL112003,9150,380,313,22,41,9906,1123,137,146,3,10,1411,213,13,29,0,7,263,10485,533,483,28,60,11578
UCL112004,6198,542,140,29,43,6955,826,161,61,18,5,1071,157,18,13,0,6,194,7179,726,210,51,52,8225
UCL112005,4949,507,57,8,16,5546,1441,308,78,8,7,1836,167,66,3,3,5,248,6558,887,135,22,27,7631
UCL112006,10563,2074,1806,179,142,14761,1529,692,701,114,32,3065,246,121,113,20,35,534,12339,2889,2614,313,210,18365
UCL112007,8096,621,654,60,39,9469,1721,318,456,19,14,2529,258,27,59,4,7,354,10074,962,1172,88,55,12359
UCL112008,5378,493,192,36,18,6116,1517,310,148,41,8,2027,211,48,16,11,3,279,7095,852,353,87,37,8421
UCL112009,6596,980,459,74,33,8147,1282,486,221,86,13,2091,218,58,47,9,6,338,8097,1525,724,171,49,10572
UCL112010,566,3,23,4,3,604,105,6,22,0,0,129,21,0,0,3,0,20,689,12,48,7,3,755
UCL112011,7539,771,222,79,51,8658,1619,453,109,78,39,2294,243,57,22,11,9,345,9398,1287,350,163,103,11298
UCL112012,9186,891,305,15,45,10439,2073,452,221,10,21,2780,324,59,23,9,58,464,11591,1402,545,33,121,13690
