UCL_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
UCL101001,17,60,409,1229,4508,5887,10249,5190,938,780,787,906,800,597,611,32974,16,35,244,1062,1619,6796,6143,4443,737,1765,1015,654,678,415,605,26218,3,4,38,215,1201,2740,4681,4609,715,1070,1418,1807,1780,883,1283,22451,12,27,759,5261,1054,1689,1071,354,55,44,111,106,62,51,346,10993,3,11,74,3397,1782,2160,1904,865,187,163,153,162,187,113,363,11520,727,6939,16618,28163,15630,16006,23496,17833,4391,4603,4553,4137,4187,2085,4373,153742,33,123,376,1536,1497,2434,4010,3354,859,1034,1071,1295,1636,1189,710,21174,0,22,47,719,25568,23014,9721,7712,1439,1838,2186,2065,1992,1191,2941,80460,3,3,49,102,354,376,1507,1083,177,128,112,101,128,95,60,4285,463,5213,8274,32184,32018,50300,58837,48394,8501,10561,14189,15589,17847,12600,10801,325781,2712,34594,73498,140219,161259,279695,325564,251031,49340,58039,67922,71586,76872,49338,56615,1698292
UCL102001,0,0,4,6,7,12,34,29,4,3,6,0,8,3,4,118,0,0,0,4,4,15,12,12,8,0,3,0,14,0,5,80,0,0,0,3,5,10,22,16,4,5,0,0,0,4,0,72,0,6,18,174,52,136,37,19,3,6,13,11,8,0,17,502,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,15,0,68,195,304,109,79,96,92,19,21,16,21,20,3,37,1087,0,0,4,20,19,24,36,27,14,9,11,12,9,3,3,177,0,0,0,0,23,18,10,22,0,3,5,3,0,0,3,80,0,0,3,0,5,0,16,7,3,0,0,3,0,0,0,42,0,46,105,200,108,126,159,244,42,59,64,70,77,39,52,1391,3,349,706,1059,604,764,887,1192,225,208,234,311,274,140,225,7161
UCL102002,3,5,37,115,201,183,470,294,51,20,27,22,38,16,32,1522,3,3,25,46,30,41,21,27,12,7,3,3,11,3,9,229,0,0,0,3,17,59,144,134,21,16,37,27,29,8,37,533,0,0,4,18,3,5,0,0,0,0,0,0,0,0,0,36,0,0,0,28,10,15,15,3,0,0,0,0,0,0,5,88,110,1243,2845,4233,1822,1720,1927,1443,238,249,203,175,148,61,576,17003,0,9,42,120,93,141,219,146,40,41,19,29,22,21,36,979,0,0,0,8,58,46,35,42,11,14,14,17,21,5,17,298,0,0,3,9,29,15,96,74,7,0,18,10,5,4,3,268,24,282,485,1393,710,724,842,621,112,119,84,114,91,48,187,5831,250,3003,5219,8173,5434,5688,6687,4906,908,945,811,772,689,396,1639,45520
UCL102003,0,3,12,16,27,28,53,45,6,5,3,0,0,0,7,207,0,0,0,9,3,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,5,16,35,31,5,6,5,0,5,0,6,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,11,36,410,804,1059,349,273,336,219,43,32,35,10,18,14,153,3800,0,10,13,35,28,10,56,33,6,0,0,6,3,0,7,218,0,0,0,0,3,4,3,6,0,3,0,3,0,0,0,28,0,0,3,0,9,4,11,6,3,0,4,0,0,0,0,50,7,64,95,206,93,91,118,116,42,45,29,40,18,30,43,1031,68,803,1274,1720,1068,998,1292,1006,220,197,174,174,144,89,419,9652
UCL102004,0,5,24,44,131,108,318,200,25,43,15,9,28,16,8,974,0,0,10,12,34,71,62,95,13,15,13,11,19,5,6,364,0,0,0,14,18,44,105,117,22,31,34,47,27,19,29,501,0,26,221,432,68,75,27,15,0,0,0,3,0,0,48,919,0,0,0,18,13,12,13,8,0,0,0,0,0,3,3,57,116,836,1611,2078,1030,749,911,795,168,190,168,119,135,77,399,9389,0,10,19,94,93,115,205,177,31,56,36,39,63,26,37,1004,0,0,0,8,111,45,48,67,12,32,50,39,41,25,35,508,0,0,8,0,15,13,80,45,8,20,11,19,30,13,5,250,7,376,316,856,433,579,834,811,193,240,224,364,292,325,280,6134,170,2893,3641,5032,3739,3704,4796,4619,1011,1351,1195,1394,1518,1031,1616,37709
UCL102005,3,4,18,54,101,74,235,140,26,20,21,11,19,3,10,742,0,0,9,21,23,54,36,49,3,12,30,26,26,33,13,335,0,0,0,11,25,62,149,182,33,29,42,46,46,24,36,698,3,10,362,2202,388,318,144,81,0,9,5,6,12,0,139,3697,0,0,0,312,108,129,71,20,6,3,21,3,7,4,31,714,74,1301,2725,5013,1264,748,822,609,110,140,126,111,85,40,498,13666,0,9,13,84,69,84,136,145,32,40,28,28,40,24,33,758,0,0,3,3,356,146,89,84,19,43,46,62,77,74,29,1030,0,0,0,6,17,9,45,21,5,8,10,3,4,6,4,139,10,338,1317,2394,997,1005,979,843,147,190,285,508,350,299,385,10054,143,3665,8092,12542,5044,4519,5113,4190,907,1228,1525,1848,1795,1279,2151,54038
UCL111001,0,0,5,3,4,3,50,37,3,0,0,0,0,3,0,124,0,0,0,0,3,6,9,21,6,17,3,6,12,3,3,85,0,0,0,0,4,3,20,23,3,4,0,4,6,0,0,62,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,92,208,332,147,79,114,69,8,10,9,7,11,0,46,1143,0,4,0,12,4,16,20,17,5,8,3,3,4,8,3,99,0,0,0,0,6,3,3,8,0,0,0,3,3,3,0,33,0,0,0,0,0,3,3,14,3,0,0,3,4,0,0,31,0,65,81,130,82,55,75,273,137,86,83,68,61,11,23,1245,21,391,552,675,464,397,550,961,249,235,169,190,181,102,163,5296
UCL111002,0,0,0,10,18,23,65,108,12,25,18,11,11,0,0,299,0,0,0,0,6,6,4,10,3,0,3,6,3,0,0,41,0,0,0,0,6,11,24,11,3,6,11,3,0,3,4,76,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,7,0,0,0,0,0,0,0,3,11,21,180,296,446,225,157,169,155,41,13,21,20,13,7,54,1821,0,3,3,14,23,18,27,15,0,10,0,3,12,0,0,131,0,0,0,0,8,3,8,10,0,4,8,10,0,0,0,55,0,0,0,0,6,5,23,59,3,7,3,0,6,4,0,120,0,44,44,100,89,66,131,80,18,32,31,37,43,13,48,780,24,542,560,817,706,660,889,951,205,183,189,175,152,73,194,6330
UCL112001,0,0,3,4,3,6,31,15,0,3,0,0,0,0,4,68,0,0,0,0,5,4,0,10,6,5,7,6,0,5,0,55,0,0,0,0,0,0,4,8,0,0,0,0,3,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,34,87,121,57,34,52,31,4,10,7,6,7,5,18,469,0,0,3,11,11,6,25,14,0,4,8,0,6,3,0,95,0,0,0,0,3,0,3,5,5,6,3,9,3,13,3,50,0,0,0,0,7,0,0,8,0,0,0,0,3,0,0,22,3,11,20,39,28,38,72,169,23,41,42,90,153,87,23,839,14,90,164,247,198,202,367,449,82,124,161,234,325,211,111,2983
UCL112002,0,0,3,0,8,8,24,33,3,7,0,10,3,0,0,95,0,3,0,0,0,3,12,12,3,0,6,0,0,0,0,45,0,0,0,0,0,7,9,12,3,3,3,3,4,3,0,51,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,83,138,202,104,60,49,45,16,12,16,0,6,11,33,787,0,0,3,6,5,3,18,8,0,0,3,7,4,3,0,70,0,0,0,0,3,10,3,6,8,3,3,3,0,0,13,62,0,0,0,0,10,0,4,3,0,0,0,0,0,0,0,19,0,18,22,62,30,33,71,64,8,8,8,17,23,18,35,423,14,191,254,405,279,283,417,389,91,92,98,88,98,70,199,2968
UCL112003,0,3,3,18,24,9,13,6,0,0,0,3,0,0,3,83,0,0,4,8,5,6,0,0,0,0,0,3,0,0,0,26,0,0,0,3,3,13,6,9,0,0,0,3,3,9,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,5,11,152,389,697,290,209,165,73,10,4,7,6,4,7,66,2091,0,3,14,47,21,20,41,12,6,5,0,3,4,0,8,188,0,0,0,0,5,0,4,10,0,0,0,11,16,14,0,74,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,13,6,46,113,192,134,96,90,44,12,9,13,21,10,33,26,845,27,377,764,1292,854,689,606,301,56,51,50,91,125,120,215,5615
UCL112004,0,3,3,16,31,12,26,16,5,3,4,0,0,8,0,128,0,0,6,0,3,0,3,0,0,0,0,3,0,0,0,15,0,0,0,0,0,3,7,8,3,6,0,0,0,0,0,28,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,141,315,457,238,98,146,77,0,12,3,28,3,0,44,1582,0,0,3,31,18,13,25,13,4,0,0,0,3,3,6,112,0,0,0,0,6,0,0,6,0,3,0,3,0,0,0,22,0,0,0,0,3,3,5,6,0,0,0,0,0,0,3,23,4,34,61,131,47,44,47,95,12,8,7,11,11,7,16,532,26,352,577,844,523,336,389,372,38,59,36,61,49,32,120,3818
UCL112005,0,0,0,3,3,0,5,3,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,15,11,0,0,3,6,7,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,71,86,130,49,36,19,17,7,5,0,6,4,0,29,466,0,0,0,3,4,5,6,3,0,0,3,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,15,4,19,16,8,19,16,0,3,0,4,4,4,41,158,11,136,132,216,133,132,159,123,29,24,11,31,15,9,178,1339
UCL112006,0,0,8,11,18,13,43,70,5,8,0,4,4,11,4,196,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,19,0,0,0,0,7,4,15,23,10,4,9,12,7,11,6,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,0,0,12,15,205,394,559,168,143,160,143,26,31,31,13,25,3,81,2004,0,3,3,25,24,17,24,24,0,5,4,3,4,0,3,148,0,0,0,3,4,7,3,9,0,3,0,9,8,0,0,42,0,0,0,0,6,3,12,4,3,0,3,0,3,0,0,36,3,42,87,122,59,101,168,262,67,110,125,113,143,96,42,1553,33,440,735,978,618,578,772,906,170,253,250,255,293,182,246,6709
