LGA_CODE_2016,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_BP_B_OS,C06_Pol_Fa_O_B_OS,C06_Pol_Mo_O_B_OS,C06_Pol_BP_B_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_BP_B_OS,C06_Rus_Fa_O_B_OS,C06_Rus_Mo_O_B_OS,C06_Rus_BP_B_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_SAf_BP_B_OS,C06_SAf_Fa_O_B_OS,C06_SAf_Mo_O_B_OS,C06_SAf_BP_B_Aus,C06_SAf_Bplace_NS,C06_SAf_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinha_Fa_O_B_OS,C06_Sinha_Mo_O_B_OS,C06_Sinha_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Wel_BP_B_OS,C06_Wel_Fa_O_B_OS,C06_Wel_Mo_O_B_OS,C06_Wel_BP_B_Aus,C06_Wel_Bplace_NS,C06_Wel_Tot_resp,C06_Oth_BP_B_OS,C06_Oth_Fa_O_B_OS,C06_Oth_Mo_O_B_OS,C06_Oth_BP_B_Aus,C06_Oth_Bplace_NS,C06_Oth_Tot_resp,C06_Anc_ns_BP_B_OS,C06_Anc_ns_Fa_O_B_OS,C06_Anc_ns_Mo_O_B_OS,C06_Anc_ns_BP_B_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_T_P_BP_B_OS,C06_T_P_Fa_only_bor_os,C06_T_P_Mo_O_B_OS,C06_T_P_BP_B_Aus,C06_T_P_Bplace_NS,C06_T_P_Tot_resp,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS
LGA10050,141,1394,882,18298,475,21195,6,0,0,122,5,130,107,7,11,84,0,208,79,26,13,22,0,142,374,124,72,219,8,808,1756,1096,716,12270,407,16244,157,11,28,7,9,205,48,13,13,87,3,155,488,214,116,2406,70,3295,139,52,14,94,10,301,76,12,7,25,0,122,131,14,6,7,6,158,279,211,152,4706,103,5447,256,145,42,499,18,966,8,0,3,3,0,17,51,20,11,70,3,154,10,3,0,4,0,17,37,19,3,32,0,85,78,20,12,20,0,122,119,70,50,27,3,260,160,38,21,95,6,314,38,11,9,32,0,87,439,283,180,3178,74,4147,108,22,4,33,7,170,65,7,14,10,0,88,55,8,0,63,0,120,21,8,3,3,0,39,0,0,0,0,0,0,9,7,0,0,0,14,83,25,16,103,4,233,851,188,138,376,32,1592,149,44,34,1316,1908,3449,5342,2492,1567,33985,2897,46285,136,1231
LGA10130,79,788,662,12050,290,13867,0,0,0,300,5,314,256,15,13,69,3,357,8,3,0,7,0,15,126,59,36,78,5,304,947,624,498,7500,209,9777,43,3,21,0,4,67,52,11,0,66,0,127,220,68,48,880,20,1240,27,12,0,37,0,86,23,5,0,11,3,46,89,10,6,11,0,119,182,133,99,2831,59,3304,73,33,19,157,3,283,33,0,0,3,0,36,23,4,7,41,0,77,0,0,0,0,0,0,6,12,3,11,0,39,19,12,4,14,0,46,75,38,22,7,4,145,51,8,3,35,0,103,27,7,3,20,0,54,265,166,130,2080,45,2693,6,3,4,8,0,22,55,13,6,0,4,70,14,4,3,31,3,57,35,3,0,0,3,44,9,5,7,4,0,19,3,0,0,0,0,5,40,16,14,71,3,141,605,135,124,202,29,1097,51,17,15,594,1144,1824,2852,1294,1044,20708,1693,27595,72,800
LGA10250,123,1379,1051,15497,400,18446,0,4,3,248,15,271,80,13,12,61,4,172,35,15,4,11,0,64,247,84,59,120,12,516,2222,1197,881,10268,362,14937,66,5,23,4,3,94,41,13,9,101,0,160,313,79,74,1023,43,1535,46,21,7,56,3,136,42,7,0,8,0,65,51,12,9,17,3,89,376,253,194,3907,86,4815,237,110,47,535,13,939,8,0,0,0,0,9,6,3,0,12,0,22,3,0,0,3,0,9,56,17,3,24,0,108,42,20,4,18,4,92,142,73,41,26,9,291,77,17,9,36,5,150,23,10,4,12,0,52,479,282,237,2631,69,3706,37,6,0,0,0,45,78,25,4,8,3,126,37,6,5,40,0,85,12,5,0,3,0,26,0,3,0,0,0,3,11,0,0,0,0,11,88,28,20,99,3,230,561,189,130,313,27,1221,104,53,54,813,1329,2358,4583,2412,1780,27503,2179,38462,112,1373
LGA10300,4,62,39,1058,35,1199,0,0,0,28,0,27,0,0,0,4,0,4,0,0,0,0,0,0,8,7,0,12,0,20,45,40,21,590,30,720,3,0,0,0,0,3,0,0,0,4,0,3,5,0,4,51,5,67,6,3,0,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,220,7,251,136,28,8,113,5,298,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,11,0,0,0,3,0,3,7,4,7,0,0,19,0,3,0,3,0,4,4,0,0,0,0,3,6,11,5,148,3,174,3,0,0,0,0,3,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,4,25,8,0,16,3,54,10,3,3,54,114,182,272,106,67,1806,192,2442,13,28
LGA10470,83,1109,716,15315,434,17659,0,3,0,90,3,100,153,8,13,89,0,256,36,13,0,5,0,56,212,80,37,122,4,456,1255,827,655,9945,367,13047,64,10,25,3,4,97,36,8,0,84,3,133,230,95,38,771,20,1155,41,15,4,56,8,124,38,13,7,15,0,68,70,3,11,0,0,92,205,189,118,4114,109,4733,114,92,29,274,12,517,33,0,0,0,0,37,73,22,4,36,4,137,7,0,0,3,0,9,55,12,27,31,3,125,55,7,3,11,9,82,68,48,42,25,0,190,81,31,8,50,0,166,32,5,9,15,0,63,373,231,159,2404,54,3230,54,9,0,15,0,85,46,8,3,5,0,65,26,6,3,16,0,53,16,5,3,3,0,27,4,0,0,0,0,3,11,0,0,0,0,13,67,34,23,102,0,223,453,164,82,260,16,981,91,44,24,867,1858,2885,3377,1843,1236,26695,2688,35845,95,1031
LGA10550,101,1082,796,12682,329,14994,0,0,4,144,6,160,49,12,6,48,0,120,34,3,5,9,0,53,368,93,70,133,12,672,2158,930,724,8033,333,12175,63,0,21,0,0,81,35,7,6,74,8,130,387,97,69,888,25,1467,43,13,5,45,0,105,31,16,3,7,3,54,18,5,8,16,0,44,308,205,98,2802,85,3491,157,62,28,226,7,479,0,0,0,0,0,8,11,0,0,15,0,28,0,4,0,0,0,3,61,17,3,22,0,106,39,24,7,19,3,94,97,37,24,24,0,187,81,12,7,26,0,124,35,16,0,15,0,60,466,223,138,2024,45,2900,38,5,0,8,0,51,40,9,3,7,0,65,30,3,3,18,0,56,11,3,3,3,0,16,4,0,0,0,0,4,27,0,0,0,0,33,70,31,4,94,3,198,492,135,90,249,19,978,69,35,30,661,1018,1812,4431,1854,1319,21743,1710,31061,93,1032
LGA10600,57,500,329,4870,141,5896,0,6,0,48,0,57,34,4,0,17,5,61,8,3,0,0,0,16,111,19,17,31,0,180,895,424,299,3359,121,5101,16,0,11,0,0,26,17,9,8,60,3,98,141,36,33,296,13,519,7,5,0,17,4,37,13,10,7,11,0,32,5,0,0,0,0,9,161,86,52,1222,27,1553,33,25,3,93,3,159,0,0,0,0,0,0,5,0,0,9,0,12,3,0,0,0,0,3,8,3,0,7,0,13,14,12,9,3,0,40,43,17,29,12,8,103,43,13,3,15,0,73,10,9,0,6,0,24,205,115,74,805,30,1225,7,0,0,3,0,11,25,5,0,0,0,30,17,4,3,24,0,49,0,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,0,3,27,9,8,44,0,83,213,82,42,114,9,459,26,17,17,265,409,733,1727,835,573,8584,697,12417,44,460
LGA10650,11,210,138,3513,63,3940,0,0,0,17,3,20,13,0,0,9,0,27,4,0,0,3,0,3,59,13,7,25,0,112,256,193,129,2295,77,2956,22,0,3,0,0,30,0,0,0,23,0,21,45,19,5,169,3,243,4,6,0,0,3,10,6,4,0,0,0,12,11,3,0,0,0,17,49,33,24,819,28,948,34,13,6,90,3,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,11,0,22,8,0,0,4,0,21,29,3,8,9,0,44,9,0,0,0,0,11,10,0,0,3,0,12,77,60,32,559,14,741,7,0,0,8,0,10,3,0,0,0,0,3,0,0,0,7,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,10,7,3,15,3,40,58,16,11,60,0,140,10,10,3,231,180,441,655,387,253,6352,344,7993,19,178
LGA10750,3330,8394,5464,60654,2460,80299,35,77,18,752,44,921,7321,108,171,277,160,8041,2103,173,91,266,85,2720,1531,473,258,601,63,2923,13689,5716,3833,33235,1982,58452,19328,173,580,59,738,20875,618,84,62,320,17,1098,2286,557,324,2734,161,6066,2063,324,168,599,106,3262,1014,130,46,137,30,1356,13465,190,133,73,387,14247,2474,1105,646,10158,395,14772,3837,1052,356,1985,175,7404,1389,6,18,8,37,1454,3121,478,188,322,163,4274,339,23,26,20,3,409,5350,1009,439,1769,207,8772,2334,189,126,63,164,2877,1087,359,225,143,68,1884,2076,185,153,304,57,2767,592,57,49,98,12,809,2894,1158,910,6798,221,11986,1490,109,50,108,33,1778,853,79,47,27,34,1040,2180,101,49,118,89,2548,2382,39,22,17,73,2534,1856,114,65,54,66,2142,990,13,17,9,45,1077,308,107,57,338,18,825,32831,1943,1050,1292,1322,38439,5426,489,341,3560,13176,22995,126651,15575,9982,98429,21063,271712,4109,8321
LGA10800,17,108,90,2941,79,3225,0,0,0,13,0,17,15,0,0,3,0,18,10,0,0,0,0,11,21,9,3,20,0,47,160,99,79,1851,58,2250,7,0,0,0,0,8,0,0,0,16,0,20,16,11,3,273,4,314,3,5,0,3,0,15,0,0,0,0,0,4,0,0,0,3,0,4,21,27,9,562,11,630,11,3,0,16,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,3,10,0,0,0,0,15,6,3,5,0,0,21,4,6,0,3,0,10,0,0,0,0,0,3,31,32,22,469,16,558,5,0,0,0,0,7,6,0,0,0,0,11,3,0,0,3,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,14,34,8,9,21,0,67,15,5,5,191,145,355,330,206,147,5120,293,6098,9,100
LGA10850,10,205,136,3098,89,3530,0,0,0,13,0,12,3,4,0,10,0,16,3,3,0,0,0,5,28,12,7,19,3,75,245,167,114,1979,61,2565,9,0,0,0,0,7,5,3,3,22,0,33,39,12,10,110,11,181,7,3,0,9,0,15,3,3,0,3,0,10,0,0,0,3,0,3,54,32,16,751,32,891,10,15,3,32,3,66,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,4,9,0,0,0,0,8,9,3,0,3,0,15,15,12,11,13,0,59,14,5,0,8,0,33,5,0,0,9,0,13,54,31,41,363,11,502,3,0,0,0,0,3,3,0,0,3,0,3,3,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,21,0,36,37,20,13,46,7,122,4,3,7,171,150,336,489,329,216,5241,314,6594,12,151
LGA10900,343,4107,2694,25165,760,33065,5,3,10,109,9,135,405,47,56,132,16,648,153,42,15,47,0,255,872,293,158,373,28,1728,6929,3393,2252,16117,651,29339,165,12,36,3,0,220,234,67,40,196,3,536,1063,350,208,1503,61,3182,260,65,37,178,11,557,259,48,22,53,3,395,194,27,26,14,21,275,1405,827,453,6785,173,9646,560,233,101,642,37,1580,54,0,0,9,3,70,80,29,22,51,15,185,11,3,0,3,0,21,231,119,41,136,20,541,114,33,19,28,9,203,377,164,98,43,12,698,448,85,34,119,11,703,182,33,29,81,6,334,1659,842,523,4383,128,7537,117,30,6,27,7,182,146,16,34,5,4,202,161,20,6,48,9,245,77,12,12,3,0,100,32,9,3,3,0,44,47,0,7,0,0,52,265,100,57,257,16,697,2262,671,353,771,92,4156,244,111,87,1011,2870,4323,15787,6891,4384,42566,4443,74064,358,4004
LGA10950,0,48,29,1469,63,1609,0,0,0,17,0,13,3,0,0,4,6,9,0,3,0,3,0,10,4,0,0,7,0,15,45,42,31,884,31,1031,0,0,0,0,0,0,0,0,0,4,0,6,4,3,3,69,0,80,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,9,11,17,10,299,3,342,4,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,12,0,5,0,0,0,7,5,0,3,0,0,13,5,0,0,4,0,5,0,0,0,0,0,0,13,11,10,168,3,203,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,8,0,41,3,5,7,96,60,162,111,91,54,2475,146,2879,3,46
LGA11100,508,950,599,5640,229,7930,4,8,3,117,0,136,2625,36,56,44,50,2813,358,33,17,32,14,449,115,29,27,26,0,191,1762,552,368,3071,222,5974,858,13,49,9,36,965,107,14,10,36,0,174,264,53,28,271,13,632,1998,187,83,379,92,2734,158,18,8,7,3,200,680,9,6,4,17,724,485,166,117,1499,55,2325,984,122,56,282,37,1484,80,0,3,0,6,88,387,33,20,49,7,497,108,7,7,9,6,135,474,56,43,62,16,651,388,42,26,16,16,487,218,52,24,9,8,313,173,18,13,23,3,225,326,9,7,16,4,358,411,139,93,703,32,1373,310,14,12,18,5,358,106,17,11,9,3,141,565,22,22,23,22,658,122,0,0,0,0,128,648,32,19,10,22,727,157,7,6,0,3,168,45,12,10,46,3,114,5969,255,195,172,206,6796,787,65,44,331,2063,3286,19983,1873,1240,9861,3036,35994,521,1054
LGA11150,0,45,31,1486,58,1625,0,3,4,118,3,135,11,0,0,8,0,14,0,0,0,0,0,0,5,0,0,3,0,9,48,33,29,791,26,918,4,0,0,0,0,4,0,0,0,8,0,8,10,7,3,48,0,67,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,4,0,9,16,9,11,214,4,255,4,0,3,6,0,15,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,16,10,12,147,0,184,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,10,36,9,12,14,5,72,3,0,3,157,200,364,139,85,62,2518,288,3094,3,39
LGA11200,0,30,14,846,34,923,0,0,0,395,4,403,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,8,14,13,374,10,418,0,0,0,0,0,0,0,0,0,4,0,4,4,7,0,32,0,41,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,3,3,0,130,0,138,0,6,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,0,13,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,61,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,14,12,3,9,0,39,0,0,0,64,165,228,55,49,29,1609,206,1943,3,21
LGA11250,20,443,238,8887,300,9878,0,3,0,131,0,137,15,0,3,16,5,42,30,9,0,18,0,59,45,10,13,18,3,79,331,319,185,5334,204,6374,31,0,11,3,7,57,6,5,0,33,3,47,55,36,18,770,17,898,39,18,8,35,5,97,10,0,0,8,0,19,26,7,0,7,0,42,55,71,37,1421,48,1627,177,78,20,221,18,510,3,0,0,0,0,3,9,4,3,23,0,35,0,0,0,0,0,0,83,47,19,114,6,270,14,4,3,11,0,36,16,8,16,4,0,44,17,5,0,20,0,44,4,5,0,3,0,12,107,101,49,1062,39,1354,37,12,0,14,3,64,20,3,0,0,0,21,6,0,0,13,0,20,4,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,12,11,0,55,3,84,137,44,16,94,0,297,33,27,12,676,1224,1977,1154,794,390,15243,1777,19366,29,388
