LGA_CODE_2016,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T,C16_S_h_FH_CF_no_ch,C16_S_h_FH_CF_w_ch,C16_S_h_FH_One_PFam,C16_S_h_FH_oth_fa,C16_S_h_FH_Tot,C16_S_h_LP_H,C16_S_h_GH,C16_S_h_OH,C16_S_h_Tot,C16_Sd_r_t_1_FH_CF_no_ch,C16_Sd_r_t_1_FH_CF_w_ch,C16_Sd_r_t_1_FH_One_PFam,C16_Sd_r_t_1_FH_oth_fa,C16_Sd_r_t_1_FH_Tot,C16_Sd_r_t_1_LP_H,C16_Sd_r_t_1_GH,C16_Sd_r_t_1_OH,C16_Sd_r_t_1_Tot,C16_Sd_r_t_2m_FH_CF_no_ch,C16_Sd_r_t_2m_FH_CF_w_ch,C16_Sd_r_t_2m_FH_One_PFam,C16_Sd_r_t_2m_FH_oth_fa,C16_Sd_r_t_2m_FH_Tot,C16_Sd_r_t_2m_LP_H,C16_Sd_r_t_2m_GH,C16_Sd_r_t_2m_OH,C16_Sd_r_t_2m_Tot,C16_Sd_r_t_T_FH_CF_no_ch,C16_Sd_r_t_T_FH_CF_w_ch,C16_Sd_r_t_T_FH_One_PFam,C16_Sd_r_t_T_FH_oth_fa,C16_Sd_r_t_T_FH_Tot,C16_Sd_r_t_T_LP_H,C16_Sd_r_t_T_GH,C16_Sd_r_t_T_OH,C16_Sd_r_t_T_Tot,C16_F_u_a_1_2_FH_CF_no_ch,C16_F_u_a_1_2_FH_CF_w_ch,C16_F_u_a_1_2_FH_One_PFam,C16_F_u_a_1_2_FH_oth_fa,C16_F_u_a_1_2_FH_Tot,C16_F_u_a_1_2_LP_H,C16_F_u_a_1_2_GH,C16_F_u_a_1_2_OH,C16_F_u_a_1_2_Tot,C16_F_u_a_3_FH_CF_no_ch,C16_F_u_a_3_FH_CF_w_ch,C16_F_u_a_3_FH_One_PFam,C16_F_u_a_3_FH_oth_fa,C16_F_u_a_3_FH_Tot,C16_F_u_a_3_LP_H,C16_F_u_a_3_GH,C16_F_u_a_3_OH,C16_F_u_a_3_Tot,C16_F_u_a_4m_FH_CF_no_ch,C16_F_u_a_4m_FH_CF_w_ch,C16_F_u_a_4m_FH_One_PFam,C16_F_u_a_4m_FH_oth_fa,C16_F_u_a_4m_FH_Tot,C16_F_u_a_4m_LP_H,C16_F_u_a_4m_GH,C16_F_u_a_4m_OH,C16_F_u_a_4m_Tot,C16_F_u_a_a_h_FH_CF_no_ch,C16_F_u_a_a_h_FH_CF_w_ch,C16_F_u_a_a_h_FH_One_PFam,C16_F_u_a_a_h_FH_oth_fa,C16_F_u_a_a_h_FH_Tot,C16_F_u_a_a_h_LP_H,C16_F_u_a_a_h_GH,C16_F_u_a_a_h_OH,C16_F_u_a_a_h_Tot,C16_F_u_a_T_FH_CF_no_ch,C16_F_u_a_T_FH_CF_w_ch,C16_F_u_a_T_FH_One_PFam,C16_F_u_a_T_FH_oth_fa,C16_F_u_a_T_FH_Tot,C16_F_u_a_T_LP_H,C16_F_u_a_T_GH,C16_F_u_a_T_OH,C16_F_u_a_T_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_T_FH_CF_no_ch,C16_OD_T_FH_CF_w_ch,C16_OD_T_FH_One_PFam,C16_OD_T_FH_oth_fa,C16_OD_T_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_T_T,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_T,C16_T_FH_CF_no_ch,C16_T_FH_CF_w_ch,C16_T_FH_One_PFam,C16_T_FH_oth_fa
LGA10050,0,0,5,3,0,3,15,441,194,271,30,943,1909,199,237,3288,16,7,3,0,23,45,0,35,100,0,0,0,0,0,0,0,7,7,7,5,0,0,14,6,0,0,25,18,8,3,0,35,56,0,45,134,0,3,3,0,10,3,3,4,15,4867,4980,2181,177,12204,5583,830,785,19400,4562,4831,1880,130,11394,3664,575,864,16497,431,241,272,23,967,1780,159,277,3183,69,26,37,3,132,245,34,85,494,504,262,309,27,1098,2031,196,354,3683,28,24,21,8,80,196,23,88,388,11,11,0,0,18,38,0,21,79,7,0,0,0,4,16,0,10,36,0,0,0,0,0,0,0,0,6,44,34,22,8,106,249,26,121,499,18,3,5,0,22,38,0,17,86,0,0,0,0,0,0,0,4,4,3,3,9,0,17,5,0,6,36,20,7,7,0,45,46,4,25,125,18,9,7,0,26,31,3,12,80,5143,5142,2222,163
LGA10130,0,0,3,13,0,3,21,130,85,77,17,314,562,105,140,1124,4,3,3,0,16,34,3,65,117,0,0,0,0,0,0,0,0,0,3,6,3,0,12,7,0,3,29,8,12,6,0,28,41,3,77,146,0,0,0,0,3,6,0,0,9,2788,2742,1188,102,6828,2906,464,620,10817,2548,2505,1080,99,6231,2096,361,579,9265,124,94,71,8,296,408,61,61,832,18,8,12,6,44,88,12,19,158,141,99,84,12,338,496,73,82,993,69,35,33,9,141,314,36,73,565,8,3,0,0,16,29,3,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,40,33,11,156,342,37,76,616,8,3,7,0,17,17,0,54,82,3,0,0,0,3,0,0,0,3,4,0,0,0,5,5,0,8,22,15,4,3,0,28,22,0,62,110,24,19,7,0,48,37,0,10,100,2807,2669,1207,121
LGA10250,3,0,3,16,0,0,24,418,161,242,16,834,1066,98,125,2125,136,25,26,0,189,264,9,205,675,0,0,0,0,0,5,3,49,62,6,7,3,0,19,12,3,3,34,144,29,32,0,205,278,15,257,766,3,0,0,0,3,3,0,0,7,4809,3963,1884,126,10777,4260,557,775,16369,3928,3490,1185,98,8704,2182,342,646,11875,469,246,285,11,1021,1036,67,161,2285,362,209,193,8,766,633,78,114,1602,831,460,478,23,1788,1675,148,279,3885,114,51,95,11,269,280,26,57,630,44,6,24,0,68,73,11,13,170,24,0,0,0,23,25,5,12,63,0,0,0,0,3,7,0,0,7,179,58,121,10,366,385,46,79,882,98,12,33,8,146,295,9,280,735,0,0,0,0,0,3,0,9,13,4,5,3,0,15,7,3,3,28,102,16,33,8,158,312,16,296,777,18,29,8,0,54,43,4,33,135,5057,4052,1822,139
LGA10300,0,0,0,0,0,0,0,3,3,0,0,9,17,0,6,31,0,0,0,0,0,7,0,32,39,0,0,0,0,0,0,0,0,0,7,0,0,0,6,5,0,0,7,7,0,0,0,6,12,0,32,49,0,0,0,0,0,0,0,0,3,253,260,76,12,592,223,13,99,930,226,228,70,9,542,177,16,82,819,0,0,0,0,3,12,0,0,18,3,0,0,0,3,0,0,0,3,3,0,0,0,5,12,0,0,24,6,4,3,0,11,24,0,9,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,11,24,0,9,41,3,0,0,0,6,11,0,46,55,0,0,0,0,0,0,0,3,3,3,0,0,0,4,0,0,0,7,5,0,0,0,6,6,0,47,61,3,0,0,0,5,0,0,0,4,241,234,82,9
LGA10470,10,0,17,19,0,6,45,137,41,57,10,243,593,67,127,1023,9,0,4,0,10,17,0,15,45,0,0,0,0,0,4,0,9,17,6,0,0,0,11,12,0,0,24,14,3,3,0,25,28,3,26,84,4,4,4,0,15,12,4,3,33,3705,4110,1591,148,9549,3546,553,663,14321,3433,4100,1493,105,9133,2607,424,645,12813,195,92,144,13,452,600,81,105,1239,36,22,59,4,125,174,25,31,357,234,115,202,19,573,775,111,138,1595,75,41,40,10,168,360,52,93,674,0,0,0,0,4,4,0,3,12,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,78,42,40,10,176,363,52,99,686,3,5,3,0,10,6,0,21,45,3,0,0,0,3,3,0,0,6,6,3,0,0,11,8,0,6,25,11,9,9,0,26,17,0,29,67,13,11,6,0,29,124,3,14,172,3777,4269,1749,132
LGA10550,7,0,7,13,0,4,31,219,75,106,10,413,589,43,93,1142,52,13,7,0,73,103,0,173,347,7,5,0,0,16,11,0,14,39,20,7,5,0,28,13,3,5,47,77,24,10,0,117,127,4,188,437,8,0,0,0,12,7,0,0,15,4461,3042,1310,67,8876,3465,337,760,13436,4093,2728,1072,67,7962,2727,250,806,11747,193,38,56,4,295,505,30,54,889,149,38,59,3,244,242,14,53,547,346,74,117,13,546,744,45,106,1440,90,30,47,3,170,333,19,68,591,11,3,0,0,10,8,0,3,29,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,106,30,47,3,186,348,20,66,621,42,10,5,0,65,115,5,107,293,6,6,5,0,14,22,3,50,92,17,4,4,0,28,19,0,10,50,64,24,12,0,101,161,6,167,435,51,15,10,0,84,40,4,33,164,4661,2871,1257,81
LGA10600,0,0,8,19,0,0,25,20,3,17,0,47,169,4,6,224,33,9,7,0,54,96,5,77,232,4,0,0,0,4,14,0,3,26,3,5,8,0,10,5,4,0,20,41,11,14,0,72,111,7,82,276,0,0,0,0,4,0,0,0,4,1548,1214,675,25,3462,1381,166,229,5240,1449,1085,592,27,3155,1159,151,287,4754,34,26,22,0,77,96,10,11,190,15,13,7,0,30,20,0,3,56,48,39,24,0,110,111,10,17,246,13,5,13,3,41,87,0,21,143,3,0,0,0,3,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,13,3,41,93,0,19,152,19,3,5,0,25,56,0,87,164,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,6,20,3,4,0,29,57,4,91,180,13,9,8,0,28,11,3,10,54,1552,1146,640,27
LGA10650,0,0,0,0,0,0,0,32,9,10,0,50,106,4,14,173,14,4,3,0,24,35,0,30,88,0,0,0,0,3,3,0,0,6,9,3,5,0,18,7,0,0,20,21,10,8,0,39,44,0,33,119,4,3,0,0,3,0,0,0,3,1134,739,266,27,2165,1028,54,132,3382,1016,701,260,18,1988,850,69,292,3197,20,0,3,0,29,76,6,8,115,0,0,0,0,0,0,0,0,0,20,0,3,0,29,76,6,8,115,19,3,10,0,29,80,6,26,149,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,10,0,29,84,6,26,151,19,3,4,0,31,43,5,50,131,0,0,0,0,0,0,0,3,8,16,13,0,0,29,15,0,3,42,33,11,8,0,54,58,6,51,172,0,4,0,0,4,3,0,7,12,1087,717,279,16
LGA10750,17,0,66,71,7,10,153,958,1114,516,113,2703,1884,219,311,5120,35,15,30,3,87,180,9,23,302,0,3,0,0,3,6,0,6,20,16,22,22,5,65,31,3,7,113,59,41,55,7,164,209,16,39,426,13,21,5,0,47,22,3,0,71,18332,42246,14648,1246,76471,15099,2091,2745,96402,15109,38402,11764,1127,66400,10579,1796,3294,82065,1172,2802,805,70,4844,1251,137,259,6494,1588,4971,1622,145,8326,1512,221,479,10537,2760,7770,2428,218,13176,2759,354,740,17028,218,341,151,21,726,803,33,162,1725,129,163,87,18,399,249,33,127,809,747,1059,314,63,2184,646,117,168,3116,8,9,3,0,23,26,3,3,51,1109,1575,554,100,3336,1726,186,454,5708,45,10,27,3,82,138,3,49,270,6,13,11,0,35,33,0,16,83,31,64,26,5,124,31,6,33,198,78,94,65,5,248,194,14,97,554,57,124,41,3,218,102,21,14,358,19122,47955,14840,1458
LGA10800,0,0,5,0,0,0,3,9,0,5,0,18,63,4,12,101,0,0,0,0,0,9,0,38,42,0,0,0,0,0,0,0,0,3,3,13,0,0,11,6,0,0,22,5,13,0,0,16,17,0,39,67,0,0,0,0,0,0,0,0,0,722,653,180,15,1569,645,48,102,2365,667,550,218,20,1449,587,25,227,2289,4,0,0,0,4,6,0,3,17,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,3,17,0,3,3,0,5,54,0,12,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,54,0,12,68,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,6,0,3,0,7,4,0,4,16,7,0,3,0,10,7,0,12,28,12,9,3,0,20,16,0,24,57,686,559,225,20
