LGA_CODE_2016,C16_Chr_Chi_nfd_0_14,C16_Chr_Chi_nfd_15_24,C16_Chr_Chi_nfd_25_34,C16_Chr_Chi_nfd_35_44,C16_Chr_Chi_nfd_45_54,C16_Chr_Chi_nfd_55_64,C16_Chr_Chi_nfd_65_74,C16_Chr_Chi_nfd_75_84,C16_Chr_Chi_nfd_85ov,C16_Chr_Chi_nfd_Tot,C16_Chr_Oth_Chi_0_14,C16_Chr_Oth_Chi_15_24,C16_Chr_Oth_Chi_25_34,C16_Chr_Oth_Chi_35_44,C16_Chr_Oth_Chi_45_54,C16_Chr_Oth_Chi_55_64,C16_Chr_Oth_Chi_65_74,C16_Chr_Oth_Chi_75_84,C16_Chr_Oth_Chi_85ov,C16_Chr_Oth_Chi_Tot,C16_Christ_Tot_0_14,C16_Christ_Tot_15_24,C16_Christ_Tot_25_34,C16_Christ_Tot_35_44,C16_Christ_Tot_45_54,C16_Christ_Tot_55_64,C16_Christ_Tot_65_74,C16_Christ_Tot_75_84,C16_Christ_Tot_85ov,C16_Christ_T_T,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85oe,C16_OR_AusAborTrade_Tot,C16_OR_Sikhism_0_14,C16_OR_Sikhism_15_24,C16_OR_Sikhism_25_34,C16_OR_Sikhism_35_44,C16_OR_Sikhism_45_54,C16_OR_Sikhism_55_64,C16_OR_Sikhism_65_74,C16_OR_Sikhism_75_84,C16_OR_Sikhism_85oe,C16_OR_Sikhism_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_O_R_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_Oth_Rel_Tot_0_14,C16_Oth_Rel_Tot_15_24,C16_Oth_Rel_Tot_25_34,C16_Oth_Rel_Tot_35_44,C16_Oth_Rel_Tot_45_54,C16_Oth_Rel_Tot_55_64,C16_Oth_Rel_Tot_65_74,C16_Oth_Rel_Tot_75_84,C16_Oth_Rel_Tot_85ov,C16_Other_Rel_T_T,C16_SBOSB_No_RA_0_14,C16_SBOSB_No_RA_15_24,C16_SBOSB_No_RA_25_34,C16_SBOSB_No_RA_35_44,C16_SBOSB_No_RA_45_54,C16_SBOSB_No_RA_55_64,C16_SBOSB_No_RA_65_74,C16_SBOSB_No_RA_75_84,C16_SBOSB_No_RA_85ov,C16_SBOSB_No_RA_Tot,C16_Oth_rel_affi_0_14,C16_Rel_aff_ns_15_24,C16_Rel_aff_ns_25_34,C16_Rel_aff_ns_35_44,C16_Rel_aff_ns_45_54,C16_Rel_aff_ns_55_64,C16_Rel_aff_ns_65_74,C16_Rel_aff_ns_75_84,C16_Rel_aff_ns_85ov,C16_Rel_aff_ns_Tot,C16_Tot_0_14_yrs,C16_Tot_15_24_yrs,C16_Tot_25_34_yrs,C16_Tot_35_44_yrs,C16_Tot_45_54_yrs,C16_Tot_55_64_yrs,C16_Tot_65_74_yrs,C16_Tot_75_84_yrs,C16_Tot_85o,C16_T_T
LGA10050,193,140,120,134,152,150,100,71,12,1073,8,3,3,6,3,0,3,0,0,32,5080,3312,2933,3346,4091,4347,3638,2261,1062,30077,212,99,241,152,65,34,19,12,3,835,76,21,67,62,11,6,3,0,0,242,0,3,3,0,6,0,3,3,3,27,6,4,0,7,0,3,0,0,0,19,65,9,117,39,3,6,3,3,0,244,17,14,28,32,10,19,9,0,0,135,91,29,146,75,15,23,10,3,0,404,3285,2586,2401,1874,1670,1290,763,291,106,14264,787,640,631,588,556,597,436,333,149,4723,9606,6755,6498,6205,6497,6372,4907,2913,1329,51076
LGA10130,107,103,64,67,64,81,59,25,8,575,3,3,4,3,3,3,3,3,0,33,2827,2489,1544,1736,2364,2305,1925,1239,516,16955,39,44,128,44,20,5,5,3,0,283,157,51,148,73,27,9,7,0,0,463,3,0,4,3,0,0,0,0,0,17,3,8,0,3,0,3,0,0,0,19,4,13,21,3,4,0,0,0,0,41,3,26,25,23,13,21,12,0,0,118,10,46,45,28,22,24,7,0,0,181,1789,2029,1175,856,821,782,504,190,72,8204,463,649,366,300,379,386,293,155,52,3041,5332,5352,3464,3100,3657,3552,2747,1595,649,29449
LGA10250,192,111,74,117,127,141,91,41,18,920,8,11,3,8,9,11,13,3,4,63,3326,1953,1467,2297,3294,3898,3795,2418,1263,23709,13,4,31,16,14,11,0,3,0,95,8,7,11,14,9,4,0,0,0,48,0,6,3,3,6,7,6,3,6,49,0,0,0,0,3,3,0,0,0,6,9,3,22,3,0,3,4,0,0,44,17,19,21,27,41,24,9,0,3,156,22,20,47,28,45,26,13,0,3,204,2842,1551,1592,1741,1696,1751,1128,407,155,12877,645,379,372,481,589,657,491,365,328,4304,6932,3953,3581,4669,5759,6434,5503,3203,1755,41790
LGA10300,18,8,5,8,7,6,3,0,0,58,0,0,0,0,0,0,0,0,0,0,292,143,120,173,204,280,150,97,27,1486,4,3,0,3,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,131,81,73,58,45,44,30,8,0,476,58,31,30,37,30,47,28,23,7,289,482,264,233,276,290,377,202,131,35,2287
LGA10470,141,75,80,70,89,78,74,19,0,631,0,3,0,0,3,3,3,0,0,15,5093,3351,2673,2955,3593,3553,2866,1600,674,26367,43,21,51,49,20,3,5,0,0,202,56,24,40,36,13,9,4,0,0,183,0,0,3,0,0,8,0,0,3,14,10,0,3,9,0,0,0,0,0,18,21,3,21,13,0,0,0,0,0,59,7,23,11,17,12,16,4,6,0,95,38,25,37,37,12,16,6,6,0,182,2263,1790,1549,1176,992,831,551,174,56,9394,574,871,771,570,543,530,410,227,157,4661,8119,6125,5171,4878,5238,4991,3862,2019,892,41300
LGA10550,125,61,46,61,104,131,73,32,9,649,7,0,0,0,5,6,14,7,3,35,2138,1306,992,1481,2453,3328,3126,1772,721,17322,4,6,10,6,12,10,4,0,0,55,9,3,4,3,9,3,3,0,0,26,0,3,3,0,4,5,5,0,3,27,5,0,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,18,5,15,16,22,25,19,4,0,129,24,5,19,16,23,30,20,4,0,144,2516,1351,1164,1252,1574,2089,1337,464,139,11880,513,276,262,308,524,611,528,294,134,3452,5259,2982,2482,3120,4648,6154,5060,2546,999,33253
LGA10600,60,26,13,38,39,53,29,7,3,268,4,0,0,4,8,3,9,4,0,28,796,434,335,514,855,1054,989,650,266,5897,0,7,13,0,0,8,0,0,0,25,5,3,0,0,3,0,0,0,0,16,4,5,3,0,9,5,4,3,0,31,3,0,0,3,0,3,0,0,0,11,0,0,3,0,0,3,0,0,0,11,8,3,10,19,10,15,12,0,0,72,15,4,16,22,10,18,8,0,0,97,1144,537,484,626,712,881,506,167,59,5108,210,111,98,130,182,226,183,99,35,1283,2199,1115,953,1324,1824,2240,1718,924,368,12668
LGA10650,46,8,16,14,12,15,15,5,6,130,0,0,0,0,0,0,3,0,0,8,853,414,394,508,617,890,989,557,248,5464,3,0,4,7,0,3,0,0,0,23,4,3,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,4,0,3,0,3,0,7,0,0,23,6,0,7,3,6,0,7,0,0,32,427,243,245,240,207,259,222,95,27,1964,149,93,91,83,106,152,156,88,36,944,1444,756,747,843,936,1304,1370,739,313,8462
LGA10750,2764,1727,1703,1501,1332,998,444,151,58,10681,71,50,68,46,53,48,25,6,8,375,39283,25622,23773,26599,26105,22538,15675,7413,2846,189864,7572,2720,6238,6557,2856,1713,794,274,53,28781,7037,3286,3990,3709,2263,1423,694,201,43,22645,35,6,14,27,25,14,22,7,0,151,12,3,3,4,4,0,0,0,0,25,2803,1547,3328,1937,820,568,251,117,17,11380,195,158,283,231,200,156,73,37,6,1358,3010,1710,3612,2178,1022,729,327,150,25,12767,13147,8662,9445,7437,5749,4007,1969,712,207,51330,5648,3519,4280,3787,3117,2518,1689,807,348,25702,76658,46120,52249,51402,42063,33702,21536,9674,3553,336962
LGA10800,55,25,19,24,33,17,17,24,9,214,0,0,0,0,0,0,0,0,0,0,852,410,377,486,528,643,504,353,149,4303,3,0,3,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,7,3,0,3,4,0,0,0,0,0,6,242,120,122,122,87,96,40,16,3,839,132,64,76,65,93,115,85,76,61,770,1230,599,588,680,709,866,626,442,211,5955
