LGA_CODE_2016,C06_CFNC_BF_N,C06_CFNC_BF_1_149,C06_CFNC_BF_150_299,C06_CFNC_BF_300_399,C06_CFNC_BF_400_499,C06_CFNC_BF_500_649,C06_CFNC_BF_650_799,C06_CFNC_BF_800_999,C06_CFNC_BF_1000_1499,C06_CFNC_BF_1500_1999,C06_CFNC_BF_2000_2499,C06_CFNC_BF_2500_2999,C06_CFNC_BF_3000_3999,C06_CFNC_BF_4000m,C06_CFNC_BF_Ns,C06_CFNC_BF_T,C06_CFNC_BPT_N,C06_CFNC_BPT_1_149,C06_CFNC_BPT_150_299,C06_CFNC_BPT_300_399,C06_CFNC_BPT_400_499,C06_CFNC_BPT_500_649,C06_CFNC_BPT_650_799,C06_CFNC_BPT_800_999,C06_CFNC_BPT_1000_1499,C06_CFNC_BPT_1500_1999,C06_CFNC_BPT_2000_2499,C06_CFNC_BPT_2500_2999,C06_CFNC_BPT_3000_3999,C06_CFNC_BPT_4000m,C06_CFNC_BPT_Ns,C06_CFNC_BPT_T,C06_CFNC_1F1P_N,C06_CFNC_1F1P_1_149,C06_CFNC_1F1P_150_299,C06_CFNC_1F1P_300_399,C06_CFNC_1F1P_400_499,C06_CFNC_1F1P_500_649,C06_CFNC_1F1P_650_799,C06_CFNC_1F1P_800_999,C06_CFNC_1F1P_1000_1499,C06_CFNC_1F1P_1500_1999,C06_CFNC_1F1P_2000_2499,C06_CFNC_1F1P_2500_2999,C06_CFNC_1F1P_3000_3999,C06_CFNC_1F1P_4000m,C06_CFNC_1F1P_Ns,C06_CFNC_1F1P_T,C06_CFNC_1E1A_N,C06_CFNC_1E1A_1_149,C06_CFNC_1E1A_150_299,C06_CFNC_1E1A_300_399,C06_CFNC_1E1A_400_499,C06_CFNC_1E1A_500_649,C06_CFNC_1E1A_650_799,C06_CFNC_1E1A_800_999,C06_CFNC_1E1A_1000_1499,C06_CFNC_1E1A_1500_1999,C06_CFNC_1E1A_2000_2499,C06_CFNC_1E1A_2500_2999,C06_CFNC_1E1A_3000_3999,C06_CFNC_1E1A_4000m,C06_CFNC_1E1A_Ns,C06_CFNC_1E1A_T,C06_CFNC_1F1NW_N,C06_CFNC_1F1NW_1_149,C06_CFNC_1F1NW_150_299,C06_CFNC_1F1NW_300_399,C06_CFNC_1F1NW_400_499,C06_CFNC_1F1NW_500_649,C06_CFNC_1F1NW_650_799,C06_CFNC_1F1NW_800_999,C06_CFNC_1F1NW_1000_1499,C06_CFNC_1F1NW_1500_1999,C06_CFNC_1F1NW_2000_2499,C06_CFNC_1F1NW_2500_2999,C06_CFNC_1F1NW_3000_3999,C06_CFNC_1F1NW_4000m,C06_CFNC_1F1NW_Ns,C06_CFNC_1F1NW_T,C06_CFNC_1P1NW_N,C06_CFNC_1P1NW_1_149,C06_CFNC_1P1NW_150_299,C06_CFNC_1P1NW_300_399,C06_CFNC_1P1NW_400_499,C06_CFNC_1P1NW_500_649,C06_CFNC_1P1NW_650_799,C06_CFNC_1P1NW_800_999,C06_CFNC_1P1NW_1000_1499,C06_CFNC_1P1NW_1500_1999,C06_CFNC_1P1NW_2000_2499,C06_CFNC_1P1NW_2500_2999,C06_CFNC_1P1NW_3000_3999,C06_CFNC_1P1NW_4000m,C06_CFNC_1P1NW_Ns,C06_CFNC_1P1NW_T,C06_CFNC_1A1NW_N,C06_CFNC_1A1NW_1_149,C06_CFNC_1A1NW_150_299,C06_CFNC_1A1NW_300_399,C06_CFNC_1A1NW_400_499,C06_CFNC_1A1NW_500_649,C06_CFNC_1A1NW_650_799,C06_CFNC_1A1NW_800_999,C06_CFNC_1A1NW_1000_1499,C06_CFNC_1A1NW_1500_1999,C06_CFNC_1A1NW_2000_2499,C06_CFNC_1A1NW_2500_2999,C06_CFNC_1A1NW_3000_3999,C06_CFNC_1A1NW_4000_m,C06_CFNC_1A1NW_Ns,C06_CFNC_1A1NW_T,C06_CFNC_BA_N,C06_CFNC_BA_1_149,C06_CFNC_BA_150_299,C06_CFNC_BA_300_399,C06_CFNC_BA_400_499,C06_CFNC_BA_500_649,C06_CFNC_BA_650_799,C06_CFNC_BA_800_999,C06_CFNC_BA_1000_1499,C06_CFNC_BA_1500_1999,C06_CFNC_BA_2000_2499,C06_CFNC_BA_2500_2999,C06_CFNC_BA_3000_3999,C06_CFNC_BA_4000_m,C06_CFNC_BA_Ns,C06_CFNC_BA_T,C06_CFNC_BNW_N,C06_CFNC_BNW_1_149,C06_CFNC_BNW_150_299,C06_CFNC_BNW_300_399,C06_CFNC_BNW_400_499,C06_CFNC_BNW_500_649,C06_CFNC_BNW_650_799,C06_CFNC_BNW_800_999,C06_CFNC_BNW_1000_1499,C06_CFNC_BNW_1500_1999,C06_CFNC_BNW_2000_2499,C06_CFNC_BNW_2500_2999,C06_CFNC_BNW_3000_3999,C06_CFNC_BNW_4000m,C06_CFNC_BNW_Ns,C06_CFNC_BNW_T,C06_CFNC_LFns_N,C06_CFNC_LFns_1_149,C06_CFNC_LFns_150_299,C06_CFNC_LFns_300_399,C06_CFNC_LFns_400_499,C06_CFNC_LFns_500_649,C06_CFNC_LFns_650_799,C06_CFNC_LFns_800_999,C06_CFNC_LFns_1000_1499,C06_CFNC_LFns_1500_1999,C06_CFNC_LFns_2000_2499,C06_CFNC_LFns_2500_2999,C06_CFNC_LFns_3000_3999,C06_CFNC_LFns_4000m,C06_CFNC_LFns_Ns,C06_CFNC_LFns_T,C06_CFNC_T_N,C06_CFNC_T_1_149,C06_CFNC_T_150_299,C06_CFNC_T_300_399,C06_CFNC_T_400_499,C06_CFNC_T_500_649,C06_CFNC_T_650_799,C06_CFNC_T_800_999,C06_CFNC_T_1000_1499,C06_CFNC_T_1500_1999,C06_CFNC_T_2000_2499,C06_CFNC_T_2500_2999,C06_CFNC_T_3000_3999,C06_CFNC_T_4000_m,C06_CFNC_T_Ns,C06_CFNC_T_T,C06_CF_BFT_N,C06_CF_BFT_1_149,C06_CF_BFT_150_299,C06_CF_BFT_300_399,C06_CF_BFT_400_499,C06_CF_BFT_500_649,C06_CF_BFT_650_799,C06_CF_BFT_800_999,C06_CF_BFT_1000_1499,C06_CF_BFT_1500_1999,C06_CF_BFT_2000_2499,C06_CF_BFT_2500_2999,C06_CF_BFT_3000_3999,C06_CF_BFT_4000m,C06_CF_BFT_Ns,C06_CF_BFT_T,C06_CF_BPT_N,C06_CF_BPT_1_149,C06_CF_BPT_150_299,C06_CF_BPT_300_399,C06_CF_BPT_400_499,C06_CF_BPT_500_649,C06_CF_BPT_650_799,C06_CF_BPT_800_999
LGA10050,7,0,0,0,4,19,0,16,401,292,173,75,50,11,18,1072,0,0,0,0,10,20,4,15,60,14,3,3,3,0,3,143,0,0,0,3,0,22,34,61,308,124,56,32,22,8,13,690,0,0,0,0,0,4,6,11,39,19,17,9,4,0,4,111,3,0,0,4,0,69,74,57,131,46,10,18,10,0,18,447,0,7,7,17,18,48,31,32,42,5,8,4,0,3,13,235,0,0,0,0,0,17,8,12,11,0,0,3,0,0,3,57,0,0,0,0,3,0,3,3,19,4,8,3,0,0,3,48,26,39,20,6,551,337,75,60,186,17,7,9,5,3,43,1392,0,0,3,0,19,17,3,3,8,3,3,0,0,0,285,340,30,50,29,35,606,550,245,270,1205,528,284,162,107,30,404,4527,0,0,0,0,0,5,10,11,196,248,204,154,77,37,116,1064,0,3,0,3,0,9,9,12
LGA10130,4,3,0,4,6,17,4,8,226,99,78,42,37,6,13,555,0,5,0,0,3,20,8,14,36,6,8,0,0,0,0,106,3,3,0,3,4,20,20,26,149,52,37,13,13,11,10,360,0,3,0,0,0,3,3,0,18,7,12,5,0,0,3,61,3,0,0,9,4,27,38,36,47,28,20,27,8,0,8,246,0,0,9,11,16,45,19,17,27,8,8,0,3,0,3,165,0,0,3,0,0,7,4,4,13,0,0,0,0,0,0,32,0,0,0,0,3,4,0,0,5,5,3,0,0,3,0,29,15,28,15,3,287,175,30,45,128,23,5,6,3,4,36,813,0,0,0,3,14,10,0,0,5,0,0,0,0,0,161,198,27,42,28,29,347,321,130,148,668,230,161,98,71,27,234,2567,4,8,0,0,0,17,9,8,173,142,117,74,68,7,85,706,0,0,0,0,3,14,7,18
LGA10250,10,5,0,0,11,27,7,9,277,153,113,63,51,3,24,752,3,0,0,0,14,34,10,28,80,32,10,10,3,4,4,226,0,0,0,3,8,34,27,40,238,104,43,27,25,14,13,570,0,3,0,4,0,3,3,5,31,16,15,9,3,0,3,90,4,3,0,5,5,35,49,46,106,32,13,23,6,0,11,347,0,3,3,9,22,71,32,32,52,21,3,3,4,0,10,265,0,0,0,0,0,5,3,6,15,4,3,0,3,0,0,56,0,0,0,0,0,0,0,0,17,8,3,0,3,0,0,35,29,49,17,17,628,562,130,129,288,44,24,15,14,4,81,2037,0,3,0,0,17,17,0,0,17,0,0,0,0,0,227,285,39,65,34,45,705,796,264,304,1118,414,233,145,103,35,374,4669,0,4,0,7,7,20,10,24,163,163,117,77,57,19,95,761,0,0,0,3,3,31,14,22
LGA10300,4,0,0,0,3,3,0,3,34,7,12,5,0,3,3,81,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,11,0,0,0,0,0,4,0,6,21,4,0,0,0,0,0,40,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,5,4,3,6,3,0,3,0,0,0,25,0,0,0,3,0,7,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,8,3,0,24,16,0,0,3,0,0,0,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,4,7,3,4,28,43,13,12,79,17,10,9,0,3,38,267,0,3,0,0,0,0,3,0,15,11,12,0,0,3,20,67,0,0,0,0,0,0,0,0
LGA10470,3,5,0,3,3,19,4,18,244,187,147,89,53,17,12,802,0,0,7,0,3,25,8,13,40,14,6,5,3,0,0,140,3,0,0,0,7,12,18,36,222,83,63,20,23,3,6,497,0,0,0,0,0,6,3,5,32,26,13,5,9,0,0,93,3,0,3,3,4,31,59,41,106,48,16,25,5,3,18,360,0,0,6,8,10,51,15,23,44,4,0,3,5,0,4,183,0,0,0,0,0,8,4,5,9,3,0,0,0,0,4,38,0,0,0,0,3,4,0,3,13,3,3,5,0,0,0,35,20,44,13,12,404,242,45,43,128,15,11,10,4,8,31,1040,0,0,0,0,10,4,3,3,4,0,0,0,0,0,199,228,32,56,36,27,452,404,161,188,833,390,262,153,103,33,285,3418,0,0,0,0,3,5,3,10,169,233,188,151,85,24,101,972,0,0,0,0,3,7,7,13
LGA10550,5,7,0,4,16,33,14,16,206,98,57,36,12,3,9,525,3,3,7,3,8,35,12,22,67,20,4,7,3,4,9,204,0,0,3,3,3,24,26,48,208,67,41,10,17,0,8,467,0,0,0,3,0,7,3,9,32,13,10,4,0,0,3,89,0,3,0,6,9,42,60,37,83,16,3,12,0,0,21,297,5,8,7,18,29,79,38,25,47,13,5,3,0,0,11,280,3,0,4,3,0,6,3,11,13,5,0,0,0,0,0,54,0,0,0,0,0,3,3,3,10,0,4,0,0,0,0,25,24,51,31,22,598,454,91,110,299,46,23,7,6,7,58,1814,0,0,0,0,18,14,0,6,7,3,0,0,0,0,261,310,38,69,52,69,684,708,250,275,974,276,152,83,40,18,385,4061,4,3,0,0,8,22,6,19,174,107,75,33,24,4,63,541,0,0,3,0,7,37,24,29
LGA10600,3,0,0,3,9,8,5,4,59,31,22,12,6,0,6,174,0,0,0,0,8,21,6,9,24,7,3,0,0,0,0,83,0,0,0,0,3,11,5,18,64,26,18,3,0,0,0,159,0,0,0,0,3,3,0,3,9,4,3,0,0,0,3,28,0,0,0,0,0,11,14,17,35,6,5,3,0,0,6,103,0,0,3,4,15,32,6,13,16,7,0,0,0,0,4,107,0,0,0,3,4,6,0,3,3,3,0,0,0,0,3,20,0,0,0,0,5,0,0,0,4,3,0,0,0,0,0,13,10,24,7,3,264,165,40,29,94,15,5,3,3,3,17,687,0,0,0,0,5,0,0,0,4,0,0,0,0,0,94,115,22,32,13,23,319,253,87,91,316,94,63,23,16,3,133,1488,0,0,0,0,3,10,3,7,50,50,31,15,4,3,11,189,0,0,3,0,0,20,4,14
LGA10650,11,3,0,0,6,12,0,5,98,31,30,12,6,0,4,214,0,0,0,0,0,10,3,4,12,0,0,0,0,0,0,37,0,0,3,0,4,7,3,22,70,22,4,0,3,3,4,143,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,18,0,3,0,3,3,8,8,16,19,4,0,4,0,0,9,81,0,0,8,3,7,19,5,6,4,3,0,0,0,0,3,60,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,9,5,4,0,0,0,3,24,7,14,4,3,174,110,19,24,60,3,0,0,0,0,17,443,0,0,0,0,4,4,0,0,3,0,0,0,0,0,77,89,12,19,14,9,199,178,53,67,287,67,39,13,14,7,119,1104,0,0,0,0,6,13,3,4,47,36,29,11,7,8,33,188,0,0,0,0,0,6,0,3
LGA10750,19,3,0,0,9,41,9,41,1439,1534,1294,624,311,72,82,5478,0,6,3,8,14,72,17,31,135,36,31,4,8,3,7,374,6,0,4,4,0,41,55,142,818,429,207,93,50,10,49,1913,0,3,0,4,5,16,12,31,174,89,78,38,20,0,26,502,16,8,3,15,18,281,465,380,681,206,48,90,11,3,115,2326,8,19,25,52,64,188,84,55,110,34,7,6,0,0,31,680,3,3,0,4,4,42,44,30,43,13,7,4,3,0,26,233,3,0,0,0,3,6,3,3,53,44,21,12,6,0,16,184,244,333,110,67,2511,1075,197,187,417,35,13,6,0,15,194,5406,12,12,0,4,84,35,21,12,28,6,0,0,0,0,981,1211,314,381,149,154,2713,1803,903,928,3906,2415,1708,892,415,101,1528,18313,35,19,10,3,19,39,28,74,1722,2176,2164,1285,927,286,866,9638,7,3,5,5,16,61,42,66
LGA10800,15,0,0,4,6,14,0,3,48,29,13,9,4,0,5,158,0,3,0,0,3,5,0,7,7,0,0,3,0,0,3,36,5,0,7,3,0,16,10,7,53,16,3,0,0,0,0,123,0,0,0,0,0,0,3,3,6,0,0,0,0,0,3,17,3,0,0,5,0,5,9,14,19,8,0,3,0,0,3,75,0,0,3,6,9,10,3,0,5,3,0,0,0,0,0,33,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,16,6,8,0,0,114,44,8,4,24,5,0,0,0,0,10,220,0,0,0,0,3,3,0,0,0,0,0,0,0,0,45,55,29,13,7,18,136,102,38,34,172,61,24,18,4,3,74,734,4,0,0,0,9,10,0,5,43,37,20,11,4,3,32,175,0,0,0,0,0,0,0,4
