LGA_CODE_2016,C11_C_Lat_Da_Saint_0_14,C11_C_Lat_Da_Saint_15_24,C11_C_Lat_Da_Saint_25_34,C11_C_Lat_Da_Saint_35_44,C11_C_Lat_Da_Saint_45_54,C11_C_Lat_Da_Saint_55_64,C11_C_Lat_Da_Saint_65_74,C11_C_Lat_Da_Saint_75_84,C11_C_Lat_Da_Saint_85ov,C11_C_Lat_Da_Saint_Tot,C11_C_Luthe_0_14,C11_C_Luthe_15_24,C11_C_Luthe_25_34,C11_C_Luthe_35_44,C11_C_Luthe_45_54,C11_C_Luthe_55_64,C11_C_Luthe_65_74,C11_C_Luthe_75_84,C11_C_Luthe_85ov,C11_C_Luthe_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_To,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Sev_day_Adv_0_14,C11_C_Sev_day_Adv_15_24,C11_C_Sev_day_Adv_25_34,C11_C_Sev_day_Adv_35_44,C11_C_Sev_day_Adv_45_54,C11_C_Sev_day_Adv_55_64,C11_C_Sev_day_Adv_65_74,C11_C_Sev_day_Adv_75_84,C11_C_Sev_day_Adv_85oe,C11_C_Sev_day_Adv_Tot,C11_C_Unit_Chur_0_14,C11_C_Unit_Chur_15_24,C11_C_Unit_Chur_25_34,C11_C_Unit_Chur_35_44,C11_C_Unit_Chur_45_54,C11_C_Unit_Chur_55_64,C11_C_Unit_Chur_65_74,C11_C_Unit_Chur_75_84,C11_C_Unit_Chur_85ov,C11_C_Unit_Chur_Tot,C11_C_Christi_nfd_0_14,C11_C_Christi_nfd_15_24,C11_C_Christi_nfd_25_34,C11_C_Christi_nfd_35_44,C11_C_Christi_nfd_45_54,C11_C_Christi_nfd_55_64,C11_C_Christi_nfd_65_74,C11_C_Christi_nfd_75_84,C11_C_Christi_nfd_85ov,C11_C_Christi_nfd_Tot,C11_C_Oth_Chris_0_14,C11_C_Oth_Chris_15_24,C11_C_Oth_Chris_25_34,C11_C_Oth_Chris_35_44,C11_C_Oth_Chris_45_54,C11_C_Oth_Chris_55_64,C11_C_Oth_Chris_65_74,C11_C_Oth_Chris_75_84,C11_C_Oth_Chris_85ov,C11_C_Oth_Chris_Tot,C11_Christia_Tot_0_14,C11_Christia_Tot_15_24,C11_Christia_Tot_25_34,C11_Christia_Tot_35_44,C11_Christia_Tot_45_54,C11_Christia_Tot_55_64,C11_Christia_Tot_65_74,C11_Christia_Tot_75_84,C11_Christia_Tot_85ov,C11_Christ_T_T,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_AusAborTrad_0_14,C11_OR_AusAborTrad15_24,C11_OR_AusAborTrad25_34,C11_OR_AusAborTrad35_44,C11_OR_AusAborTrad45_54,C11_OR_AusAborTrad55_64,C11_OR_AusAborTrad65_74,C11_OR_AusAborTrad75_84,C11_OR_AusAborTrad85oe,C11_OR_AusAborTrade_Tot,C11_OR_Sikh_0_14,C11_OR_Sikh_15_24,C11_OR_Sikh_25_34,C11_OR_Sikh_35_44,C11_OR_Sikh_45_54,C11_OR_Sikh_55_64,C11_OR_Sikh_65_74,C11_OR_Sikh_75_84,C11_OR_Sikh_85oe,C11_OR_Sikh_Tot,C11_OR_Ot_Re_Gr_0_14,C11_OR_Ot_Re_Gr_15_24,C11_OR_Ot_Re_Gr_25_34,C11_OR_Ot_Re_Gr_35_44,C11_OR_Ot_Re_Gr_45_54,C11_OR_Ot_Re_Gr_55_64,C11_OR_Ot_Re_Gr_65_74,C11_OR_Ot_Re_Gr_75_84,C11_OR_Ot_Re_Gr_85ov,C11_OR_Ot_Re_Gr_Tot,C11_OthRel_T_0_14,C11_OthRel_T_15_24,C11_OthRel_T_25_34,C11_OthRel_T_35_44,C11_OthRel_T_45_54,C11_OthRel_T_55_64,C11_OthRel_T_65_74,C11_OthRel_T_75_84,C11_OthRel_T_85ov,C11_OthRel_T_T,C11_SBOSB_N_RA_0_14,C11_SBOSB_N_RA_15_24,C11_SBOSB_N_RA_25_34,C11_SBOSB_N_RA_35_44,C11_SBOSB_N_RA_45_54,C11_SBOSB_N_RA_55_64,C11_SBOSB_N_RA_65_74,C11_SBOSB_N_RA_75_84,C11_SBOSB_N_RA_85ov,C11_SBOSB_N_RA_Tot
LGA10050,8,0,3,10,3,6,5,3,0,44,264,211,147,198,209,186,126,116,62,1510,3,3,7,3,0,0,0,0,0,17,25,11,14,10,15,7,3,0,0,90,112,97,69,78,76,65,27,13,3,535,194,162,143,242,345,398,293,208,101,2097,23,10,13,14,20,32,23,7,6,156,37,27,25,27,28,35,21,9,4,219,319,323,223,272,407,432,303,227,97,2612,238,141,108,131,122,100,58,37,10,945,11,3,3,9,12,8,3,0,0,49,5920,4189,3435,4188,4695,4363,3082,2087,898,32862,94,72,164,63,26,16,6,3,0,450,54,35,79,43,15,3,3,0,0,237,5,3,3,3,3,6,3,4,0,26,0,0,0,3,0,0,0,0,0,5,12,16,34,9,0,0,3,0,0,74,13,17,36,24,22,11,3,3,0,130,25,33,76,32,23,9,6,3,0,210,2310,1918,1625,1223,1116,809,335,167,73,9579
LGA10130,7,7,9,4,4,6,0,0,0,41,13,15,6,23,20,7,12,14,0,105,0,0,3,3,0,0,0,0,0,10,8,7,5,0,9,3,3,0,0,35,54,35,22,31,41,21,15,12,0,233,140,160,86,158,264,267,219,184,68,1551,42,32,12,34,30,31,16,12,3,208,56,26,18,26,16,25,11,5,0,181,161,168,66,96,196,171,127,76,40,1109,101,94,47,54,73,68,41,21,4,505,8,9,0,3,6,7,7,0,0,34,3492,3154,1708,2141,2751,2397,1821,1142,469,19080,18,17,26,24,13,3,4,0,0,103,105,38,125,54,24,0,0,0,0,356,0,3,3,0,0,3,6,0,0,17,0,0,0,0,0,0,0,0,0,6,10,3,3,3,0,0,0,0,0,15,8,19,18,18,31,17,0,3,3,123,16,21,19,26,27,20,3,3,3,142,1258,1474,759,573,683,595,285,106,49,5778
LGA10250,25,3,0,8,8,4,4,6,5,68,18,18,12,19,20,21,20,27,7,165,0,0,0,0,0,0,0,0,0,0,7,0,7,6,6,6,0,7,3,46,107,71,61,47,78,61,24,14,6,474,170,96,93,209,322,402,328,292,148,2054,14,22,6,20,10,26,30,11,7,151,36,19,20,23,40,19,40,46,32,262,205,146,115,194,308,414,341,290,165,2182,210,134,104,124,148,138,82,34,13,988,8,5,14,8,7,8,3,3,4,60,4188,2459,1832,3169,3968,4188,3310,2464,1150,26728,6,3,14,4,6,6,3,0,0,49,13,3,9,8,7,0,0,0,0,39,8,3,3,4,10,9,10,3,3,52,6,0,3,3,0,3,0,0,0,21,0,3,0,0,0,4,3,0,0,11,19,21,23,33,30,30,4,3,0,156,27,25,24,34,32,36,9,3,0,190,2096,1128,1010,1196,1235,1092,494,213,85,8557
LGA10300,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0,0,0,22,25,12,3,16,48,38,32,18,5,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,3,11,22,28,12,9,0,104,19,4,5,13,11,9,5,0,0,63,0,0,0,0,0,3,0,0,0,3,324,162,148,217,289,260,159,111,35,1701,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,49,38,44,37,33,10,3,0,311
LGA10470,11,9,8,8,10,7,3,0,0,62,23,15,17,16,17,19,17,6,0,132,3,0,0,0,3,0,0,0,0,10,24,5,9,9,9,3,0,0,0,62,57,34,14,33,34,14,6,6,0,199,219,179,129,228,294,309,194,157,63,1764,28,12,16,17,19,27,15,6,3,139,8,10,3,5,6,11,7,5,0,61,231,232,168,199,288,288,224,118,49,1798,140,92,81,67,72,80,42,18,6,594,0,0,0,3,0,5,0,0,0,10,5621,4050,2880,3528,3854,3506,2425,1536,571,27983,25,7,13,18,9,5,0,0,0,78,33,15,19,22,7,9,3,0,0,104,0,3,0,0,0,6,0,0,0,10,3,0,0,3,0,3,0,0,0,13,0,3,3,0,0,0,0,0,0,6,19,21,19,21,23,16,9,0,0,121,21,25,31,24,21,15,8,0,0,139,1601,1405,886,751,691,525,239,92,24,6221
LGA10550,17,9,10,5,16,3,9,0,0,56,18,10,6,9,51,40,45,37,6,216,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,3,8,5,0,34,14,14,3,6,19,12,4,0,3,74,37,45,26,81,177,251,266,133,55,1064,26,8,4,14,21,19,14,6,3,116,31,16,13,17,13,16,10,6,3,125,139,109,50,105,237,316,283,162,61,1469,136,71,41,80,98,107,73,26,7,640,0,0,0,3,4,7,8,6,0,27,2835,1742,1198,2092,3134,3490,2929,1681,591,19687,5,5,3,6,12,6,0,0,0,40,3,3,6,8,11,3,0,0,0,28,0,3,0,3,7,3,7,3,0,24,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,10,19,24,25,33,11,3,0,141,13,10,19,24,29,37,11,3,0,150,2071,1053,800,998,1357,1377,641,246,111,8657
LGA10600,0,0,0,0,0,0,0,0,0,7,0,0,0,5,10,4,5,11,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,14,18,15,10,7,36,15,10,5,0,119,37,20,12,41,84,79,71,37,17,391,5,0,0,3,3,10,3,3,0,21,8,4,3,3,9,0,15,4,0,41,114,59,45,78,127,156,136,86,46,846,81,48,20,38,62,57,29,11,4,347,9,4,3,4,6,9,3,3,0,43,1054,591,382,770,1127,1136,1005,621,258,6946,4,0,7,3,0,5,3,0,0,16,0,0,0,3,3,0,0,0,0,8,11,5,3,8,7,0,0,0,0,34,7,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,28,11,19,32,26,21,3,0,0,133,28,14,19,32,26,17,3,0,0,139,1075,450,341,485,643,594,272,110,39,4015
LGA10650,13,12,8,4,11,4,11,0,0,63,3,4,4,3,8,7,5,5,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,3,5,5,6,0,0,39,80,38,50,61,84,154,120,86,50,725,3,3,0,3,0,3,3,0,0,18,3,0,3,3,0,0,0,0,0,9,82,60,58,84,116,134,142,68,31,788,7,16,4,10,12,11,7,3,0,69,0,0,0,0,3,0,3,0,0,3,905,522,448,582,814,1001,895,538,207,5911,0,0,3,0,0,0,3,0,0,3,0,0,3,5,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,3,0,0,0,0,0,19,7,5,3,3,0,0,0,0,0,26,350,200,142,180,158,182,121,48,21,1404
LGA10750,780,385,352,290,231,150,47,15,6,2248,85,73,86,101,114,131,114,107,48,861,722,493,537,393,428,387,227,101,24,3310,504,367,240,274,293,193,64,37,8,1981,1759,1194,1036,963,930,503,172,51,18,6628,1110,729,714,966,1105,956,667,335,107,6693,105,59,66,89,89,107,70,34,8,639,458,248,236,262,204,195,107,57,46,1816,1825,1288,1039,1122,1140,939,544,265,82,8242,2058,1255,1093,1082,957,529,176,100,29,7281,180,130,109,120,117,88,29,15,8,800,44808,27604,27102,29386,27426,22778,12929,6830,2372,201230,4406,1904,4146,3388,1967,994,413,150,22,17398,5354,2687,3269,2596,1964,1027,463,123,26,17502,26,19,13,27,22,22,19,3,4,148,3,13,0,3,0,0,0,0,0,22,1659,1005,2102,1032,524,295,139,63,7,6821,177,179,225,200,198,106,46,12,0,1145,1836,1197,2332,1234,721,398,186,72,11,7990,9388,5455,5824,4837,3600,2142,877,375,100,32608
LGA10800,0,0,0,0,0,3,0,0,0,5,28,11,8,16,12,12,16,9,3,124,0,0,0,0,0,0,0,0,0,0,12,0,0,3,4,3,3,0,3,29,6,0,3,3,3,5,4,3,0,24,56,25,40,63,70,86,59,61,25,484,10,5,3,3,3,9,3,8,0,44,0,0,0,0,0,0,0,0,0,3,73,34,54,49,95,72,42,39,24,483,56,18,20,22,29,30,24,9,3,202,0,0,0,0,0,0,0,3,0,4,1010,466,441,593,722,657,510,371,144,4907,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,7,0,3,0,3,0,3,0,0,0,7,210,87,95,71,68,55,15,18,0,616
