LGA_CODE_2016,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_T,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_T_T,C11_SDRTHT_0b_NPFH_2,C11_SDRTHT_0b_NPFH_3,C11_SDRTHT_0b_NPFH_4,C11_SDRTHT_0b_NPFH_5,C11_SDRTHT_0b_NPFH_6_mor,C11_SDRTHT_0bTotal,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_T,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_T_T,C11_FUA_0b_NPFH_2,C11_FUA_0b_NPFH_3,C11_FUA_0b_NPFH_4,C11_FUA_0b_NPFH_5,C11_FUA_0b_NPFH_6_mor,C11_FUA_0bTotal,C11_FUA_1b_NPFH_2,C11_FUA_1b_NPFH_3,C11_FUA_1b_NPFH_4,C11_FUA_1b_NPFH_5,C11_FUA_1b_NPFH_6_mor,C11_FUA_1b_Tot,C11_FUA_2b_NPFH_2,C11_FUA_2b_NPFH_3,C11_FUA_2b_NPFH_4,C11_FUA_2b_NPFH_5,C11_FUA_2b_NPFH_6_mor,C11_FUA_2b_Tot,C11_FUA_3b_NPFH_2,C11_FUA_3b_NPFH_3,C11_FUA_3b_NPFH_4,C11_FUA_3b_NPFH_5,C11_FUA_3b_NPFH_6_mor,C11_FUA_3b_Tot,C11_FUA_4mb_NPFH_2,C11_FUA_4mb_NPFH_3,C11_FUA_4mb_NPFH_4,C11_FUA_4mb_NPFH_5,C11_FUA_4mb_NPFH_6_mor,C11_FUA_4mb_Tot,C11_FUA_NB_NS_NPFH_2,C11_FUA_NB_NS_NPFH_3,C11_FUA_NB_NS_NPFH_4,C11_FUA_NB_NS_NPFH_5,C11_FUA_NB_NS_NPFH_6_mor,C11_FUA_NB_NS_T,C11_FUA_Tot_NPFH_2,C11_FUA_Tot_NPFH_3,C11_FUA_Tot_NPFH_4,C11_FUA_Tot_NPFH_5,C11_FUA_Tot_NPFH_6_mor,C11_FUA_T_T,C11_OD_0b_NPFH_2,C11_OD_0b_NPFH_3,C11_OD_0b_NPFH_4,C11_OD_0b_NPFH_5,C11_OD_0b_NPFH_6_mor,C11_OD_0bTotal,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_T,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_T_T,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_T,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_T_T,C16_SH_0b_NPFH_2,C16_SH_0b_NPFH_3,C16_SH_0b_NPFH_4,C16_SH_0b_NPFH_5,C16_SH_0b_NPFH_6_mor,C16_SH_0bTotal,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_T,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5
LGA10050,1059,284,102,5647,1330,859,1181,689,290,4344,59,22,11,5,4,101,4886,2236,2290,985,407,10808,0,0,0,0,0,0,4,0,0,0,0,4,190,28,12,0,0,232,92,49,19,3,0,161,0,3,0,0,0,7,0,0,0,0,0,3,295,81,30,7,0,414,6,0,0,0,0,8,42,3,0,0,0,48,476,131,44,7,0,657,102,49,26,8,3,190,4,3,3,0,3,15,18,3,0,0,0,18,644,198,80,17,6,943,0,0,0,0,0,4,7,0,0,0,0,7,8,4,0,0,0,7,6,3,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,22,6,3,3,0,35,0,3,3,0,0,10,5847,2526,2402,1013,408,12204,7,0,0,0,0,9,25,3,5,0,0,35,612,93,42,3,0,754,2854,1237,973,265,78,5401,1743,962,1331,720,307,5064,60,32,21,10,12,132,5300,2328,2368,995
LGA10130,534,181,66,2964,979,485,630,417,222,2733,34,10,7,3,6,65,2933,1229,1217,617,298,6295,0,0,0,0,0,0,7,0,0,0,0,3,77,17,9,3,0,104,36,11,9,3,0,64,10,8,0,0,0,20,0,0,0,0,0,0,126,39,20,9,3,192,0,0,0,0,0,0,24,3,0,0,0,29,136,39,23,8,0,209,30,24,18,3,0,71,4,0,0,3,0,10,3,0,0,0,0,6,199,69,37,13,0,314,3,0,0,0,0,3,3,0,0,0,0,3,6,4,0,0,0,8,7,0,0,0,0,7,0,0,0,4,0,6,0,0,0,0,0,0,18,6,5,3,0,28,0,0,0,0,0,3,3274,1336,1276,639,304,6828,0,0,0,0,0,7,37,3,4,0,3,51,344,72,37,9,0,469,1520,608,472,148,57,2810,1061,525,634,393,208,2819,45,15,9,10,4,81,3016,1221,1161,556
LGA10250,729,199,69,4043,1511,720,932,507,259,3939,34,13,6,4,3,66,4212,1653,1699,734,336,8631,0,0,0,0,0,0,9,0,0,0,0,8,284,72,24,0,0,383,352,171,86,24,7,639,19,12,17,5,4,62,7,0,0,0,0,10,672,248,131,36,12,1099,0,0,0,0,0,0,22,0,0,0,0,23,343,65,11,6,0,424,209,87,50,11,4,366,6,5,5,4,0,21,3,0,0,0,0,10,583,160,69,25,3,834,3,0,0,0,0,3,35,0,0,0,0,35,78,10,0,0,0,100,43,14,3,0,0,57,3,0,3,0,0,8,3,0,0,0,0,6,162,29,12,0,0,205,3,0,0,0,0,3,5631,2087,1913,792,352,10777,0,3,4,0,3,8,37,13,4,0,0,52,410,94,35,8,0,549,2141,781,664,181,48,3815,1627,762,983,533,253,4161,66,29,9,5,3,120,4287,1677,1702,728
LGA10300,50,32,8,314,80,36,45,21,20,195,4,3,0,0,0,5,285,110,101,51,25,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,291,115,101,51,29,592,0,0,0,0,0,0,0,0,0,0,0,0,26,14,3,5,0,52,140,52,37,31,13,269,84,37,27,39,27,211,3,0,0,0,0,9,253,101,77,70
LGA10470,701,228,75,3702,1535,841,1084,633,342,4439,46,17,9,4,3,80,3888,1789,1839,876,440,8830,0,0,0,0,0,0,9,3,0,0,0,13,112,34,3,0,0,159,121,52,25,8,3,207,18,3,17,8,5,56,11,0,3,0,0,9,275,98,51,19,7,439,0,0,0,0,0,0,14,0,0,0,0,13,127,20,12,4,0,165,26,16,4,3,0,57,3,0,0,4,0,8,0,0,0,0,0,0,176,39,18,7,0,243,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,5,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,25,12,0,0,3,0,15,4364,1929,1909,906,446,9549,7,3,3,0,0,9,41,9,3,0,0,55,347,84,37,5,5,482,1788,830,631,178,59,3489,1694,937,1264,720,370,4975,59,23,17,4,5,115,3930,1884,1956,908
LGA10550,604,200,65,4005,1198,515,563,378,189,2836,44,16,10,7,0,75,4313,1463,1276,608,257,7915,0,0,0,0,0,0,13,3,0,0,0,21,121,23,4,0,0,150,148,16,20,3,0,191,34,11,5,5,0,57,3,0,0,0,0,3,327,54,32,11,3,425,0,0,0,0,0,0,6,0,0,0,0,7,180,35,15,3,0,229,75,28,21,4,0,136,18,3,10,0,0,39,3,0,0,0,0,3,285,71,49,8,3,413,4,0,3,0,0,10,22,0,0,0,0,25,21,9,3,0,0,38,22,6,3,0,0,34,4,0,0,0,0,13,3,0,0,0,0,4,82,16,8,8,0,117,8,0,0,0,0,12,5011,1605,1369,629,264,8876,8,3,3,0,0,19,87,11,12,0,0,121,606,125,67,14,7,818,2367,727,576,176,65,3912,1349,522,564,334,202,2967,75,16,17,11,8,129,4490,1417,1241,536
LGA10600,278,79,32,1649,441,221,259,163,86,1157,16,5,7,0,0,29,1702,640,590,258,114,3310,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,19,10,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,20,12,3,0,0,38,0,0,0,0,0,3,3,0,0,0,0,3,30,4,0,0,0,34,3,0,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0,0,38,5,3,4,0,47,3,0,0,0,0,3,11,0,0,0,0,11,22,7,0,0,0,34,6,3,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,52,10,5,0,0,72,0,0,0,0,0,4,1815,662,602,266,114,3462,3,0,3,0,0,5,36,9,12,6,0,60,286,60,40,12,7,399,831,318,270,77,24,1525,463,209,234,126,79,1109,31,12,4,4,3,52,1651,617,550,224
LGA10650,145,53,16,1085,302,114,158,103,67,743,22,3,3,3,0,31,1165,306,310,154,86,2020,0,0,0,0,0,0,3,0,0,0,0,3,22,3,0,0,0,24,12,5,3,0,0,13,0,3,0,0,0,7,0,0,0,0,0,0,34,6,3,0,3,46,0,0,0,0,0,0,4,0,0,0,0,4,22,3,0,0,0,23,11,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,40,12,0,0,0,50,0,0,0,0,0,0,7,0,0,0,0,7,16,0,0,0,0,14,7,0,0,0,0,12,3,0,0,0,0,6,0,0,0,0,0,0,31,7,3,0,3,39,4,0,3,0,0,3,1267,336,314,162,91,2165,3,0,0,0,0,4,11,0,0,0,0,9,150,18,11,0,4,187,637,152,134,58,20,1004,317,134,155,103,59,764,18,3,5,0,0,22,1134,309,304,160
LGA10750,7846,3144,1699,32310,5762,5907,8910,5136,3984,29701,281,175,164,101,123,846,18791,14910,17256,8526,5860,65335,9,3,3,0,3,19,67,18,3,5,7,95,495,274,129,34,20,956,1615,1538,1301,570,346,5383,270,357,493,279,265,1671,38,25,19,19,10,108,2501,2213,1956,912,654,8228,11,0,5,0,0,19,117,17,8,0,0,143,966,666,391,110,45,2181,58,77,67,30,25,263,11,3,12,8,3,33,34,19,10,0,4,70,1194,790,487,147,83,2703,0,0,0,0,0,0,20,6,0,0,0,26,46,14,11,0,0,72,15,13,10,3,0,38,0,4,0,5,3,12,3,3,0,0,0,5,82,40,23,8,3,164,16,10,9,6,0,47,22576,17965,19732,9599,6602,76471,17,12,12,13,21,76,147,72,57,16,19,311,1269,530,314,103,59,2268,10168,7629,7134,2919,1655,29515,6036,6711,10007,5597,4682,33035,365,275,208,156,188,1196,18003,15229,17737,8807
LGA10800,115,48,23,729,272,103,114,99,84,672,9,3,0,0,0,13,792,254,234,148,104,1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0,0,5,0,3,0,0,0,5,0,0,0,0,0,0,4,3,3,3,0,16,0,0,0,0,0,0,816,263,236,154,104,1569,0,0,0,0,0,0,3,0,0,0,0,7,84,27,6,0,0,119,401,113,81,41,20,653,253,101,114,116,59,645,23,3,0,0,0,26,773,238,204,159
