LGA_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
LGA13850,8,4,0,0,13,16,4,0,0,18,9,0,0,0,10,3,3,0,0,8,7,3,0,0,6,0,3,0,0,3,3,0,0,0,4,0,0,0,0,0,5,3,0,0,10,0,0,3,0,3,84,26,14,5,130
LGA13910,52,27,19,11,102,58,20,10,10,93,78,33,11,5,133,29,12,3,4,52,14,9,8,0,29,0,0,3,0,3,5,3,0,0,8,6,0,0,0,6,34,31,17,4,83,11,0,0,3,19,431,218,112,59,816
LGA14000,178,72,12,5,266,198,75,26,8,302,568,236,54,9,862,392,198,63,9,660,263,167,25,14,470,153,79,25,7,259,115,111,28,11,263,73,54,20,7,155,218,180,62,12,476,33,16,0,0,49,2597,1410,381,95,4486
LGA14100,23,5,0,0,33,20,9,4,0,28,29,18,9,0,50,19,20,0,0,40,12,14,3,0,34,19,4,0,0,23,21,15,3,0,41,13,8,8,0,27,15,14,4,0,41,7,4,3,0,12,221,124,33,3,378
LGA14170,318,84,16,13,431,367,97,20,13,487,786,269,46,9,1112,529,210,36,10,786,404,190,25,8,622,199,69,12,3,283,194,135,25,4,364,128,71,15,3,220,306,197,52,13,567,62,24,11,7,92,4076,1616,325,91,6109
LGA14200,63,22,22,3,103,53,23,11,4,90,73,26,7,12,119,23,14,7,4,47,12,10,0,0,19,3,0,0,0,6,0,0,0,0,5,0,0,0,0,0,34,19,13,8,73,19,5,3,3,30,434,225,95,54,811
LGA14300,26,3,7,0,35,17,10,0,0,29,22,10,4,3,44,11,5,3,0,18,4,3,0,0,8,3,0,0,0,7,0,3,0,0,4,0,0,0,0,0,16,6,7,3,29,3,0,0,0,3,127,78,24,13,243
LGA14350,112,57,25,14,205,128,51,14,22,218,168,79,27,21,292,65,33,9,13,118,26,6,10,0,46,7,3,0,0,14,5,4,3,0,18,0,0,0,0,0,77,54,22,21,170,38,15,9,3,62,906,447,180,124,1661
LGA14400,46,8,6,3,69,44,24,9,4,77,90,36,4,3,130,55,30,15,0,95,29,18,3,0,47,14,11,0,0,23,3,5,0,0,12,5,4,0,0,10,36,30,11,0,80,5,0,0,0,9,399,220,63,17,694
LGA14500,89,49,10,3,154,132,59,13,3,210,331,154,33,12,528,253,139,40,3,434,198,107,20,6,337,112,52,15,0,183,138,109,33,3,280,114,77,22,6,220,151,137,50,14,356,18,8,0,0,27,1885,1080,290,72,3323
