LGA_CODE_2016,C06_1PF_U_N,C06_1PF_U_1_149,C06_1PF_U_150_299,C06_1PF_U_300_399,C06_1PF_U_400_499,C06_1PF_U_500_649,C06_1PF_U_650_799,C06_1PF_U_800_999,C06_1PF_U_1000_1499,C06_1PF_U_1500_1999,C06_1PF_U_2000_2499,C06_1PF_U_2500_2999,C06_1PF_U_3000_3999,C06_1PF_U_4000m,C06_1PF_U_Ns,C06_1PF_U_T,C06_1PF_N_lf_Fi_N,C06_1PF_N_lf_Fi_1_149,C06_1PF_N_lf_Fi_150_299,C06_1PF_N_lf_Fi_300_399,C06_1PF_N_lf_Fi_400_499,C06_1PF_N_lf_Fi_500_649,C06_1PF_N_lf_Fi_650_799,C06_1PF_N_lf_Fi_800_999,C06_1PF_N_lf_Fi_1000_1499,C06_1PF_N_lf_Fi_1500_1999,C06_1PF_N_lf_Fi_2000_2499,C06_1PF_N_lf_Fi_2500_2999,C06_1PF_N_lf_Fi_3000_3999,C06_1PF_N_lf_Fi_4000m,C06_1PF_N_lf_Fi_Ns,C06_1PF_N_lf_T,C06_1PF_LFns_N,C06_1PF_LFns_1_149,C06_1PF_LFns_150_299,C06_1PF_LFns_300_399,C06_1PF_LFns_400_499,C06_1PF_LFns_500_649,C06_1PF_LFns_650_799,C06_1PF_LFns_800_999,C06_1PF_LFns_1000_1499,C06_1PF_LFns_1500_1999,C06_1PF_LFns_2000_2499,C06_1PF_LFns_2500_2999,C06_1PF_LFns_3000_3999,C06_1PF_LFns_4000m,C06_1PF_LFns_Ns,C06_1PF_LF_NS_T,C06_1PF_TFI_N,C06_1PF_TFI_1_149,C06_1PF_TFI_150_299,C06_1PF_TFI_300_399,C06_1PF_TFI_400_499,C06_1PF_TFI_500_649,C06_1PF_TFI_650_799,C06_1PF_TFI_800_999,C06_1PF_TFI_1000_1499,C06_1PF_TFI_1500_1999,C06_1PF_TFI_2000_2499,C06_1PF_TFI_2500_2999,C06_1PF_TFI_3000_3999,C06_1PF_TFI_4000m,C06_1PF_TFI_Ns,C06_1PF_TFI_T,C06_TFI_N,C06_TFI_1_149,C06_TFI_150_299,C06_TFI_300_399,C06_TFI_400_499,C06_TFI_500_649,C06_TFI_650_799,C06_TFI_800_999,C06_TFI_1000_1499,C06_TFI_1500_1999,C06_TFI_2000_2499,C06_TFI_2500_2999,C06_TFI_3000_3999,C06_TFI_4000m,C06_TFI_Ns,C06_T_T,C11_CFNC_BF_N,C11_CFNC_BF_1_149,C11_CFNC_BF_150_299,C11_CFNC_BF_300_399,C11_CFNC_BF_400_499,C11_CFNC_BF_500_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_999,C11_CFNC_BF_1000_1499,C11_CFNC_BF_1500_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000m,C11_CFNC_BF_Ns,C11_CFNC_BF_T,C11_CFNC_BPT_N,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_299,C11_CFNC_BPT_300_399,C11_CFNC_BPT_400_499,C11_CFNC_BPT_500_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_999,C11_CFNC_BPT_1000_1499,C11_CFNC_BPT_1500_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000m,C11_CFNC_BPT_Ns,C11_CFNC_BPT_T,C11_CFNC_1F1P_N,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_299,C11_CFNC_1F1P_300_399,C11_CFNC_1F1P_400_499,C11_CFNC_1F1P_500_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_999,C11_CFNC_1F1P_1000_1499,C11_CFNC_1F1P_1500_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000m,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_T,C11_CFNC_1E1A_N,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_299,C11_CFNC_1E1A_300_399,C11_CFNC_1E1A_400_499,C11_CFNC_1E1A_500_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_999,C11_CFNC_1E1A_1000_1499,C11_CFNC_1E1A_1500_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000m,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_T,C11_CFNC_1F1NW_N,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_299,C11_CFNC_1F1NW_300_399,C11_CFNC_1F1NW_400_499,C11_CFNC_1F1NW_500_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_999,C11_CFNC_1F1NW_1000_1499,C11_CFNC_1F1NW_1500_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000m,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_T,C11_CFNC_1P1NW_N,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_299,C11_CFNC_1P1NW_300_399,C11_CFNC_1P1NW_400_499,C11_CFNC_1P1NW_500_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_999,C11_CFNC_1P1NW_1000_1499,C11_CFNC_1P1NW_1500_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000m,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_T,C11_CFNC_1A1NW_N,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_299,C11_CFNC_1A1NW_300_399,C11_CFNC_1A1NW_400_499,C11_CFNC_1A1NW_500_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_999,C11_CFNC_1A1NW_1000_1499,C11_CFNC_1A1NW_1500_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000m,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_T,C11_CFNC_BA_N,C11_CFNC_BA_1_149,C11_CFNC_BA_150_299,C11_CFNC_BA_300_399,C11_CFNC_BA_400_499,C11_CFNC_BA_500_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_999
LGA10050,3,9,29,43,3,50,9,3,0,0,0,0,0,0,17,162,10,11,90,203,50,211,44,50,57,20,0,9,0,0,77,837,0,0,0,7,0,3,0,0,5,0,0,0,0,0,29,39,13,24,146,336,60,462,226,187,304,85,13,19,4,0,238,2124,55,87,196,386,719,1181,674,775,2874,1582,824,539,316,109,1341,11659,0,0,0,5,0,3,9,36,176,278,304,113,131,41,16,1109,0,0,3,3,3,12,23,42,54,23,24,3,6,3,8,194,0,0,0,0,0,9,12,54,248,178,109,40,70,21,16,771,0,0,0,0,0,3,5,10,46,27,25,10,4,3,13,139,0,0,3,4,19,11,67,63,122,81,23,35,16,5,16,458,0,0,4,7,14,53,62,51,36,15,14,3,4,0,3,277,0,0,0,3,3,5,9,10,15,11,4,4,0,6,5,71,0,0,0,0,0,0,5,3
LGA10130,0,0,9,26,3,20,6,5,0,0,0,0,0,0,13,90,9,14,60,90,15,121,26,38,38,6,0,7,0,0,46,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,14,22,85,157,26,261,130,96,153,33,5,12,3,0,144,1140,50,79,126,208,423,757,417,441,1579,709,409,283,183,53,825,6547,4,0,3,3,3,8,12,26,119,134,124,45,64,30,14,595,0,0,3,0,0,16,14,32,22,14,9,8,11,0,4,137,3,0,0,0,0,8,25,43,125,85,57,26,36,5,4,435,4,0,0,0,0,3,4,6,19,6,11,3,3,0,3,69,0,0,7,0,6,12,42,32,55,41,20,26,14,0,6,259,4,3,7,11,17,40,40,34,34,13,11,9,0,3,3,217,0,0,0,0,3,3,3,9,7,3,0,3,0,0,0,39,0,0,0,0,0,0,0,4
LGA10250,0,3,18,59,4,42,6,10,3,0,0,0,0,0,7,160,10,15,65,119,32,176,32,42,59,13,0,3,4,0,71,630,0,0,4,3,0,3,0,0,0,0,0,0,0,0,19,34,9,28,114,285,43,452,191,156,228,56,4,13,9,0,217,1812,62,107,161,355,816,1512,686,795,2417,1073,567,376,266,87,1201,10477,9,0,3,3,0,10,25,51,119,124,163,56,83,37,7,694,3,0,0,3,4,15,13,45,67,31,28,4,14,11,4,242,3,0,3,0,5,13,13,62,173,148,86,45,56,12,3,617,0,0,0,0,0,3,4,8,22,28,27,9,15,0,12,127,0,0,4,0,6,13,55,40,96,61,25,32,12,3,14,367,0,0,4,7,17,51,72,69,67,24,13,5,3,0,10,338,0,0,0,0,0,3,14,10,7,9,8,12,0,0,0,65,0,0,0,0,0,0,4,3
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,12,0,9,5,0,0,0,0,0,0,0,7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15,5,20,12,4,10,0,0,0,0,0,16,87,6,13,14,27,33,84,37,36,160,54,26,11,3,6,118,630,0,0,0,0,0,0,3,13,19,10,9,5,0,3,3,58,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,11,0,0,0,0,0,5,0,8,14,17,3,0,0,0,3,45,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,14,0,0,0,0,0,0,6,7,11,4,0,0,0,0,6,29,0,0,0,3,0,0,7,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0
LGA10470,3,0,20,33,0,39,7,3,3,0,0,0,0,0,8,111,7,9,45,114,34,138,36,49,51,5,0,0,0,0,78,573,0,0,0,3,0,3,0,0,0,0,0,0,0,0,29,32,11,19,84,196,47,319,154,131,215,56,9,6,0,0,195,1460,59,94,128,249,542,875,480,569,2049,1201,704,488,291,90,1042,8850,6,0,0,6,0,6,8,25,119,158,239,114,144,44,9,869,0,0,0,0,0,15,15,23,44,20,20,5,4,3,4,170,3,0,0,4,3,5,18,31,140,146,111,47,47,19,11,579,0,0,0,0,0,4,6,6,21,15,18,5,7,0,3,95,0,0,0,0,7,9,48,54,102,68,24,46,7,5,17,392,0,0,3,5,15,45,46,42,44,23,5,5,4,0,3,249,0,0,0,0,0,7,4,13,6,6,4,3,0,0,0,51,0,0,0,0,0,0,0,0
LGA10550,0,6,17,27,0,28,10,0,0,0,0,0,0,0,12,104,7,9,53,113,23,145,31,29,26,5,0,3,0,0,57,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,5,19,91,247,29,346,112,89,109,19,5,10,0,0,168,1256,59,107,174,352,816,1333,582,689,2034,725,342,199,93,25,1073,8603,5,0,9,3,3,14,17,54,124,118,83,41,48,12,13,549,0,0,3,0,7,21,31,65,66,37,11,0,3,4,3,257,0,0,8,3,3,11,32,57,141,132,69,33,26,5,8,525,0,0,3,0,0,3,6,10,33,20,20,3,7,0,7,105,0,0,10,3,12,16,43,66,99,49,12,29,7,0,5,346,0,0,4,9,19,78,56,71,61,37,17,11,3,0,7,377,0,0,3,0,3,9,6,9,15,14,5,4,4,0,4,84,0,0,0,0,0,4,7,5
LGA10600,0,4,14,27,0,14,0,3,0,0,0,0,0,0,8,70,4,3,31,51,21,79,14,12,13,0,0,0,0,0,25,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,4,10,57,119,26,193,53,31,56,15,0,5,0,0,100,661,27,44,89,153,389,586,227,249,719,266,132,48,32,13,450,3421,5,0,0,0,0,8,8,16,37,49,31,15,20,7,4,188,0,0,0,4,0,11,8,20,24,5,3,0,3,3,0,92,0,0,0,0,4,10,4,16,45,39,26,8,11,0,8,177,0,0,0,0,0,3,0,0,7,3,0,0,3,0,3,27,0,0,0,0,3,3,12,23,31,19,5,4,3,0,7,118,0,0,0,0,14,25,27,18,36,8,3,0,0,0,3,136,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0
LGA10650,0,0,7,4,0,8,0,0,0,0,0,0,0,0,0,18,0,3,10,20,7,25,8,6,8,0,0,0,0,0,15,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,9,25,45,7,64,27,22,26,3,3,0,0,0,40,269,23,28,50,59,225,308,115,164,569,178,104,39,22,15,306,2207,3,0,3,0,0,4,10,12,37,38,25,7,11,5,0,164,0,0,0,0,0,4,5,12,14,6,0,0,0,0,0,54,3,0,0,0,0,8,0,15,43,32,17,8,5,3,3,137,0,0,0,0,0,0,0,3,4,10,3,0,0,0,0,23,3,0,4,0,0,9,15,15,23,10,0,0,0,0,6,93,0,0,5,7,0,20,19,14,16,4,0,0,0,0,3,90,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,23,0,0,3,0,0,4,4,3
LGA10750,35,38,112,224,37,214,49,43,69,14,0,4,0,0,90,935,107,160,716,1267,344,1545,418,420,720,206,61,47,21,13,759,6805,13,5,16,16,11,27,8,13,12,4,0,0,3,3,291,411,172,237,965,1867,423,2714,1287,1151,2209,805,310,173,68,20,1812,14223,681,833,1328,2302,3789,6175,3830,4536,15551,9897,6423,3963,2265,623,8681,70880,17,0,5,3,5,7,29,102,658,1239,1748,814,954,282,91,5957,3,0,13,10,3,33,71,110,141,74,43,20,17,4,14,548,6,0,0,3,7,14,55,156,672,549,400,140,171,29,27,2244,3,0,0,4,0,8,18,27,83,91,96,44,47,23,20,464,22,3,5,19,97,62,343,416,873,408,108,211,46,9,100,2722,10,11,51,67,86,144,174,141,158,52,20,14,8,3,22,977,3,0,4,7,11,27,34,36,54,22,11,17,4,0,41,274,4,0,3,0,0,4,9,8
LGA10800,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,11,0,26,3,3,0,0,0,3,0,0,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,20,33,5,46,15,18,17,3,0,5,0,0,18,193,38,30,33,62,165,216,92,102,390,158,61,52,23,6,220,1646,9,0,3,0,0,4,9,17,28,23,25,14,18,5,9,162,0,0,0,0,0,0,8,5,9,4,0,0,0,0,0,33,3,0,0,3,0,3,11,17,35,15,9,3,0,3,3,112,0,0,0,0,0,0,0,3,6,6,0,0,0,0,0,17,0,0,0,0,5,0,10,19,17,3,8,8,4,0,0,70,0,0,0,4,6,12,9,3,3,3,0,0,0,0,3,50,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3
