LGA_CODE_2016,C16_CF_1F1NW_N,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_299,C16_CF_1F1NW_300_399,C16_CF_1F1NW_400_499,C16_CF_1F1NW_500_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_999,C16_CF_1F1NW_1000_1499,C16_CF_1F1NW_1500_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000mo,C16_CF_1F1NW_Ns,C16_CF_1F1NW_T,C16_CF_1P1NW_N,C16_CF_1P1NW_1_149,C16_CF_1P1NW_150_299,C16_CF_1P1NW_300_399,C16_CF_1P1NW_400_499,C16_CF_1P1NW_500_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_999,C16_CF_1P1NW_1000_1499,C16_CF_1P1NW_1500_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000_mr,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_N,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_299,C16_CF_1A1NW_300_399,C16_CF_1A1NW_400_499,C16_CF_1A1NW_500_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_999,C16_CF_1A1NW_1000_1499,C16_CF_1A1NW_1500_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000m,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_N,C16_CF_BA_1_149,C16_CF_BA_150_299,C16_CF_BA_300_399,C16_CF_BA_400_499,C16_CF_BA_500_649,C16_CF_BA_650_799,C16_CF_BA_800_999,C16_CF_BA_1000_1499,C16_CF_BA_1500_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000_more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_N,C16_CF_BNW_1_149,C16_CF_BNW_150_299,C16_CF_BNW_300_399,C16_CF_BNW_400_499,C16_CF_BNW_500_649,C16_CF_BNW_650_799,C16_CF_BNW_800_999,C16_CF_BNW_1000_1499,C16_CF_BNW_1500_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000_more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_N,C16_CF_LFns_1_149,C16_CF_LFns_150_299,C16_CF_LFns_300_399,C16_CF_LFns_400_499,C16_CF_LFns_500_649,C16_CF_LFns_650_799,C16_CF_LFns_800_999,C16_CF_LFns_1000_1499,C16_CF_LFns_1500_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000_more,C16_CF_LFns_Ns,C16_CF_LFns_T,C16_C_f_c_T_Fi_N,C16_C_f_c_T_Fi_1_149,C16_C_f_c_T_Fi_150_299,C16_C_f_c_T_Fi_300_399,C16_C_f_c_T_Fi_400_499,C16_C_f_c_T_Fi_500_649,C16_CF_c_T_Fi_650_799,C16_CF_c_T_Fi_800_999,C16_CF_c_T_Fi_1000_1499,C16_CF_c_T_Fi_1500_1999,C16_CF_c_T_Fi_2000_2499,C16_CF_c_T_Fi_2500_2999,C16_CF_c_T_Fi_3000_3999,C16_CF_c_T_Fi_4000_more,C16_C_f_with_c_TFI_Ns,C16_C_f_with_c_T_T,C16_1PF_F_N,C16_1PF_F_1_149,C16_1PF_F_150_299,C16_1PF_F_300_399,C16_1PF_F_400_499,C16_1PF_F_500_649,C16_1PF_F_650_799,C16_1PF_F_800_999,C16_1PF_F_1000_1499,C16_1PF_F_1500_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000_more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_N,C16_1PF_P_1_149,C16_1PF_P_150_299,C16_1PF_P_300_399,C16_1PF_P_400_499,C16_1PF_P_500_649,C16_1PF_P_650_799,C16_1PF_P_800_999,C16_1PF_P_1000_1499,C16_1PF_P_1500_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000_more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_N,C16_1PF_A_1_149,C16_1PF_A_150_299,C16_1PF_A_300_399,C16_1PF_A_400_499,C16_1PF_A_500_649,C16_1PF_A_650_799,C16_1PF_A_800_999,C16_1PF_A_1000_1499,C16_1PF_A_1500_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000_more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_N,C16_1PF_U_1_149,C16_1PF_U_150_299,C16_1PF_U_300_399,C16_1PF_U_400_499,C16_1PF_U_500_649,C16_1PF_U_650_799,C16_1PF_U_800_999,C16_1PF_U_1000_1499,C16_1PF_U_1500_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000_more,C16_1PF_U_Ns,C16_1PF_U_To,C16_1PF_N_lf_Fi_N,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_299,C16_1PF_N_lf_Fi_300_399,C16_1PF_N_lf_Fi_400_499,C16_1PF_N_lf_Fi_500_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_999,C16_1PF_N_lf_Fi_1000_1499,C16_1PF_N_lf_Fi_1500_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000_more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_N,C16_1PF_LFns_1_149,C16_1PF_LFns_150_299,C16_1PF_LFns_300_399,C16_1PF_LFns_400_499,C16_1PF_LFns_500_649,C16_1PF_lf_ns_Fi_650_799,C16_1PF_lf_ns_Fi_800_999
LGA10050,0,0,3,0,8,15,24,64,219,176,106,52,47,36,49,793,0,0,3,0,13,20,23,35,65,32,19,8,9,0,26,254,0,0,0,0,0,0,3,3,5,10,4,3,0,0,10,39,0,0,0,0,0,0,0,0,4,4,12,5,7,9,3,40,9,3,4,0,21,33,40,52,84,36,14,9,8,3,35,347,0,0,0,0,0,0,0,0,0,0,3,0,0,0,286,295,10,7,12,0,42,79,112,198,781,843,848,606,630,346,646,5160,0,0,0,3,3,8,50,69,149,123,64,22,23,10,73,603,0,4,10,28,49,81,76,78,111,37,13,7,3,0,38,535,0,0,3,3,0,11,6,10,16,13,3,0,0,0,10,80,3,3,13,22,37,25,19,16,19,3,0,0,0,0,15,171,22,12,46,51,105,137,123,107,120,43,19,9,4,5,78,862,0,0,0,0,0,0,0,0
LGA10130,0,0,0,0,0,5,17,31,121,87,55,15,35,17,27,414,0,3,0,0,3,3,11,20,33,23,10,3,3,0,5,132,0,0,0,0,0,3,3,3,7,9,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,3,0,3,6,0,3,27,10,0,3,0,16,17,39,28,55,18,9,3,12,0,26,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,179,12,7,11,0,22,40,88,117,433,448,362,252,304,197,399,2680,3,0,0,4,0,10,28,35,90,70,32,11,12,0,40,336,3,0,16,12,17,32,49,50,55,21,7,7,3,0,21,287,0,0,0,0,0,7,0,3,3,0,0,0,0,0,5,27,0,0,5,8,12,18,16,0,0,0,0,0,0,0,5,76,10,4,15,31,38,88,69,57,83,34,11,9,3,3,51,499,0,0,0,0,0,0,0,0
LGA10250,0,3,3,0,3,4,18,36,156,114,85,17,42,36,39,560,0,0,3,3,3,5,23,37,72,42,23,17,11,8,30,282,0,0,0,0,0,3,4,0,11,6,8,3,3,3,3,48,0,0,0,0,3,0,0,0,7,4,5,3,4,6,9,41,8,0,9,4,12,16,24,29,98,51,25,10,5,5,35,336,0,0,0,0,0,0,0,0,3,0,3,0,0,0,235,246,11,10,14,7,32,39,90,160,671,685,659,412,420,320,554,4083,0,0,0,0,5,10,29,50,147,101,57,19,18,3,63,508,0,3,10,11,45,82,107,67,100,31,13,0,7,4,45,537,0,0,0,0,3,11,6,4,9,8,0,0,0,0,8,51,0,3,9,15,13,16,11,7,8,0,0,0,0,0,7,89,14,4,25,35,56,81,95,87,140,37,22,5,4,4,73,682,0,0,0,0,0,0,0,0
LGA10300,0,0,0,0,0,4,4,3,12,10,7,0,3,3,4,46,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,0,3,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,14,4,0,0,0,0,3,4,15,43,44,29,26,12,13,43,236,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,18,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,4,4,3,3,0,0,0,0,0,9,34,0,0,0,0,0,0,0,0
LGA10470,0,0,0,0,0,10,10,50,155,141,106,41,34,37,50,646,0,0,0,0,6,7,13,32,43,17,13,8,8,6,22,166,0,0,0,0,3,0,6,5,9,5,9,4,0,0,3,45,0,0,0,0,0,0,0,0,3,5,3,9,7,0,6,36,10,3,3,5,11,23,34,35,78,29,8,3,5,7,34,286,0,0,0,0,0,0,0,0,3,0,0,0,0,0,237,246,11,7,9,5,24,47,73,161,596,617,698,557,611,328,563,4308,0,0,0,3,6,17,34,50,147,109,60,23,18,7,66,537,0,3,13,17,30,63,52,48,102,36,16,3,4,0,33,418,0,0,3,4,3,3,9,6,5,3,3,0,0,0,7,42,3,0,8,14,14,35,16,9,6,0,0,0,0,0,6,100,11,9,42,42,66,105,104,85,94,40,10,0,0,3,81,697,0,0,0,0,0,0,0,0
LGA10550,0,0,0,3,0,8,15,39,147,73,53,16,16,11,32,407,0,3,0,3,3,12,21,30,51,19,8,3,3,5,26,186,0,0,0,0,0,3,3,3,5,7,3,0,3,3,3,33,0,0,0,0,0,0,0,3,4,5,4,3,0,3,6,35,3,0,0,0,15,19,30,29,72,31,17,7,3,7,41,274,0,0,0,0,0,0,0,0,4,0,0,0,0,0,217,223,9,7,7,3,28,57,85,149,587,482,441,228,215,122,477,2892,0,0,3,3,3,16,20,30,78,52,20,5,6,3,56,303,0,3,7,15,32,64,59,43,59,23,9,6,0,3,43,358,0,0,0,0,5,5,3,3,8,0,0,0,0,0,4,32,3,0,8,11,9,11,8,7,4,4,0,0,0,0,9,65,11,10,25,27,60,58,72,63,78,26,8,11,4,0,67,509,0,0,0,0,0,0,3,0
LGA10600,0,0,0,0,3,0,3,9,50,39,17,9,9,5,12,172,0,0,5,0,0,5,13,13,35,16,3,3,0,0,13,110,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,8,0,7,0,6,4,20,16,30,15,8,0,0,3,10,127,0,0,0,0,0,0,0,0,3,0,0,0,0,0,72,81,8,0,6,0,21,19,52,71,244,198,160,86,87,47,165,1171,0,0,0,0,3,8,8,13,36,27,14,4,3,0,23,130,0,0,0,7,12,27,35,19,40,6,0,0,0,0,27,187,0,0,0,0,0,0,4,0,7,3,3,0,0,0,0,18,0,0,0,7,6,8,3,3,3,0,0,0,0,0,5,44,3,3,12,10,22,48,31,40,46,11,3,0,0,3,34,266,0,0,0,0,4,0,0,0
LGA10650,0,0,0,0,0,5,5,12,32,26,9,4,0,3,12,102,0,0,0,0,0,0,5,4,10,4,0,0,3,0,3,29,0,0,0,0,0,0,4,3,3,3,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,11,3,0,0,0,0,0,3,10,13,6,5,0,0,0,6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,3,0,3,3,4,14,13,42,139,139,127,57,43,31,104,722,0,0,0,0,0,3,3,7,24,13,10,3,0,0,14,80,0,0,3,7,8,12,10,11,8,0,0,0,0,0,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,3,3,9,0,3,0,0,0,0,0,0,0,17,0,0,6,5,19,8,20,6,16,3,3,0,0,0,15,108,0,0,0,0,0,0,0,0
LGA10750,15,11,14,13,50,167,344,798,2571,2430,2004,760,947,512,580,11221,15,12,44,42,99,178,231,301,608,350,248,105,122,49,181,2580,4,0,7,4,17,30,23,49,145,99,77,34,38,22,102,648,0,0,0,0,0,3,6,6,44,45,58,50,66,45,74,398,197,64,92,55,235,237,376,388,945,668,457,235,215,108,550,4829,3,3,0,3,0,10,7,14,36,21,28,9,4,12,1934,2073,253,94,172,128,423,671,1095,1823,6435,7376,8250,5991,6909,4532,4994,49127,3,3,6,13,13,90,243,395,1169,911,692,333,286,118,414,4702,6,12,47,89,159,307,337,327,521,229,148,84,34,14,217,2532,4,0,3,16,13,26,34,42,77,49,36,11,17,4,72,408,51,25,84,81,124,119,101,81,104,43,28,11,15,4,78,951,236,75,313,389,611,827,855,744,1179,577,309,151,84,61,757,7165,0,6,3,5,0,6,12,8
LGA10800,0,0,0,0,0,0,3,5,18,17,12,4,8,0,5,73,0,0,0,0,3,0,4,0,6,3,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,0,0,0,0,0,4,6,9,11,0,0,0,0,0,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,5,0,3,4,5,11,12,25,103,81,69,42,54,33,108,558,0,0,0,0,0,3,3,6,20,8,11,0,4,0,4,70,0,0,0,0,4,12,6,4,6,4,0,0,0,0,6,45,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,11,0,0,8,5,8,13,16,17,17,3,0,0,3,0,10,95,0,0,0,0,0,0,0,0
