LGA_CODE_2016,C11_2500_2999_R650m,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R0_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650mo,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000m_R0_74,C11_4000m_R75_99,C11_4000m_R100_149,C11_4000m_R150_199,C11_4000m_R200_224,C11_4000m_R225_274,C11_4000m_R275_349,C11_4000m_R350_449,C11_4000m_R450_549,C11_4000m_R550_649,C11_4000m_R650m,C11_4000m_R_NS,C11_4000m_R_Tot,C11_PI_S_R0_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650m,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R0_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot,C16_N_inc_R0_74,C16_N_inc_R75_99,C16_Ne_Ni_inc_R100_149,C16_Ne_Ni_inc_R150_199,C16_Ne_Ni_inc_R200_224,C16_Ne_Ni_inc_R225_274,C16_Ne_Ni_inc_R275_349,C16_Ne_Ni_inc_R350_449,C16_Ne_Ni_inc_R450_549,C16_Ne_Ni_inc_R550_649,C16_Ne_Ni_inc_R650m,C16_Ne_Nil_inc_R_NS,C16_N_inc_R_Tot,C16_1_149_R0_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_149,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650m,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R0_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R150_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650m,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R0_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650m,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R0_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650m,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R0_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650m,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R0_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650m,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R0_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650m,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R0_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650m,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R0_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650m,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R0_74,C16_1500_1999_R75_99
LGA10050,4,3,161,4,0,0,3,3,7,24,18,8,3,5,4,78,3,0,0,0,3,0,5,9,0,4,4,0,25,14,9,29,45,32,73,61,44,11,3,4,19,336,10,15,33,22,10,11,9,0,0,0,4,44,159,248,354,1160,1250,712,1034,795,305,57,27,42,199,6180,9,0,16,24,12,8,6,6,0,0,3,11,87,3,7,19,21,3,8,4,3,0,0,0,7,72,25,18,80,70,33,30,9,3,0,0,0,10,283,13,12,141,135,41,57,18,3,0,0,0,17,439,12,17,170,215,72,116,56,15,4,0,0,15,688,6,7,58,171,86,116,85,21,0,0,0,14,575,12,9,47,163,104,153,126,28,3,0,0,12,675,8,9,48,127,99,174,133,58,3,0,4,9,669,18,0,35,104,82,186,157,62,3,0,0,15,662,10,0,19,51,57,163,168,66,4,0,0,4,552,7,3
LGA10130,3,5,87,13,0,4,3,0,0,12,17,3,0,0,0,50,0,0,0,0,0,0,0,3,0,0,0,0,8,15,3,24,31,34,39,43,28,3,0,3,11,232,10,8,18,13,7,8,6,13,0,0,0,18,96,285,148,451,758,415,551,462,272,33,8,27,132,3524,3,0,6,7,13,15,4,11,3,0,0,0,65,3,4,6,9,3,0,3,4,0,0,0,0,40,12,15,33,36,16,23,15,4,0,0,3,4,163,14,5,44,48,30,28,14,7,0,0,0,3,192,14,10,69,82,53,46,34,16,0,0,0,17,349,17,3,30,74,54,70,65,22,4,0,0,3,339,28,0,25,59,31,83,86,27,8,0,0,3,347,17,3,22,38,50,84,87,48,4,0,0,7,358,26,0,16,33,54,72,98,60,6,4,0,12,372,15,0,4,25,32,55,79,68,3,0,0,4,300,29,3
LGA10250,7,0,138,0,0,0,0,4,4,9,27,22,8,8,0,77,0,0,0,0,0,0,3,9,3,0,0,0,18,14,4,11,22,13,23,89,113,25,11,0,4,318,9,7,13,11,3,11,11,18,5,0,10,31,130,264,249,292,387,279,565,1048,1062,257,58,66,143,4668,3,0,0,0,8,6,9,11,3,0,0,5,50,3,0,6,0,0,0,0,0,3,0,3,3,19,19,9,31,14,10,3,9,15,0,0,3,5,110,9,6,93,19,13,25,32,23,4,0,0,7,244,23,7,107,46,41,50,58,33,7,3,0,12,387,13,0,27,24,29,63,102,48,15,6,4,10,343,19,3,31,40,31,78,117,104,42,12,3,16,492,13,0,18,14,20,49,109,115,39,15,3,12,407,7,0,13,8,19,43,135,165,68,13,8,4,487,10,0,6,13,12,22,76,156,63,15,7,10,405,12,0
LGA10300,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,4,12,67,15,59,70,9,4,3,0,0,0,3,13,249,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,3,0,0,0,0,0,0,0,0,12,0,0,11,5,0,0,0,0,0,0,0,0,13,3,0,3,3,0,0,0,0,0,0,0,3,15,5,0,3,3,0,0,0,0,0,0,0,3,19,3,0,3,5,5,0,0,0,0,0,0,5,21,3,0,3,4,4,0,0,0,0,0,0,3,15,7,0,0,7,4,3,0,0,0,0,0,0,29,10,0,5,10,0,3,0,0,0,0,0,0,21,7,0
LGA10470,0,5,160,0,0,0,0,3,7,21,26,0,0,0,0,68,0,0,0,0,0,4,3,4,0,0,3,3,20,11,4,13,31,25,43,48,38,8,0,3,15,246,6,14,12,17,12,12,10,0,0,0,3,26,101,297,180,454,682,515,790,696,324,43,8,22,128,4131,3,0,8,3,3,6,10,5,0,0,0,7,59,7,0,12,5,0,8,7,8,0,0,0,3,46,25,8,40,43,19,17,26,9,0,0,0,8,191,15,8,69,58,19,22,28,15,0,0,0,3,235,32,7,74,70,36,55,62,26,3,0,0,9,370,9,0,26,51,48,88,87,32,3,0,0,16,366,14,4,24,55,39,87,126,50,0,0,0,16,409,4,3,20,43,47,81,130,60,3,0,0,7,401,11,3,12,27,37,111,142,88,7,3,0,7,452,11,0,6,22,33,78,146,88,7,0,0,12,399,19,4
LGA10550,0,3,60,0,0,3,3,0,3,6,8,0,0,0,0,23,0,0,0,0,0,0,0,4,0,0,0,0,9,16,3,14,28,22,50,40,8,4,0,3,10,202,12,7,10,17,9,9,6,0,0,0,0,18,87,266,155,335,663,418,562,438,122,18,3,28,134,3153,4,0,3,0,7,7,7,3,0,0,0,12,44,8,0,4,5,3,5,5,0,0,0,0,0,35,18,3,26,21,13,21,8,3,0,0,0,6,127,18,3,55,43,18,20,22,4,0,0,0,7,189,23,16,71,80,57,64,29,19,0,0,3,10,371,10,0,20,45,53,76,54,21,0,0,0,3,283,27,0,21,38,54,68,76,31,0,0,0,7,319,23,3,19,17,31,64,80,36,0,0,0,13,290,22,0,14,29,23,53,119,53,3,3,4,11,326,16,0,7,16,17,50,82,56,4,0,0,7,254,16,0
LGA10600,0,3,19,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,3,9,0,9,4,19,20,24,16,0,0,0,0,98,0,7,6,5,0,4,3,0,0,0,0,3,31,116,59,140,170,161,219,258,127,14,3,12,34,1314,0,0,0,3,0,7,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,17,3,8,5,4,6,9,3,0,0,0,0,58,4,0,28,12,3,12,10,0,0,0,0,0,73,10,4,17,28,5,22,12,6,3,0,0,4,120,4,0,9,12,15,28,40,15,0,0,3,0,128,8,0,12,16,8,26,26,22,3,0,3,5,125,7,0,3,9,13,34,36,28,0,3,5,4,137,7,0,9,11,8,24,40,26,3,3,0,3,137,4,0,0,6,3,17,30,28,9,0,0,4,96,4,0
LGA10650,0,0,20,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,5,3,4,0,0,0,0,6,36,3,3,10,6,0,0,0,0,0,0,0,10,25,124,61,186,212,60,56,15,3,4,0,4,34,763,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,0,0,11,0,0,9,6,0,10,0,0,0,0,0,3,39,3,4,11,16,8,0,0,0,0,0,0,3,50,14,10,32,24,13,8,3,0,0,0,0,8,111,11,0,10,21,7,6,0,0,0,0,0,6,62,4,4,6,32,14,9,8,0,0,0,0,4,92,4,3,8,18,8,13,4,0,0,0,0,4,65,9,0,15,23,13,15,7,0,0,0,0,5,80,10,3,3,15,15,5,7,0,0,0,0,3,66,13,3
LGA10750,22,18,1125,13,0,9,13,17,38,109,252,170,105,23,13,762,11,0,9,3,8,8,18,63,56,53,21,3,257,67,36,153,170,146,186,432,462,175,56,28,126,2051,72,106,89,63,38,50,105,82,10,3,10,189,820,1362,1840,2173,2215,1567,2680,6573,6282,1590,647,316,1079,28319,37,14,65,44,21,20,75,130,55,24,8,67,566,36,11,40,35,15,12,21,33,14,3,3,13,237,174,93,264,125,47,34,75,107,34,10,4,55,1013,54,64,582,147,48,54,98,130,37,5,0,64,1282,84,47,620,268,112,111,196,260,79,13,6,60,1858,43,16,154,205,89,108,296,466,120,26,15,57,1602,66,21,157,329,175,195,424,717,156,39,19,65,2367,48,11,88,128,134,186,507,940,266,80,25,50,2461,58,4,66,140,111,196,605,1237,397,104,48,60,3018,55,5,35,79,49,116,555,1281,448,143,58,55,2880,60,9
LGA10800,0,0,36,3,0,0,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,4,12,0,0,3,3,0,0,0,0,0,0,0,24,7,0,0,0,0,0,0,0,0,0,0,7,11,132,33,98,91,41,50,21,3,3,0,3,42,518,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,4,12,0,4,3,0,0,0,0,0,0,0,0,13,15,0,9,11,0,0,0,0,0,0,0,0,35,11,3,8,14,3,3,0,0,0,0,0,0,46,12,0,3,4,3,8,0,0,0,0,0,0,31,9,0,5,8,12,3,0,0,0,0,0,0,41,13,3,6,7,6,8,3,0,0,0,0,0,48,10,3,5,10,0,5,0,0,0,0,0,3,49,5,0,12,6,3,7,3,0,0,0,0,0,38,19,0
