SA4_CODE_2016,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_BP_B_OS,C06_Pol_Fa_O_B_OS,C06_Pol_Mo_O_B_OS,C06_Pol_BP_B_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_BP_B_OS,C06_Rus_Fa_O_B_OS,C06_Rus_Mo_O_B_OS,C06_Rus_BP_B_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_SAf_BP_B_OS,C06_SAf_Fa_O_B_OS,C06_SAf_Mo_O_B_OS,C06_SAf_BP_B_Aus,C06_SAf_Bplace_NS,C06_SAf_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinha_Fa_O_B_OS,C06_Sinha_Mo_O_B_OS,C06_Sinha_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Wel_BP_B_OS,C06_Wel_Fa_O_B_OS,C06_Wel_Mo_O_B_OS,C06_Wel_BP_B_Aus,C06_Wel_Bplace_NS,C06_Wel_Tot_resp,C06_Oth_BP_B_OS,C06_Oth_Fa_O_B_OS,C06_Oth_Mo_O_B_OS,C06_Oth_BP_B_Aus,C06_Oth_Bplace_NS,C06_Oth_Tot_resp,C06_Anc_ns_BP_B_OS,C06_Anc_ns_Fa_O_B_OS,C06_Anc_ns_Mo_O_B_OS,C06_Anc_ns_BP_B_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_T_P_BP_B_OS,C06_T_P_Fa_only_bor_os,C06_T_P_Mo_O_B_OS,C06_T_P_BP_B_Aus,C06_T_P_Bplace_NS,C06_T_P_Tot_resp,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS
101,705,6586,4815,78199,2117,92423,4,25,9,753,46,836,606,59,55,343,27,1092,728,108,37,162,35,1075,1629,420,314,741,41,3151,11055,5402,3994,49033,1774,71254,465,22,97,8,16,603,299,70,56,413,13,857,2290,632,403,4409,148,7888,662,159,46,337,27,1234,384,92,27,93,7,607,299,29,25,43,11,406,1810,1195,745,18746,465,22954,1860,564,163,1552,96,4236,57,5,9,7,0,81,183,82,21,97,6,400,953,110,28,118,24,1238,482,116,67,243,23,936,347,98,62,75,18,598,646,310,194,117,19,1290,686,137,78,224,19,1138,263,63,20,96,8,451,2666,1306,956,11925,310,17170,556,64,24,57,21,727,191,35,36,26,3,292,288,26,22,142,8,496,89,14,8,17,3,130,51,3,3,0,7,70,163,4,5,3,4,191,408,165,87,524,17,1199,4233,914,605,1498,175,7425,689,242,165,3984,9555,14632,30172,11565,8020,134283,13894,197942,774,6582
102,1370,12507,8723,110952,3833,137389,6,29,16,655,46,755,1390,152,147,531,66,2290,456,103,28,101,16,704,2133,655,371,932,79,4177,22697,10678,7393,70868,3337,114969,977,51,257,27,46,1358,534,148,80,662,39,1464,2243,768,470,5306,198,8985,883,270,68,563,40,1832,437,100,31,119,25,710,736,123,66,73,26,1028,4029,2157,1249,23635,757,31821,2159,863,263,2523,183,6000,218,3,15,11,8,265,312,91,35,134,22,600,61,18,4,15,0,100,1255,385,131,714,55,2537,972,221,156,145,81,1578,1362,623,467,247,69,2768,693,141,80,271,24,1211,398,64,55,150,11,691,5187,2517,1620,15732,576,25635,379,91,16,78,10,580,639,99,58,42,31,866,673,77,68,253,26,1097,157,45,10,29,0,243,112,28,11,10,5,161,104,5,13,0,4,124,740,273,125,762,32,1933,6233,1731,1031,2206,309,11499,1150,529,450,6200,15729,24055,50659,21698,14380,187665,23556,297957,1399,12705
103,443,5011,3551,84733,2559,96294,0,24,3,718,43,790,527,54,33,318,27,963,209,43,18,52,7,338,908,335,225,570,30,2060,6130,4159,3083,54983,1939,70297,342,18,111,21,18,505,165,53,33,456,17,719,1130,414,252,4582,133,6509,234,85,35,251,16,617,177,39,23,51,8,292,207,16,24,46,12,305,1076,917,503,19078,492,22064,797,359,129,1326,53,2664,59,0,3,7,3,70,167,70,10,123,10,380,36,15,3,13,0,61,223,75,61,184,15,558,275,81,27,61,24,470,414,212,208,139,25,992,410,130,33,225,19,810,225,25,29,80,3,370,1587,1156,820,11878,321,15760,178,35,11,46,3,279,174,33,19,26,4,249,169,22,15,126,12,340,82,15,11,7,8,115,24,12,0,0,9,42,52,0,3,0,5,66,264,108,92,499,18,979,2122,628,337,1268,128,4487,414,209,137,5270,7885,13911,16019,8720,5976,146317,12637,189671,454,4670
104,399,4146,3001,52286,1557,61392,6,20,7,840,34,903,293,45,36,223,10,607,89,28,4,27,4,151,914,286,129,357,18,1715,6723,3562,2563,33292,1183,47318,249,6,93,8,21,379,189,44,37,343,12,631,1004,314,226,3415,114,5079,135,72,15,138,12,377,125,31,21,47,7,225,599,62,74,57,16,810,1099,718,455,11117,296,13687,533,257,78,1003,38,1910,15,0,3,3,0,24,48,15,8,72,0,136,18,0,0,8,0,23,156,61,47,120,4,387,192,78,59,70,16,416,409,209,154,58,20,843,236,55,29,118,6,448,83,27,20,49,0,185,1545,923,591,8225,221,11507,77,29,4,26,3,138,154,20,20,28,0,221,113,27,24,131,4,291,23,8,3,11,3,45,35,8,0,0,0,45,31,3,5,0,0,39,206,65,28,314,13,624,2073,587,404,1014,88,4163,283,149,161,3062,4842,8497,15014,7237,5099,90294,7835,125469,428,3964
105,199,2265,1583,54267,1713,60031,0,39,11,2131,54,2236,270,22,29,279,24,614,106,18,9,42,0,168,373,110,94,240,18,834,2320,1886,1317,31922,1215,38655,174,0,35,10,14,232,41,31,21,246,10,338,447,207,142,3045,81,3926,148,50,21,143,17,377,90,22,4,28,0,151,168,21,12,51,3,249,423,432,243,9722,250,11068,380,185,47,695,43,1347,17,0,0,0,0,20,80,23,10,65,5,182,11,0,0,3,0,18,155,78,26,194,13,461,125,40,29,55,9,259,169,80,79,60,12,394,148,36,19,85,0,291,38,15,6,18,3,75,640,523,345,6428,159,8090,128,26,3,21,6,189,72,13,11,15,0,107,44,15,7,68,3,135,44,12,7,4,5,69,13,7,0,0,3,25,17,5,0,0,0,25,60,54,20,248,6,385,1066,253,145,588,43,2102,175,99,95,3659,6118,10155,6922,4067,2691,91579,9221,114485,176,2132
106,613,6872,4914,99736,2687,114821,5,13,12,684,22,742,620,45,55,285,21,1020,250,47,26,82,4,406,1097,425,299,766,50,2643,9526,5862,4203,63919,2342,85848,491,21,197,12,20,743,211,50,39,436,25,770,1401,595,421,6246,202,8865,275,127,23,272,27,726,189,51,10,64,8,327,269,29,23,48,16,385,1554,993,649,17386,442,21022,689,314,122,1398,65,2584,64,0,3,10,8,91,92,25,6,86,12,227,56,12,8,36,0,109,295,110,67,173,32,680,381,121,82,112,28,727,593,315,190,138,35,1271,825,140,89,399,22,1473,173,36,27,113,3,351,2505,1670,1137,13240,399,18955,191,53,21,41,4,306,235,32,35,24,14,340,192,55,25,188,17,479,41,8,8,13,0,70,29,7,9,10,0,56,59,3,5,0,0,63,401,185,99,717,14,1416,2756,801,575,1396,127,5651,518,266,225,5876,9821,16710,22164,11792,8284,168332,15187,225753,565,6744
107,1912,11317,7940,81464,2838,105465,21,35,23,532,41,652,2895,90,105,294,76,3464,1736,229,105,242,50,2363,2339,734,406,1026,92,4608,20041,9067,6622,47526,2346,85600,1103,41,211,27,37,1423,449,85,53,467,17,1066,3610,1005,605,4166,208,9593,2286,425,156,837,98,3803,664,131,46,152,18,1006,807,60,39,51,9,972,3112,1579,1115,16456,484,22743,7470,1622,671,3486,345,13596,208,8,15,21,3,255,1141,151,114,139,79,1625,6702,504,173,508,224,8110,1548,438,201,660,74,2910,579,143,81,76,45,927,695,302,254,140,33,1425,1392,225,135,351,40,2147,301,51,34,113,4,502,5397,2348,1725,11281,411,21162,2402,212,93,170,65,2944,312,46,47,17,3,433,1973,233,156,323,77,2763,235,25,5,7,8,288,1250,96,44,33,53,1469,776,15,14,7,20,825,1094,298,221,701,50,2362,10128,1654,1097,1907,344,15134,2031,519,358,3926,11042,17878,76002,20592,13917,135389,17634,263537,1642,10908
108,554,6171,4091,82073,2557,95443,3,31,13,1630,57,1738,365,66,54,314,23,822,145,53,14,48,9,262,1240,363,184,509,32,2333,10642,5453,3818,54204,1962,76075,365,9,140,13,25,553,253,77,51,452,15,846,1281,447,264,4532,155,6669,205,94,15,198,21,537,198,53,13,51,0,310,200,29,27,52,8,315,1516,1084,597,16152,493,19843,680,326,94,1443,69,2604,18,0,3,3,0,28,61,50,17,125,0,259,12,3,0,4,0,28,368,108,60,271,21,834,172,65,45,52,9,346,546,282,190,123,32,1167,331,77,31,151,22,608,125,35,28,53,4,241,2380,1266,895,11374,310,16236,135,32,9,30,3,204,190,24,30,25,7,272,114,41,24,178,10,357,50,16,0,3,0,66,24,4,0,4,0,35,38,3,0,5,3,48,311,125,59,445,17,955,2232,707,408,1422,130,4889,397,247,196,4485,7932,13250,21147,10690,7013,141135,12741,192729,545,5864
109,267,2782,1922,46065,1217,52242,6,14,0,474,19,518,206,22,18,193,14,443,117,34,13,32,3,201,743,222,146,398,21,1524,3577,2347,1642,30235,927,38732,253,9,60,8,18,350,84,20,13,230,9,354,822,375,201,4879,135,6408,210,76,17,167,10,482,123,28,7,42,5,199,198,16,9,19,5,244,555,485,312,10761,242,12348,861,336,93,1324,48,2669,12,0,3,3,0,23,55,25,11,78,3,164,17,3,0,4,0,25,79,34,11,77,3,200,175,38,31,38,3,281,255,107,100,57,5,532,257,54,27,147,8,490,67,22,15,50,0,152,943,587,414,7838,171,9950,142,32,10,43,6,231,107,19,15,9,0,153,70,14,5,103,0,188,38,9,3,3,0,51,10,0,0,0,0,12,22,13,3,0,0,37,150,54,34,217,9,464,1367,331,227,741,62,2738,269,108,86,3234,4178,7874,10306,5098,3389,84244,6584,109621,261,2430
110,306,3738,2931,80846,2212,90041,8,17,6,1851,80,1957,580,56,39,503,23,1203,70,27,5,18,6,119,657,227,142,413,30,1467,4503,3296,2389,50790,1637,62625,248,9,88,7,12,368,143,51,16,371,15,596,869,296,194,5677,131,7175,129,50,19,152,10,365,107,26,7,43,7,190,215,16,23,58,4,319,802,664,424,15840,336,18065,392,193,66,910,39,1591,51,0,0,7,0,61,80,38,6,115,10,256,9,3,0,3,0,18,134,67,28,113,6,355,148,36,49,94,8,333,305,176,119,97,20,710,171,51,28,125,9,381,85,16,20,80,3,206,1156,811,628,11487,245,14326,87,11,3,36,0,138,142,25,13,9,3,192,54,12,6,159,3,239,71,6,3,12,5,97,28,11,7,7,0,45,29,4,6,0,0,38,162,69,41,357,13,640,1694,450,358,1012,100,3608,215,139,115,4872,7051,12388,11379,6517,4767,138586,11144,172396,293,3694
