SA4_CODE_2016,C06_CFNC_BF_N,C06_CFNC_BF_1_149,C06_CFNC_BF_150_299,C06_CFNC_BF_300_399,C06_CFNC_BF_400_499,C06_CFNC_BF_500_649,C06_CFNC_BF_650_799,C06_CFNC_BF_800_999,C06_CFNC_BF_1000_1499,C06_CFNC_BF_1500_1999,C06_CFNC_BF_2000_2499,C06_CFNC_BF_2500_2999,C06_CFNC_BF_3000_3999,C06_CFNC_BF_4000m,C06_CFNC_BF_Ns,C06_CFNC_BF_T,C06_CFNC_BPT_N,C06_CFNC_BPT_1_149,C06_CFNC_BPT_150_299,C06_CFNC_BPT_300_399,C06_CFNC_BPT_400_499,C06_CFNC_BPT_500_649,C06_CFNC_BPT_650_799,C06_CFNC_BPT_800_999,C06_CFNC_BPT_1000_1499,C06_CFNC_BPT_1500_1999,C06_CFNC_BPT_2000_2499,C06_CFNC_BPT_2500_2999,C06_CFNC_BPT_3000_3999,C06_CFNC_BPT_4000m,C06_CFNC_BPT_Ns,C06_CFNC_BPT_T,C06_CFNC_1F1P_N,C06_CFNC_1F1P_1_149,C06_CFNC_1F1P_150_299,C06_CFNC_1F1P_300_399,C06_CFNC_1F1P_400_499,C06_CFNC_1F1P_500_649,C06_CFNC_1F1P_650_799,C06_CFNC_1F1P_800_999,C06_CFNC_1F1P_1000_1499,C06_CFNC_1F1P_1500_1999,C06_CFNC_1F1P_2000_2499,C06_CFNC_1F1P_2500_2999,C06_CFNC_1F1P_3000_3999,C06_CFNC_1F1P_4000m,C06_CFNC_1F1P_Ns,C06_CFNC_1F1P_T,C06_CFNC_1E1A_N,C06_CFNC_1E1A_1_149,C06_CFNC_1E1A_150_299,C06_CFNC_1E1A_300_399,C06_CFNC_1E1A_400_499,C06_CFNC_1E1A_500_649,C06_CFNC_1E1A_650_799,C06_CFNC_1E1A_800_999,C06_CFNC_1E1A_1000_1499,C06_CFNC_1E1A_1500_1999,C06_CFNC_1E1A_2000_2499,C06_CFNC_1E1A_2500_2999,C06_CFNC_1E1A_3000_3999,C06_CFNC_1E1A_4000m,C06_CFNC_1E1A_Ns,C06_CFNC_1E1A_T,C06_CFNC_1F1NW_N,C06_CFNC_1F1NW_1_149,C06_CFNC_1F1NW_150_299,C06_CFNC_1F1NW_300_399,C06_CFNC_1F1NW_400_499,C06_CFNC_1F1NW_500_649,C06_CFNC_1F1NW_650_799,C06_CFNC_1F1NW_800_999,C06_CFNC_1F1NW_1000_1499,C06_CFNC_1F1NW_1500_1999,C06_CFNC_1F1NW_2000_2499,C06_CFNC_1F1NW_2500_2999,C06_CFNC_1F1NW_3000_3999,C06_CFNC_1F1NW_4000m,C06_CFNC_1F1NW_Ns,C06_CFNC_1F1NW_T,C06_CFNC_1P1NW_N,C06_CFNC_1P1NW_1_149,C06_CFNC_1P1NW_150_299,C06_CFNC_1P1NW_300_399,C06_CFNC_1P1NW_400_499,C06_CFNC_1P1NW_500_649,C06_CFNC_1P1NW_650_799,C06_CFNC_1P1NW_800_999,C06_CFNC_1P1NW_1000_1499,C06_CFNC_1P1NW_1500_1999,C06_CFNC_1P1NW_2000_2499,C06_CFNC_1P1NW_2500_2999,C06_CFNC_1P1NW_3000_3999,C06_CFNC_1P1NW_4000m,C06_CFNC_1P1NW_Ns,C06_CFNC_1P1NW_T,C06_CFNC_1A1NW_N,C06_CFNC_1A1NW_1_149,C06_CFNC_1A1NW_150_299,C06_CFNC_1A1NW_300_399,C06_CFNC_1A1NW_400_499,C06_CFNC_1A1NW_500_649,C06_CFNC_1A1NW_650_799,C06_CFNC_1A1NW_800_999,C06_CFNC_1A1NW_1000_1499,C06_CFNC_1A1NW_1500_1999,C06_CFNC_1A1NW_2000_2499,C06_CFNC_1A1NW_2500_2999,C06_CFNC_1A1NW_3000_3999,C06_CFNC_1A1NW_4000_m,C06_CFNC_1A1NW_Ns,C06_CFNC_1A1NW_T,C06_CFNC_BA_N,C06_CFNC_BA_1_149,C06_CFNC_BA_150_299,C06_CFNC_BA_300_399,C06_CFNC_BA_400_499,C06_CFNC_BA_500_649,C06_CFNC_BA_650_799,C06_CFNC_BA_800_999,C06_CFNC_BA_1000_1499,C06_CFNC_BA_1500_1999,C06_CFNC_BA_2000_2499,C06_CFNC_BA_2500_2999,C06_CFNC_BA_3000_3999,C06_CFNC_BA_4000_m,C06_CFNC_BA_Ns,C06_CFNC_BA_T,C06_CFNC_BNW_N,C06_CFNC_BNW_1_149,C06_CFNC_BNW_150_299,C06_CFNC_BNW_300_399,C06_CFNC_BNW_400_499,C06_CFNC_BNW_500_649,C06_CFNC_BNW_650_799,C06_CFNC_BNW_800_999,C06_CFNC_BNW_1000_1499,C06_CFNC_BNW_1500_1999,C06_CFNC_BNW_2000_2499,C06_CFNC_BNW_2500_2999,C06_CFNC_BNW_3000_3999,C06_CFNC_BNW_4000m,C06_CFNC_BNW_Ns,C06_CFNC_BNW_T,C06_CFNC_LFns_N,C06_CFNC_LFns_1_149,C06_CFNC_LFns_150_299,C06_CFNC_LFns_300_399,C06_CFNC_LFns_400_499,C06_CFNC_LFns_500_649,C06_CFNC_LFns_650_799,C06_CFNC_LFns_800_999,C06_CFNC_LFns_1000_1499,C06_CFNC_LFns_1500_1999,C06_CFNC_LFns_2000_2499,C06_CFNC_LFns_2500_2999,C06_CFNC_LFns_3000_3999,C06_CFNC_LFns_4000m,C06_CFNC_LFns_Ns,C06_CFNC_LFns_T,C06_CFNC_T_N,C06_CFNC_T_1_149,C06_CFNC_T_150_299,C06_CFNC_T_300_399,C06_CFNC_T_400_499,C06_CFNC_T_500_649,C06_CFNC_T_650_799,C06_CFNC_T_800_999,C06_CFNC_T_1000_1499,C06_CFNC_T_1500_1999,C06_CFNC_T_2000_2499,C06_CFNC_T_2500_2999,C06_CFNC_T_3000_3999,C06_CFNC_T_4000_m,C06_CFNC_T_Ns,C06_CFNC_T_T,C06_CF_BFT_N,C06_CF_BFT_1_149,C06_CF_BFT_150_299,C06_CF_BFT_300_399,C06_CF_BFT_400_499,C06_CF_BFT_500_649,C06_CF_BFT_650_799,C06_CF_BFT_800_999,C06_CF_BFT_1000_1499,C06_CF_BFT_1500_1999,C06_CF_BFT_2000_2499,C06_CF_BFT_2500_2999,C06_CF_BFT_3000_3999,C06_CF_BFT_4000m,C06_CF_BFT_Ns,C06_CF_BFT_T,C06_CF_BPT_N,C06_CF_BPT_1_149,C06_CF_BPT_150_299,C06_CF_BPT_300_399,C06_CF_BPT_400_499,C06_CF_BPT_500_649,C06_CF_BPT_650_799,C06_CF_BPT_800_999
101,59,38,13,10,68,180,47,112,1325,891,738,401,367,133,102,4486,9,11,16,17,47,155,71,100,318,88,34,28,22,9,20,960,20,4,12,24,19,163,123,247,1189,473,257,115,130,32,39,2865,7,0,3,13,9,38,22,41,166,101,55,49,24,9,19,554,17,16,8,43,39,253,291,247,566,205,67,113,49,6,99,2005,10,16,43,83,131,361,177,133,288,79,41,23,6,3,42,1436,4,3,4,8,10,38,33,28,63,13,12,13,3,3,20,263,11,4,0,0,3,22,6,16,54,40,26,13,17,6,20,233,145,298,127,116,3055,1923,436,471,1220,167,95,47,26,25,297,8452,12,14,3,5,78,56,19,16,44,8,0,3,0,3,1405,1676,287,412,234,311,3456,3184,1223,1406,5240,2077,1320,804,654,232,2076,22924,26,12,18,10,32,97,50,98,946,965,856,590,553,241,618,5119,0,6,4,7,25,108,59,107
102,19,8,3,3,17,83,27,76,1490,1334,1079,513,333,82,85,5165,7,3,6,19,43,122,60,106,335,122,48,27,25,6,24,944,6,6,7,8,16,78,93,261,1332,638,354,131,151,26,68,3172,0,4,3,0,5,27,25,40,232,134,72,34,32,4,44,656,8,3,7,18,21,212,350,405,817,262,80,189,35,11,118,2538,3,13,33,61,132,440,204,178,344,83,23,11,19,9,52,1613,7,3,9,8,14,48,52,28,71,29,6,9,3,3,17,322,0,0,0,3,9,29,3,15,83,42,24,18,10,3,18,255,177,410,145,127,5121,3543,718,731,1947,229,118,66,55,54,469,13905,12,20,0,7,172,87,27,19,67,12,4,6,0,4,1632,2068,242,471,221,254,5550,4665,1558,1859,6732,2892,1815,994,656,210,2521,30631,15,8,5,5,11,49,29,74,972,1290,1114,729,597,185,744,5827,9,0,5,10,8,92,59,149
103,72,54,12,19,85,224,43,113,1439,905,621,335,233,82,102,4342,6,8,13,17,52,150,40,82,232,70,31,24,15,10,28,785,29,16,9,21,46,182,122,253,1115,466,243,105,101,25,61,2798,3,3,4,3,15,31,20,33,153,88,57,29,21,6,34,497,26,18,13,40,34,251,336,257,552,169,63,93,28,8,106,1977,3,22,36,78,128,309,137,112,183,34,22,15,10,5,40,1133,3,5,4,17,13,35,27,27,61,13,3,3,3,0,33,254,9,3,0,3,17,25,8,12,71,33,25,14,7,3,31,242,121,300,108,92,3052,1454,246,272,710,101,46,24,15,22,264,6826,9,10,7,0,76,50,14,15,30,9,8,0,0,0,1141,1363,278,446,212,292,3513,2711,989,1168,4544,1884,1111,633,435,162,1837,20216,34,23,16,13,46,102,57,97,937,983,761,501,324,108,591,4586,3,6,3,9,11,57,34,74
104,14,5,7,8,35,95,27,58,702,400,256,123,101,32,29,1900,3,13,5,12,48,130,38,61,192,43,14,11,4,3,6,594,7,9,4,10,23,84,90,181,734,258,121,41,40,6,26,1640,3,7,3,7,9,31,13,26,105,37,27,8,5,3,13,284,10,5,8,25,8,164,216,175,301,82,32,32,6,0,42,1098,4,12,31,52,100,304,108,83,175,32,16,10,10,4,24,957,0,3,4,8,11,35,21,23,45,10,8,3,0,0,11,190,0,0,0,0,10,16,6,10,32,8,10,4,3,3,11,119,95,208,112,76,2900,1592,320,321,883,103,40,24,16,27,243,6960,12,14,4,0,80,47,9,7,35,3,0,0,0,0,872,1078,152,269,173,202,3225,2507,840,941,3205,985,525,256,193,76,1276,14819,3,6,5,6,22,70,38,54,572,477,317,165,90,35,255,2129,3,3,6,6,14,101,54,106
105,57,43,12,12,69,149,29,84,850,522,346,185,128,42,64,2589,9,13,0,4,39,77,19,47,136,21,21,11,6,11,10,415,16,16,9,7,25,105,95,154,596,236,97,39,49,16,46,1513,3,3,5,3,5,23,22,22,99,47,38,11,4,3,16,308,15,12,10,26,17,152,194,160,261,81,24,44,13,3,59,1063,0,14,29,32,90,203,76,57,86,14,5,3,3,0,30,653,3,3,3,7,23,26,31,9,28,10,4,4,0,0,11,160,3,0,0,0,3,13,3,10,44,19,9,7,8,0,22,135,72,181,54,43,1802,819,106,105,364,37,22,15,11,20,191,3839,4,12,3,0,55,37,12,6,21,7,0,0,0,0,850,1010,184,290,128,136,2124,1612,586,649,2491,985,567,311,219,99,1305,11677,29,22,14,12,23,72,31,78,651,543,429,256,157,53,424,2785,3,3,4,0,12,40,26,51
106,42,18,7,7,36,100,30,102,1273,1000,800,312,307,76,85,4205,8,16,3,13,56,132,39,66,264,78,40,16,24,5,21,775,7,9,5,8,16,108,108,220,1124,564,295,145,119,27,63,2810,5,4,3,6,9,25,12,37,165,114,61,30,22,7,27,537,18,8,8,25,15,203,354,331,779,296,83,212,32,13,115,2475,3,20,36,62,132,329,149,121,243,58,21,28,15,9,44,1257,4,0,0,7,16,53,26,20,85,21,10,15,3,3,22,293,0,0,0,3,3,11,0,12,63,30,19,9,12,3,19,193,159,316,117,112,3914,2169,459,454,1192,137,63,43,45,29,322,9539,7,26,3,6,100,58,20,14,48,10,3,5,3,3,1340,1647,257,421,195,251,4297,3185,1207,1382,5232,2292,1392,816,590,170,2051,23727,16,14,3,3,19,48,34,83,870,945,876,591,534,149,565,4744,0,0,5,3,7,76,37,88
107,9,7,3,4,14,62,15,54,1025,1032,1023,562,394,112,57,4379,3,8,4,8,28,98,39,63,253,98,54,27,22,3,10,714,10,6,0,8,8,67,81,195,1085,609,328,177,166,24,56,2815,0,0,3,6,6,27,13,34,151,114,95,56,36,3,25,571,11,9,9,14,10,189,346,331,817,306,70,190,38,9,121,2473,4,25,51,62,96,322,152,139,247,56,26,29,6,3,35,1247,0,0,3,14,11,42,35,32,93,30,9,14,9,0,25,317,6,0,0,0,7,9,3,7,56,24,31,14,11,8,14,182,197,400,164,114,4782,2759,442,454,1299,162,53,33,33,23,347,11250,13,14,0,9,159,68,4,14,57,4,3,4,0,4,1349,1703,254,470,240,234,5110,3636,1136,1326,5072,2437,1685,1108,719,189,2043,25651,18,9,8,4,12,37,19,76,812,1069,1121,863,690,271,663,5655,0,6,3,9,14,69,37,100
108,28,30,16,5,45,134,29,102,1197,570,337,183,114,42,59,2892,6,27,11,22,94,193,62,114,312,67,42,16,9,15,12,1005,12,12,9,16,37,147,135,240,1013,369,157,77,65,21,41,2345,9,3,5,6,17,36,22,41,156,65,36,21,14,5,18,457,14,6,6,29,30,237,328,231,434,139,36,62,21,4,64,1637,8,20,47,85,179,470,210,154,243,54,27,11,12,4,43,1569,5,3,10,9,13,60,38,22,55,9,5,10,0,3,21,266,5,4,3,0,9,19,5,14,69,21,7,11,6,0,16,187,168,421,172,143,5410,3375,646,660,1775,237,99,33,37,34,472,13688,14,13,4,0,150,90,18,19,50,5,4,0,0,6,1343,1726,259,550,288,325,5971,4768,1485,1602,5314,1539,748,425,270,136,2090,25770,6,11,11,10,37,94,50,89,830,709,491,248,154,45,363,3152,5,4,7,8,19,109,72,141
109,62,20,5,8,46,119,21,68,1059,596,378,140,102,34,66,2721,3,0,4,6,36,72,24,49,138,37,16,10,4,4,11,416,14,3,5,14,19,106,90,173,801,275,111,60,51,22,40,1772,4,0,3,0,3,29,12,20,126,43,36,15,10,0,13,309,13,11,9,17,8,159,184,163,288,91,24,40,23,3,75,1105,6,18,28,30,72,179,73,66,109,14,11,9,3,3,27,658,0,5,0,3,11,30,21,19,42,3,3,5,0,3,14,158,3,3,0,0,7,8,3,3,53,19,16,7,0,4,23,144,76,148,50,31,1740,918,207,177,494,42,19,16,11,17,181,4131,8,4,5,3,60,44,13,6,24,8,4,0,0,0,783,959,190,216,120,113,1995,1653,642,751,3129,1136,613,298,200,84,1234,12367,19,16,10,10,28,77,32,65,590,585,432,245,128,73,354,2670,0,3,3,8,9,30,12,30
110,84,44,18,19,71,253,51,126,1536,755,478,233,163,59,99,3986,13,11,6,16,56,132,40,75,225,58,35,8,3,5,26,721,29,17,17,23,38,183,129,255,1053,329,171,77,66,27,66,2476,5,4,5,4,5,31,17,32,157,59,43,22,17,9,26,431,20,3,22,34,37,289,333,223,416,120,51,67,21,11,96,1750,9,22,40,65,119,287,113,96,157,35,19,5,11,4,25,998,5,0,10,4,11,40,37,23,56,11,0,3,0,0,23,231,7,5,0,4,18,23,3,6,60,33,11,7,11,11,27,223,119,272,100,64,2786,1267,249,222,696,80,43,25,23,29,256,6223,12,14,8,4,119,48,18,8,37,8,4,0,0,7,1171,1458,298,396,225,239,3263,2551,991,1066,4394,1497,860,453,312,157,1808,18505,33,28,21,15,34,113,72,116,1070,868,611,359,240,78,550,4211,3,3,8,3,12,48,32,69
