SA4_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
101,56832,23443,2031,7643,89951
102,85380,31956,3712,6141,127190
103,51176,21517,2050,6535,81279
104,35360,14452,1808,5006,56621
105,27729,12392,1121,4777,46016
106,68864,22691,2337,6230,100123
107,75950,25390,3950,5290,110576
108,56249,24574,2523,6642,89980
109,29250,13257,1337,4062,47908
110,45145,19101,2056,6283,72583
111,93845,35715,5944,4843,140341
112,60795,26234,3928,9446,100397
113,38697,15053,1764,4204,59715
114,38987,15538,1366,3793,59683
115,59893,8904,1026,2304,72117
116,84034,15483,2402,4637,106553
117,65587,41706,17382,15530,140208
118,61478,27177,10166,9438,108261
119,139728,37026,7650,9542,193945
120,72397,24739,7819,7060,112013
121,107091,34080,5540,7865,154586
122,65764,19132,3046,4453,92390
123,67078,13989,1651,3745,86467
124,78778,22541,2850,5294,109467
125,106933,27478,6454,7944,148804
126,46321,13360,3084,2459,65229
127,96786,17829,2273,6583,123470
128,58414,16014,1741,2800,78968
197,0,0,0,0,0
199,0,0,0,0,0
