SA4_CODE_2016,Age_74_C16_P,Age_70_74_C06_M,Age_70_74_C06_F,Age_70_74_C06_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_75_C06_M,Age_75_C06_F,Age_75_C06_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_76_C06_M,Age_76_C06_F,Age_76_C06_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_77_C06_M,Age_77_C06_F,Age_77_C06_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_78_C06_M,Age_78_C06_F,Age_78_C06_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_79_C06_M,Age_79_C06_F,Age_79_C06_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_75_79_C06_M,Age_75_79_C06_F,Age_75_79_C06_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_80_84_C06_M,Age_80_84_C06_F,Age_80_84_C06_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_85ov_C06_M,Age_85ov_C06_F,Age_85ov_C06_P,Age_85ov_C11_M,Age_85ov_C11_F,Age_85ov_C11_P,Age_85ov_C16_M,Age_85ov_C16_F,Age_85ov_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
101,2053,3786,3761,7543,4559,4372,8932,5593,5623,11217,671,695,1365,744,743,1480,950,926,1873,621,717,1338,666,736,1402,858,881,1741,602,678,1283,575,642,1213,812,760,1573,565,621,1180,582,596,1182,688,736,1430,531,588,1115,555,615,1176,626,696,1321,2986,3294,6279,3125,3337,6456,3939,4005,7940,1836,2549,4379,2234,2730,4956,2487,2820,5306,1135,2141,3271,1491,2804,4296,1966,3295,5265,98696,99243,197942,103616,104206,207823,109123,109716,218843
102,3038,5688,6649,12336,6334,7106,13440,7846,8716,16555,1117,1337,2452,1029,1244,2270,1309,1518,2826,1104,1371,2470,1017,1290,2314,1281,1332,2620,1083,1323,2406,973,1214,2187,1188,1374,2563,1026,1383,2412,920,1171,2093,1030,1304,2335,973,1277,2251,957,1171,2132,1042,1194,2231,5298,6692,11986,4906,6092,10993,5851,6721,12574,3793,5403,9202,4021,5499,9523,3865,5259,9124,2506,4627,7132,3158,5808,8966,3866,6407,10278,143943,154013,297957,150704,161484,312182,158768,168972,327736
103,1833,3472,3645,7112,3991,4052,8047,5000,4877,9877,646,706,1358,654,761,1416,760,827,1586,560,630,1184,650,699,1345,710,771,1478,538,669,1205,564,653,1221,715,773,1485,510,635,1147,552,580,1131,670,701,1366,466,581,1048,564,617,1176,652,722,1376,2722,3221,5945,2978,3306,6290,3503,3801,7300,1670,2536,4203,2105,2673,4777,2308,2901,5208,1022,2352,3366,1277,2765,4045,1824,3247,5075,94590,95075,189671,98326,98419,196740,102700,103464,206155
104,1329,2689,2758,5442,2958,3097,6053,3775,3812,7587,497,534,1031,526,550,1075,628,664,1293,450,511,959,461,523,990,585,597,1183,461,476,936,433,481,916,541,572,1112,405,430,829,416,454,871,476,579,1054,393,420,818,429,470,897,510,552,1058,2205,2365,4569,2265,2478,4744,2735,2962,5697,1386,1948,3332,1658,1940,3604,1822,2181,4006,920,1703,2616,1170,2107,3280,1528,2526,4052,61499,63972,125469,63795,66811,130602,66583,69704,136288
105,996,2088,2220,4306,2313,2344,4655,2605,2613,5221,392,420,810,412,429,845,423,453,876,403,368,768,328,377,709,391,444,831,357,401,756,334,342,674,382,455,835,350,349,699,286,339,626,367,395,759,280,377,659,292,391,681,334,378,718,1786,1903,3694,1653,1884,3536,1899,2116,4020,909,1368,2279,1240,1556,2801,1199,1533,2728,552,1263,1817,727,1443,2169,1033,1708,2741,57064,57422,114485,56510,57086,113589,56474,57300,113779
106,2066,3605,3955,7559,4378,4469,8841,5954,5901,11848,658,728,1389,786,776,1562,973,907,1883,660,726,1385,616,752,1372,822,853,1676,560,685,1251,589,705,1294,783,854,1631,522,682,1207,590,718,1309,672,782,1449,513,674,1186,552,620,1176,705,792,1497,2918,3502,6417,3142,3570,6708,3954,4185,8139,1871,2696,4569,2123,2910,5030,2465,3075,5538,1080,2294,3378,1445,2823,4267,1877,3341,5219,112058,113697,225753,120897,122349,243247,130635,132782,263416
107,2247,4616,5095,9712,4989,5609,10603,5947,6508,12454,888,990,1878,902,1019,1914,974,1138,2115,864,1007,1877,796,1000,1791,969,1102,2070,785,943,1724,811,931,1743,909,1008,1918,699,850,1555,739,898,1642,885,1049,1932,637,868,1500,737,881,1614,765,998,1763,3869,4666,8536,3981,4720,8705,4497,5299,9795,2519,3588,6105,2976,3931,6906,3213,4056,7268,1414,2808,4223,2064,3736,5802,2721,4612,7332,130024,133512,263537,136179,139803,275983,144488,149005,293494
108,2731,4977,5144,10123,5726,5861,11587,7413,7495,14904,934,961,1896,1032,1034,2064,1143,1183,2325,871,1026,1898,879,972,1854,1167,1222,2392,856,932,1785,821,948,1769,1053,1086,2142,860,913,1772,869,876,1748,974,1000,1978,751,874,1622,786,882,1671,943,1036,1985,4274,4699,8973,4390,4713,9100,5284,5532,10815,2874,3641,6519,3270,3920,7189,3425,4014,7443,1680,3128,4812,2396,4012,6403,3030,4718,7749,94128,98600,192729,97970,103140,201110,103296,108901,212201
109,1125,2073,2150,4230,2487,2562,5051,2976,3035,6011,419,438,855,434,466,898,509,563,1072,409,440,854,369,409,784,439,463,901,343,421,764,373,385,758,462,509,970,323,364,689,327,346,676,400,443,844,317,353,672,284,392,674,403,421,823,1815,2012,3825,1789,1998,3785,2205,2394,4607,1158,1531,2691,1417,1621,3036,1439,1739,3181,615,1397,2014,914,1650,2567,1264,1939,3208,54451,55169,109621,54552,55765,110317,57060,58743,115803
110,1696,3211,3250,6468,3708,3880,7592,4420,4480,8900,534,628,1160,617,658,1272,682,808,1495,509,614,1126,555,641,1199,653,756,1414,462,576,1034,516,523,1042,668,716,1385,497,589,1082,491,565,1059,620,655,1277,409,525,937,494,498,995,541,677,1219,2411,2927,5342,2679,2891,5575,3171,3623,6791,1492,2199,3690,1719,2427,4144,2056,2435,4497,961,2130,3097,1206,2416,3621,1470,2780,4248,85115,87277,172396,86906,89288,176193,89260,92299,181555
111,2810,5701,6534,12234,6138,6953,13087,7692,8437,16123,1106,1313,2422,1107,1352,2458,1250,1316,2560,1074,1302,2372,999,1175,2171,1116,1323,2430,998,1284,2285,1004,1155,2158,1059,1315,2374,1062,1381,2443,897,1179,2076,1022,1251,2279,836,1225,2061,873,1122,1990,1000,1204,2203,5078,6506,11586,4878,5972,10849,5443,6407,11850,3689,5308,8999,3835,5516,9349,3808,5116,8920,2144,4769,6913,3043,5685,8728,3517,6408,9928,161355,168608,329959,167926,174679,342605,176033,183073,359106
112,2228,4381,4896,9278,4716,5138,9855,6127,6412,12542,865,994,1854,842,937,1773,976,1071,2047,814,986,1801,784,1017,1800,958,1072,2030,808,922,1729,726,906,1627,864,1024,1885,804,881,1684,739,859,1598,869,920,1789,711,852,1562,729,840,1567,817,949,1768,4004,4634,8639,3824,4549,8378,4480,5035,9517,2780,3689,6468,3103,3932,7035,3106,3929,7040,1751,3171,4918,2396,4108,6509,3063,4981,8042,106949,112382,219328,110591,117026,227620,116256,123343,239604
113,1217,2455,2621,5075,2825,2904,5727,3191,3378,6562,395,510,912,464,506,966,567,613,1180,435,453,886,458,496,953,542,584,1126,409,473,885,405,487,890,485,572,1058,387,475,862,366,457,823,468,541,1012,376,451,827,390,441,827,451,492,938,2003,2374,4370,2080,2387,4461,2517,2801,5318,1292,1923,3215,1526,1983,3514,1663,2084,3742,766,1713,2476,1033,2093,3125,1425,2528,3951,74063,74135,148201,74871,75251,150119,77726,78206,155934
114,1671,3194,3318,6512,3834,3871,7700,4825,5069,9890,563,621,1187,654,715,1372,818,818,1640,574,599,1172,601,623,1230,788,778,1565,560,593,1151,559,557,1121,682,740,1421,518,518,1032,528,560,1089,669,692,1361,459,541,1001,491,582,1073,608,640,1254,2677,2863,5542,2840,3046,5883,3562,3683,7244,1620,2060,3682,2043,2389,4431,2234,2594,4829,895,1723,2619,1403,2338,3737,1843,2743,4588,63758,66919,130682,66878,70130,137006,72084,75273,147363
115,1412,2031,2073,4105,2995,2929,5923,4199,4288,8487,373,378,748,475,455,930,597,657,1257,342,394,744,394,457,850,589,591,1176,327,379,708,358,404,761,476,538,1011,323,373,691,324,338,665,518,547,1061,261,366,632,306,339,644,451,486,942,1625,1890,3513,1857,1996,3851,2628,2822,5451,1035,1690,2722,1327,1738,3071,1625,1895,3515,752,1757,2501,1044,2144,3188,1458,2541,4003,98457,101074,199529,104020,106397,210411,112397,115348,227739
116,1365,2622,3124,5743,3181,3452,6636,4176,4466,8636,473,520,996,542,612,1151,678,734,1413,455,584,1041,427,557,987,533,627,1152,392,472,865,408,530,941,571,619,1192,343,461,804,375,524,899,479,601,1078,331,446,776,380,506,886,469,544,1013,1993,2488,4476,2136,2735,4865,2723,3127,5854,1138,1781,2925,1441,2016,3454,1631,2255,3883,579,1374,1957,857,1934,2794,1258,2314,3575,135940,137979,273920,150740,152784,303531,168934,170700,339637
117,1205,2943,2780,5725,3027,3026,6053,3490,3588,7079,505,513,1016,504,524,1027,589,618,1205,514,486,1004,506,495,995,522,547,1065,452,501,951,464,465,923,506,580,1085,439,480,918,455,504,957,465,503,966,397,433,836,367,406,775,424,525,951,2308,2411,4721,2287,2392,4682,2504,2771,5274,1408,1845,3258,1560,1869,3427,1759,2015,3777,875,1754,2621,955,1830,2783,1315,2111,3426,127056,117614,244671,136859,127687,264544,161061,154483,315551
118,1506,3172,3631,6804,3400,3922,7319,4114,4680,8795,628,760,1382,572,661,1233,661,801,1456,611,765,1375,519,660,1177,660,770,1425,591,766,1360,542,620,1163,612,719,1333,560,709,1266,499,651,1145,576,747,1324,555,699,1250,473,576,1044,521,656,1177,2943,3692,6634,2604,3159,5768,3029,3697,6721,2255,3473,5727,2180,3098,5280,2160,2839,4998,1594,3272,4865,1958,3780,5733,2306,4037,6342,114806,120690,235498,121601,127945,249545,129505,137524,267037
119,3256,7685,8553,16243,7947,8790,16735,9062,9514,18581,1439,1681,3113,1483,1681,3161,1507,1687,3186,1436,1631,3068,1399,1584,2982,1507,1712,3227,1306,1659,2964,1353,1541,2892,1405,1709,3115,1364,1635,2996,1229,1485,2713,1270,1580,2856,1249,1634,2880,1144,1404,2547,1309,1537,2848,6795,8232,15026,6603,7692,14298,7002,8229,15230,4793,7078,11871,5145,6753,11896,5357,6648,12011,3122,6305,9423,3996,7464,11458,5108,8313,13419,241667,249325,490997,258319,265287,523610,282753,288670,571416
120,1564,3434,3817,7252,3526,4081,7608,4173,4745,8916,627,743,1371,652,758,1412,692,759,1452,648,742,1395,592,743,1341,690,826,1513,575,746,1319,601,698,1306,609,735,1345,579,668,1246,574,648,1225,600,720,1326,521,648,1172,532,644,1170,547,748,1290,2950,3552,6498,2958,3497,6454,3143,3789,6927,1928,2952,4876,2313,3026,5335,2408,3103,5519,1436,3021,4461,1700,3498,5197,2259,3896,6153,117925,125175,243105,127950,135610,263561,142436,150867,293301
121,2648,4625,5373,9994,5555,6252,11808,6968,7939,14903,865,1109,1974,902,1140,2047,1122,1354,2477,874,1072,1946,893,1014,1906,1131,1241,2370,857,1164,2023,799,964,1760,970,1220,2194,783,1112,1902,783,968,1750,946,1089,2030,791,1030,1824,765,935,1703,906,1016,1922,4178,5483,9669,4148,5021,9164,5073,5921,10997,3194,5062,8259,3328,4668,7997,3517,4577,8093,2364,5620,7990,2984,6154,9130,3699,6440,10139,169239,183298,352538,180122,194545,374663,194785,210572,405356
