SA4_CODE_2016,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus
101,4830,72791,1881,86852,6,33,11,726,39,814,799,75,70,429,21,1397,714,113,41,200,39,1112,1646,465,376,814,52,3346,11639,5959,4512,59158,1878,83151,675,28,147,14,12,886,304,96,60,478,17,949,2253,636,476,5416,146,8929,635,134,57,439,36,1302,385,94,28,114,10,639,706,44,29,47,17,837,2013,1399,902,22020,471,26804,1828,624,208,1925,117,4705,80,13,9,4,0,110,215,81,21,143,18,485,975,138,42,146,20,1321,467,134,60,281,18,958,369,115,84,78,17,666,636,329,244,126,23,1353,702,138,86,279,26,1232,253,64,34,113,13,474,2924,1585,1192,15176,365,21236,418,56,23,43,14,556,282,47,42,21,0,392,253,36,28,149,10,477,101,17,7,15,0,141,64,6,0,3,3,76,201,17,10,3,4,234,418,157,104,629,19,1324,5350,1082,789,1774,163,9160,572,194,150,3465,10409,14786,32506,12459,8895,139288,14674,207823,966,6816,5207,76178
102,8892,106706,3447,133150,4,61,21,842,28,952,1854,153,187,613,53,2863,535,129,47,175,15,901,2200,675,398,1220,64,4555,23569,11563,8036,84948,3417,131530,1271,82,327,53,30,1757,559,128,103,773,39,1604,2343,776,555,5907,176,9763,909,277,105,694,48,2032,478,114,46,129,11,768,979,128,95,106,40,1346,4364,2523,1483,27559,776,36705,2345,947,335,3216,153,6991,349,11,20,18,6,394,331,117,42,225,31,751,75,18,8,23,3,126,1321,413,173,912,71,2894,1216,324,190,174,47,1955,1387,719,508,234,74,2926,769,164,100,361,23,1422,521,81,69,165,13,848,5417,2743,1874,19629,543,30203,240,36,9,55,12,352,865,142,94,62,8,1171,765,66,75,298,39,1236,137,49,18,32,0,235,141,37,19,17,0,207,166,18,20,6,4,213,794,297,168,818,35,2109,7697,2217,1336,2703,429,14374,1038,446,327,5067,13797,20670,54864,23281,15683,196969,21387,312182,1684,13931,9672,109393
103,3523,78565,2177,89384,0,28,8,887,81,1001,641,67,63,385,31,1179,200,75,16,76,8,375,924,358,241,714,27,2262,6353,4450,3356,64271,2069,80503,474,18,143,23,17,670,156,50,23,507,16,755,1091,441,304,5072,150,7056,253,100,32,272,12,673,185,55,17,78,4,342,381,17,21,37,7,463,1226,999,605,22161,568,25563,765,385,158,1643,65,3016,68,10,8,6,3,94,150,62,12,147,8,384,43,7,7,4,0,66,243,101,61,242,12,660,331,127,51,92,30,627,397,223,195,149,37,1009,388,127,46,235,5,804,199,37,28,119,4,378,1688,1184,871,14551,366,18661,91,17,4,23,0,134,271,32,21,24,3,355,140,20,25,120,9,316,87,15,16,4,0,117,51,16,0,3,0,68,97,0,5,3,8,111,259,91,69,544,21,975,3074,723,410,1457,174,5845,388,177,125,4492,10025,15210,17675,9009,6337,149058,14667,196740,544,4973,3639,82447
104,2944,48231,1389,56949,0,15,3,845,26,893,447,49,45,295,16,858,96,22,3,39,6,164,927,300,160,434,30,1849,7153,3871,2799,39816,1404,55047,327,12,111,15,14,471,200,51,37,375,11,680,1096,311,241,4001,128,5777,131,86,16,166,10,415,135,36,14,51,12,251,777,59,86,60,38,1019,1210,841,498,13036,352,15941,555,276,93,1241,67,2231,33,0,0,3,0,43,37,19,6,67,5,126,18,3,0,13,0,30,160,60,46,179,5,450,175,77,48,57,7,365,401,196,164,87,16,862,250,70,34,144,9,502,86,43,14,78,3,217,1622,1047,673,10382,240,13965,28,6,0,10,0,47,232,29,26,17,10,314,115,18,28,130,15,304,34,5,0,12,5,51,24,12,0,0,3,35,50,0,3,4,0,61,259,70,45,358,6,737,2883,718,511,1179,123,5411,342,144,86,2358,5255,8179,16901,7573,5406,92386,8349,130602,557,4239,2997,48608
105,1488,48895,1448,54146,0,34,3,2709,84,2836,321,23,37,352,21,758,95,16,11,42,0,163,353,128,109,258,9,859,2277,1879,1301,36486,1216,43162,250,4,55,9,7,324,54,32,22,260,12,369,441,181,123,3403,72,4220,145,45,19,189,16,406,77,22,3,32,0,136,261,21,13,56,12,358,488,432,268,11193,243,12621,349,198,46,894,36,1528,29,0,3,0,0,34,64,23,9,95,11,195,16,3,4,4,0,24,125,79,30,223,4,469,161,44,27,39,11,289,174,93,71,72,13,418,123,33,26,105,8,300,59,9,13,35,0,113,659,487,343,7823,176,9493,58,7,0,0,0,66,112,21,17,18,3,171,62,7,6,83,0,165,88,9,4,3,3,108,13,9,0,3,3,24,39,3,5,0,0,44,71,51,18,266,6,411,1265,284,186,719,65,2515,200,79,60,2910,6381,9630,7290,3948,2661,90459,9224,113589,225,2139,1472,49475
106,5181,96768,2355,111614,0,17,9,722,20,777,780,72,72,337,23,1288,257,70,13,90,8,427,1224,443,308,885,43,2907,10429,6484,4702,78823,2444,102885,723,32,236,35,21,1050,263,65,43,546,18,933,1504,658,475,7530,176,10345,260,124,27,357,5,775,185,60,35,103,8,388,480,32,21,56,11,589,1860,1149,712,21218,457,25390,758,377,131,1727,64,3059,92,4,9,9,3,113,99,47,15,111,7,282,72,20,10,36,0,134,332,126,72,289,16,835,506,173,83,130,28,912,735,374,269,182,35,1591,803,156,115,525,25,1616,194,38,29,122,4,388,2756,1783,1286,17899,381,24104,89,16,6,9,0,129,455,39,51,25,3,576,193,47,22,220,9,497,61,23,10,12,0,101,32,3,0,5,0,38,73,3,6,4,0,92,479,215,100,886,21,1705,3575,972,696,1896,128,7273,467,212,177,5027,11044,16927,25121,12639,9132,180316,16037,243247,790,7599,5595,104661
107,7782,78647,2365,101336,0,42,34,732,33,844,3965,94,151,381,97,4694,1708,248,112,356,36,2459,2290,779,448,1246,70,4825,20014,9805,7457,58283,2251,97812,1243,67,249,36,65,1661,442,104,75,542,17,1182,3513,1039,687,4970,160,10377,2136,406,212,1038,86,3878,695,131,42,175,14,1056,1242,62,57,53,26,1432,3287,1863,1371,19904,494,26923,7253,1763,754,4366,270,14402,266,8,23,19,3,312,1173,219,135,206,70,1801,6517,669,269,911,233,8601,1542,469,213,845,76,3141,698,185,112,116,32,1137,804,400,265,161,33,1659,1289,259,151,425,38,2152,312,43,33,131,10,532,5366,2577,1942,14372,389,24649,1823,185,66,187,60,2323,417,80,64,16,9,588,1941,272,162,422,60,2861,230,22,21,15,8,297,1219,127,74,42,56,1518,854,34,20,15,26,942,1153,365,267,826,33,2638,12773,2075,1412,2397,400,19055,1653,435,280,3487,9420,15282,78617,21967,15268,144678,15453,275983,1998,11894,8607,82223
108,4256,75946,2369,88983,0,27,15,1810,78,1940,452,70,79,348,32,977,174,40,13,43,6,280,1334,401,203,583,42,2557,11203,5723,4123,64469,2203,87725,440,19,135,9,20,622,259,102,57,556,17,989,1391,475,327,5166,134,7493,221,101,17,304,12,659,188,71,20,82,7,364,285,30,36,55,14,421,1739,1154,748,18910,497,23052,696,381,106,1581,57,2812,35,0,4,4,3,46,68,59,16,161,0,300,32,9,5,20,0,56,407,125,69,305,21,933,201,94,63,101,12,472,574,300,196,111,21,1206,364,92,33,188,15,696,142,30,25,90,3,284,2508,1385,1030,14506,375,19803,56,3,4,20,0,81,263,50,33,22,3,378,148,44,22,203,13,432,44,5,0,9,0,59,24,6,0,0,0,34,71,8,5,0,4,91,336,133,77,482,18,1040,2790,848,534,1611,159,5936,367,201,167,4087,8870,13701,22911,11056,7655,145769,13719,201110,687,6467,4459,80880
109,1849,40809,1240,46589,3,11,13,508,28,555,251,28,24,195,11,507,127,42,16,55,10,253,740,223,137,453,20,1571,3685,2424,1775,34935,1062,43883,338,15,80,12,6,447,62,25,12,226,7,335,795,366,198,5666,132,7156,197,66,21,192,17,484,119,31,11,33,5,187,448,22,16,20,8,512,653,541,338,12142,281,13953,811,304,104,1548,62,2835,40,0,0,3,3,50,56,24,10,79,7,176,14,3,0,5,0,24,66,33,11,81,4,202,188,28,32,42,18,312,252,111,100,50,7,527,230,61,27,152,16,490,75,11,8,58,3,159,998,650,460,9437,181,11721,63,8,0,15,0,90,108,13,13,13,0,150,82,14,4,137,8,242,50,9,5,0,0,61,17,3,0,3,0,24,32,0,3,0,0,33,143,48,39,266,3,498,1869,374,227,899,92,3465,228,87,77,2386,4687,7470,11168,4952,3471,83431,7298,110317,384,2634,1889,42504
110,2745,74626,2010,83362,0,31,19,2102,57,2202,738,71,44,493,26,1369,48,19,4,22,0,95,623,255,152,492,13,1542,4573,3431,2520,58025,1847,70398,383,16,76,14,26,526,160,45,31,390,7,628,867,345,227,6302,132,7868,111,47,17,170,7,356,109,29,9,45,0,188,305,21,19,43,4,389,859,677,474,17844,439,20289,349,197,53,1142,42,1777,89,0,0,3,0,94,81,36,13,112,8,258,8,3,0,4,0,15,125,61,29,139,4,357,184,61,60,93,9,397,342,174,146,73,16,748,145,53,32,146,11,382,92,17,19,58,0,192,1220,902,631,14396,332,17485,33,7,0,4,3,49,249,37,24,20,5,330,88,18,17,164,5,286,48,8,5,3,0,69,18,8,0,4,0,27,93,4,3,0,6,102,187,86,48,426,14,761,2543,575,411,1148,129,4804,226,146,92,4136,8432,13043,12643,6796,4887,139300,12569,176193,430,3748,2882,76500
