SA4_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
101,512,241,134,59,943,598,209,79,36,925,953,409,133,73,1573,527,233,67,15,849,324,139,43,22,528,121,56,19,5,199,88,63,13,10,174,49,25,11,3,92,397,286,105,57,846,140,50,14,14,223,4945,2392,871,381,8589
102,933,520,251,88,1802,1214,458,213,96,1984,1977,955,315,122,3369,1093,555,168,65,1879,550,336,101,34,1019,206,133,39,10,386,131,124,42,14,311,69,40,9,3,118,750,562,238,86,1629,222,86,30,5,345,9431,5010,1791,634,16863
103,618,300,157,66,1142,603,234,99,72,1003,918,401,162,71,1559,439,209,64,11,720,254,127,37,18,431,69,35,5,3,119,55,37,19,8,111,28,11,0,0,45,363,245,120,81,812,163,79,23,11,279,4951,2433,1035,462,8879
104,516,245,110,57,926,517,242,93,51,907,771,361,106,46,1275,287,160,45,26,518,151,62,19,12,242,40,25,0,0,72,27,22,4,6,55,22,5,0,0,35,284,209,97,51,641,104,45,20,4,170,3818,1972,684,338,6800
105,334,177,120,48,682,399,160,72,53,679,561,260,106,63,991,235,113,40,21,412,147,70,30,13,257,39,33,8,4,73,40,19,7,6,71,26,4,3,0,33,244,163,81,54,535,154,71,26,25,282,3059,1609,732,392,5786
106,753,469,256,89,1575,845,341,126,94,1408,1350,631,218,95,2299,627,402,106,40,1177,314,197,49,20,584,131,60,11,7,214,83,68,24,5,171,49,19,14,3,77,454,339,156,83,1032,157,91,43,9,299,6582,3721,1428,619,12349
107,861,417,163,63,1500,932,386,124,63,1502,1595,733,211,74,2611,859,455,146,50,1501,495,317,65,23,899,190,124,46,14,368,120,102,28,12,263,75,54,18,4,148,554,433,174,86,1248,172,67,22,10,273,7688,4079,1321,494,13577
108,730,368,180,88,1368,897,321,103,94,1421,1114,479,144,82,1813,463,247,68,36,813,187,84,29,15,317,62,31,3,3,105,39,32,13,4,93,35,8,5,0,51,451,319,129,74,979,202,66,35,19,328,5911,2853,1036,571,10374
109,292,142,72,28,538,346,120,54,31,558,490,224,67,31,804,204,127,41,16,395,110,58,10,5,182,42,23,4,0,73,30,13,13,0,55,18,7,3,0,29,201,110,65,29,408,77,36,13,14,147,2571,1273,510,201,4548
110,551,274,157,72,1053,577,211,108,75,977,862,384,108,71,1433,406,181,72,25,692,170,87,19,11,275,64,32,13,3,110,39,19,18,4,82,28,12,3,3,46,329,214,109,81,738,163,74,34,22,293,4527,2251,977,517,8280
111,1123,508,211,90,1936,1216,480,179,80,1958,2224,918,321,111,3570,1122,591,154,45,1917,610,325,86,13,1036,233,133,36,10,407,134,124,28,4,286,88,44,15,3,157,756,459,195,76,1486,198,81,19,10,304,9981,4911,1619,590,17101
112,836,400,184,84,1498,913,337,109,64,1431,1491,639,176,63,2363,607,316,75,37,1033,269,156,40,17,482,92,55,14,7,166,49,46,16,5,112,37,12,9,0,53,558,389,130,76,1150,166,73,29,16,281,6977,3394,1054,456,11888
113,363,167,113,54,696,458,176,83,48,770,704,288,123,48,1167,353,176,64,13,604,164,76,23,8,278,67,33,11,3,113,38,34,17,8,99,31,13,3,0,47,252,172,93,57,571,120,50,19,22,212,3481,1740,768,365,6351
114,419,214,103,44,774,497,192,84,41,812,727,317,91,53,1190,292,159,46,17,515,180,91,30,9,310,45,28,14,9,96,30,31,6,4,71,29,20,4,0,50,281,237,88,39,649,87,51,16,8,159,3522,1856,661,287,6328
115,215,138,36,10,392,264,155,40,22,475,659,339,112,25,1142,511,297,73,14,894,366,281,64,13,729,198,128,30,10,364,174,163,50,23,411,108,120,28,15,268,265,242,97,22,627,54,28,9,3,89,3389,2220,649,178,6440
116,785,424,235,150,1592,896,394,202,108,1599,1775,844,287,185,3086,967,582,190,103,1838,659,403,105,61,1222,275,221,69,30,601,159,177,79,36,448,63,80,38,23,206,478,412,222,152,1261,246,107,42,38,433,8201,4792,1956,1118,16065
117,446,117,30,12,602,542,133,31,9,708,972,323,71,19,1390,693,246,51,12,1005,487,208,25,8,726,204,74,19,4,296,265,148,21,0,436,151,82,19,3,254,434,207,73,19,729,116,31,12,6,159,5462,2015,457,116,8052
118,316,106,26,12,464,442,123,23,10,599,930,356,79,14,1381,730,255,57,11,1049,560,248,43,3,857,218,101,11,3,338,349,229,46,6,631,222,120,25,8,372,419,315,89,29,853,99,32,8,0,144,5147,2265,495,100,8011
119,1342,509,268,107,2218,1579,512,195,83,2371,2896,1146,374,153,4564,1791,807,202,79,2880,1067,587,160,57,1874,526,325,92,28,974,290,333,114,56,796,163,169,64,34,421,890,719,290,153,2049,263,118,44,27,452,14193,6956,2418,1051,24621
120,501,144,39,12,690,578,192,29,14,810,1289,445,82,17,1829,857,359,66,13,1292,652,297,57,15,1013,327,128,25,4,490,317,229,49,10,607,171,113,36,5,327,440,326,79,22,861,82,32,11,3,126,6533,2751,579,141,10003
121,411,163,30,10,621,529,190,44,7,766,1366,523,106,27,2022,1021,474,109,16,1611,828,419,67,15,1331,380,155,47,5,583,520,392,105,12,1030,388,223,51,18,678,573,484,157,26,1241,94,31,12,0,138,7390,3631,871,169,12055
122,278,127,41,8,460,398,180,39,13,629,953,432,108,23,1514,691,322,71,8,1094,535,284,79,15,910,232,104,22,6,365,209,213,59,8,490,146,105,30,13,299,428,342,131,24,919,86,43,10,3,136,4572,2481,690,138,7884
123,660,367,209,109,1346,730,328,164,76,1293,1451,686,250,115,2500,841,467,143,68,1514,490,317,90,32,929,223,168,49,18,454,135,133,49,25,343,63,51,30,11,147,469,424,173,118,1185,169,82,27,25,311,6730,3983,1616,758,13085
124,752,396,214,71,1440,857,388,160,82,1498,1856,839,279,116,3091,1129,528,135,67,1857,703,366,115,34,1215,301,202,47,14,574,164,178,62,15,425,89,63,18,14,187,528,456,194,81,1254,172,77,28,15,295,8360,4513,1591,657,15126
125,889,375,188,89,1548,997,338,123,86,1554,2092,817,251,115,3283,1232,571,159,68,2031,753,438,124,48,1360,356,212,56,29,652,198,210,57,34,503,115,101,40,19,271,623,471,169,120,1391,198,83,30,24,338,9828,4843,1621,830,17126
126,253,95,26,5,372,306,109,29,9,455,712,273,55,15,1056,541,211,41,0,793,366,177,31,3,575,175,103,20,3,294,156,142,29,5,339,106,84,21,13,220,260,160,57,13,490,34,30,3,0,72,3608,1671,370,82,5737
127,1051,563,279,145,2042,1242,599,215,134,2192,2131,1142,403,173,3849,1189,729,270,110,2298,644,486,177,84,1383,268,252,97,42,658,192,246,108,58,593,74,103,57,39,284,636,539,280,162,1619,270,137,58,35,497,10525,6601,2628,1255,21012
128,333,152,40,16,539,429,190,52,13,693,982,432,99,30,1544,685,328,92,14,1127,526,240,55,7,827,247,150,32,3,437,172,163,52,11,393,116,96,37,3,247,381,301,109,39,826,73,41,12,3,135,4635,2479,677,173,7960
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
