SA4_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
101,41,20,105,158,687,2501,127,84,1966,3295,5265,44919,44527,3201,3157,8379,9684,2707,8676,29810,25021,89016,91060,180076
102,63,43,220,395,1413,4665,149,183,3866,6407,10278,61857,62039,4701,5864,11885,17383,4251,14661,44915,39759,127602,139707,267307
103,23,30,83,126,658,2468,92,138,1824,3247,5075,39639,39221,2898,3135,6982,7997,2536,8586,29550,24709,81605,83644,165251
104,38,15,67,124,502,1901,70,62,1528,2526,4052,26277,26285,2153,2476,5774,7235,1840,6298,18308,15785,54349,58077,112427
105,10,10,66,70,359,1290,41,64,1033,1708,2741,20382,20108,1730,1836,3906,4189,1477,4854,17421,15243,44921,46226,91150
106,32,9,97,152,669,2563,90,105,1877,3341,5219,51392,51228,3756,4156,8936,11189,2829,9449,36362,30859,103276,106875,210150
107,38,19,101,201,919,3492,82,102,2721,4612,7332,57699,57849,3398,4074,8703,12295,3178,11497,43914,37111,116898,122829,239730
108,39,30,162,218,1037,3482,99,118,3030,4718,7749,43026,43000,3503,3828,9456,11211,3469,11256,26099,22642,85557,91932,177488
109,9,6,66,67,467,1501,69,53,1264,1939,3208,23273,23358,1606,1722,4070,4720,1604,5000,15574,13417,46131,48220,94353
110,20,17,70,109,515,2142,64,106,1470,2780,4248,34488,34408,2622,2880,5919,6809,2261,7837,25863,22838,71154,74766,145922
111,44,34,169,270,1320,4833,98,189,3517,6408,9928,67823,67959,4380,5159,11769,16501,4196,14782,55132,48003,143301,152388,295691
112,52,30,188,298,1052,3685,120,157,3063,4981,8042,44162,44202,3430,4012,10289,13686,3206,10948,34094,30502,95176,103343,198521
113,23,13,44,79,497,1976,66,83,1425,2528,3951,30940,30254,2065,2223,4431,5139,1776,6395,22603,19019,61810,63034,124846
114,33,11,94,155,630,1929,59,84,1843,2743,4588,31171,31013,2096,2298,5574,7419,2199,6795,18396,15711,59435,63242,122671
115,25,13,48,112,448,1870,34,90,1458,2541,4003,54135,54803,1558,2038,3888,6196,1494,6058,27081,23525,88161,92620,180785
116,22,19,68,137,454,1773,54,63,1258,2314,3575,68857,68413,3800,4828,7020,10366,2233,9212,47265,40326,129170,133145,262316
117,41,20,101,164,348,1483,178,175,1315,2111,3426,42549,41649,3118,3123,9288,11430,1474,6015,89194,77454,145631,139665,285297
118,36,25,123,295,654,2779,230,340,2306,4037,6342,44646,44504,2233,2615,6531,10061,1731,7840,53601,52516,108747,117535,226282
119,90,45,206,365,1650,6261,232,292,5108,8313,13419,120085,119516,6260,8007,14038,21089,4740,20125,82369,68102,227488,236840,464334
120,44,35,93,215,671,2837,168,275,2259,3896,6153,57699,57969,2481,3174,7123,11014,1935,8783,49646,47253,118885,128189,247072
121,53,25,156,358,1132,4466,163,412,3699,6440,10139,89130,90826,2921,3687,8189,14679,2858,12072,53101,52906,156196,174176,330375
122,37,18,133,322,808,3193,76,180,2456,4489,6945,53353,53587,2162,2589,6627,10268,2123,8444,33584,30289,97849,105173,203023
123,22,15,50,101,402,1586,37,43,1090,2083,3174,51113,51275,3225,4278,6478,9877,1867,6980,36239,32756,98925,105160,204085
124,29,18,81,196,603,2287,75,122,1557,3017,4571,57954,57922,3914,4888,8952,13697,2562,9092,45249,40554,118630,126160,244791
125,56,29,116,216,978,3669,117,176,2761,4823,7583,98434,94677,4811,5747,10288,14498,3194,13336,65551,49384,182276,177642,359916
126,13,9,61,169,587,2219,86,233,1790,3141,4930,40012,40438,1312,1589,3366,5689,1422,5884,26804,24707,72914,78304,151220
127,49,35,70,156,656,2625,72,90,2111,3432,5545,81035,80928,5218,6805,10106,14661,2710,12918,57757,48443,156827,163744,320571
128,23,18,67,217,731,2808,81,112,2123,3824,5949,47249,47479,2000,2537,5331,8426,1997,7645,28444,25223,85021,91312,176329
197,0,0,0,0,3,3,0,0,3,7,10,102,119,3,8,10,29,7,21,26,35,157,220,374
199,6,0,9,9,8,26,7,3,32,48,78,1157,1181,635,257,980,569,143,185,4049,2395,6958,4590,11545
