SA4_CODE_2016,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950_over_REA,C11_950_over_ST_HA,C11_950over_Pe_no_sa_ho,C11_950ov_H_co_op_c_ch_gr,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T,C16_0_74_REA,C16_0_74_ST_HA,C16_0_74_Per_no_sa_ho,C16_0_74_Ho_co_op_c_c_g,C16_0_74_Oth_land_typ,C16_0_74_LLT_NS,C16_0_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Pe_no_sa_ho,C16_75_99_H_c_op_c_c_gr,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Pe_no_sa_ho,C16_100_149_H_c_o_c_c_g,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Pe_no_sa_ho,C16_150_199_H_c_o_c_c_g,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Pe_no_sa_ho,C16_200_224_H_c_o_c_c_g,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Pe_no_sa_ho,C16_225_274_H_c_o_c_c_g,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Pe_no_sa_ho,C16_275_349_H_c_o_c_c_g,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Pe_no_sa_ho,C16_350_449_H_c_o_c_c_g,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Pe_no_sa_ho,C16_450_549_H_c_o_c_c_g,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Pe_no_sa_ho,C16_550_649_H_c_o_c_c_g,C16_550_649_Ot_lan_ty,C16_550_649_Lan_ty_ns,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Pe_no_sa_ho,C16_650_749_H_co_op_c_ch_gr,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Pe_no_sa_ho,C16_750_849_H_co_op_c_ch_gr,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Pe_no_sa_ho,C16_850_949_H_co_op_c_ch_gr,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950_over_REA,C16_950_over_ST_HA,C16_950over_Pe_no_sa_ho,C16_950ov_H_co_op_c_ch_gr,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950_over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Pe_no_sa_ho,C16_R_NS_H_co_op_c_ch_gr,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_T_Pe_no_sa_ho,C16_Tot_Ho_co_op_co_ch_gr,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_T_T
101,3,0,19,119,3,69,0,40,3,233,166,133,287,41,173,35,825,9825,2379,5587,531,1669,740,20739,37,99,598,25,272,522,1542,20,96,58,50,39,6,269,232,675,414,129,101,24,1570,1049,492,674,171,140,33,2557,1054,203,663,47,94,22,2082,2182,230,831,34,193,19,3496,2849,190,983,23,248,18,4308,2403,89,675,10,110,9,3298,576,8,229,3,33,3,850,229,0,75,0,16,4,326,85,0,37,0,11,3,139,32,0,22,0,18,0,76,31,0,13,0,12,0,57,112,0,64,0,66,4,244,191,119,261,49,152,22,798,11076,2215,5592,539,1500,692,21614
102,0,0,17,89,0,32,0,11,0,137,276,235,248,53,81,68,961,19361,3763,6390,667,1134,652,31965,25,154,398,35,70,334,1019,13,141,25,38,17,7,234,54,1378,155,92,93,22,1800,351,658,352,214,263,24,1863,484,305,454,60,99,15,1417,1286,243,677,89,123,20,2443,4802,344,1391,43,112,40,6734,8618,141,1528,21,95,35,10443,3492,9,506,9,31,10,4069,932,10,145,0,15,3,1107,301,4,42,0,5,0,350,118,0,25,0,3,0,148,43,0,13,0,0,0,60,61,0,22,0,8,4,97,271,213,259,66,70,42,923,20862,3606,6000,676,1004,561,32705
103,0,0,26,43,3,36,0,12,3,95,201,195,251,38,193,26,913,10171,3076,4754,512,1302,771,20582,43,158,642,83,337,478,1747,28,135,87,55,39,0,336,436,945,502,111,108,28,2131,1380,646,806,113,121,41,3107,1145,286,703,26,73,15,2249,2416,220,759,32,98,21,3542,3115,182,713,27,85,19,4150,2165,46,340,23,39,9,2627,276,4,58,7,13,0,348,39,7,14,0,5,0,67,9,0,7,0,3,0,25,11,0,4,0,3,0,16,0,0,0,0,6,0,4,11,0,25,0,3,0,41,170,168,259,62,179,34,866,11246,2794,4918,537,1116,650,21254
104,0,0,5,39,0,23,0,17,0,78,118,133,119,37,74,31,510,7699,1688,3792,430,846,422,14875,15,55,286,49,72,208,689,8,49,29,22,22,0,129,74,593,234,78,116,14,1119,340,302,373,121,109,18,1265,425,145,409,36,71,4,1095,1341,133,612,36,105,15,2247,2377,151,864,47,96,31,3563,2454,34,603,10,59,22,3186,700,4,129,4,26,3,872,135,0,37,0,14,0,185,40,3,19,0,17,0,71,15,0,6,0,3,0,25,0,0,3,0,8,0,9,19,0,17,0,11,0,51,132,94,138,44,77,21,510,8078,1579,3751,445,813,341,15013
105,3,0,7,21,0,32,0,9,4,60,80,104,201,39,209,37,671,4511,1932,3190,741,1871,727,12968,29,149,407,81,643,400,1713,16,105,73,139,106,17,456,264,547,452,223,180,32,1693,917,448,630,211,238,25,2466,633,193,457,43,82,15,1424,995,144,415,33,73,13,1670,1158,74,384,13,50,6,1686,729,21,140,3,27,3,919,90,3,23,0,15,0,131,14,0,12,0,7,0,31,6,0,8,0,4,0,20,7,0,3,0,11,0,15,0,0,3,0,3,0,11,10,0,17,0,16,5,46,75,94,202,38,175,33,611,4941,1771,3224,787,1618,551,12894
106,0,0,12,49,3,44,0,16,3,108,271,216,224,52,195,47,1001,13473,3538,4458,444,1940,636,24483,33,143,420,19,206,364,1195,15,148,42,40,13,0,264,200,1086,251,65,90,18,1711,869,764,407,121,136,25,2324,821,293,449,28,99,15,1699,2343,365,732,32,603,28,4094,5564,258,1086,20,203,26,7157,5428,28,690,8,68,18,6240,857,3,153,0,27,3,1035,170,3,48,0,8,0,225,40,7,13,3,8,0,72,16,0,9,0,0,0,24,9,4,3,0,0,0,19,18,0,21,0,7,0,52,237,175,219,42,153,35,865,16614,3269,4545,385,1631,540,26976
107,0,0,28,59,3,35,0,14,0,107,207,454,212,69,73,45,1049,14494,7575,5509,521,753,497,29357,45,340,363,23,61,241,1076,7,262,22,35,9,9,351,90,2681,160,86,74,38,3134,398,1300,339,113,60,22,2241,461,559,334,61,45,19,1474,1399,409,561,54,68,22,2518,3286,614,946,43,82,26,5006,5792,411,1353,30,99,25,7707,3235,42,492,7,34,8,3818,1183,5,171,7,15,0,1385,371,0,80,3,11,3,465,111,3,25,0,5,0,146,56,0,12,0,4,0,78,45,3,22,0,15,0,85,217,373,206,52,61,40,950,16720,7015,5092,518,640,451,30430
108,0,0,6,49,0,42,0,11,0,104,167,152,238,52,126,47,773,11913,2452,4988,750,1130,613,21859,28,85,412,30,135,397,1086,9,75,36,47,20,3,198,164,881,368,110,141,23,1689,869,555,599,265,182,24,2491,923,238,579,73,97,18,1925,2310,219,822,55,99,27,3536,3764,180,967,43,99,34,5091,3237,37,655,18,66,13,4035,840,0,137,8,14,3,997,195,0,27,4,7,7,237,42,4,19,0,7,0,73,14,0,6,0,13,0,43,4,0,3,0,11,0,19,27,3,21,0,22,0,70,192,127,201,62,90,44,723,12622,2414,4853,710,1009,597,22208
109,0,0,10,26,0,22,0,5,0,64,122,72,129,34,124,27,504,6183,1171,2965,401,950,462,12131,35,49,356,54,304,271,1074,50,59,58,54,43,6,277,617,377,426,91,115,18,1643,1495,242,606,68,104,28,2551,849,96,410,24,56,9,1448,1523,94,423,17,57,13,2124,1518,29,286,4,35,4,1871,793,6,117,3,14,3,935,109,0,26,0,16,0,152,17,0,12,0,0,0,29,6,0,5,0,4,0,21,3,0,8,0,0,0,15,0,0,0,0,3,0,4,9,0,23,0,9,0,42,119,62,138,27,146,15,504,7158,1013,2892,342,909,383,12695
110,0,0,4,37,0,51,0,8,0,97,151,132,219,46,303,47,902,9019,2531,4798,728,2053,975,20117,48,107,634,110,648,664,2206,54,124,83,51,61,14,382,463,631,586,154,206,35,2073,1463,643,775,225,188,50,3344,1104,238,647,63,103,20,2183,2181,274,683,59,107,23,3322,2892,99,744,24,96,25,3880,1815,27,345,3,54,5,2250,335,4,74,0,26,0,438,51,0,22,0,6,0,77,7,0,8,0,4,0,18,8,0,3,0,0,0,12,3,3,3,0,0,0,14,17,0,32,0,5,0,58,171,146,264,39,297,40,954,10608,2300,4881,724,1794,880,21198
