SA4_CODE_2016,C16_SH_Tot_NPFH_6_mor,C16_SH_T_T,C16_SDRTHT_0b_NPFH_2,C16_SDRTHT_0b_NPFH_3,C16_SDRTHT_0b_NPFH_4,C16_SDRTHT_0b_NPFH_5,C16_SDRTHT_0b_NPFH_6_mor,C16_SDRTHT_0bTotal,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_T,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_T_T,C16_FUA_0b_NPFH_2,C16_FUA_0b_NPFH_3,C16_FUA_0b_NPFH_4,C16_FUA_0b_NPFH_5,C16_FUA_0b_NPFH_6_mor,C16_FUA_0bTotal,C16_FUA_1b_NPFH_2,C16_FUA_1b_NPFH_3,C16_FUA_1b_NPFH_4,C16_FUA_1b_NPFH_5,C16_FUA_1b_NPFH_6_mor,C16_FUA_1b_Tot,C16_FUA_2b_NPFH_2,C16_FUA_2b_NPFH_3,C16_FUA_2b_NPFH_4,C16_FUA_2b_NPFH_5,C16_FUA_2b_NPFH_6_mor,C16_FUA_2b_Tot,C16_FUA_3b_NPFH_2,C16_FUA_3b_NPFH_3,C16_FUA_3b_NPFH_4,C16_FUA_3b_NPFH_5,C16_FUA_3b_NPFH_6_mor,C16_FUA_3b_Tot,C16_FUA_4mb_NPFH_2,C16_FUA_4mb_NPFH_3,C16_FUA_4mb_NPFH_4,C16_FUA_4mb_NPFH_5,C16_FUA_4mb_NPFH_6_mor,C16_FUA_4mb_Tot,C16_FUA_NB_NS_NPFH_2,C16_FUA_NB_NS_NPFH_3,C16_FUA_NB_NS_NPFH_4,C16_FUA_NB_NS_NPFH_5,C16_FUA_NB_NS_NPFH_6_mor,C16_FUA_NB_NS_T,C16_FUA_Tot_NPFH_2,C16_FUA_Tot_NPFH_3,C16_FUA_Tot_NPFH_4,C16_FUA_Tot_NPFH_5,C16_FUA_Tot_NPFH_6_mor,C16_FUA_T_T,C16_OD_0b_NPFH_2,C16_OD_0b_NPFH_3,C16_OD_0b_NPFH_4,C16_OD_0b_NPFH_5,C16_OD_0b_NPFH_6_mor,C16_OD_0bTotal,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_T,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_T_T,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_T,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_T_T
101,2052,51089,0,0,0,0,0,0,51,6,0,0,0,66,942,235,74,15,6,1278,866,355,230,72,27,1546,93,50,41,26,6,212,50,14,0,0,0,62,2003,661,347,108,43,3161,5,0,0,0,0,5,158,33,7,0,0,204,661,255,97,23,3,1043,181,98,47,18,3,342,20,14,16,10,6,66,29,12,8,0,0,44,1057,411,176,50,13,1713,18,0,0,0,0,16,73,5,3,0,0,83,103,23,12,3,0,141,59,24,23,5,3,117,24,18,14,5,3,71,17,3,0,0,0,21,296,69,48,18,13,443,243,86,59,23,16,423,29008,10842,10215,4632,2130,56832
102,3623,73270,6,0,0,0,0,8,97,7,4,0,0,105,1903,254,85,17,3,2264,2507,1025,635,163,45,4377,144,90,115,77,31,461,97,21,12,3,0,137,4750,1410,860,258,74,7347,3,0,0,0,0,8,136,17,0,0,0,149,1578,356,100,25,6,2070,883,368,228,60,16,1553,78,42,37,18,14,187,58,9,8,0,0,79,2733,793,380,105,42,4054,7,0,0,0,0,12,45,4,0,0,0,52,140,46,16,3,0,198,66,35,28,12,4,140,17,17,25,8,8,65,10,4,3,0,0,11,276,106,69,14,12,485,123,48,28,20,10,231,37924,17756,17999,7934,3762,85380
103,2221,48212,6,0,0,0,0,6,49,8,0,0,0,53,557,133,44,5,0,745,332,135,96,24,7,592,40,24,21,10,3,102,26,4,7,0,0,36,1013,303,172,44,13,1539,3,0,0,0,0,3,62,7,0,0,0,68,287,65,32,7,0,385,73,38,10,3,0,122,7,8,3,5,3,30,10,0,0,0,0,15,438,118,43,14,5,623,8,0,0,0,0,11,27,3,3,0,0,32,40,13,4,5,3,73,89,34,24,19,4,170,52,27,27,21,9,138,8,3,0,3,0,17,220,87,58,45,17,433,194,64,55,32,26,364,24625,9988,9501,4778,2275,51176
104,1434,30916,0,0,0,0,0,0,39,3,3,0,0,42,622,146,60,13,0,838,612,271,137,50,14,1085,68,41,46,20,8,193,35,7,5,0,0,52,1377,475,254,85,27,2218,3,0,0,0,0,3,46,7,0,0,0,53,582,173,61,19,5,836,262,105,60,19,9,462,23,16,10,3,4,56,27,11,3,3,0,48,943,309,138,41,19,1453,33,5,0,0,0,35,102,4,0,0,5,107,146,22,3,8,0,177,59,22,13,6,3,102,13,4,10,0,7,29,27,0,4,0,0,33,379,63,37,12,7,499,164,46,34,16,9,273,18238,6877,5955,2783,1510,35360
105,1385,26021,3,0,0,0,0,3,15,0,0,0,0,18,222,64,18,5,0,308,87,43,28,9,0,170,16,11,6,7,3,39,7,0,0,0,0,6,348,115,54,18,7,548,3,0,0,0,0,3,50,6,0,0,0,62,314,77,33,4,4,427,46,19,11,0,0,76,4,7,4,3,0,16,6,0,0,0,0,10,426,103,48,7,8,589,15,0,0,0,0,15,26,0,0,3,0,30,40,12,3,0,0,52,64,26,20,7,5,123,47,20,32,19,14,131,10,3,0,0,3,19,203,61,51,34,26,369,109,38,23,16,17,199,13347,5635,4816,2495,1431,27729
106,2877,63085,3,0,0,0,0,3,49,0,0,0,0,56,1132,195,60,12,3,1403,1243,570,280,74,14,2191,150,111,77,70,27,442,58,11,0,3,0,72,2645,888,424,154,45,4160,3,0,0,0,0,3,70,8,3,0,0,82,288,82,19,4,0,396,182,54,39,4,0,278,29,10,5,6,4,58,21,3,0,0,0,21,595,152,63,12,6,837,10,0,3,0,0,21,63,8,0,0,0,72,98,16,5,4,3,126,68,24,11,3,0,113,18,11,14,3,5,53,42,0,0,0,0,41,301,57,39,9,10,419,207,71,55,17,12,361,31279,14185,14081,6375,2944,68864
107,3057,61885,13,0,0,0,0,10,114,15,3,0,0,132,1730,424,162,39,8,2370,1999,1070,697,196,79,4049,145,99,141,76,57,515,74,17,7,0,6,108,4079,1628,1015,315,146,7182,8,0,0,0,0,15,301,27,11,0,0,341,2513,760,304,77,23,3683,1041,424,257,73,23,1826,76,45,45,35,17,213,75,15,7,0,3,102,4019,1276,625,174,70,6171,4,0,0,0,0,5,49,4,0,0,0,53,140,21,16,7,0,187,33,25,27,8,3,102,10,10,16,11,7,46,11,0,0,0,0,17,251,60,64,23,17,407,187,48,46,11,9,302,32417,16048,17010,7177,3297,75950
108,1988,49159,3,3,0,0,0,3,63,5,0,0,0,67,1238,197,62,8,0,1503,1263,343,143,46,11,1813,99,39,32,17,15,197,60,12,3,0,3,77,2722,589,243,73,28,3665,7,0,0,0,0,7,119,6,0,0,0,124,1045,237,64,6,3,1354,509,146,72,23,11,754,27,8,3,4,3,48,52,8,0,0,0,60,1750,405,137,38,20,2346,24,0,0,0,0,27,131,8,3,0,0,140,305,36,7,5,0,354,73,35,23,6,0,135,25,4,8,0,4,46,30,0,0,0,0,38,591,82,39,19,11,743,194,64,47,23,10,341,31304,10231,8576,4077,2055,56249
109,1008,27090,0,0,0,0,0,3,44,12,0,0,0,53,596,143,60,11,6,818,218,86,54,11,7,373,12,11,17,4,3,52,22,3,0,0,0,22,897,258,125,28,14,1318,0,0,0,0,0,0,26,8,0,0,0,30,237,48,16,0,0,308,41,27,3,0,0,74,6,3,7,3,0,21,5,3,0,0,0,9,321,84,31,3,5,439,5,0,0,0,0,11,38,0,0,0,0,41,71,9,5,0,0,86,41,23,11,7,0,85,15,3,6,6,3,39,8,0,0,0,0,8,186,32,23,16,3,269,78,14,12,15,5,133,15108,5427,5182,2489,1038,29250
110,1835,42341,3,0,0,0,0,8,49,6,0,0,0,63,488,128,58,16,0,685,191,107,51,14,5,375,38,25,36,19,14,131,27,3,3,0,0,38,803,270,146,49,20,1286,0,0,0,0,0,0,39,11,3,0,0,49,324,89,45,8,3,470,71,36,19,9,4,130,10,4,3,3,0,27,13,4,0,0,0,20,457,142,66,22,12,700,26,5,0,0,3,29,45,0,0,0,0,48,33,11,3,0,5,58,114,51,44,8,8,230,34,24,16,12,16,99,11,0,0,0,0,9,267,93,72,21,23,479,168,68,45,34,19,337,22328,8824,8039,4047,1912,45145
