SA4_CODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
101,372,539,5265,189352,11895,1509,234,13636,15846,218843
102,596,1450,10278,289774,17540,2471,254,20265,17700,327736
103,159,672,5075,180602,6751,979,131,7854,17703,206155
104,162,545,4052,119455,6022,1200,142,7358,9476,136288
105,78,448,2741,98454,3852,441,66,4355,10964,113779
106,184,668,5219,236895,7639,1039,153,8830,17691,263416
107,1549,618,7332,236409,35348,7269,558,43182,13907,293494
108,233,990,7749,191140,5571,584,140,6296,14767,212201
109,134,416,3208,101332,4581,893,87,5560,8911,115803
110,89,577,4248,159220,6073,1044,109,7219,15114,181555
111,695,1566,9928,317626,21421,3591,304,25317,16166,359106
112,329,1048,8042,210091,9788,967,185,10948,18564,239604
113,355,463,3951,131503,9846,2213,186,12248,12185,155934
114,230,430,4588,130255,6213,821,102,7134,9975,147363
115,786,549,4003,156141,55411,8065,484,63957,7646,227739
116,1529,309,3575,181836,122328,17411,1515,141256,16554,339637
117,1518,374,3426,168746,93303,20270,947,114520,32284,315551
118,1751,856,6342,174685,60924,7626,539,69095,23255,267037
119,5144,1138,13419,208749,263204,67746,3117,334065,28604,571416
120,2996,398,6153,151957,99837,23159,1085,124082,17259,293301
121,1585,950,10139,269493,98781,17730,944,117456,18408,405356
122,783,846,6945,201772,34284,4188,378,38848,12252,252878
123,508,496,3174,191267,50235,6929,697,57862,12935,262064
124,626,304,4571,250484,35417,4428,489,40340,16104,306933
125,2647,559,7583,155954,208222,55625,2508,266351,26082,448391
126,1246,438,4930,92694,67310,14736,619,82666,6762,182119
127,3536,393,5545,142130,180416,59750,2472,242644,21190,405962
128,601,346,5949,181129,25206,3351,298,28855,7895,217880
197,3,0,10,279,54,46,0,95,41,412
199,15,22,78,7212,1529,320,19,1863,3211,12288
