SA4_CODE_2016,C06_SH_0b_NPGH_2,C06_SH_0b_NPGH_3,C06_SH_0b_NPGH_4,C06_SH_0b_NPGH_5,C06_SH_0b_NPGH_6_mor,C06_SH_0bTotal,C06_SH_1b_NPGH_2,C06_SH_1b_NPGH_3,C06_SH_1b_NPGH_4,C06_SH_1b_NPGH_5,C06_SH_1b_NPGH_6_mor,C06_SH_1b_Tot,C06_SH_2b_NPGH_2,C06_SH_2b_NPGH_3,C06_SH_2b_NPGH_4,C06_SH_2b_NPGH_5,C06_SH_2b_NPGH_6_mor,C06_SH_2b_Tot,C06_SH_3b_NPGH_2,C06_SH_3b_NPGH_3,C06_SH_3b_NPGH_4,C06_SH_3b_NPGH_5,C06_SH_3b_NPGH_6_mor,C06_SH_3b_Tot,C06_SH_4mb_NPGH_2,C06_SH_4mb_NPGH_3,C06_SH_4mb_NPGH_4,C06_SH_4mb_NPGH_5,C06_SH_4mb_NPGH_6_mor,C06_SH_4mb_Tot,C06_SH_NB_NS_NPGH_2,C06_SH_NB_NS_NPGH_3,C06_SH_NB_NS_NPGH_4,C06_SH_NB_NS_NPGH_5,C06_SH_NB_NS_NPGH_6_mor,C06_SH_NB_NS_T,C06_SH_Tot_NPGH_2,C06_SH_Tot_NPGH_3,C06_SH_Tot_NPGH_4,C06_SH_Tot_NPGH_5,C06_SH_Tot_NPGH_6_mor,C06_SH_T_T,C06_SDRTHT_0b_NPGH_2,C06_SDRTHT_0b_NPGH_3,C06_SDRTHT_0b_NPGH_4,C06_SDRTHT_0b_NPGH_5,C06_SDRTHT_0b_NPGH_6_mor,C06_SDRTHT_0bTotal,C06_SDRTHT_1b_NPGH_2,C06_SDRTHT_1b_NPGH_3,C06_SDRTHT_1b_NPGH_4,C06_SDRTHT_1b_NPGH_5,C06_SDRTHT_1b_NPGH_6_mor,C06_SDRTHT_1b_Tot,C06_SDRTHT_2b_NPGH_2,C06_SDRTHT_2b_NPGH_3,C06_SDRTHT_2b_NPGH_4,C06_SDRTHT_2b_NPGH_5,C06_SDRTHT_2b_NPGH_6_mor,C06_SDRTHT_2b_Tot,C06_SDRTHT_3b_NPGH_2,C06_SDRTHT_3b_NPGH_3,C06_SDRTHT_3b_NPGH_4,C06_SDRTHT_3b_NPGH_5,C06_SDRTHT_3b_NPGH_6_mor,C06_SDRTHT_3b_Tot,C06_SDRTHT_4mb_NPGH_2,C06_SDRTHT_4mb_NPGH_3,C06_SDRTHT_4mb_NPGH_4,C06_SDRTHT_4mb_NPGH_5,C06_SDRTHT_4mb_NPGH_6_mor,C06_SDRTHT_4mb_Tot,C06_SDRTHT_NB_NS_NPGH_2,C06_SDRTHT_NB_NS_NPGH_3,C06_SDRTHT_NB_NS_NPGH_4,C06_SDRTHT_NB_NS_NPGH_5,C06_SDRTHT_NB_NS_NPGH_6_mor,C06_SDRTHT_NB_NS_T,C06_SDRTHT_Tot_NPGH_2,C06_SDRTHT_Tot_NPGH_3,C06_SDRTHT_Tot_NPGH_4,C06_SDRTHT_Tot_NPGH_5,C06_SDRTHT_Tot_NPGH_6_mor,C06_SDRTHT_T_T,C06_FUA_0b_NPGH_2,C06_FUA_0b_NPGH_3,C06_FUA_0b_NPGH_4,C06_FUA_0b_NPGH_5,C06_FUA_0b_NPGH_6_mor,C06_FUA_0bTotal,C06_FUA_1b_NPGH_2,C06_FUA_1b_NPGH_3,C06_FUA_1b_NPGH_4,C06_FUA_1b_NPGH_5,C06_FUA_1b_NPGH_6_mor,C06_FUA_1b_Tot,C06_FUA_2b_NPGH_2,C06_FUA_2b_NPGH_3,C06_FUA_2b_NPGH_4,C06_FUA_2b_NPGH_5,C06_FUA_2b_NPGH_6_mor,C06_FUA_2b_Tot,C06_FUA_3b_NPGH_2,C06_FUA_3b_NPGH_3,C06_FUA_3b_NPGH_4,C06_FUA_3b_NPGH_5,C06_FUA_3b_NPGH_6_mor,C06_FUA_3b_Tot,C06_FUA_4mb_NPGH_2,C06_FUA_4mb_NPGH_3,C06_FUA_4mb_NPGH_4,C06_FUA_4mb_NPGH_5,C06_FUA_4mb_NPGH_6_mor,C06_FUA_4mb_Tot,C06_FUA_NB_NS_NPGH_2,C06_FUA_NB_NS_NPGH_3,C06_FUA_NB_NS_NPGH_4,C06_FUA_NB_NS_NPGH_5,C06_FUA_NB_NS_NPGH_6_mor,C06_FUA_NB_NS_T,C06_FUA_Tot_NPGH_2,C06_FUA_Tot_NPGH_3,C06_FUA_Tot_NPGH_4,C06_FUA_Tot_NPGH_5,C06_FUA_Tot_NPGH_6_mor,C06_FUA_T_T,C06_OD_0b_NPGH_2,C06_OD_0b_NPGH_3,C06_OD_0b_NPGH_4,C06_OD_0b_NPGH_5,C06_OD_0b_NPGH_6_mor,C06_OD_0bTotal,C06_OD_1b_NPGH_2,C06_OD_1b_NPGH_3,C06_OD_1b_NPGH_4,C06_OD_1b_NPGH_5,C06_OD_1b_NPGH_6_mor,C06_OD_1b_Tot,C06_OD_2b_NPGH_2,C06_OD_2b_NPGH_3,C06_OD_2b_NPGH_4,C06_OD_2b_NPGH_5,C06_OD_2b_NPGH_6_mor,C06_OD_2b_Tot,C06_OD_3b_NPGH_2,C06_OD_3b_NPGH_3,C06_OD_3b_NPGH_4,C06_OD_3b_NPGH_5,C06_OD_3b_NPGH_6_mor,C06_OD_3b_Tot,C06_OD_4mb_NPGH_2,C06_OD_4mb_NPGH_3,C06_OD_4mb_NPGH_4,C06_OD_4mb_NPGH_5,C06_OD_4mb_NPGH_6_mor,C06_OD_4mb_Tot,C06_OD_NB_NS_NPGH_2,C06_OD_NB_NS_NPGH_3,C06_OD_NB_NS_NPGH_4,C06_OD_NB_NS_NPGH_5,C06_OD_NB_NS_NPGH_6_mor,C06_OD_NB_NS_T,C06_OD_Tot_NPGH_2,C06_OD_Tot_NPGH_3,C06_OD_Tot_NPGH_4,C06_OD_Tot_NPGH_5,C06_OD_Tot_NPGH_6_mor,C06_OD_T_T,C06_DS_NS_NPGH_2,C06_DS_NS_NPGH_3,C06_DS_NS_NPGH_4,C06_DS_NS_NPGH_5,C06_DS_NS_NPGH_6_mor,C06_DS_NS_T,C06_Tot_NPGH_2,C06_Tot_NPGH_3,C06_Tot_NPGH_4,C06_Tot_NPGH_5,C06_Tot_NPGH_6_mor,C06_T_T,C11_SH_0b_NPGH_2,C11_SH_0b_NPGH_3,C11_SH_0b_NPGH_4,C11_SH_0b_NPGH_5,C11_SH_0b_NPGH_6_mor,C11_SH_0bTotal,C11_SH_1b_NPGH_2,C11_SH_1b_NPGH_3,C11_SH_1b_NPGH_4,C11_SH_1b_NPGH_5,C11_SH_1b_NPGH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPGH_2,C11_SH_2b_NPGH_3,C11_SH_2b_NPGH_4,C11_SH_2b_NPGH_5,C11_SH_2b_NPGH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPGH_2,C11_SH_3b_NPGH_3
101,3,0,0,0,0,3,13,0,0,0,0,21,253,11,3,0,0,269,615,42,23,10,0,689,210,30,29,11,0,274,37,0,0,0,0,37,1131,83,53,20,0,1289,0,0,0,0,0,0,3,0,0,0,0,3,91,0,0,0,0,93,48,9,0,0,0,62,4,0,0,0,0,4,4,0,0,0,0,7,153,14,3,0,0,167,3,0,0,0,0,3,21,0,0,0,0,21,183,10,0,0,0,199,32,5,3,0,0,35,0,3,0,0,0,3,20,4,0,0,0,19,255,21,3,0,0,282,4,0,0,0,0,4,3,0,0,0,0,3,15,3,0,0,0,16,10,0,0,0,0,9,3,0,0,0,0,3,3,0,0,0,0,6,36,4,0,0,0,43,3,0,0,0,0,3,1580,129,59,22,3,1789,9,0,0,0,0,5,18,0,0,0,0,19,274,12,0,0,0,287,635,80
102,4,0,0,0,0,4,28,0,0,0,0,27,519,9,3,3,0,539,1060,108,33,10,0,1206,331,60,48,19,3,474,51,6,0,3,0,63,1999,186,87,34,3,2309,0,0,0,0,0,0,0,0,0,0,0,0,150,7,0,0,0,160,188,33,7,0,0,225,10,9,3,0,3,17,3,0,0,0,0,5,355,44,14,0,3,416,0,0,0,0,0,0,12,0,0,0,0,10,185,4,0,0,0,196,79,18,0,0,0,98,5,3,0,0,0,8,9,0,0,0,0,11,291,25,4,0,0,321,4,0,0,0,0,4,4,0,0,0,0,4,36,0,0,0,0,36,7,0,0,0,0,7,3,0,0,0,0,4,0,0,0,0,0,0,60,0,0,0,0,61,0,0,0,0,0,0,2697,261,108,36,10,3109,6,0,0,0,0,5,29,3,0,0,0,28,479,14,6,0,0,494,1044,109
103,0,0,0,0,0,0,14,0,0,0,0,14,313,8,0,0,0,326,640,101,32,3,3,773,188,48,50,12,8,312,29,4,0,0,0,35,1189,151,86,19,12,1454,0,0,0,0,0,0,5,0,0,0,0,5,71,4,0,0,0,73,46,18,9,3,0,73,3,5,15,0,0,19,0,0,0,0,0,0,120,26,19,3,0,178,3,0,0,0,0,3,12,0,0,0,0,12,149,4,0,0,0,152,40,10,3,0,0,61,4,0,7,4,0,14,3,0,0,0,0,3,212,19,7,4,0,238,0,0,0,0,0,0,6,0,0,0,0,6,8,0,0,0,0,10,5,0,0,0,0,8,3,0,0,0,0,7,3,0,0,0,0,3,27,4,0,0,0,36,0,0,0,0,0,0,1545,204,111,25,13,1904,8,0,0,0,0,8,10,0,0,0,0,11,295,11,0,0,0,307,703,107
104,3,0,0,0,0,3,18,0,0,0,0,16,230,11,3,0,0,241,465,52,12,3,0,539,177,33,20,0,0,231,20,4,0,0,0,25,911,98,41,6,3,1059,0,0,0,0,0,0,3,0,0,0,0,3,92,0,0,0,0,92,61,19,4,3,0,89,6,0,0,0,0,5,7,0,0,0,0,7,163,21,10,3,0,194,0,0,0,0,0,0,4,0,0,0,0,4,166,3,4,3,0,171,40,8,4,0,0,50,5,0,0,0,0,5,9,0,0,0,0,8,214,17,9,3,0,236,3,0,0,0,0,3,4,0,0,0,0,4,28,0,0,0,0,28,6,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,38,0,0,0,0,0,0,1322,142,51,12,3,1531,0,0,0,0,0,7,13,0,0,0,0,18,229,5,0,0,0,238,510,63
105,3,0,0,0,0,3,6,0,0,0,0,6,184,9,0,0,0,195,400,28,13,4,0,445,144,26,20,11,3,206,21,0,3,0,0,25,765,68,32,11,5,882,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,17,13,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,3,29,0,0,0,3,39,0,0,0,0,0,3,7,0,0,0,0,7,70,4,0,0,0,73,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,8,84,9,0,0,0,96,0,0,0,0,0,3,7,0,0,0,0,7,9,0,0,0,0,9,9,0,0,0,0,7,0,3,0,0,0,4,4,0,0,0,0,3,26,9,3,0,0,39,0,0,0,0,0,0,906,87,39,13,11,1056,0,0,0,0,0,0,18,0,0,0,0,20,186,7,6,0,0,195,410,30
106,4,0,0,0,0,4,14,0,0,0,0,14,275,8,5,3,0,289,714,52,18,0,0,788,255,44,20,7,3,330,49,9,0,0,0,57,1312,118,42,14,7,1485,3,0,0,0,0,3,0,0,0,0,0,0,57,0,0,0,0,58,71,8,3,0,0,82,3,4,0,0,0,5,3,0,0,0,0,3,138,13,0,0,0,151,0,0,0,0,0,0,13,0,0,0,0,18,111,0,3,0,0,112,22,4,3,0,0,30,0,0,0,0,0,3,3,3,0,0,0,5,149,10,3,0,0,168,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,12,4,0,0,0,14,3,0,0,0,0,4,1607,139,51,16,7,1821,4,0,0,0,0,4,10,3,0,0,0,17,307,15,0,0,0,322,800,86
107,0,0,0,0,0,0,11,0,0,0,0,11,211,14,0,0,0,229,623,106,33,11,0,776,198,68,60,50,15,385,35,5,0,0,0,44,1078,195,97,61,15,1436,0,0,0,0,0,0,4,0,0,0,0,4,215,7,0,0,0,225,130,57,14,8,0,198,5,3,3,0,3,16,11,0,0,0,0,15,364,72,19,4,4,460,0,0,0,0,0,0,39,0,0,0,0,39,713,45,12,0,0,774,106,99,28,5,0,239,3,4,11,17,3,40,16,0,3,0,0,24,876,154,62,21,3,1116,0,0,0,0,0,0,8,0,0,0,0,10,25,0,0,0,0,25,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,33,4,3,0,0,41,0,0,0,0,0,0,2348,419,181,87,22,3056,3,0,0,0,0,6,16,0,0,0,0,16,224,4,0,0,0,232,647,162
108,5,0,0,0,0,5,16,0,0,0,0,16,304,10,0,0,0,315,633,53,15,7,0,705,211,25,13,0,0,257,22,3,0,0,0,27,1200,94,31,8,0,1327,0,0,0,0,0,0,6,0,0,0,0,6,105,0,0,0,0,108,68,9,3,0,0,76,6,0,0,0,0,6,0,0,0,0,0,0,186,9,7,0,0,199,0,0,0,0,0,0,11,0,0,0,0,11,189,3,0,3,0,193,38,3,0,0,0,43,4,4,0,0,0,6,10,0,0,0,0,10,248,9,0,3,0,264,0,0,0,0,0,0,6,0,0,0,0,6,34,0,4,0,0,40,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,53,0,4,0,0,52,0,0,0,0,0,0,1683,111,39,10,0,1844,10,0,0,0,0,11,18,0,0,0,0,15,310,4,0,0,0,317,795,69
109,0,0,0,0,0,0,4,0,0,0,0,10,150,8,0,0,0,160,433,77,26,7,0,540,127,29,32,21,11,211,21,0,0,0,0,17,738,121,53,23,11,940,0,0,0,0,0,0,3,0,0,0,0,3,70,3,0,0,0,70,12,7,0,0,0,19,3,0,0,0,0,10,3,0,0,0,0,3,93,6,0,0,0,101,3,0,0,0,0,3,14,3,0,0,0,14,254,3,6,0,0,264,46,17,6,0,0,67,4,0,0,0,0,4,7,0,0,0,0,7,323,23,7,0,0,354,0,0,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,21,0,0,0,0,0,0,1173,150,65,28,11,1422,0,0,0,0,0,0,4,0,0,0,0,3,130,4,0,0,0,139,485,82
110,5,0,0,0,0,11,13,0,0,0,0,14,283,3,3,0,0,294,641,109,32,3,0,782,209,42,40,12,3,302,35,4,4,0,0,40,1187,157,81,20,7,1446,0,0,0,0,0,0,3,0,0,0,0,3,63,0,0,0,0,71,12,8,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,81,6,3,0,0,92,0,0,0,0,0,0,14,0,0,0,0,14,212,11,0,0,0,226,28,8,0,0,0,35,0,0,0,0,0,3,10,0,0,0,0,12,265,19,0,3,0,288,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,3,0,0,0,0,3,6,0,3,0,0,10,0,0,0,0,0,0,23,0,3,0,0,26,0,0,0,0,0,0,1555,183,81,20,4,1850,7,0,0,0,0,7,17,0,0,0,0,17,270,11,0,0,0,284,693,104
