SA4_CODE_2016,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Notin_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Notin_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Notin_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Notin_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Notin_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Notin_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Notin_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75ov_Em_FT,C16_M_75ov_Em_PT,C16_M_75ov_Em_AFW,C16_M_75ov_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75ov_Unem_Lo_pt_wor,C16_M_75ov_Unempl_Tot,C16_M_75ov_Tot_LF,C16_M_75over_N_lab_forc,C16_M_75ov_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_T_T_labo_for,C16_M_Tot_Notin_LF,C16_M_Tot_LF_NS,C16_M_T_T,C06_F_15_19_Em_FT,C06_F_15_19_Em_PT,C06_F_15_19_Em_AFW,C06_F_15_19_Em_Hrs_NS,C06_F_15_19_Em_Tot,C06_F_15_19_Unem_Look_FT,C06_F_15_19_Unem_Look_PT,C06_F_15_19_Unem_Tot,C06_F_15_19_Tot_LF,C06_F_15_19_Notin_LF,C06_F_15_19_LF_NS,C06_F_15_19_Tot,C06_F_20_24_Em_FT,C06_F_20_24_Em_PT,C06_F_20_24_Em_AFW,C06_F_20_24_Em_Hrs_NS,C06_F_20_24_Em_Tot,C06_F_20_24_Unem_Look_FT,C06_F_20_24_Unem_Look_PT,C06_F_20_24_Unem_Tot,C06_F_20_24_Tot_LF,C06_F_20_24_Notin_LF,C06_F_20_24_LF_NS,C06_F_20_24_Tot,C06_F_25_29_Em_FT,C06_F_25_29_Em_PT,C06_F_25_29_Em_AFW,C06_F_25_29_Em_Hrs_NS,C06_F_25_29_Em_Tot,C06_F_25_29_Unem_Look_FT,C06_F_25_29_Unem_Look_PT,C06_F_25_29_Unem_Tot,C06_F_25_29_Tot_LF,C06_F_25_29_Notin_LF,C06_F_25_29_LF_NS,C06_F_25_29_Tot,C06_F_30_34_Em_FT,C06_F_30_34_Em_PT,C06_F_30_34_Em_AFW,C06_F_30_34_Em_Hrs_NS,C06_F_30_34_Em_Tot,C06_F_30_34_Unem_Look_FT,C06_F_30_34_Unem_Look_PT,C06_F_30_34_Unem_Tot,C06_F_30_34_Tot_LF,C06_F_30_34_Notin_LF,C06_F_30_34_LF_NS,C06_F_30_34_Tot,C06_F_35_39_Em_FT,C06_F_35_39_Em_PT,C06_F_35_39_Em_AFW,C06_F_35_39_Em_Hrs_NS,C06_F_35_39_Em_Tot,C06_F_35_39_Unem_Look_FT,C06_F_35_39_Unem_Look_PT,C06_F_35_39_Unem_Tot,C06_F_35_39_Tot_LF,C06_F_35_39_Notin_LF,C06_F_35_39_LF_NS,C06_F_35_39_Tot,C06_F_40_44_Em_FT,C06_F_40_44_Em_PT,C06_F_40_44_Em_AFW,C06_F_40_44_Em_Hrs_NS,C06_F_40_44_Em_Tot,C06_F_40_44_Unem_Look_FT,C06_F_40_44_Unem_Look_PT,C06_F_40_44_Unem_Tot,C06_F_40_44_Tot_LF,C06_F_40_44_Notin_LF,C06_F_40_44_LF_NS,C06_F_40_44_Tot,C06_F_45_49_Em_FT,C06_F_45_49_Em_PT,C06_F_45_49_Em_AFW,C06_F_45_49_Em_Hrs_NS,C06_F_45_49_Em_Tot,C06_F_45_49_Unem_Look_FT,C06_F_45_49_Unem_Look_PT,C06_F_45_49_Unem_Tot,C06_F_45_49_Tot_LF,C06_F_45_49_Notin_LF,C06_F_45_49_LF_NS,C06_F_45_49_Tot,C06_F_50_54_Em_FT,C06_F_50_54_Em_PT,C06_F_50_54_Em_AFW,C06_F_50_54_Em_Hrs_NS,C06_F_50_54_Em_Tot,C06_F_50_54_Unem_Look_FT,C06_F_50_54_Unem_Look_PT,C06_F_50_54_Unem_Tot,C06_F_50_54_Tot_LF,C06_F_50_54_Notin_LF,C06_F_50_54_LF_NS,C06_F_50_54_Tot
101,5455,167,40,205,5669,709,513,6891,4749,789,165,98,5795,169,40,209,6002,904,576,7482,4833,899,224,106,6057,179,66,243,6298,1112,598,8014,4163,1151,246,87,5647,170,73,244,5893,1858,586,8346,2589,1198,207,66,4060,156,103,263,4315,3005,585,7907,1161,841,115,48,2166,21,36,56,2228,5065,625,7908,420,393,53,33,897,8,11,23,915,4201,479,5593,276,285,42,57,664,4,5,11,677,6691,1023,8394,36906,10718,1699,1121,50446,1918,836,2748,53201,28845,6968,89016,664,2008,117,156,2949,180,183,365,3315,2652,301,6271,1758,1117,121,80,3069,160,78,238,3306,916,227,4448,1675,1094,164,43,2989,84,73,162,3150,1132,230,4507,1829,1666,244,68,3812,78,112,194,4004,1454,290,5749,2164,2429,224,84,4906,111,127,240,5144,1589,302,7033,2650,2566,179,110,5502,111,120,227,5731,1347,348,7428,3004,2501,182,111,5800,112,116,221,6026,1366,325,7717,2707,2069,238,75,5084,98,84,183,5271,1617,296,7185
102,8170,305,64,373,8547,969,535,10050,6798,1092,183,149,8227,328,55,386,8610,1221,587,10419,6627,1182,236,112,8157,332,79,416,8569,1526,538,10639,5606,1333,263,90,7291,299,111,405,7702,2150,583,10436,3264,1320,224,85,4897,233,139,374,5267,3800,552,9620,1105,978,89,45,2215,30,55,90,2307,6532,572,9407,282,492,30,22,829,7,19,23,854,6451,541,7846,111,230,19,32,387,3,11,17,404,11761,1419,13583,53462,15180,2019,1424,72088,3608,1641,5247,77335,42632,7632,127602,974,3322,167,256,4719,422,480,901,5622,3735,492,9851,2900,2077,199,161,5341,331,177,507,5849,1520,420,7787,2662,1713,249,90,4717,176,147,326,5040,1900,353,7301,2372,2736,338,113,5555,157,246,410,5958,2716,440,9121,2544,3557,306,135,6534,191,279,464,7003,2810,506,10316,3084,4006,263,158,7512,250,284,530,8043,2380,511,10935,3821,3722,273,152,7972,227,216,445,8410,2147,553,11116,3267,2987,287,125,6673,172,150,321,6993,2387,421,9802
103,4599,211,38,246,4849,766,481,6092,4083,527,133,93,4829,205,49,257,5086,942,557,6588,4012,627,152,100,4883,198,55,255,5132,1066,575,6772,3751,706,173,77,4706,192,74,264,4979,1413,590,6981,2418,833,160,57,3468,139,73,212,3679,2252,527,6460,1106,613,85,43,1850,17,22,38,1887,3852,570,6309,457,427,54,33,972,3,9,16,988,3490,522,5000,334,322,34,52,744,7,7,13,759,5973,904,7638,34717,8127,1410,1041,45297,2295,868,3164,48461,26097,7042,81605,576,1917,131,133,2759,227,265,495,3250,3144,220,6615,1691,1338,135,72,3230,204,155,359,3587,1353,218,5162,1518,1071,185,57,2828,130,121,250,3077,1381,172,4630,1450,1765,222,58,3492,126,129,260,3758,1701,215,5672,1644,2192,143,91,4071,129,122,250,4322,1728,228,6278,2200,2334,141,108,4791,146,140,284,5071,1437,229,6741,2560,2169,167,103,4995,121,90,208,5205,1243,198,6652,2237,1736,192,90,4257,81,75,158,4413,1617,200,6231
104,2838,163,41,206,3044,532,276,3847,2182,532,79,58,2850,135,41,174,3026,647,275,3947,2256,673,103,65,3093,154,52,205,3300,968,314,4578,2033,848,122,47,3050,161,76,235,3285,1370,428,5089,1369,830,121,46,2366,119,81,195,2563,2383,365,5317,495,494,44,18,1055,16,28,39,1100,3556,370,5027,162,211,25,11,403,3,7,15,420,3069,287,3775,90,131,11,31,258,4,3,3,267,5134,687,6087,17697,7261,859,574,26388,1775,734,2506,28892,21275,4182,54349,276,1435,88,71,1863,167,204,373,2231,1946,153,4327,643,698,70,41,1453,131,95,225,1679,794,99,2571,656,629,67,43,1397,111,72,186,1576,866,87,2528,760,975,109,47,1893,88,101,191,2087,1092,122,3300,953,1352,106,67,2483,99,146,247,2730,1149,123,4001,1277,1735,94,57,3163,142,133,278,3438,1081,162,4682,1619,1886,127,61,3688,122,112,236,3920,1098,168,5186,1455,1439,125,61,3078,137,80,212,3294,1365,129,4785
105,2313,127,30,160,2474,478,313,3261,2077,295,55,69,2486,139,39,177,2665,501,341,3500,2161,339,85,52,2636,123,22,143,2784,714,373,3867,2133,381,104,49,2665,137,46,181,2846,846,394,4093,1396,391,97,37,1933,78,50,128,2055,1230,337,3626,720,330,53,36,1135,8,16,26,1162,1954,338,3454,272,205,16,26,518,0,7,7,523,1791,288,2605,226,166,17,34,446,5,4,7,456,3183,496,4132,18829,4052,748,642,24273,1498,504,2002,26277,14312,4335,44921,358,964,71,73,1462,136,140,277,1735,1608,236,3584,1018,626,75,56,1770,141,74,216,1980,935,207,3126,1032,659,117,46,1856,78,71,143,1997,926,171,3096,904,977,105,52,2036,89,78,168,2210,1058,179,3447,1117,1171,91,68,2444,73,94,163,2609,1017,197,3831,1464,1181,87,74,2804,86,64,150,2955,842,202,4001,1636,1175,112,72,2990,79,57,137,3132,884,217,4239,1374,985,93,56,2505,53,28,87,2591,989,186,3759
106,6492,298,44,343,6835,990,521,8349,5463,791,179,124,6557,313,51,359,6919,1024,567,8513,5268,849,207,110,6434,286,61,341,6776,1249,543,8568,4519,980,267,86,5861,259,70,326,6184,1875,540,8598,2609,1026,190,84,3913,214,85,291,4207,3205,550,7956,889,719,84,37,1727,17,40,55,1785,5357,521,7667,270,355,22,17,670,3,16,18,686,4776,489,5954,170,219,21,34,449,5,3,13,458,6928,906,8290,44650,11300,1869,1205,59029,3386,1197,4580,63615,32597,7060,103276,802,2621,145,185,3759,317,317,629,4391,2928,335,7647,2182,1614,147,98,4041,286,149,431,4477,1361,232,6069,1864,1451,214,75,3610,183,166,342,3955,1870,218,6047,1695,2305,256,81,4336,161,183,339,4674,2354,279,7308,1911,2879,238,121,5141,181,215,399,5543,2131,320,7987,2342,2965,141,105,5556,187,172,354,5914,1998,300,8214,2726,2708,190,108,5735,151,114,261,5996,1969,289,8246,2222,2143,200,94,4657,111,82,197,4858,2413,255,7527
107,7636,253,65,319,7956,984,439,9375,6103,848,209,116,7274,256,60,323,7592,1133,452,9179,6003,1055,241,110,7410,256,62,321,7725,1492,497,9716,4941,1086,262,82,6359,257,81,339,6704,2185,491,9371,2488,1087,183,61,3816,148,100,250,4068,3629,445,8143,749,658,70,32,1507,22,36,63,1567,5629,436,7631,179,294,17,28,515,4,13,15,536,4990,422,5947,94,152,18,24,284,3,13,11,294,9143,996,10431,49134,13965,2010,1235,66333,3086,2004,5088,71421,39043,6426,116898,796,2679,150,179,3799,361,470,833,4627,3873,386,8888,2854,2538,192,171,5749,394,280,672,6426,1884,432,8747,2849,1693,302,106,4946,201,152,352,5300,1932,331,7557,2257,2668,439,93,5459,157,248,401,5859,2563,332,8753,2211,3267,243,104,5821,167,263,430,6255,2492,387,9135,2685,3654,217,135,6689,199,214,422,7109,2378,414,9903,3224,3176,247,130,6773,179,168,346,7116,2216,378,9707,2786,2514,225,108,5633,132,97,229,5866,2582,342,8791
108,3920,210,47,256,4178,966,353,5493,3206,835,143,95,4275,243,58,303,4573,1105,428,6106,3307,1005,156,95,4565,266,74,335,4895,1533,498,6933,3095,1139,202,84,4525,273,124,394,4920,2252,582,7749,1970,1230,192,67,3465,254,114,363,3826,3823,547,8199,765,773,81,40,1658,19,34,48,1712,6556,645,8909,257,340,35,39,673,4,17,20,697,6129,589,7413,169,201,27,48,440,10,9,12,452,9968,1316,11743,24853,10112,1488,973,37433,2633,1033,3666,41099,38003,6464,85557,458,1782,137,129,2509,277,229,503,3014,2683,234,5932,1050,807,72,48,1974,232,86,320,2288,1022,174,3486,949,889,106,41,1978,152,106,260,2240,1148,157,3541,936,1445,165,52,2594,127,129,256,2852,1577,167,4596,1344,1995,146,63,3546,151,195,346,3888,1647,214,5755,1833,2392,141,108,4471,231,223,451,4930,1594,228,6756,2356,2546,164,91,5157,247,166,414,5567,1665,251,7474,1994,1948,180,71,4193,178,137,310,4512,2057,235,6803
109,2589,93,24,119,2701,328,255,3293,2281,316,65,59,2709,126,31,156,2864,408,279,3551,2304,340,92,57,2796,112,25,143,2934,489,288,3716,2249,470,115,54,2888,109,36,142,3033,742,323,4099,1549,517,126,49,2246,86,52,137,2376,1278,332,3993,631,422,61,52,1168,9,22,33,1199,2392,343,3937,251,215,32,19,509,7,7,11,519,2175,280,2976,137,165,28,27,360,0,4,5,361,3916,635,4916,19710,4923,848,641,26119,1191,452,1643,27764,14374,3994,46131,318,1219,55,87,1682,124,133,251,1931,1591,138,3656,1087,794,89,51,2025,111,75,187,2207,707,115,3029,1040,680,100,31,1843,62,47,110,1957,701,106,2768,873,1037,107,53,2064,48,57,108,2170,880,95,3153,987,1324,109,47,2468,65,72,139,2605,836,155,3597,1277,1421,73,63,2841,88,71,159,3001,715,110,3823,1643,1409,109,68,3235,67,68,132,3363,658,168,4191,1374,1161,132,48,2712,45,41,86,2801,868,119,3787
110,3931,161,49,209,4142,629,424,5192,3416,529,93,91,4126,181,40,219,4350,757,443,5551,3537,630,103,80,4352,164,44,204,4550,863,477,5893,3248,733,157,85,4215,143,52,196,4416,1230,541,6182,2369,748,140,69,3317,157,67,222,3544,1883,549,5972,1097,594,79,45,1810,16,21,40,1845,3198,520,5568,474,364,29,36,902,3,3,8,914,3051,451,4420,346,270,48,56,724,9,3,12,730,5153,814,6696,30033,7665,1187,961,39847,1983,784,2769,42615,22167,6373,71154,508,1664,95,92,2362,212,270,473,2839,3026,217,6076,1394,1082,116,77,2670,200,178,383,3054,1585,180,4817,1380,987,149,57,2573,111,119,228,2800,1367,162,4335,1328,1497,177,71,3077,108,128,237,3312,1588,219,5127,1619,1843,149,80,3689,121,153,279,3966,1422,216,5606,1991,2020,118,124,4250,147,127,274,4522,1340,246,6105,2437,1877,120,106,4544,143,97,243,4785,1335,199,6320,2203,1533,134,77,3940,99,67,165,4106,1410,215,5731
