SA4_CODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
101,792,273,565,841,232,586,818,5,12,15,13,7,17,8,19,28,319,694,1018,399,693,1094,400,744,1137,8161,7221,15377,7855,6868,14726,9982,9346,19326,29529,29753,59286,29726,30087,59813,31606,32168,63776
102,1263,430,971,1405,437,958,1394,23,30,51,13,17,36,5,19,26,489,1110,1606,599,1212,1806,657,1296,1952,12052,13053,25103,10293,10968,21259,10230,11303,21528,44946,47072,92020,44607,47840,92446,45483,48877,94365
103,521,186,414,593,208,440,644,13,12,23,8,17,22,3,11,19,231,459,696,253,508,762,288,576,862,7625,6405,14029,8290,6796,15084,10909,9679,20597,29781,29293,59075,30140,30083,60218,32665,33195,65862
104,542,165,359,522,154,333,490,7,11,14,4,5,8,6,16,19,189,490,681,234,462,704,262,472,729,4576,4296,8871,4266,4163,8431,5717,5727,11448,18611,19277,37889,18170,19492,37666,18950,20299,39254
105,290,110,255,366,101,212,316,5,11,20,9,10,23,4,14,14,127,287,409,174,322,498,170,300,471,5243,4941,10181,5271,4598,9861,6597,5994,12588,17400,17869,35274,16910,17263,34173,17511,17962,35478
106,768,273,657,930,273,702,973,7,19,24,10,12,28,17,13,29,323,736,1056,396,810,1203,447,905,1354,8460,7914,16373,8725,7836,16560,10724,9884,20609,34353,34321,68673,35569,36041,71610,38865,39860,78730
107,981,348,766,1117,381,864,1247,10,19,32,9,20,29,3,17,23,458,824,1280,522,971,1498,620,1150,1774,9647,9696,19339,8137,7970,16103,8661,9042,17705,41905,41751,83658,42632,42903,85536,44842,45810,90647
108,613,192,465,659,188,499,691,13,6,27,14,9,27,13,19,28,238,544,785,271,619,884,284,654,945,7089,7293,14380,7139,6924,14060,8961,9208,18168,26646,27823,54468,26539,27809,54344,27986,30118,58106
109,318,120,240,361,140,288,433,5,14,16,4,10,10,10,6,17,144,281,421,188,310,491,206,388,592,4061,3872,7929,3895,3729,7622,5174,5308,10481,16092,16836,32931,15447,16613,32057,16428,17900,34330
110,509,143,387,534,180,353,531,7,9,16,3,3,8,13,4,21,210,462,672,227,469,693,287,480,762,6326,6251,12577,6599,6385,12987,8874,9022,17897,26432,27546,53976,26276,27533,53812,27841,29757,57594
