SA4_CODE_2016,C06_C_Tot_0_14,C06_C_Tot_15_24,C06_C_Tot_25_34,C06_C_Tot_35_44,C06_C_Tot_45_54,C06_C_Tot_55_64,C06_C_Tot_65_74,C06_C_Tot_75_84,C06_C_Tot_85ov,C06_C_T_T,C06_Hinduism_0_14,C06_Hinduism_15_24,C06_Hinduism_25_34,C06_Hinduism_35_44,C06_Hinduism_45_54,C06_Hinduism_55_64,C06_Hinduism_65_74,C06_Hinduism_75_84,C06_Hinduism_85ov,C06_Hinduism_Tot,C06_Islam_0_14,C06_Islam_15_24,C06_Islam_25_34,C06_Islam_35_44,C06_Islam_45_54,C06_Islam_55_64,C06_Islam_65_74,C06_Islam_75_84,C06_Islam_85ov,C06_Islam_Tot,C06_Judaism_0_14,C06_Judaism_15_24,C06_Judaism_25_34,C06_Judaism_35_44,C06_Judaism_45_54,C06_Judaism_55_64,C06_Judaism_65_74,C06_Judaism_75_84,C06_Judaism_85ov,C06_Judaism_Tot,C06_OR_Au_Ab_Tr_R_0_14,C06_OR_Au_Ab_Tr_R_15_24,C06_OR_Au_Ab_Tr_R_25_34,C06_OR_Au_Ab_Tr_R_35_44,C06_OR_Au_Ab_Tr_R_45_54,C06_OR_Au_Ab_Tr_R_55_64,C06_OR_Au_Ab_Tr_R_65_74,C06_OR_Au_Ab_Tr_R_75_84,C06_OR_A_Ab_Tr_Re_85oe,C06_OR_Au_Ab_Tr_Re_Tot,C06_OR_Sikhism_0_14,C06_OR_Sikhism_15_24,C06_OR_Sikhism_25_34,C06_OR_Sikhism_35_44,C06_OR_Sikhism_45_54,C06_OR_Sikhism_55_64,C06_OR_Sikhism_65_74,C06_OR_Sikhism_75_84,C06_OR_Sikhism_85oe,C06_OR_Sikhism_Tot,C06_OR_OR_0_14,C06_OR_OR_15_24,C06_OR_OR_25_34,C06_OR_OR_35_44,C06_OR_OR_45_54,C06_OR_OR_55_64,C06_OR_OR_65_74,C06_OR_OR_75_84,C06_OR_OR_85oe,C06_OR_OR_Tot,C06_OR_Tot_0_14,C06_OR_Tot_15_24,C06_OR_Tot_25_34,C06_OR_Tot_35_44,C06_OR_Tot_45_54,C06_OR_Tot_55_64,C06_OR_Tot_65_74,C06_OR_Tot_75_84,C06_OR_Tot_85ov,C06_OR_T_T,C06_SBOSB_No_RA_0_14,C06_SBOSB_No_RA_15_24,C06_SBOSB_No_RA_25_34,C06_SBOSB_No_RA_35_44,C06_SBOSB_No_RA_45_54,C06_SBOSB_No_RA_55_64,C06_SBOSB_No_RA_65_74,C06_SBOSB_No_RA_75_84,C06_SBOSB_No_RA_85ov,C06_SBOSB_No_RA_Tot,C06_Rel_aff_ns_0_14,C06_Rel_aff_ns_15_24,C06_Rel_aff_ns_25_34,C06_Rel_aff_ns_35_44,C06_Rel_aff_ns_45_54,C06_Rel_aff_ns_55_64,C06_Rel_aff_ns_65_74,C06_Rel_aff_ns_75_84,C06_Rel_aff_ns_85ov,C06_Rel_aff_NS_T,C06_Tot_0_14_yrs,C06_Tot_15_24_yrs,C06_Tot_25_34_yrs,C06_Tot_35_44_yrs,C06_Tot_45_54_yrs,C06_Tot_55_64_yrs,C06_Tot_65_74_yrs,C06_Tot_75_84_yrs,C06_Tot_85o,C06_T_T,C11_Buddhism_0_14_yrs,C11_Buddhism_15_24,C11_Buddhism_25_34,C11_Buddhism_35_44,C11_Buddhism_45_54,C11_Buddhism_55_64,C11_Buddhism_65_74,C11_Buddhism_75_84,C11_Buddhism_85ov,C11_Buddhism_Tot,C11_Christ_Angl_0_14,C11_Christ_Angl_15_24,C11_Christ_Angl_25_34,C11_Christ_Angl_35_44,C11_Christ_Angl_45_54,C11_Christ_Angl_55_64,C11_Christ_Angl_65_74,C11_Christ_Angl_75_84,C11_Christ_Angl_85ov,C11_Christ_Angl_Tot,C11_C_Assyr_Apo_0_14,C11_C_Assyr_Apo_15_24,C11_C_Assyr_Apo_25_34,C11_C_Assyr_Apo_35_44,C11_C_Assyr_Apo_45_54,C11_C_Assyr_Apo_55_64,C11_C_Assyr_Apo_65_74,C11_C_Assyr_Apo_75_84,C11_C_Assyr_Apo_85ov,C11_C_Assyr_Apo_Tot,C11_C_Baptist_0_14,C11_C_Baptist_15_24,C11_C_Baptist_25_34,C11_C_Baptist_35_44,C11_C_Baptist_45_54,C11_C_Baptist_55_64,C11_C_Baptist_65_74,C11_C_Baptist_75_84,C11_C_Baptist_85ov,C11_C_Baptist_Tot,C11_Christ_Breth_0_14,C11_Christ_Breth_15_24,C11_Christ_Breth_25_34,C11_Christ_Breth_35_44,C11_Christ_Breth_45_54,C11_Christ_Breth_55_64,C11_Christ_Breth_65_74,C11_Christ_Breth_75_84,C11_Christ_Breth_85ov,C11_Christ_Breth_To,C11_Ch_Catholic_0_14,C11_Ch_Catholic_15_24,C11_Ch_Catholic_25_34,C11_Ch_Catholic_35_44,C11_Ch_Catholic_45_54,C11_Ch_Catholic_55_64,C11_Ch_Catholic_65_74,C11_Ch_Catholic_75_84,C11_Ch_Catholic_85ov,C11_C_Catholic_Tot,C11_C_Chur_Christ_0_14,C11_C_Chur_Christ_15_24,C11_C_Chur_Christ_25_34,C11_C_Chur_Christ_35_44,C11_C_Chur_Christ_45_54,C11_C_Chur_Christ_55_64,C11_C_Chur_Christ_65_74,C11_C_Chur_Christ_75_84,C11_C_Chur_Christ_85ov,C11_C_Chur_Christ_Tot,C11_C_East_Ortho_0_14,C11_C_East_Ortho_15_24,C11_C_East_Ortho_25_34,C11_C_East_Ortho_35_44,C11_C_East_Ortho_45_54,C11_C_East_Ortho_55_64,C11_C_East_Ortho_65_74,C11_C_East_Ortho_75_84,C11_C_East_Ortho_85ov,C11_C_East_Ortho_To,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot
101,26584,15067,13374,19981,21346,19865,13965,9017,2755,141959,42,17,48,49,44,26,3,0,0,231,197,75,116,116,49,27,20,3,0,603,26,12,11,20,24,21,12,3,5,130,13,3,7,7,4,4,0,0,0,39,13,5,18,7,4,0,4,0,0,48,85,75,99,132,145,68,30,3,3,645,109,83,121,148,157,67,34,3,3,723,8190,4213,3887,4646,4882,3559,1544,714,177,31805,4666,2573,2482,3008,3177,2505,1515,921,335,21182,40012,22165,20211,28225,29985,26276,17131,10661,3271,197942,226,175,201,348,309,313,90,24,5,1690,8474,4882,4202,6878,8395,8874,6786,4153,1647,54296,0,0,3,0,0,0,0,0,0,4,439,242,227,278,372,326,250,120,53,2299,131,81,46,60,39,16,22,10,3,415,11873,7050,5536,7659,8502,7427,5416,3041,1016,57525,18,7,8,15,16,23,17,8,7,115,461,286,292,466,395,369,298,141,37,2746,157,72,89,119,131,128,87,50,23,842
102,40265,24707,21425,29605,30342,26428,21404,17414,5622,217212,105,61,97,103,80,44,34,10,3,534,227,117,123,134,99,53,24,8,0,782,50,19,23,37,43,60,46,23,23,318,9,7,0,3,4,0,0,0,0,29,8,3,8,3,14,6,0,0,0,44,100,131,160,183,174,66,24,14,11,863,128,138,173,192,186,72,28,14,11,939,12923,6736,6303,6283,5528,3550,1935,1390,374,45017,6957,4066,3383,3953,4021,3243,2471,2316,1096,31498,60883,36034,31800,40654,40629,33636,25996,21189,7132,297957,431,288,411,567,524,357,118,28,15,2738,13418,8922,7755,11460,12703,12681,10726,7750,3515,88918,0,0,0,0,0,0,0,0,0,9,1153,641,568,712,768,748,630,422,219,5859,48,38,31,24,12,15,8,19,7,197,17105,10776,8081,10622,11660,9757,7775,5058,1826,82671,76,54,32,60,68,69,52,48,13,469,394,208,165,334,295,248,260,161,38,2114,285,144,183,205,189,198,128,76,34,1439
103,30779,18541,15502,20371,21258,19457,13678,8966,2954,151507,30,20,22,29,33,10,4,0,0,154,66,49,55,34,34,17,7,3,0,258,3,5,9,10,8,16,3,6,3,55,10,0,9,11,10,3,0,0,0,34,3,0,6,3,0,0,0,0,0,13,60,70,92,80,76,39,19,4,3,453,76,79,100,93,88,43,24,4,3,501,5882,3261,2761,2582,2481,1789,774,351,94,19968,3644,2297,2064,2278,2153,1797,1194,806,312,16546,40584,24338,20605,25527,26186,23213,15711,10149,3366,189671,141,124,160,191,178,141,58,15,0,1008,9126,5440,5007,6800,7704,7720,6105,3945,1469,53312,0,0,0,0,0,0,0,0,0,0,540,388,300,343,394,366,284,132,56,2799,321,184,189,97,115,85,42,44,15,1083,14397,8295,6189,7575,8202,7031,5222,3027,1006,60949,20,18,9,16,23,27,20,13,4,144,117,57,74,113,101,105,65,50,13,694,131,57,72,92,101,107,65,39,10,674
104,15241,8862,6839,11284,13442,12540,9670,6535,2155,86570,22,9,17,14,12,19,4,0,0,109,68,26,26,43,27,10,4,0,0,203,13,10,6,19,12,12,4,13,5,86,14,9,3,3,9,3,0,0,0,45,161,110,82,93,111,47,35,25,3,665,63,47,76,93,112,58,15,8,3,481,238,164,157,195,234,108,49,29,9,1185,6352,3375,2601,2957,3502,2324,1073,566,140,22894,3146,1714,1377,1722,2022,1519,1010,739,304,13557,25201,14252,11107,16404,19465,16663,11850,7908,2616,125469,168,148,145,224,288,259,67,20,6,1329,4851,3056,2234,4016,5381,5983,4891,3192,1267,34866,0,0,0,0,0,0,0,0,0,0,436,186,167,247,260,303,185,134,44,1969,3,0,0,0,0,0,0,6,0,13,5379,3338,2362,3353,4319,4033,3020,1813,559,28170,32,13,7,16,21,9,16,3,3,125,42,36,23,25,42,38,21,20,4,262,138,97,94,106,112,125,67,40,11,790
105,18660,9816,9175,11974,12941,11085,8121,5071,1482,88332,25,18,20,29,24,4,3,3,0,130,94,15,38,43,23,16,6,0,0,242,3,0,0,0,3,7,3,0,3,16,14,12,13,11,0,0,0,0,0,54,5,0,3,4,0,0,0,0,0,16,14,33,38,25,34,22,8,3,0,182,35,47,49,43,43,23,8,3,0,248,4294,2013,2009,1801,1550,1018,488,278,74,13529,2791,1626,1346,1490,1563,1252,830,618,249,11764,25916,13560,12664,15433,16208,13443,9469,5974,1817,114485,72,53,70,89,81,46,20,0,3,423,5508,3066,2925,3885,4596,4584,3408,2074,755,30802,0,0,0,0,0,0,0,0,0,3,263,150,163,177,233,249,179,89,38,1555,13,16,8,14,10,6,7,0,0,80,7984,4500,3639,4190,4696,3801,2896,1710,501,33937,17,13,6,15,24,19,18,7,4,125,68,34,33,46,62,60,65,36,14,417,54,34,32,30,44,54,46,25,7,326
106,34610,20673,19230,24268,24795,21782,14465,9504,2902,172236,44,22,43,45,28,19,9,0,0,210,86,47,39,66,35,22,11,9,0,312,15,6,8,13,12,6,9,3,0,70,4,6,5,3,3,3,0,0,0,23,8,3,8,3,3,0,0,0,0,25,67,78,82,91,89,42,19,3,0,469,80,84,93,95,97,48,19,3,0,519,9436,4572,4277,4093,3446,2329,1011,503,126,29785,5268,2978,2721,3026,2872,2292,1368,950,332,21808,49653,28457,26527,31778,31471,26592,16912,10980,3378,225753,173,136,200,226,232,152,51,18,0,1194,13657,8311,7992,10448,10860,10837,7817,4629,1727,76281,0,0,0,0,0,0,0,0,0,0,937,521,477,632,639,562,406,188,65,4423,82,76,54,26,38,14,13,9,3,318,13689,8339,7055,8223,8488,6946,4899,2638,816,61087,22,28,18,21,34,50,45,26,3,253,127,79,67,107,100,116,77,23,17,715,122,105,121,93,121,132,86,41,11,828
107,35587,24113,21802,27088,27283,22566,17677,12568,3579,192266,91,105,129,92,96,66,34,10,0,619,825,651,603,500,308,281,100,33,3,3301,15,19,14,10,22,14,10,8,0,108,11,5,6,6,10,3,0,0,0,39,10,14,7,5,3,0,0,0,0,28,120,142,147,167,116,57,33,18,5,801,138,160,157,173,126,59,33,18,5,864,10424,6970,6255,5517,4791,2929,1311,794,224,39218,5524,3945,3118,3383,3248,2324,1689,1189,396,24810,52910,36333,32533,37219,36296,28446,20943,14640,4223,263537,442,519,621,577,526,402,130,52,8,3273,9946,6328,6051,8592,9054,8608,6670,4621,2007,61874,0,0,5,0,0,0,0,0,0,8,424,359,311,344,415,335,272,169,58,2696,85,48,36,36,25,15,19,6,8,281,15517,10937,8591,10232,11491,8928,6664,4985,1529,78883,89,50,25,71,66,83,75,26,4,488,2591,1535,1768,2247,1822,1927,1465,898,211,14470,232,110,170,178,177,165,126,72,43,1271
108,23644,13250,10543,17508,20502,21795,18312,13023,3930,142497,22,13,28,23,32,7,13,3,0,138,42,26,19,37,33,13,5,6,0,178,10,11,4,13,22,31,8,5,6,120,19,0,10,9,5,3,0,0,0,41,9,0,3,5,0,0,0,0,0,17,54,46,64,111,104,53,21,6,4,467,73,53,75,119,113,62,25,6,4,531,8082,4012,3064,3469,4110,3002,1739,1029,264,28768,4332,2225,1856,2297,2694,2388,1739,1412,611,19547,36311,19686,15712,23645,27783,27427,21867,15495,4812,192729,199,131,171,238,331,326,65,13,3,1472,8022,4500,3774,6623,8613,10340,9760,6382,2561,60576,0,0,0,0,0,0,0,0,0,0,423,240,190,286,416,511,455,329,124,2971,0,0,0,6,3,0,7,3,4,20,9117,5074,3354,5208,6491,6355,5590,3256,995,45451,44,20,20,25,37,57,54,36,25,322,75,37,27,70,90,74,65,43,14,500,286,141,149,182,204,198,146,74,39,1413
109,15156,9134,7917,10655,12251,10703,7912,5537,1751,81016,18,17,38,23,16,10,3,0,0,122,40,28,41,29,12,10,3,0,0,152,0,7,3,3,4,10,7,3,0,37,9,0,5,4,0,4,0,0,0,22,0,3,3,3,0,0,3,0,0,12,22,42,38,34,26,18,6,3,0,191,35,49,49,39,29,22,10,0,0,232,4915,2752,2484,2336,2085,1376,643,340,90,17029,2417,1451,1190,1320,1442,1134,833,618,168,10582,22639,13520,11783,14495,15923,13304,9425,6513,2014,109621,103,92,118,123,106,75,23,7,0,648,3358,2044,1828,2878,3644,3975,3199,2030,767,23729,0,0,0,0,0,0,0,0,0,0,302,142,111,179,163,176,142,63,28,1306,20,32,22,5,16,8,8,7,3,119,6686,4032,3167,3792,4340,3766,2803,1704,545,30833,13,6,8,17,27,22,20,26,9,156,90,43,44,87,69,61,56,45,16,510,64,21,35,38,30,52,30,23,13,306
110,27528,16543,13964,18374,19517,17783,12769,7907,2670,137049,50,16,49,44,18,9,0,0,0,185,52,31,45,42,34,19,3,0,0,229,4,8,5,9,17,12,5,7,0,52,3,9,0,3,5,8,0,0,0,31,0,17,0,3,3,0,0,0,0,20,62,71,72,80,72,48,9,3,0,420,70,92,72,83,86,54,9,3,0,476,5493,3289,2384,2183,2352,1569,681,366,117,18437,3825,2017,1739,1975,1968,1679,1124,742,295,15368,37094,22097,18355,22799,24110,21210,14610,9030,3097,172396,82,130,122,147,144,110,46,13,0,787,10746,6643,5586,7433,8892,8767,6940,4081,1543,60633,0,0,0,0,0,0,0,0,0,0,334,184,169,190,222,259,176,73,37,1648,113,92,23,39,37,13,14,10,3,346,9904,5951,4673,5479,5851,5034,3860,2190,654,43593,3,21,7,12,24,26,15,9,5,121,42,25,30,44,39,44,26,29,5,287,144,92,98,111,122,119,72,54,15,826
