SA4_CODE_2016,C06_0_74_REA,C06_0_74_ST_HA,C06_0_74_Per_no_sa_ho,C06_0_74_Ho_co_op_c_c_g,C06_0_74_Oth_land_typ,C06_0_74_LLT_NS,C06_0_74_Tot,C06_75_99_REA,C06_75_99_ST_HA,C06_75_99_Pe_no_sa_ho,C06_75_99_H_c_op_c_c_gr,C06_75_99_Oth_lan_typ,C06_75_99_Lan_type_ns,C06_75_99_Tot,C06_100_149_REA,C06_100_149_ST_HA,C06_100_149_Pe_no_sa_ho,C06_100_149_H_c_o_c_c_g,C06_100_149_Ot_lan_ty,C06_100_149_Lan_typ_ns,C06_100_149_Tot,C06_150_199_REA,C06_150_199_ST_HA,C06_150_199_Pe_no_sa_ho,C06_150_199_H_c_o_c_c_g,C06_150_199_Ot_lan_ty,C06_150_199_Lan_ty_ns,C06_150_199_Tot,C06_200_224_REA,C06_200_224_ST_HA,C06_200_224_Pe_no_sa_ho,C06_200_224_H_c_o_c_c_g,C06_200_224_Ot_lan_ty,C06_200_224_Lan_ty_ns,C06_200_224_Tot,C06_225_274_REA,C06_225_274_ST_HA,C06_225_274_Pe_no_sa_ho,C06_225_274_H_c_o_c_c_g,C06_225_274_Ot_la_typ,C06_225_274_Lan_ty_ns,C06_225_274_Tot,C06_275_349_REA,C06_275_349_ST_HA,C06_275_349_Pe_no_sa_ho,C06_275_349_H_c_o_c_c_g,C06_275_349_Ot_lan_ty,C06_275_349_Lan_ty_ns,C06_275_349_Tot,C06_350_449_REA,C06_350_449_ST_HA,C06_350_449_Pe_no_sa_ho,C06_350_449_H_c_o_c_c_g,C06_350_449_Ot_lan_ty,C06_350_449_Lan_ty_ns,C06_350_449_Tot,C06_450_549_REA,C06_450_549_ST_HA,C06_450_549_Pe_no_sa_ho,C06_450_549_H_c_o_c_c_g,C06_450_549_Oth_lan_typ,C06_450_549_Lan_ty_ns,C06_450_549_Tot,C06_550_649_REA,C06_550_649_ST_HA,C06_550_649_Pe_no_sa_ho,C06_550_649_H_c_o_c_c_g,C06_550_649_Ot_lan_ty,C06_550_649_Lan_ty_ns,C06_550_649_Tot,C06_650_749_REA,C06_650_749_ST_HA,C06_650_749_Pe_no_sa_ho,C06_650_749_H_co_op_c_ch_gr,C06_650_749_Oth_lan_typ,C06_650_749_LLT_NS,C06_650_749_Tot,C06_750_849_REA,C06_750_849_ST_HA,C06_750_849_Pe_no_sa_ho,C06_750_849_H_co_op_c_ch_gr,C06_750_849_Oth_lan_typ,C06_750_849_LLT_NS,C06_750_849_Tot,C06_850_950_REA,C06_850_949_ST_HA,C06_850_949_Pe_no_sa_ho,C06_850_949_H_co_op_c_ch_gr,C06_850_949_Oth_lan_typ,C06_850_949_LLT_NS,C06_850_949_Tot,C06_950_over_REA,C06_950_over_ST_HA,C06_950over_Pe_no_sa_ho,C06_950ov_H_co_op_c_ch_gr,C06_950over_Oth_lan_typ,C06_950over_LLT_NS,C06_950_over_Tot,C06_R_NS_REA,C06_R_NS_ST_HA,C06_R_NS_Pe_no_sa_ho,C06_R_NS_H_co_op_c_ch_gr,C06_R_NS_Oth_lan_typ,C06_R_NS_Land_typ_ns,C06_Rent_not_statd_Tot,C06_Tot_REA,C06_Tot_ST_HA,C06_T_Pe_no_sa_ho,C06_Tot_Ho_co_op_co_ch_gr,C06_Tot_Oth_lan_typ,C06_Tot_LLT_NS,C06_T_T,C11_0_74_REA,C11_0_74_ST_HA,C11_0_74_Per_no_sa_ho,C11_0_74_Ho_co_op_c_c_g,C11_0_74_Oth_land_typ,C11_0_74_LLT_NS,C11_0_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Pe_no_sa_ho,C11_75_99_H_c_op_c_c_gr,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Pe_no_sa_ho,C11_100_149_H_c_o_c_c_g,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_co_op_c_ch_gr,C11_550_649_Oth_lan_typ,C11_550_649_LLT_NS,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Pe_no_sa_ho,C11_650_749_H_co_op_c_ch_gr,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Pe_no_sa_ho,C11_750_849_H_co_op_c_ch_gr,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Pe_no_sa_ho,C11_850_949_H_co_op_c_ch_gr
101,63,718,686,191,391,766,2822,225,434,262,110,88,10,1123,1739,599,1207,115,265,42,3956,2901,324,1222,39,367,30,4889,1135,123,558,7,73,11,1901,1303,53,420,3,53,6,1842,749,16,233,3,38,0,1044,290,4,116,0,25,0,440,82,0,39,0,20,0,148,29,6,18,0,14,0,61,12,3,10,0,6,0,28,13,0,6,0,3,0,25,0,5,3,0,6,0,12,63,46,48,6,19,3,184,140,144,221,40,172,36,757,8743,2478,5045,523,1542,908,19235,36,213,635,70,351,594,1906,64,576,133,85,61,14,928,593,617,675,182,181,24,2269,1718,395,1047,85,189,33,3470,1315,157,683,23,121,11,2310,2108,139,755,23,197,15,3238,1951,102,629,8,178,10,2877,1133,41,421,7,86,4,1683,377,3,158,3,42,0,588,150,0,63,3,21,0,236,61,0,21,0,12,0,93,33,3,12,3,9,0,63,8,0,6,0
102,52,1357,419,200,98,503,2634,59,506,77,86,94,22,843,911,804,656,152,286,40,2853,3808,354,1427,64,187,51,5889,3569,180,1107,16,82,24,4982,5288,113,1014,13,75,21,6526,2542,9,432,4,26,16,3031,708,3,121,0,10,0,843,135,4,27,0,3,0,171,36,13,11,5,0,0,66,6,3,3,0,0,0,13,13,0,3,4,0,0,26,0,3,0,0,0,0,6,45,71,20,9,8,6,161,216,216,189,53,80,42,801,17404,3633,5516,605,955,731,28839,35,350,396,77,76,400,1325,15,1220,44,83,34,15,1403,261,822,376,171,273,21,1928,1206,517,735,144,236,36,2884,1250,164,791,54,124,17,2404,4033,227,1254,59,97,26,5695,6902,184,1506,21,122,38,8773,4014,26,758,3,51,16,4867,907,3,157,3,14,3,1091,254,0,60,0,5,0,326,77,5,15,0,6,0,109,26,7,8,0,3,0,46,9,0,4,0
103,103,1115,780,219,509,780,3514,291,595,314,82,91,21,1394,2045,866,1242,106,296,34,4595,3205,433,987,27,164,31,4850,1163,28,318,4,39,5,1557,1112,8,170,4,32,3,1328,456,0,66,0,27,6,560,95,4,22,0,21,0,149,25,0,11,0,5,0,40,5,13,6,0,6,0,40,0,3,3,0,3,0,8,0,0,4,0,0,0,11,0,0,3,0,0,0,5,35,44,33,10,7,3,127,141,200,222,38,140,49,777,8680,3318,4187,486,1341,937,18945,75,325,736,111,435,619,2295,91,743,173,87,57,12,1169,1078,834,865,157,206,48,3188,2355,642,1053,56,164,35,4311,1257,203,579,23,77,6,2143,2098,95,491,14,68,10,2770,1767,20,340,6,45,8,2182,923,3,156,3,21,3,1112,191,3,32,0,18,0,252,29,3,13,0,6,0,57,30,0,8,0,6,0,41,12,0,10,0,5,0,27,17,0,4,0
104,38,627,324,96,158,351,1590,42,250,130,74,80,6,588,878,441,896,121,215,40,2591,2237,198,1042,20,126,24,3658,1040,39,492,4,37,8,1617,1437,25,410,3,44,6,1928,594,4,143,0,17,5,766,140,0,54,0,23,3,223,34,0,16,0,24,0,76,7,3,8,0,8,3,31,8,0,5,0,8,0,19,3,0,3,0,0,0,6,0,0,4,0,0,0,6,23,52,21,0,12,5,117,81,101,123,28,71,28,430,6575,1742,3676,350,828,477,13641,26,171,301,43,115,293,932,11,515,61,24,43,9,666,176,351,410,162,166,27,1298,869,249,711,85,130,17,2060,847,84,492,28,71,14,1536,1668,122,658,34,94,18,2595,2311,39,665,14,71,12,3113,1295,10,282,3,42,6,1632,254,0,47,3,7,0,319,48,0,12,0,8,0,73,12,3,8,0,10,0,34,11,9,3,0,5,0,26,4,0,4,0
105,54,636,615,271,895,728,3205,210,383,271,214,154,30,1260,1307,621,1164,236,415,56,3800,1341,108,488,10,142,13,2110,397,8,127,6,33,7,577,261,3,49,0,14,4,338,121,0,21,0,9,0,154,20,0,18,3,13,4,63,0,0,3,3,9,3,17,4,3,6,0,0,0,12,3,0,8,0,0,0,11,0,0,5,0,0,0,9,0,0,0,0,0,0,4,16,32,18,11,5,3,87,53,111,161,56,173,42,611,3801,1923,2969,812,1866,888,12251,30,260,538,144,827,595,2396,54,411,139,129,107,16,850,773,752,841,300,320,39,3032,1392,288,676,102,220,24,2704,640,61,295,6,66,3,1070,803,28,271,9,47,5,1160,486,17,118,3,21,0,645,204,4,46,8,17,4,275,12,0,10,0,12,0,39,3,0,8,0,10,0,22,5,0,9,0,6,0,18,0,6,7,0,3,0,15,0,0,3,0
106,62,1005,489,161,318,617,2649,170,566,121,58,83,19,1021,1508,935,855,93,540,41,3972,3660,535,1021,28,411,36,5686,1823,66,492,4,96,11,2497,2228,17,322,3,37,16,2622,1229,5,147,3,33,5,1419,197,3,40,0,10,0,258,19,0,18,0,4,0,39,8,12,3,0,0,0,22,6,0,9,0,4,0,21,3,0,0,0,3,0,7,0,3,6,0,0,0,8,41,66,21,3,18,4,156,171,195,173,37,167,44,782,11116,3408,3726,398,1731,785,21166,38,321,464,35,311,471,1646,36,865,58,93,53,17,1118,429,888,450,113,187,26,2087,1395,594,668,78,346,12,3098,1183,252,583,27,395,16,2453,2808,297,785,32,231,15,4168,4013,82,714,17,138,12,4981,2683,12,366,0,37,10,3104,440,3,69,0,12,0,528,68,3,23,0,12,0,104,40,0,10,0,3,0,54,8,8,3,0,6,0,25,4,3,7,0
107,71,2326,339,145,65,381,3329,98,1200,118,87,50,31,1586,1447,1794,733,132,138,61,4305,2818,745,1070,46,122,44,4842,1945,517,804,19,85,27,3395,3376,289,921,22,63,22,4693,2114,41,490,4,25,10,2683,617,11,139,4,11,3,783,124,8,46,0,4,0,180,35,17,12,0,4,3,80,19,6,7,0,0,3,33,6,6,9,0,0,0,17,0,3,0,0,0,0,5,32,145,16,3,9,3,208,147,396,195,54,54,39,882,12846,7506,4887,520,634,625,27019,47,772,361,63,61,295,1602,37,2184,56,67,22,13,2374,355,1586,333,108,134,18,2530,1285,1088,704,91,106,37,3300,1091,403,599,37,77,9,2217,2363,644,885,38,97,25,4064,4177,347,1211,28,102,31,5895,3346,39,782,13,42,9,4226,1079,9,224,0,17,8,1339,324,10,71,0,5,0,415,86,8,23,0,7,0,122,30,18,25,8,3,4,86,18,6,3,0
108,58,862,517,226,180,612,2451,148,373,210,154,127,21,1037,1594,631,1122,227,294,50,3925,3555,230,1333,45,226,25,5416,1579,61,633,17,50,10,2340,2054,19,436,8,43,16,2581,747,3,170,0,19,3,948,178,0,47,0,30,0,259,52,0,14,0,20,3,88,6,12,11,0,5,0,38,3,3,3,0,4,0,13,0,0,3,0,0,0,4,3,0,0,0,3,0,5,51,41,25,0,12,6,133,172,118,203,45,76,42,663,10206,2340,4733,732,1098,789,19895,40,222,488,67,145,459,1414,46,701,90,78,62,14,991,604,588,602,270,232,24,2327,2247,468,1003,172,239,33,4158,1459,163,762,34,105,14,2537,2866,108,799,40,91,20,3922,2807,33,640,25,51,8,3572,1312,7,258,0,32,0,1614,238,4,37,3,18,0,298,50,4,16,0,7,0,83,29,0,11,0,4,0,44,10,3,8,0,4,0,19,0,4,4,0
109,82,420,442,162,484,478,2069,415,279,215,49,83,15,1048,1670,393,911,93,199,36,3304,1577,92,638,17,108,20,2457,497,25,208,6,30,3,758,579,12,129,0,22,0,745,274,0,75,0,7,4,364,69,0,31,0,7,0,104,10,4,19,0,3,0,32,3,4,3,0,5,0,22,4,0,0,0,0,0,5,0,3,3,0,0,0,12,0,0,4,0,3,0,8,19,26,31,5,7,0,88,85,76,124,29,122,24,464,5277,1330,2836,368,1089,583,11482,28,140,358,88,342,351,1309,100,288,118,73,51,9,645,1224,367,676,98,138,24,2532,1600,173,721,90,122,25,2724,714,70,333,8,52,12,1186,1194,43,309,3,48,7,1601,800,7,187,0,31,9,1037,294,3,58,3,18,3,382,49,0,21,0,8,0,79,17,0,15,0,9,0,43,7,0,4,0,3,0,13,5,3,7,0,0,0,18,0,0,5,0
110,85,832,855,298,842,1014,3923,376,461,363,164,123,23,1504,2440,769,1507,217,395,59,5389,2453,242,1001,31,201,18,3951,851,15,359,8,44,6,1288,772,4,172,0,26,3,987,277,5,79,0,22,3,387,71,0,25,0,21,0,120,7,3,8,0,16,0,29,0,4,3,0,0,0,15,3,0,0,0,0,0,10,3,0,4,0,4,0,7,0,4,5,0,3,0,6,38,58,34,5,4,0,145,108,166,215,57,253,52,845,7489,2572,4635,778,1949,1181,18606,31,258,662,114,777,805,2648,83,478,175,70,67,14,889,1203,725,964,291,307,44,3530,2147,615,1073,131,257,36,4248,1201,206,557,39,99,13,2113,1912,92,542,24,98,8,2676,1516,16,363,11,52,8,1968,633,4,136,3,53,3,838,76,4,24,3,15,0,126,14,3,3,0,14,0,33,8,4,8,0,3,0,20,3,3,12,0,0,0,17,0,3,3,0
