SA4_CODE_2016,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_S_r_t_h_t_1_s_NPUR_1,C16_S_r_t_h_t_1_s_NPUR_2,C16_S_r_t_h_t_1_s_NPUR_3,C16_S_r_t_h_t_1_s_NPUR_4,C16_S_r_t_h_t_1_s_NPUR_5,C16_S_r_t_h_t_1_s_NPUR_6mo,C16_SDRTHTS_To,C16_S_r_t_h_t_2mor_s_NPUR_1,C16_S_r_t_h_t_2mor_s_NPUR_2,C16_S_r_t_h_t_2mor_s_NPUR_3,C16_S_r_t_h_t_2mor_s_NPUR_4,C16_S_r_t_h_t_2mor_s_NPUR_5,C16_SDRTHT2S_NPUR_6mo,C16_SDRTHT2S_To,C16_Sd_r_t_h_t_To_NPUR_1,C16_Sd_r_t_h_t_To_NPUR_2,C16_Sd_r_t_h_t_To_NPUR_3,C16_Sd_r_t_h_t_To_NPUR_4,C16_Sd_r_t_h_t_To_NPUR_5,C16_SDRTHT_NPUR_6mor,C16_Sd_r_t_h_t_To_Tot,C16_Fl_u_a_1_2SB_NPUR_1,C16_Fl_u_a_1_2SB_NPUR_2,C16_Fl_u_a_1_2SB_NPUR_3,C16_Fl_u_a_1_2SB_NPUR_4,C16_Fl_u_a_1_2SB_NPUR_5,C16_F_u_a_1_2SB_NPUR_6mor,C16_FUA_1_2SB_Tot,C16_F_u_a_I_a_3SB_NPUR_1,C16_F_u_a_I_a_3SB_NPUR_2,C16_F_u_a_I_a_3SB_NPUR_3,C16_F_u_a_I_a_3SB_NPUR_4,C16_F_u_a_I_a_3SB_NPUR_5,C16_F_u_a_I_a_3SB_NPUR_6m,C16_FUA_In_a_3_st_b_To,C16_F_u_a_4mor_s_b_NPUR_1,C16_F_u_a_4mor_s_b_NPUR_2,C16_F_u_a_4mor_s_b_NPUR_3,C16_F_u_a_4mor_s_b_NPUR_4,C16_F_u_a_4mor_s_b_NPUR_5,C16_F_u_a_4m_s_b_NPUR_6mor,C16_FUA_4mor_st_bl_Tot,C16_FUA_AH_NPUR_1,C16_FUA_AH_NPUR_2,C16_FUA_AH_NPUR_3,C16_FUA_AH_NPUR_4,C16_FUA_AH_NPUR_5,C16_FUA_AH_NPUR_6mo,C16_FUA_AH_Tot,C16_FUA_To_NPUR_1,C16_FUA_To_NPUR_2,C16_FUA_To_NPUR_3,C16_FUA_To_NPUR_4,C16_FUA_To_NPUR_5,C16_FUA_To_NPUR_6mo,C16_FUA_To_To,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mo,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mo,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_TO,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_T_T,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_T,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_T_T
101,4,6,153,21424,29466,10822,10184,4670,2080,78642,15782,26697,9766,9616,4440,2060,68358,2624,1339,389,210,68,32,4651,1124,877,308,145,41,17,2505,3749,2209,691,348,113,44,7159,2088,805,256,116,35,6,3307,390,183,71,30,3,4,683,548,271,109,33,17,0,990,19,7,0,3,0,0,27,3044,1266,437,188,58,11,5001,440,204,36,13,7,3,705,64,46,15,19,4,3,143,75,70,26,21,10,4,199,579,312,69,48,18,13,1043,294,260,90,59,23,15,739,23443,30749,11051,10263,4650,2146,82309
102,0,3,137,31363,40002,17371,17351,7599,3518,117206,19068,32276,15728,16771,7581,3636,95068,4945,3237,671,376,111,37,9379,2250,1933,789,481,150,41,5647,7194,5168,1461,861,263,78,15026,3362,1862,505,240,70,29,6059,701,566,160,68,20,7,1522,673,666,165,78,15,7,1606,43,21,0,8,0,0,68,4777,3111,830,386,104,42,9260,535,243,63,38,12,10,891,10,10,6,0,3,0,29,63,71,45,31,7,3,228,614,325,112,69,14,9,1150,301,140,48,32,20,10,545,31956,41023,18179,18126,7982,3781,121048
103,6,0,79,20347,26055,9995,9333,4994,2375,73102,16455,24145,9607,9245,4668,2220,66348,2169,1024,275,152,38,6,3664,375,179,56,29,8,0,660,2550,1203,336,177,45,13,4324,1642,500,121,48,16,7,2331,86,13,0,0,0,0,106,13,7,0,0,0,0,21,3,0,6,0,0,0,11,1744,523,129,45,14,7,2466,189,45,17,9,4,3,268,24,20,3,3,5,3,54,147,179,68,49,38,11,497,364,244,86,58,45,17,819,407,209,62,56,31,26,791,21517,26324,10221,9588,4807,2283,74746
104,0,0,42,13644,19336,6946,6189,2813,1416,50339,9152,16492,6106,5538,2633,1448,41380,1506,908,234,146,41,12,2853,710,635,258,116,43,16,1787,2218,1546,488,262,85,27,4640,1755,880,276,107,36,19,3075,215,133,39,21,7,3,411,160,117,21,12,0,0,307,8,4,0,3,0,0,15,2134,1132,341,136,42,21,3813,662,337,44,15,8,3,1077,70,40,14,7,3,3,129,43,46,8,12,3,5,108,768,425,60,37,12,8,1318,167,191,44,34,16,9,467,14452,19785,7047,6010,2800,1523,51614
105,4,11,108,12511,14711,5734,5119,2718,1555,42356,9765,13065,5433,4656,2419,1383,36730,766,380,110,56,18,7,1336,35,33,10,3,0,0,83,804,415,121,54,18,7,1421,1302,462,113,48,7,8,1941,26,14,0,0,0,0,41,25,3,0,0,0,0,28,3,6,0,0,0,0,9,1355,482,113,52,7,8,2022,116,56,3,7,3,3,196,98,45,14,4,6,9,177,107,127,46,46,18,12,351,324,231,60,51,34,26,722,149,121,38,23,16,17,351,12392,14316,5767,4833,2496,1438,41240
106,3,0,65,20660,31245,13558,13482,6251,2841,88033,15906,29141,13218,13541,6190,2879,80868,3142,1972,573,247,79,29,6045,1119,961,340,183,74,22,2693,4258,2930,915,430,154,45,8736,1284,435,116,54,9,5,1906,105,80,19,3,0,0,214,184,156,25,11,0,0,366,13,3,0,4,0,0,22,1587,680,159,68,12,6,2512,447,251,28,15,8,3,757,21,25,9,7,4,0,71,56,54,24,19,0,3,158,532,334,65,39,9,10,986,415,222,70,55,17,12,789,22691,33301,14430,14137,6395,2946,93894
107,0,0,54,24859,33986,16266,16512,6987,2988,101599,12649,25080,13346,15432,6731,3110,76356,2822,2007,594,332,115,39,5903,2678,2501,1179,749,211,116,7434,5502,4508,1777,1085,320,151,13339,3468,2150,685,358,113,57,6833,1462,1076,354,128,38,9,3071,1521,1784,516,208,44,11,4081,28,9,4,3,3,3,54,6475,5023,1562,706,196,72,14037,365,185,21,12,8,4,596,4,0,0,0,0,0,5,96,102,42,55,10,8,318,466,283,64,70,23,18,920,295,227,51,45,13,9,644,25390,35119,16805,17331,7286,3364,105288
108,0,0,55,22831,32405,10019,8530,4073,2064,79926,15323,27628,9269,8157,3951,1996,66319,3498,2344,432,162,45,19,6495,596,625,184,95,23,8,1535,4095,2964,620,251,70,29,8031,2580,1089,274,91,30,14,4075,545,334,65,19,6,0,973,682,609,96,26,3,3,1417,11,5,0,0,0,0,18,3812,2035,432,142,38,20,6484,964,542,46,24,14,3,1590,41,26,4,3,0,3,71,101,91,27,16,9,6,247,1101,653,83,39,19,12,1907,242,215,64,47,23,10,608,24574,33495,10468,8641,4101,2062,83341
109,0,0,57,12506,15977,5560,5217,2469,1120,42842,9423,14435,5170,5039,2436,1016,37520,2197,951,255,113,32,9,3553,253,124,34,22,0,0,436,2447,1073,288,133,29,14,3985,946,364,87,25,3,7,1426,38,12,5,3,0,0,58,16,5,0,0,0,0,29,3,0,0,0,0,0,4,1000,387,92,31,3,7,1514,231,147,18,6,4,0,414,10,8,0,3,0,0,18,44,63,24,19,9,3,156,288,215,34,27,16,3,590,97,79,18,12,15,5,234,13257,16192,5599,5241,2504,1045,43846
110,3,0,87,18244,24028,9124,8313,4157,2019,65879,14601,22013,8457,7774,3954,1853,58659,1778,801,256,132,43,15,3024,347,172,37,27,4,3,583,2123,968,291,156,49,18,3610,1687,513,144,62,22,11,2439,53,16,6,4,0,5,87,43,10,5,3,0,0,56,0,8,0,0,0,0,9,1783,544,155,76,22,14,2595,259,112,15,5,4,7,407,24,19,9,4,0,0,60,109,167,75,59,15,19,438,400,295,94,68,21,24,907,187,176,69,45,34,21,536,19101,24004,9070,8128,4076,1932,66307
