SA4_CODE_2016,C11_M_25_29_Tot_LF,C11_M_25_29_Notin_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Notin_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Notin_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Notin_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Notin_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Notin_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Notin_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Notin_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Notin_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Notin_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75ov_Em_FT,C11_M_75ov_Em_PT,C11_M_75ov_Em_AFW,C11_M_75ov_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75ov_Unem_Lo_ft_wor,C11_M_75ov_Unem_Lo_pt_wor,C11_M_75ov_Unempl_Tot,C11_M_75ov_Tot_LF,C11_M_75ov_Notin_LF,C11_M_75ov_LF_NS,C11_M_75ov_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_T_T_labo_for,C11_M_Tot_Notin_LF,C11_M_Tot_LF_NS,C11_M_T_T,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Notin_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Notin_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot,C16_M_25_29_Tot_LF,C16_M_25_29_Notin_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Notin_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Notin_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS
101,4079,503,312,4893,3246,487,128,103,3967,146,33,178,4146,454,278,4870,4328,606,149,114,5200,167,29,195,5392,598,331,6330,4696,703,171,151,5711,191,48,237,5953,726,431,7110,5027,775,179,134,6122,180,43,221,6344,909,420,7666,4872,959,226,126,6187,154,60,211,6399,1119,407,7925,3816,994,257,79,5137,146,68,213,5352,1676,416,7443,2556,1125,197,94,3978,117,80,196,4174,3124,379,7672,917,653,96,47,1713,13,17,35,1747,3889,298,5931,362,317,47,27,751,10,11,23,772,3489,300,4559,222,217,27,36,495,6,0,10,502,5680,666,6851,37237,9638,1831,1223,49930,1845,718,2561,52496,25822,4873,83188,980,1604,93,106,2788,181,239,420,3204,2888,399,6492,2642,1011,98,138,3889,301,97,391,4281,658,400,5345,3266,674,99,99,4136,229,44,270,4405,564,407,5376,3676,603,123,98,4499,172,36,208,4713,552,406,5668,3677,516,109,95,4400,157,34,194,4591,630,383,5606,4469,747,141,94
102,6686,642,440,7770,5319,743,203,165,6430,339,44,380,6809,666,388,7864,6427,868,228,179,7701,326,45,369,8068,800,491,9361,6692,922,230,204,8041,339,58,398,8439,941,481,9868,6881,995,239,184,8298,322,68,388,8687,1117,501,10301,6437,1051,280,179,7946,295,67,364,8310,1454,539,10296,5016,1120,278,128,6543,264,79,346,6887,2062,459,9406,2882,1258,222,79,4445,189,90,280,4723,3868,454,9043,859,763,81,29,1733,15,44,57,1785,5498,457,7738,184,345,35,13,574,7,14,17,589,5324,414,6334,69,161,32,19,281,3,5,9,286,10528,1269,12086,51292,13282,2367,1755,68699,3849,1330,5183,73884,39033,6796,119708,1262,2457,140,101,3958,435,637,1068,5030,4634,463,10117,4094,2161,159,199,6615,635,257,894,7506,1281,476,9267,5283,1123,159,150,6712,420,107,521,7236,790,460,8491,5984,927,170,140,7226,303,62,369,7589,701,459,8750,6144,894,197,159,7394,272,45,319,7706,821,454,8982,6895,988,152,136
103,4316,590,276,5185,3444,352,104,117,4013,181,20,201,4211,590,311,5110,4018,379,136,125,4661,175,26,202,4859,623,341,5826,4260,432,146,124,4955,163,23,185,5145,779,350,6265,4389,541,156,129,5221,150,50,196,5416,894,318,6634,4367,600,189,111,5265,157,41,197,5462,1062,304,6824,3724,672,187,91,4672,136,48,189,4864,1235,353,6446,2428,768,161,84,3438,100,54,153,3587,2455,333,6377,986,590,86,39,1696,8,12,25,1722,3112,343,5178,405,327,36,38,799,0,3,3,805,2915,271,3991,250,254,38,43,577,0,4,5,584,5183,592,6363,36279,7232,1545,1207,46262,1897,643,2536,48797,23760,4491,77052,1031,1240,94,95,2460,255,257,513,2973,3227,493,6692,2773,868,109,111,3858,409,146,560,4418,1028,525,5972,3532,572,101,85,4296,259,45,305,4599,739,466,5807,3712,507,98,106,4430,204,56,262,4691,661,429,5776,3567,414,108,100,4191,195,36,231,4425,684,411,5515,3934,474,109,87
104,2151,412,151,2711,1552,344,59,45,2008,182,33,213,2218,400,116,2732,2011,481,92,69,2650,160,39,201,2856,477,167,3501,2148,555,96,64,2864,166,39,207,3066,556,182,3807,2385,608,109,58,3165,176,53,228,3393,762,202,4357,2429,745,126,65,3366,181,63,249,3610,995,199,4806,2132,737,167,60,3098,166,55,222,3315,1454,204,4976,1270,682,99,35,2085,127,67,195,2283,2363,187,4829,341,302,47,22,712,12,15,27,739,2927,161,3834,118,115,16,11,258,4,13,13,269,2519,161,2958,50,95,5,16,169,0,3,3,176,4465,455,5097,17698,6573,1050,644,25965,1932,720,2648,28613,19967,2520,51109,434,973,65,48,1521,247,208,458,1978,1915,257,4155,1294,663,52,55,2073,289,73,365,2435,489,250,3173,1588,490,60,58,2193,186,52,244,2436,411,232,3071,1736,477,52,51,2317,157,41,195,2516,410,221,3142,1845,425,67,38,2366,139,32,170,2531,401,211,3140,2211,514,56,47
105,2494,432,186,3109,1818,185,75,64,2142,144,24,170,2315,341,173,2822,2129,220,68,73,2490,136,34,166,2664,427,204,3292,2235,285,89,78,2685,152,27,176,2864,467,232,3561,2451,292,73,68,2881,115,37,150,3034,595,238,3860,2534,329,93,72,3024,118,27,142,3167,700,259,4132,2044,363,98,63,2565,92,28,118,2685,878,220,3784,1406,390,102,47,1947,75,42,120,2069,1388,210,3668,603,268,35,37,943,8,7,10,948,1763,193,2905,254,161,25,29,463,0,6,6,474,1647,197,2313,179,124,23,27,358,0,4,3,362,2861,407,3625,20065,3812,836,782,25498,1446,422,1873,27365,13731,2958,44057,499,555,40,51,1148,158,120,279,1429,1661,246,3333,1537,379,52,69,2044,253,80,330,2377,602,298,3277,2030,291,56,53,2428,187,40,225,2652,507,351,3507,1999,252,68,58,2376,145,41,187,2560,451,310,3319,1826,223,49,48,2141,127,25,152,2293,397,262,2956,1955,250,53,61
106,6090,577,342,7013,5071,503,172,163,5912,235,33,274,6185,656,339,7175,5536,564,180,198,6482,203,42,241,6722,704,378,7804,5740,575,211,187,6723,191,34,226,6949,803,377,8124,5719,672,207,162,6763,174,47,222,6978,912,418,8311,5474,673,248,143,6535,157,46,198,6730,1120,399,8251,4267,794,235,118,5419,137,37,179,5600,1679,368,7644,2478,959,184,74,3698,99,47,147,3841,3251,374,7467,726,572,75,40,1412,13,16,28,1437,4306,318,6065,204,246,20,16,485,3,6,8,493,3579,302,4378,106,163,31,20,321,0,3,7,326,5736,645,6701,46312,9098,2059,1632,59102,2293,740,3039,62141,27574,5058,94772,1268,1978,119,87,3448,426,452,876,4323,3683,415,8419,3618,1414,143,150,5316,594,183,780,6094,1045,506,7650,4788,862,133,120,5900,382,81,465,6370,818,506,7689,5140,724,170,108,6138,308,57,366,6509,808,520,7837,5161,685,156,130,6137,283,56,345,6475,832,477,7786,5494,700,180,115
107,7014,1099,455,8571,5371,805,220,136,6533,299,90,392,6925,736,352,8009,6210,809,244,158,7419,300,49,343,7770,826,373,8966,6162,776,240,162,7349,286,51,335,7679,932,375,8980,6396,901,261,197,7758,268,59,328,8086,1104,390,9579,6008,882,300,137,7332,268,53,315,7648,1281,396,9321,4455,861,297,117,5731,174,47,223,5957,1844,325,8124,2465,831,217,70,3585,126,70,193,3778,3588,348,7716,615,521,68,24,1235,6,18,27,1262,4578,290,6132,141,191,15,9,355,5,8,15,368,4331,296,4989,54,126,13,10,210,3,0,4,211,8021,790,9017,48112,11762,2502,1540,63918,3283,1435,4716,68631,35238,5228,109097,1254,2162,132,101,3649,353,732,1084,4734,4626,362,9720,3904,2632,176,187,6904,611,509,1124,8027,2318,520,10863,5113,1346,190,129,6779,388,173,561,7344,1291,499,9136,5902,905,185,144,7131,271,92,361,7489,771,466,8733,5963,829,173,106,7070,255,64,321,7386,853,400,8642,6450,910,160,120
108,2790,567,179,3537,2112,480,100,66,2757,222,45,271,3027,581,195,3802,2774,576,119,106,3576,240,57,298,3875,773,214,4860,3127,704,124,112,4064,274,59,331,4388,924,271,5590,3427,819,148,107,4497,270,72,340,4841,1245,290,6370,3488,1055,182,108,4831,270,91,358,5186,1598,369,7153,2944,1086,217,73,4318,237,92,321,4644,2228,365,7240,1817,1091,156,53,3120,175,103,277,3400,4043,364,7800,605,604,76,24,1305,16,15,27,1334,5431,382,7140,203,230,26,15,473,8,15,18,492,4919,318,5726,108,190,24,20,336,4,8,13,345,8774,940,10057,24929,9320,1443,924,36615,2752,934,3682,40301,34891,4384,79579,651,1329,119,93,2194,272,281,555,2746,2893,350,5993,1696,803,113,104,2717,404,123,523,3238,783,305,4327,2053,616,93,78,2840,289,56,346,3183,654,296,4135,2242,581,107,69,2994,193,58,248,3250,635,274,4160,2415,587,97,77,3176,204,54,252,3428,698,272,4396,3023,682,133,80
109,2369,230,162,2760,1968,221,61,48,2298,81,18,99,2401,216,148,2763,2254,225,79,68,2624,88,18,107,2731,262,150,3138,2380,249,90,73,2795,96,32,128,2925,293,176,3393,2527,252,80,60,2924,93,16,104,3030,358,178,3558,2711,333,96,73,3214,93,21,115,3332,446,191,3969,2205,447,130,47,2832,71,30,102,2934,660,196,3790,1484,529,111,60,2192,68,36,103,2297,1354,177,3833,568,320,70,29,986,6,9,13,1002,1869,173,3046,198,178,24,26,416,0,4,8,424,1890,174,2487,131,121,21,25,299,3,6,10,302,3393,424,4120,20751,4245,962,714,26679,1003,392,1396,28076,13133,2536,43749,604,818,47,56,1526,120,120,243,1766,1515,234,3514,1613,501,45,76,2238,200,68,265,2509,386,295,3184,1860,343,52,59,2308,119,24,150,2460,247,265,2972,2069,270,81,48,2462,114,25,138,2603,243,246,3082,1961,271,46,49,2321,100,15,117,2434,254,222,2912,2207,263,64,48
110,3760,489,272,4517,2884,340,78,72,3385,194,42,239,3620,510,274,4405,3292,407,90,118,3897,175,40,217,4114,528,270,4902,3555,489,115,121,4282,166,34,202,4483,655,314,5453,3730,507,145,110,4495,182,34,215,4713,771,306,5789,3810,593,156,124,4685,161,47,214,4898,922,338,6167,3349,641,154,94,4238,131,51,182,4418,1176,333,5929,2277,690,130,59,3155,107,66,177,3338,2068,290,5700,923,533,86,37,1582,12,20,30,1608,2813,282,4693,391,295,38,36,760,3,10,13,771,2681,257,3708,273,207,37,32,548,3,6,6,557,4485,567,5610,31028,6876,1335,1080,40316,1965,746,2714,43030,20982,4163,68178,863,1217,84,90,2252,257,205,460,2713,2813,469,5990,2387,750,85,112,3331,339,140,480,3809,978,445,5234,2996,499,95,91,3676,236,61,295,3973,579,415,4968,3099,471,103,69,3742,188,54,239,3981,482,413,4875,2894,415,83,69,3465,145,42,181,3653,543,419,4614,3303,453,88,84
