SA4_CODE_2016,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6m,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6m,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6m,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6m,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6m,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6m,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6m,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6m,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85andover_N_c_b_0,C11_AP_85andover_N_c_b_1,C11_AP_85andover_N_c_b_2,C11_AP_85andover_N_c_b_3,C11_AP_85andover_N_c_b_4,C11_AP_85andover_N_c_b_5,C11_AP_85ov_N_c_b_6mor,C11_AP_85andover_N_c_b_NS,C11_AP_85_andover_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_T_T,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6m,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6m,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6m,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6m,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6m,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6m,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1,C16_AP_45_49_NCB_2,C16_AP_45_49_NCB_3,C16_AP_45_49_NCB_4,C16_AP_45_49_NCB_5,C16_AP_45_49_NCB_6m,C16_AP_45_49_NCB_NS,C16_AP_45_49_Tot,C16_AP_50_54_NCB_0,C16_AP_50_54_NCB_1,C16_AP_50_54_NCB_2,C16_AP_50_54_NCB_3,C16_AP_50_54_NCB_4,C16_AP_50_54_NCB_5,C16_AP_50_54_NCB_6m,C16_AP_50_54_NCB_NS,C16_AP_50_54_Tot,C16_AP_55_59_NCB_0,C16_AP_55_59_NCB_1,C16_AP_55_59_NCB_2,C16_AP_55_59_NCB_3,C16_AP_55_59_NCB_4,C16_AP_55_59_NCB_5,C16_AP_55_59_NCB_6m,C16_AP_55_59_NCB_NS,C16_AP_55_59_Tot,C16_AP_60_64_NCB_0,C16_AP_60_64_NCB_1,C16_AP_60_64_NCB_2,C16_AP_60_64_NCB_3,C16_AP_60_64_NCB_4,C16_AP_60_64_NCB_5,C16_AP_60_64_NCB_6m,C16_AP_60_64_NCB_NS,C16_AP_60_64_Tot,C16_AP_65_69_NCB_0,C16_AP_65_69_NCB_1,C16_AP_65_69_NCB_2,C16_AP_65_69_NCB_3,C16_AP_65_69_NCB_4,C16_AP_65_69_NCB_5,C16_AP_65_69_NCB_6m,C16_AP_65_69_NCB_NS,C16_AP_65_69_Tot,C16_AP_70_74_NCB_0,C16_AP_70_74_NCB_1,C16_AP_70_74_NCB_2,C16_AP_70_74_NCB_3,C16_AP_70_74_NCB_4,C16_AP_70_74_NCB_5,C16_AP_70_74_NCB_6m,C16_AP_70_74_NCB_NS,C16_AP_70_74_Tot,C16_AP_75_79_NCB_0,C16_AP_75_79_NCB_1,C16_AP_75_79_NCB_2,C16_AP_75_79_NCB_3
101,2633,1690,662,183,121,312,7614,1137,849,2665,1826,773,211,117,346,7914,1022,739,2632,1756,756,208,99,332,7540,826,620,2601,1789,777,229,116,342,7295,566,430,1861,1499,745,250,145,306,5799,358,248,1128,1153,675,304,238,267,4372,296,226,669,806,560,267,248,264,3337,227,212,544,594,433,191,246,278,2730,242,246,634,548,359,190,174,415,2804,20736,9041,23021,15706,7154,2432,1782,4939,84819,5201,86,13,3,0,0,3,862,6167,3678,545,254,59,7,0,3,477,5022,2675,1073,788,303,82,24,10,476,5428,1647,1163,1534,721,236,76,43,459,5869,998,857,1942,1144,412,122,91,407,5968,963,878,2384,1489,491,168,117,462,6953,1204,910,2729,1613,619,169,111,551,7911,1179,951,2704,1678,680,194,123,593,8101,1199,863,2733,1887,770,216,116,624,8405,1064,767,2697,1825,787,223,106,603,8081,772,597,2563,1726,803,235,137,589,7431,518,425,1709,1372,692,245,145,524,5623,305,200,968,1013
102,4159,2552,929,262,126,436,11052,1230,1267,4124,2712,973,261,124,512,11210,1104,1032,3821,2430,878,228,105,420,10020,999,987,3765,2527,852,230,108,453,9922,837,775,2986,2221,942,279,116,474,8631,615,573,2070,1866,950,322,241,463,7106,583,492,1519,1458,888,367,299,479,6092,521,494,1408,1171,685,320,299,602,5499,588,674,1497,997,553,234,238,1022,5808,32399,15103,37627,24082,9675,3076,1986,7826,131773,8686,97,20,5,0,0,0,995,9808,6905,837,351,62,11,0,3,738,8908,4704,1661,1285,401,86,18,13,534,8706,2549,2030,2663,1132,322,87,47,493,9332,1396,1446,3491,1826,605,181,94,490,9526,1332,1416,4066,2245,808,246,137,565,10812,1356,1456,4192,2422,876,242,164,613,11325,1350,1348,4078,2542,905,270,138,621,11255,1291,1340,4210,2698,972,279,151,666,11608,1137,1122,3957,2583,924,238,123,615,10701,995,1038,3914,2611,937,275,129,725,10627,788,757,2958,2251,919,280,127,632,8716,531,497,1916,1703
103,2224,1709,710,231,153,256,6655,756,592,2104,1763,821,226,126,266,6649,650,517,2016,1617,781,217,122,274,6187,540,485,2095,1585,764,243,132,305,6151,447,354,1458,1352,707,262,165,265,5009,346,221,910,1051,706,305,258,260,4052,271,206,637,746,583,305,321,235,3306,245,206,532,547,419,258,246,224,2673,281,233,578,550,394,181,230,315,2765,18737,7736,19660,15450,7575,2787,2156,4422,78533,5281,119,16,8,0,3,4,971,6398,3797,709,360,95,18,6,4,602,5590,2479,1142,1008,425,131,27,22,442,5676,1339,1046,1647,904,301,105,63,442,5845,765,660,1762,1281,515,155,117,452,5702,709,628,2056,1483,618,194,150,484,6332,712,649,2199,1602,625,227,154,531,6688,780,669,2159,1643,716,243,136,620,6966,798,640,2086,1683,847,230,123,554,6963,641,487,1974,1612,775,213,122,542,6372,526,489,1991,1516,767,251,143,614,6294,414,303,1356,1280,657,233,149,488,4877,308,174,781,927
104,1674,1120,468,113,85,168,4806,655,566,1851,1290,544,148,82,168,5301,572,506,1787,1236,483,119,72,183,4959,477,411,1756,1206,451,136,86,204,4733,368,299,1348,1007,464,159,76,181,3899,247,233,849,780,505,186,129,167,3097,211,158,562,634,409,178,152,177,2478,153,143,390,410,315,162,155,204,1940,167,201,488,413,259,115,110,354,2107,12175,5872,15413,10674,4862,1628,1154,2931,54713,3287,54,11,3,0,0,3,509,3863,2075,383,165,57,3,3,0,281,2963,1486,603,551,215,65,11,10,279,3223,767,607,971,492,181,36,23,233,3311,517,499,1151,744,233,87,54,236,3518,477,509,1449,881,380,108,83,290,4175,549,561,1566,979,414,145,93,335,4645,659,552,1608,1118,487,120,98,342,4991,696,560,1823,1287,565,153,96,407,5586,615,510,1760,1320,522,131,85,357,5290,488,411,1798,1206,506,161,73,375,5019,350,277,1245,949,456,147,73,312,3812,215,206,755,726
105,1248,944,443,118,116,197,3866,426,327,1374,1041,471,145,105,222,4107,330,313,1156,940,431,147,89,190,3601,274,239,1096,867,485,122,103,178,3358,198,181,769,704,429,181,122,192,2786,176,111,502,592,418,198,169,183,2344,133,94,348,414,348,173,196,174,1884,108,83,309,343,275,130,172,140,1556,103,130,283,282,182,109,146,209,1443,10042,4486,11028,8768,4623,1728,1533,3056,45260,2564,80,14,4,0,0,0,513,3171,1961,481,254,76,18,5,0,391,3184,1673,599,592,272,80,31,23,405,3676,781,592,919,528,203,85,45,348,3503,442,379,854,646,317,112,83,281,3109,372,335,940,743,345,145,118,336,3337,410,337,1099,805,385,127,119,373,3648,420,329,1204,899,400,122,122,392,3889,390,311,1274,983,451,137,97,396,4047,286,292,1047,885,408,133,101,380,3539,214,204,964,787,430,118,95,343,3154,181,167,673,628,377,164,116,301,2613,125,85,458,508
106,3137,1968,779,215,161,322,8355,788,804,3059,2215,813,219,116,347,8362,749,659,2822,2124,765,204,101,351,7773,633,608,2717,2033,856,230,122,320,7518,477,423,1964,1612,741,220,137,317,5896,373,287,1224,1153,706,275,183,266,4469,274,230,788,913,585,255,255,268,3570,229,239,623,595,436,211,245,322,2910,246,296,641,539,367,163,180,395,2823,23293,10509,27327,18734,7981,2569,1871,5172,97451,6916,145,16,3,0,0,3,911,7993,5336,920,489,104,17,3,0,568,7437,3512,1581,1517,520,146,36,25,574,7907,1852,1556,2469,1191,357,115,58,568,8175,1000,1039,2636,1644,623,195,125,429,7700,901,980,3099,1960,759,219,167,563,8648,901,972,3268,2019,734,239,158,565,8848,900,893,3231,2044,817,231,164,560,8845,824,817,3142,2254,836,244,138,567,8812,725,657,2887,2191,815,213,127,588,8203,631,590,2725,2016,856,241,120,621,7809,420,394,1895,1570,738,221,129,526,5901,323,248,1076,1041
107,3948,2275,694,205,120,335,9814,1076,996,3743,2332,835,232,96,348,9665,827,861,3269,2263,777,196,108,325,8626,635,673,3037,2102,705,210,87,294,7747,453,506,2348,1819,743,213,109,321,6509,410,439,1704,1517,793,293,171,280,5609,289,302,1309,1245,666,291,239,364,4720,258,301,1039,953,569,268,223,322,3931,275,444,1012,754,429,236,204,374,3736,31076,12159,32869,20492,7852,2581,1616,5482,114134,8257,105,6,3,0,3,0,887,9264,8235,589,293,48,13,0,0,813,9989,5481,1474,1019,314,75,16,11,574,8963,2769,1961,2460,981,275,91,33,497,9067,1416,1332,3420,1576,494,148,89,407,8878,1164,1249,4071,2023,632,175,130,457,9888,1168,1173,3831,2034,670,226,134,466,9698,1134,1089,3868,2274,706,230,130,493,9932,1038,1011,3664,2384,859,225,112,544,9841,804,857,3267,2275,819,222,131,513,8884,598,678,2995,2093,734,203,107,555,7956,422,485,2244,1782,731,231,116,512,6508,363,355,1549,1412
108,2514,1659,679,205,124,269,7027,945,771,2802,1916,737,231,109,296,7809,893,737,2605,1906,772,187,86,307,7492,829,730,2992,2053,750,233,99,331,8013,713,582,2512,1912,832,235,168,329,7292,551,370,1654,1516,935,327,217,303,5861,434,307,1131,1110,793,354,255,335,4713,330,295,889,846,603,284,267,403,3920,381,375,882,740,418,229,205,775,4012,17468,8674,24440,17488,8035,2804,1834,4880,85618,4831,92,13,3,4,0,0,767,5706,2844,566,314,75,17,3,5,368,4197,1884,861,829,352,106,42,7,359,4437,991,829,1325,670,279,85,53,320,4538,696,663,1574,946,405,143,86,310,4824,662,687,2015,1360,562,204,134,369,6001,809,783,2238,1447,591,213,119,438,6632,983,770,2547,1671,683,240,138,533,7556,1082,843,2925,2047,810,234,114,559,8617,999,791,2903,2119,818,227,82,609,8541,936,769,3231,2229,834,263,126,743,9122,701,541,2475,1876,848,250,160,640,7495,453,338,1426,1406
109,1294,1005,390,126,67,165,3809,413,328,1330,1184,467,108,72,153,4058,336,308,1238,1029,488,128,68,177,3771,284,271,1206,981,488,135,80,175,3618,204,186,874,816,454,173,102,156,2962,208,111,557,664,466,191,199,159,2562,146,101,353,440,366,205,215,178,1998,126,99,289,356,267,162,150,173,1621,143,146,313,302,231,127,116,278,1650,10836,4226,11328,9058,4467,1591,1204,2648,45350,2897,45,3,0,0,0,0,439,3393,2291,321,134,32,7,0,3,339,3128,1572,574,457,159,48,20,9,283,3115,817,599,924,454,129,39,21,269,3249,487,406,1005,655,252,62,60,238,3156,384,375,1167,832,314,92,58,259,3481,436,354,1246,913,332,98,62,280,3717,411,380,1221,994,374,128,68,280,3865,389,334,1359,1144,463,115,64,375,4243,348,315,1233,1073,471,144,70,348,3998,274,267,1215,964,492,147,89,324,3775,213,185,852,783,437,162,103,298,3035,164,106,503,577
110,2118,1479,588,209,126,260,5995,641,571,2180,1661,733,208,112,299,6406,576,501,1846,1510,693,191,106,241,5676,497,388,1872,1541,668,211,140,261,5581,394,331,1349,1229,668,228,188,258,4644,297,227,874,1013,676,248,280,270,3880,242,149,562,631,506,288,286,229,2891,179,174,472,505,400,210,239,243,2427,186,182,473,473,334,169,230,368,2416,16780,6916,18115,14078,6763,2463,2100,4364,71583,4625,140,16,3,0,0,3,809,5599,3570,648,345,100,14,7,5,590,5270,2276,969,953,401,113,46,15,483,5258,1212,901,1324,796,299,103,57,414,5111,738,605,1544,1048,405,140,124,392,4998,637,558,1661,1290,540,179,148,444,5459,659,566,1853,1362,518,163,142,499,5774,682,576,2052,1455,573,221,111,518,6183,651,538,2079,1620,718,226,129,596,6557,568,493,1726,1418,723,208,101,485,5725,424,344,1760,1455,647,234,138,515,5514,350,310,1237,1132,600,232,172,451,4480,262,193,754,913
