SA4_CODE_2016,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85o,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85_ov,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85_ov,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85_ov,C11_P_CL_CL_nfd_Tot,C11_P_CL_T_15_19,C11_P_CL_T_20_24,C11_P_CL_T_25_34,C11_P_CL_T_35_44,C11_P_CL_T_45_54,C11_P_CL_T_55_64,C11_P_CL_T_65_74,C11_P_CL_T_75_84,C11_P_CL_T_85_ov,C11_P_CL_T_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85o,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85_ov,C11_P_LE_NS_T,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85o,C11_P_T_T,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85o,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85ov,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85o,C16_P_BD_Tot,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85o,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85_ov,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85_ov,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85_ov,C16_P_CL_CL_nfd_Tot,C16_P_CL_T_15_19,C16_P_CL_T_20_24,C16_P_CL_T_25_34,C16_P_CL_T_35_44,C16_P_CL_T_45_54,C16_P_CL_T_55_64,C16_P_CL_T_65_74,C16_P_CL_T_75_84,C16_P_CL_T_85_ov,C16_P_CL_T_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85o,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85_ov,C16_P_LE_NS_T,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85o,C16_P_T_T
101,42,449,1636,2751,2901,2751,1487,565,170,12751,470,2190,4971,6284,6759,5255,2998,1279,317,30519,197,301,463,503,454,309,120,36,16,2403,52,151,336,589,684,728,373,149,52,3112,711,2644,5770,7375,7901,6298,3494,1462,385,36035,29,94,182,365,548,579,383,188,78,2442,1390,836,1775,2231,2541,2722,2682,2321,1123,17606,2178,4581,13270,18329,19394,17556,10552,5302,1952,93118,0,22,796,1249,1481,1329,882,223,48,6029,0,38,407,680,843,1054,569,109,19,3724,8,712,3543,4133,3891,3740,2543,847,241,19657,38,515,2055,2867,3551,3399,2283,821,217,15744,479,2362,5878,6030,6954,6366,4030,1685,431,34206,175,328,411,359,454,416,243,52,20,2464,72,181,362,574,845,994,836,309,94,4271,723,2877,6654,6963,8247,7770,5109,2046,542,40940,21,43,135,134,198,295,277,145,54,1293,1525,1028,2230,2469,3117,3360,3536,2714,1496,21480,2316,5240,15812,18499,21329,20951,15200,6902,2622,108862
102,99,948,2959,4700,4266,3353,2000,1015,241,19580,839,3817,8759,9700,10174,7264,4758,2628,813,48751,367,497,776,724,629,490,174,85,26,3776,125,332,626,931,1107,1105,706,269,87,5284,1327,4650,10163,11357,11909,8860,5639,2979,926,57811,66,161,357,549,776,760,542,338,159,3718,2095,1189,2135,2936,3531,3623,4193,4527,2755,26992,3599,8109,21351,26324,26545,21721,14810,9932,4352,136737,3,48,984,1481,1429,1290,828,260,83,6391,8,58,468,711,769,927,481,148,34,3600,14,1365,6032,6459,4867,4422,2793,1126,324,27408,156,1050,3844,5220,5346,4440,2954,1247,413,24672,902,3891,9913,9941,10768,8948,6092,3077,1023,54557,312,460,588,638,645,573,348,90,34,3687,122,320,658,882,1306,1516,1341,539,197,6888,1339,4671,11154,11458,12723,11043,7787,3703,1256,65133,28,65,224,274,406,511,546,280,130,2455,1590,1265,2388,2641,3275,3565,4243,4008,2905,25881,3126,8526,25082,28246,28816,26191,19634,10777,5143,155541
103,41,389,1338,2123,2291,2034,1106,461,113,9901,578,2711,5740,5981,5978,4223,2289,1027,226,28747,223,378,537,497,445,318,112,33,6,2559,69,180,337,554,644,602,324,106,40,2857,877,3263,6619,7035,7058,5143,2726,1167,274,34161,34,102,170,318,529,525,334,162,68,2236,1518,1085,1826,2177,2300,2533,2548,2199,910,17096,2473,5581,13542,15616,15596,13424,8118,4499,1497,80352,0,20,550,751,694,711,433,108,23,3284,3,38,332,468,493,592,321,75,17,2327,4,757,3719,3589,2776,2428,1529,511,167,15484,59,424,1763,2235,2587,2532,1619,647,205,12063,593,2848,6542,5991,6304,5038,3138,1311,363,32125,221,361,505,430,481,379,204,74,17,2679,92,207,410,561,795,890,695,243,61,3951,902,3421,7457,6986,7577,6308,4039,1629,440,38752,16,47,113,131,161,252,251,112,57,1148,1741,1478,2574,2562,3116,3164,3484,2579,1148,21847,2723,6177,16511,16716,17398,15989,11675,5656,2049,94905
104,25,250,803,1450,1797,1695,932,353,74,7386,336,1293,2947,3721,4774,3886,2161,1013,260,20388,168,243,328,302,364,245,89,34,6,1776,60,123,235,310,471,531,241,102,44,2123,566,1655,3502,4337,5612,4664,2488,1142,314,24289,24,43,125,220,358,422,294,139,45,1685,844,471,877,1145,1438,1585,1676,1675,971,10678,1463,2774,7152,9849,11880,11148,6524,3767,1507,56064,0,16,240,415,469,492,383,102,24,2136,0,14,158,273,364,530,253,67,11,1664,0,368,1967,2468,2026,2397,1347,443,149,11166,29,277,1139,1555,2045,2242,1450,546,149,9418,336,1458,3427,3621,4438,4534,2882,1273,386,22352,164,248,296,274,287,326,196,38,7,1842,48,122,260,362,533,726,583,238,81,2952,551,1825,3987,4259,5262,5587,3660,1543,471,27142,9,36,77,83,137,192,204,95,35,872,915,595,1227,1333,1726,2161,2202,1901,1118,13178,1506,3122,8801,10380,12016,13593,9496,4694,1965,65577
105,4,194,699,1071,1176,838,422,179,41,4631,319,1410,2905,3112,3309,2362,1216,479,102,15222,134,215,343,284,230,157,46,10,0,1426,36,111,179,298,321,263,137,45,18,1412,483,1736,3428,3694,3858,2786,1400,541,122,18053,16,45,99,147,268,273,139,73,21,1085,976,667,1221,1376,1585,1563,1652,1490,617,11131,1481,3068,7637,8260,8549,6801,4066,2448,845,43164,0,12,381,340,269,231,98,20,10,1369,0,12,202,225,229,252,96,10,0,1032,4,403,2196,1723,1300,1098,571,184,66,7546,25,227,983,1092,1341,1197,588,250,65,5777,277,1501,3470,3004,3182,2785,1599,612,172,16601,93,195,283,247,286,206,100,22,4,1431,44,101,216,275,369,414,271,102,30,1827,418,1794,3972,3520,3840,3408,1965,732,204,19859,6,15,74,49,97,125,99,49,16,545,907,879,1928,1620,1915,2042,1955,1498,751,13497,1368,3352,9743,8572,8990,8361,5377,2744,1112,49615
106,66,610,2138,3046,2947,2449,1234,456,114,13055,689,3827,8592,8893,8412,5863,3306,1385,304,41265,243,434,713,629,548,340,130,45,6,3080,83,195,484,641,748,716,447,166,51,3530,1011,4461,9781,10164,9703,6919,3879,1592,363,47875,24,100,241,343,535,554,367,187,54,2410,1697,1050,2030,2520,2711,2904,2743,2413,1084,19159,2803,7039,18073,20289,19553,16151,9782,5106,1718,100524,0,26,606,769,783,714,433,118,26,3476,4,27,298,461,493,615,287,71,10,2271,7,772,3741,3806,2800,2814,1836,617,155,16544,95,713,2710,3482,3638,3220,1967,718,183,16715,707,4037,10320,9523,9443,7261,4623,1881,471,48274,290,502,751,602,518,429,225,52,4,3375,86,270,581,674,1022,1048,887,338,87,4992,1084,4808,11654,10800,10985,8736,5733,2271,565,56637,15,60,158,181,257,320,277,120,64,1450,1589,1302,2925,2771,3055,3297,3518,2599,1396,22449,2790,7704,22094,22272,22007,19719,14050,6507,2399,119550
107,124,1330,3065,4312,3867,2915,1360,568,171,17715,733,3583,8080,8467,8769,5997,3508,1937,526,41592,268,430,695,570,553,330,171,60,10,3090,75,277,550,846,999,832,485,205,63,4340,1072,4289,9327,9886,10321,7161,4164,2207,599,49016,54,174,309,472,660,617,431,221,78,3014,1619,1289,2014,2235,2716,2843,2817,3065,1282,19875,2899,9445,23285,24892,24368,18814,10808,6721,2303,123542,0,144,2320,2430,1978,1773,952,232,46,9877,12,103,841,916,811,1019,429,117,24,4276,12,2633,7641,6797,4789,4127,2200,760,207,29182,148,1411,3862,4650,4698,3834,2176,754,230,21770,778,4011,9040,8568,9062,7352,4464,2296,709,46264,233,448,531,562,540,446,233,71,26,3084,120,315,572,907,1231,1324,968,422,153,6021,1127,4771,10139,10034,10832,9119,5665,2791,893,55370,40,119,243,285,322,413,387,204,74,2086,1337,1322,2334,2215,2636,2914,3158,2862,1721,20501,2675,10509,27391,27326,26061,23213,14965,7723,3189,143053
108,30,283,1125,2085,2592,2626,1751,775,176,11443,481,1907,4220,5709,7168,5965,4200,2137,549,32344,214,335,522,484,511,364,171,57,4,2671,73,155,341,496,726,776,535,219,60,3378,772,2393,5087,6691,8409,7103,4908,2413,616,38388,30,57,167,283,544,642,515,279,97,2614,1311,708,1192,1703,2291,2751,3244,3397,1923,18527,2150,3804,9555,13991,17190,16737,12330,7610,2982,86337,0,14,358,530,548,679,506,152,23,2803,3,20,205,336,446,697,415,119,28,2266,4,401,2216,2817,2603,3051,2243,820,246,14391,56,369,1422,2229,2933,3386,2514,1034,300,14254,519,2122,4907,5597,7002,7283,5442,2607,753,36226,191,335,453,454,485,505,346,80,25,2871,76,179,390,565,873,1200,1089,478,155,5004,790,2636,5744,6616,8355,8989,6868,3166,935,44104,13,29,59,134,198,341,411,214,76,1481,1417,886,1735,1833,2646,3450,4322,3526,2206,22015,2280,4356,11741,14489,17732,20599,17277,9029,3810,101308
109,27,278,916,1144,1278,1128,623,256,53,5702,340,1489,2980,3210,3413,2589,1435,678,135,16271,125,220,296,238,239,176,42,19,6,1367,31,86,162,259,300,273,136,47,12,1306,500,1799,3438,3705,3950,3038,1618,744,155,18942,23,47,92,147,247,265,193,75,38,1123,803,424,739,992,1259,1424,1572,1500,842,9558,1345,2973,7576,8336,8771,7449,4670,2781,1155,45049,0,17,322,412,350,305,150,48,10,1614,0,15,236,281,337,354,157,18,6,1408,3,419,2114,2119,1476,1345,772,270,68,8587,27,298,1263,1288,1499,1490,914,375,102,7258,326,1619,3500,3228,3413,3205,1968,811,239,18316,76,181,278,238,227,203,96,24,6,1327,39,118,201,263,400,400,315,130,34,1910,443,1914,3982,3726,4037,3814,2381,971,284,21550,12,16,56,67,92,114,121,81,30,591,811,674,1187,1198,1480,1907,2007,1684,822,11774,1307,3358,9162,9090,9272,9326,6505,3442,1314,52776
110,26,357,1178,1927,2050,1622,955,362,81,8563,558,2129,4542,4661,5162,3851,2048,768,173,23894,187,394,490,432,353,262,118,21,7,2270,79,157,301,446,547,521,273,99,33,2458,826,2683,5340,5546,6056,4631,2438,893,210,28621,42,86,158,234,434,467,329,127,48,1931,1350,847,1483,1867,2067,2174,2330,2068,927,15122,2251,4666,11427,13114,13840,11930,7364,3884,1435,69916,5,19,628,776,766,683,430,151,35,3491,0,22,317,384,460,494,230,70,11,1993,4,700,3165,3018,2358,2171,1360,476,136,13393,50,357,1471,1971,2294,2219,1365,523,146,10394,583,2262,5246,4641,4969,4494,2669,1055,227,26145,174,324,412,355,382,338,189,60,8,2249,75,195,373,464,696,712,553,196,58,3318,836,2778,6031,5463,6046,5539,3411,1313,289,31708,28,65,155,100,132,191,216,127,51,1052,1614,1162,2172,2178,2688,3017,3067,2308,1073,19295,2535,5113,13936,13898,14743,14320,10075,4968,1743,81332
