SA4_CODE_2016,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6m,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6m,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85andover_N_c_b_0,C16_AP_85andover_N_c_b_1,C16_AP_85andover_N_c_b_2,C16_AP_85andover_N_c_b_3,C16_AP_85andover_N_c_b_4,C16_AP_85andover_N_c_b_5,C16_AP_85ov_N_c_b_6mor,C16_AP_85andover_N_c_b_NS,C16_AP_85_and_over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_ch_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_T_T
101,596,256,185,474,4005,224,165,539,654,453,229,189,373,2820,222,227,612,625,466,208,239,691,3295,21839,9716,24159,16111,7094,2372,1622,8155,91060
102,881,310,224,651,6721,469,331,1232,1263,770,292,246,650,5259,501,535,1463,1245,745,320,326,1272,6407,34001,15909,39806,24990,9774,3042,1925,10263,139707
103,627,265,247,473,3801,229,161,526,627,469,275,247,358,2901,248,215,624,629,494,255,292,483,3247,19028,8094,20556,15710,7542,2669,1972,8064,83644
104,478,158,130,289,2962,151,124,483,493,334,167,145,281,2181,155,172,501,498,362,179,163,485,2526,12492,6042,15844,10952,4969,1625,1135,5020,58077
105,359,176,129,281,2116,87,87,253,322,273,141,149,226,1533,104,95,279,332,279,104,165,349,1708,10019,4352,10823,8409,4336,1591,1360,5339,46226
106,636,259,172,426,4185,193,194,654,741,476,201,205,411,3075,237,265,665,622,462,215,222,659,3341,24669,11255,29765,19917,8283,2634,1808,8548,106875
107,706,278,184,452,5299,223,234,1092,1033,536,272,202,471,4056,242,356,1145,994,531,298,258,788,4612,33307,12947,34917,21211,7777,2612,1640,8422,122829
108,817,331,197,561,5532,330,253,894,890,643,286,211,508,4014,390,361,974,874,626,254,240,996,4718,18585,9131,25678,17953,8048,2776,1668,8089,91932
109,427,170,160,289,2394,115,98,292,358,294,172,170,249,1739,124,135,336,387,298,165,164,329,1939,10913,4499,11941,9319,4339,1510,1104,4594,48220
110,597,234,236,442,3623,167,114,453,507,407,235,205,348,2435,172,179,502,522,400,207,266,525,2780,17008,7134,18267,14012,6545,2439,1849,7515,74766
111,849,318,240,602,6407,336,357,1208,1193,746,352,245,680,5116,376,491,1354,1180,706,342,318,1636,6408,42892,17006,43002,25334,9326,2897,1852,10082,152388
112,766,302,224,532,5035,282,255,794,917,591,288,291,521,3929,395,354,1013,980,683,269,327,956,4981,24049,11503,27392,18177,7890,2558,1777,10002,103343
113,516,222,199,304,2801,113,101,353,449,384,204,224,258,2084,164,155,448,473,362,251,251,421,2528,15124,5643,14713,11906,6067,2231,1637,5714,63034
114,531,189,121,362,3683,183,172,606,625,378,157,128,352,2594,199,182,596,579,319,133,139,602,2743,14009,6550,17599,11985,5178,1571,964,5382,63242
115,349,136,73,172,2822,130,125,576,454,239,95,83,193,1895,168,224,588,490,277,125,151,514,2541,25179,10747,29281,15370,4926,1291,817,5021,92620
116,452,231,269,261,3127,114,168,493,472,322,202,261,217,2255,162,224,440,381,300,210,337,258,2314,37183,18123,34958,19090,8440,3250,2934,9169,133145
117,253,95,73,336,2771,232,258,525,347,185,90,101,280,2015,259,223,476,302,193,96,134,425,2111,78907,15173,17654,6702,2338,813,721,17356,139665
118,315,82,59,430,3697,349,292,765,573,272,102,92,386,2839,516,479,1055,637,332,107,141,769,4037,52264,14000,23960,10699,3026,706,548,12325,117535
119,846,320,414,707,8229,491,605,1942,1368,760,367,464,653,6648,720,888,2091,1449,854,402,637,1264,8313,76860,33527,57325,29353,12218,4594,4044,18923,236840
120,378,164,100,287,3789,359,309,906,681,319,132,139,260,3103,503,453,986,676,408,202,242,426,3896,53142,18821,28148,11681,3755,1155,854,10632,128189
121,643,201,99,395,5921,534,370,1218,1112,614,202,165,344,4577,752,609,1602,1334,707,297,225,914,6440,62219,23988,46074,21802,6337,1553,870,11328,174176
122,457,146,49,297,3995,254,235,815,815,405,148,107,356,3124,375,390,1137,893,488,183,158,860,4489,32407,12628,30969,15597,4640,1093,568,7277,105173
123,385,174,162,257,2664,104,127,393,377,279,141,160,269,1844,112,164,351,376,221,127,168,564,2083,28471,12472,27884,17082,7225,2628,1871,7524,105160
124,513,273,214,321,3818,208,245,597,540,413,219,225,274,2718,257,277,756,553,350,203,234,395,3017,35229,15072,33383,20431,8313,2881,2012,8829,126160
125,620,307,355,441,5068,278,294,923,800,528,262,335,412,3841,392,443,1102,840,540,293,505,710,4823,56711,27613,41252,20342,9196,3801,3480,15253,177642
126,328,98,74,196,2706,198,168,549,544,276,109,92,198,2143,332,275,662,606,352,158,169,586,3141,28624,11285,20125,8990,2875,818,565,5030,78304
127,635,369,575,421,4683,179,256,731,661,412,261,592,313,3406,175,269,612,548,424,279,651,480,3432,47500,18285,40201,24473,11073,4474,4562,13174,163744
128,433,128,76,183,3349,192,191,832,698,375,133,111,198,2735,275,355,1141,834,469,193,154,405,3824,26122,10324,27931,15486,4795,1188,657,4810,91312
197,0,0,0,5,14,0,0,0,0,3,0,0,3,10,0,0,3,3,0,0,0,0,7,39,21,65,35,21,6,0,37,220
199,3,3,0,23,78,4,8,4,11,3,0,3,11,38,3,0,15,6,3,4,7,13,48,1744,350,650,414,184,65,57,1134,4590
