SA4_CODE_2016,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T,C16_S_h_FH_CF_no_ch,C16_S_h_FH_CF_w_ch,C16_S_h_FH_One_PFam,C16_S_h_FH_oth_fa,C16_S_h_FH_Tot,C16_S_h_LP_H,C16_S_h_GH,C16_S_h_OH,C16_S_h_Tot,C16_Sd_r_t_1_FH_CF_no_ch,C16_Sd_r_t_1_FH_CF_w_ch,C16_Sd_r_t_1_FH_One_PFam,C16_Sd_r_t_1_FH_oth_fa,C16_Sd_r_t_1_FH_Tot,C16_Sd_r_t_1_LP_H,C16_Sd_r_t_1_GH,C16_Sd_r_t_1_OH,C16_Sd_r_t_1_Tot,C16_Sd_r_t_2m_FH_CF_no_ch,C16_Sd_r_t_2m_FH_CF_w_ch,C16_Sd_r_t_2m_FH_One_PFam,C16_Sd_r_t_2m_FH_oth_fa,C16_Sd_r_t_2m_FH_Tot,C16_Sd_r_t_2m_LP_H,C16_Sd_r_t_2m_GH,C16_Sd_r_t_2m_OH,C16_Sd_r_t_2m_Tot,C16_Sd_r_t_T_FH_CF_no_ch,C16_Sd_r_t_T_FH_CF_w_ch,C16_Sd_r_t_T_FH_One_PFam,C16_Sd_r_t_T_FH_oth_fa,C16_Sd_r_t_T_FH_Tot,C16_Sd_r_t_T_LP_H,C16_Sd_r_t_T_GH,C16_Sd_r_t_T_OH,C16_Sd_r_t_T_Tot,C16_F_u_a_1_2_FH_CF_no_ch,C16_F_u_a_1_2_FH_CF_w_ch,C16_F_u_a_1_2_FH_One_PFam,C16_F_u_a_1_2_FH_oth_fa,C16_F_u_a_1_2_FH_Tot,C16_F_u_a_1_2_LP_H,C16_F_u_a_1_2_GH,C16_F_u_a_1_2_OH,C16_F_u_a_1_2_Tot,C16_F_u_a_3_FH_CF_no_ch,C16_F_u_a_3_FH_CF_w_ch,C16_F_u_a_3_FH_One_PFam,C16_F_u_a_3_FH_oth_fa,C16_F_u_a_3_FH_Tot,C16_F_u_a_3_LP_H,C16_F_u_a_3_GH,C16_F_u_a_3_OH,C16_F_u_a_3_Tot,C16_F_u_a_4m_FH_CF_no_ch,C16_F_u_a_4m_FH_CF_w_ch,C16_F_u_a_4m_FH_One_PFam,C16_F_u_a_4m_FH_oth_fa,C16_F_u_a_4m_FH_Tot,C16_F_u_a_4m_LP_H,C16_F_u_a_4m_GH,C16_F_u_a_4m_OH,C16_F_u_a_4m_Tot,C16_F_u_a_a_h_FH_CF_no_ch,C16_F_u_a_a_h_FH_CF_w_ch,C16_F_u_a_a_h_FH_One_PFam,C16_F_u_a_a_h_FH_oth_fa,C16_F_u_a_a_h_FH_Tot,C16_F_u_a_a_h_LP_H,C16_F_u_a_a_h_GH,C16_F_u_a_a_h_OH,C16_F_u_a_a_h_Tot,C16_F_u_a_T_FH_CF_no_ch,C16_F_u_a_T_FH_CF_w_ch,C16_F_u_a_T_FH_One_PFam,C16_F_u_a_T_FH_oth_fa,C16_F_u_a_T_FH_Tot,C16_F_u_a_T_LP_H,C16_F_u_a_T_GH,C16_F_u_a_T_OH,C16_F_u_a_T_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_T_FH_CF_no_ch,C16_OD_T_FH_CF_w_ch,C16_OD_T_FH_One_PFam,C16_OD_T_FH_oth_fa,C16_OD_T_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_T_T,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_T,C16_T_FH_CF_no_ch,C16_T_FH_CF_w_ch,C16_T_FH_One_PFam,C16_T_FH_oth_fa
101,10,0,40,84,4,24,154,954,425,472,68,1917,3298,254,827,6292,229,55,37,3,328,474,18,695,1515,17,31,9,0,56,37,4,39,140,85,59,19,0,163,102,16,38,318,334,143,67,9,547,615,31,778,1967,38,36,8,0,77,68,3,461,618,24327,22178,8150,631,55292,21424,1933,5545,84186,22685,20771,7091,539,51089,15782,1495,4744,73106,986,454,419,32,1886,2624,142,378,5035,620,320,303,33,1277,1124,105,297,2807,1608,775,721,64,3161,3749,248,679,7840,491,247,298,27,1053,2088,158,856,4159,121,84,37,7,251,390,36,155,836,194,125,61,12,390,548,46,162,1152,4,5,0,0,11,19,0,3,35,814,463,389,46,1713,3044,244,1168,6177,171,49,26,4,249,440,18,660,1363,31,32,11,4,80,64,3,100,242,55,40,21,3,122,75,4,37,230,258,121,60,6,443,579,19,793,1839,211,147,52,6,423,294,20,253,992,25575,22279,8317,661
102,23,0,70,150,13,17,250,1852,560,869,83,3370,4831,378,652,9228,188,36,100,4,334,786,32,192,1336,0,0,0,0,3,5,0,123,128,31,39,26,5,102,77,10,12,200,221,77,131,6,433,864,38,332,1667,19,15,28,3,63,65,8,28,159,30863,34665,16002,1080,82602,31363,3239,4560,121762,26085,33430,12824,931,73270,19068,2731,3802,98876,2363,676,1061,98,4199,4945,237,580,9959,1270,849,980,45,3150,2250,251,375,6017,3625,1520,2046,148,7347,7194,487,951,15980,1248,472,670,64,2454,3362,247,497,6559,362,153,190,18,722,701,97,162,1685,459,182,189,20,849,673,85,172,1786,7,7,6,0,27,43,3,3,71,2079,811,1061,99,4054,4777,434,840,10101,144,61,103,11,311,535,41,262,1153,5,10,4,0,18,10,0,175,205,47,56,46,3,153,63,10,40,267,200,129,146,9,485,614,49,476,1623,102,70,42,5,231,301,10,71,613,32097,35964,16124,1193
103,9,3,38,49,3,14,96,373,110,218,38,733,2279,143,408,3559,61,11,21,3,99,266,4,412,783,9,12,3,0,21,34,0,38,89,61,42,15,0,116,114,10,17,259,127,64,43,5,235,412,21,462,1131,22,5,9,0,44,37,3,54,136,20896,21016,8147,717,50772,20347,1978,3830,76930,19668,20140,7804,595,48212,16455,1675,5027,71373,617,264,396,32,1309,2169,187,408,4069,85,50,93,5,235,375,46,89,748,693,314,489,40,1539,2550,230,495,4819,282,115,162,32,594,1642,95,409,2743,6,4,4,0,13,86,4,34,143,8,0,0,0,14,13,0,0,21,0,5,0,0,5,3,0,3,11,302,126,167,32,623,1744,105,443,2911,32,24,14,0,76,189,3,342,608,12,14,5,0,32,24,0,34,89,144,119,55,12,332,147,13,69,566,194,159,78,12,433,364,20,445,1259,171,135,47,9,364,407,19,121,917,21034,20870,8586,683
104,9,3,40,73,4,6,122,642,239,463,38,1387,2260,214,398,4261,337,48,81,7,478,779,33,1111,2395,6,6,5,0,20,43,0,30,102,30,21,20,0,78,55,12,13,162,381,80,110,4,576,881,43,1152,2656,8,7,0,0,12,30,0,3,52,15481,12752,6476,405,35110,13644,1591,3015,53355,13743,11554,5285,344,30916,9152,1306,2560,43932,605,248,377,21,1248,1506,95,237,3088,430,241,278,11,968,710,104,178,1964,1032,491,658,34,2218,2218,198,417,5054,472,218,427,35,1148,1755,174,353,3427,78,49,41,3,169,215,30,80,497,89,22,23,3,127,160,14,58,366,0,3,0,0,3,8,3,0,16,631,292,495,38,1453,2134,221,490,4305,281,48,49,4,376,662,38,1296,2377,33,16,12,0,60,70,3,94,230,36,19,10,0,61,43,13,18,126,340,80,71,6,499,768,52,1411,2730,151,81,44,0,273,167,23,131,607,15897,12494,6542,426
105,3,0,3,9,0,5,22,315,125,185,32,660,1615,98,230,2599,94,19,21,6,136,272,9,889,1304,13,12,3,0,22,45,3,64,140,57,42,16,3,118,94,3,31,241,155,67,37,8,276,413,19,981,1685,17,28,13,3,70,32,9,55,158,11535,11208,5500,513,28758,12511,1089,3264,45622,10406,9983,5168,462,26021,9765,944,3106,39835,229,111,142,17,509,766,57,163,1500,18,11,8,3,40,35,7,35,117,253,122,154,23,548,804,66,196,1614,332,110,114,14,568,1302,68,310,2247,8,0,3,0,16,26,3,9,51,0,0,0,0,0,25,0,9,37,0,0,0,0,0,3,0,0,8,347,113,116,16,589,1355,69,326,2347,47,14,11,0,68,116,9,811,1005,37,25,5,0,67,98,9,144,320,107,88,38,6,231,107,12,53,404,189,125,54,4,369,324,31,1012,1731,96,65,32,6,199,149,13,131,483,11287,10398,5527,520
106,5,0,29,45,0,5,79,712,283,374,21,1389,2225,162,437,4208,198,28,36,6,264,537,19,411,1236,13,10,7,0,23,12,3,27,66,38,36,17,3,96,95,7,43,234,244,71,57,9,379,645,36,478,1538,21,14,5,0,34,29,3,19,80,25313,28439,10734,720,65199,20660,2166,4073,92108,24026,28089,10206,763,63085,15906,1881,4458,85329,1282,501,880,49,2713,3142,189,616,6660,663,360,410,20,1447,1119,124,229,2919,1941,859,1292,71,4160,4258,315,842,9581,247,101,183,24,558,1284,70,250,2160,65,17,19,0,104,105,6,44,259,111,16,31,3,166,184,19,39,407,0,4,7,0,8,13,0,7,28,426,139,241,26,837,1587,92,348,2852,208,35,35,4,281,447,24,433,1187,22,16,4,0,45,21,0,11,78,42,25,22,0,92,56,5,28,186,272,74,71,8,419,532,33,475,1457,184,109,61,6,361,415,18,104,898,26845,29279,11866,865
107,18,0,69,109,18,17,213,2791,1081,1214,193,5275,6816,1314,1076,14485,219,24,61,8,314,493,18,155,979,0,0,0,0,0,8,0,92,96,45,55,49,5,153,138,28,24,340,268,84,105,11,469,628,47,278,1421,10,4,11,0,24,21,8,7,57,26375,33135,12620,1078,73210,24859,3525,3468,105061,20847,30756,9537,750,61885,12649,1810,2635,78989,1329,617,824,77,2840,2822,237,301,6207,1697,1371,1189,81,4338,2678,420,387,7827,3020,1989,2014,159,7182,5502,658,689,14033,1229,720,806,94,2851,3468,512,548,7378,622,296,251,44,1216,1462,392,442,3508,1323,423,267,74,2083,1521,479,418,4496,3,11,10,0,22,28,3,4,54,3182,1442,1332,212,6171,6475,1388,1415,15448,123,35,47,12,216,365,18,296,888,0,0,0,0,0,4,0,155,159,60,71,58,3,193,96,30,35,350,189,100,100,15,407,466,43,479,1396,174,84,47,3,302,295,46,66,709,27415,34371,13025,1131
108,12,0,44,58,3,7,112,1222,295,729,58,2305,3812,284,831,7231,414,46,67,7,536,818,46,899,2297,14,15,12,0,33,29,0,63,123,114,45,40,3,199,182,6,22,413,542,106,113,17,775,1034,54,982,2838,15,9,8,0,33,21,4,7,66,26589,18046,9676,657,54967,22831,2126,4233,84151,23434,16936,8204,585,49159,15323,1837,3880,70197,1732,346,657,49,2781,3498,218,415,6911,433,172,257,16,877,596,59,142,1674,2165,512,913,63,3665,4095,273,556,8585,632,192,463,39,1327,2580,172,429,4506,193,45,120,6,371,545,59,203,1171,439,76,123,8,646,682,88,216,1635,3,0,0,0,5,11,0,3,16,1270,315,712,51,2346,3812,319,848,7331,457,46,62,19,584,964,36,1107,2696,14,5,3,0,23,41,7,75,144,53,30,41,6,130,101,23,27,278,529,83,108,22,743,1101,62,1209,3116,170,108,59,0,341,242,20,143,754,27573,17954,9999,724
109,0,0,11,14,3,7,29,691,253,337,33,1311,2715,228,350,4611,101,18,9,0,130,237,9,422,798,4,3,4,0,9,13,0,20,40,52,31,9,0,92,59,3,14,163,153,48,24,3,224,300,12,454,1001,20,18,4,0,44,12,3,12,69,12909,11387,4361,351,29008,12506,1335,2298,45143,12012,10828,3958,289,27090,9423,1014,2773,40289,574,266,305,30,1174,2197,182,343,3896,78,30,35,3,143,253,34,101,533,652,292,347,30,1318,2447,217,439,4428,220,73,107,12,416,946,70,293,1719,11,11,0,0,18,38,0,21,80,7,0,0,0,4,16,0,10,36,0,0,0,0,0,3,0,3,6,237,85,107,11,439,1000,70,326,1835,122,22,12,0,160,231,23,424,837,3,4,0,0,12,10,0,15,31,47,43,8,3,103,44,11,30,191,172,68,25,6,269,288,32,473,1061,65,47,20,3,133,97,6,62,295,13129,11319,4456,341
110,6,0,19,46,4,4,74,563,248,397,61,1272,2841,254,456,4817,90,31,23,0,156,309,14,568,1038,10,7,6,3,26,43,0,15,82,55,45,20,0,129,73,7,23,227,166,85,50,5,306,415,25,607,1349,27,14,3,0,54,32,5,15,106,19272,18040,7779,693,45784,18244,1854,3475,69351,17930,16575,7212,634,42341,14601,1712,4536,63198,490,278,286,34,1094,1778,161,317,3344,92,38,55,6,194,347,44,69,655,580,320,346,43,1286,2123,200,391,4004,273,133,218,26,648,1687,98,414,2858,12,8,7,0,31,53,8,10,93,10,3,3,0,13,43,0,3,61,3,0,0,0,8,0,0,0,11,304,141,228,29,700,1783,102,427,3020,104,25,12,0,145,259,5,732,1139,15,12,4,0,30,24,0,33,95,103,69,123,11,311,109,22,35,480,219,105,146,11,479,400,27,804,1713,156,122,51,9,337,187,13,119,659,19186,17259,7976,721
