SOS_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOS10,8787,2643,26648,11765,9179,7239,3606,5631,874,76372,224,234,336,359,271,289,246,529,100,2588,3740,5932,2238,2311,3690,1800,1854,1512,858,23931,3491,4430,5121,3753,4404,3294,3312,4407,6956,39171,259830,592711,221309,163656,232881,107886,62213,77672,29435,1747599
SOS11,2490,577,9150,4155,2254,2476,1236,2790,222,25336,45,53,42,77,50,66,51,155,20,566,566,685,546,509,499,255,477,408,170,4117,1032,905,1979,1541,1104,1352,1335,2294,1405,12947,42165,93084,70046,51344,43346,23184,19280,26921,5262,374629
SOS12,248,48,880,382,237,193,140,261,28,2418,0,6,8,4,6,4,4,10,4,43,70,85,52,42,60,17,54,46,19,434,148,123,256,170,151,134,165,255,162,1581,4970,9066,7702,4947,4535,2121,2167,2883,639,39026
SOS13,1136,186,2425,1084,966,675,463,841,95,7873,55,31,12,21,22,11,15,29,9,206,443,325,219,173,232,79,188,176,86,1913,1441,500,967,551,646,519,648,944,623,6834,36595,36956,27621,15174,19003,7380,8368,11344,2725,165153
SOS17,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
SOS19,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
