SOS_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS10,1018,2187,7035,9800,17178,32142,42108,38210,21972,171648,295,1365,4989,5300,8118,10472,9631,10089,4850,55101,14708,25020,61336,47514,42957,39617,37844,32066,24515,325572,142550,375087,840069,755888,686840,580211,417647,234930,111383,4144594
SOS11,535,816,2085,2726,5072,11680,16598,15477,10145,65142,61,131,396,463,649,760,870,759,382,4467,5572,6910,14012,13377,15447,17360,19872,18147,11646,122350,39726,79941,163291,163731,180675,192087,170836,102246,45514,1138045
SOS12,58,60,166,248,662,1471,2053,1468,731,6927,8,12,24,25,38,60,100,80,29,377,604,526,1153,1334,1681,2151,2112,1511,611,11693,3893,6498,13143,16554,20919,23673,19302,8999,2970,115959
SOS13,167,161,535,857,1884,4486,6303,4176,1708,20271,24,20,69,87,137,292,344,289,132,1394,2896,2626,5192,6379,8698,9329,8059,4140,1503,48810,15625,25091,46838,63558,86545,90910,67155,26157,7362,429234
SOS17,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
SOS19,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
