SOS_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOS10,129476,118652,248129,59699,70105,129804,4407,3151,7559,1318,1323,2640,3449,2141,5597,759604,587442,1347044,40944,59494,100435,18857,307,19159,14555,1918,16469,14831,4168,19006,8206,4370,12572,46921,50290,97213,1102266,903361,2005624,29157,30303,59457,869,721,1588,775,702,1476,18298,13600,31895,3343,6176,9516,2268,1019,3281,54699,52511,107210,796,619,1415,206,245,455,2762,2754,5513,1109,2381,3486,852,702,1553,5723,6706,12427,9145,4844,13985,69562,64059,133628,7484,6934,14420,566,520,1088,445,155,603,8500,7615,16115,41956,59958,101917,75219,125326,200545,12470,10008,22481,1309975,1170326,2480298
SOS11,1658,1312,2975,1483,1225,2713,82,36,117,26,28,61,451,511,964,214218,192069,406284,15848,16741,32588,6355,175,6528,2658,244,2902,2745,822,3567,1960,1021,2978,10146,10972,21120,257625,225169,482801,224,231,457,9,12,24,10,0,8,674,494,1171,99,135,231,93,19,116,1111,893,2007,5,3,4,0,3,3,118,75,196,88,115,202,37,30,63,246,232,475,2286,1141,3426,3641,2262,5912,228,209,440,33,26,61,109,41,150,374,279,655,8767,14343,23115,24021,37960,61980,3575,3258,6826,298008,283279,581287
SOS12,224,168,387,171,98,269,5,9,15,0,4,8,21,13,33,21761,18760,40520,1241,1320,2566,1022,23,1050,216,17,232,180,87,264,251,120,380,1322,1341,2663,26422,21956,48378,24,15,39,4,3,4,4,0,4,122,88,209,17,19,37,11,8,22,172,140,309,0,0,0,0,0,0,13,11,26,9,20,31,4,5,7,29,40,65,244,135,372,440,311,752,32,29,59,0,0,0,14,4,21,48,36,87,1283,1865,3152,2591,4096,6692,448,394,840,31237,28657,59891
SOS13,540,474,1017,542,398,939,35,12,49,12,10,29,59,37,98,84975,73193,158171,4235,4772,9009,5887,244,6127,1341,195,1535,354,112,459,1979,794,2776,6075,3534,9614,106039,83786,189820,58,59,113,0,4,4,0,0,3,505,415,924,55,58,113,16,14,31,645,546,1188,3,0,3,0,0,3,96,84,177,40,77,120,10,4,21,149,170,323,1155,451,1600,1943,1165,3112,113,85,197,25,8,36,126,43,168,263,140,400,18201,16539,34738,9271,14259,23532,2028,1768,3801,137742,117653,255400
SOS17,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,79,5,3,7,59,72,130
SOS19,152,122,272,78,98,174,8,0,8,4,0,5,4,3,12,914,440,1355,125,98,221,36,0,36,13,4,21,33,6,39,68,34,106,190,164,352,1624,975,2603,57,38,95,0,0,0,0,0,0,11,7,18,0,10,11,4,0,4,79,49,128,0,0,3,0,0,0,0,0,0,3,0,4,0,0,4,8,3,11,19,6,21,101,55,158,15,11,24,0,0,0,0,0,0,18,7,25,60,51,112,190,163,360,46,29,74,2042,1291,3331
