SOS_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOS10,2107645,2218034,4325678,986585,614904,1601492,267444,490271,757714,55942,65149,121095,86008,78570,164579,1395979,1248900,2644881,583333,838164,1421500,6.2,6.3,6.2,66.2,56.3,61.1,62.2,52.8,57.3,154889,149102,303989,29563,47515,77081,367190,437980,805166,171306,228974,400284,372799,175053,547851,13813,26852,40667,34391,57069,91457,421010,258969,679982,1994715,2074607,4069320,383496,394076,777572,1295838,1357446,2653284,982713,1015121,1997828
SOS11,567319,618327,1185649,217251,124856,342108,64999,140420,205413,15755,18009,33763,23788,20192,43986,321792,303479,625270,202945,268967,471915,7.4,6.7,7,56.7,49.1,52.7,52.5,45.8,49,12457,13664,26121,5882,11409,17290,42204,68590,110795,34850,58368,93214,155949,78458,234405,5929,12155,18080,9811,18999,28805,171684,109605,281287,529225,564832,1094053,101809,111469,213276,349033,369235,718263,251900,278826,530723
SOS12,60015,61045,121062,22244,12066,34308,7176,14670,21845,1812,1924,3735,2330,1867,4193,33562,30526,64086,21955,26142,48094,6.9,6.1,6.5,55.9,50,52.9,52,46.9,49.5,1179,1376,2556,627,1179,1805,4215,6678,10896,3604,6232,9834,17670,7810,25478,539,1181,1724,1097,1920,3016,19308,10909,30212,58338,58432,116771,8505,9083,17589,41503,41112,82611,22539,23704,46250
SOS13,231960,217622,449576,102145,52446,154594,27754,57349,85105,7839,7866,15706,6592,5254,11846,144330,122906,267240,66741,75753,142489,4.6,4.3,4.4,62.2,56.5,59.4,59.4,54.1,56.8,5388,6060,11452,2221,4816,7044,18755,29986,48741,14977,24146,39116,64472,25376,89846,2054,4274,6326,4112,7380,11491,70635,37029,107664,224432,211648,436082,27938,27665,55603,165818,153730,319547,76765,76410,153176
SOS17,157,220,374,28,25,48,7,18,25,22,26,49,0,3,4,61,72,130,77,110,185,0,4.2,3.1,38.9,32.7,34.8,36.3,31.4,32.6,0,4,5,0,0,4,11,25,35,13,20,31,42,22,61,0,3,3,3,11,8,41,33,74,138,182,322,14,21,43,105,139,245,43,61,104
SOS19,6958,4590,11545,1322,653,1977,531,520,1047,189,116,301,583,358,941,2623,1646,4272,2178,1876,4062,22.2,21.7,22,37.7,35.9,37,29.3,28.1,28.8,193,177,365,51,67,120,574,673,1247,294,374,663,1063,351,1416,64,60,126,104,92,195,1231,504,1738,1571,849,2420,3356,2845,6200,1027,548,1571,3734,3027,6765
