SOS_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOS10,2047,10929,9671,9199,17569,17612,8459,12085,1059,88638,3142,10900,10579,8895,20590,23631,7370,13289,24188,122582,73244,255866,258632,243214,483814,529055,229939,358687,47853,2480298
SOS11,649,3039,2254,2530,4708,4435,2407,3728,272,24030,902,2425,1610,1861,3430,3413,1356,2385,5126,22506,22164,70997,60952,73459,113896,95776,51889,80551,11605,581287
SOS12,67,297,224,256,419,454,248,381,39,2385,119,267,201,208,367,348,135,300,569,2518,2434,7669,6544,7635,10572,9687,5029,9018,1298,59891
SOS13,227,1104,913,948,1634,1767,840,1744,121,9314,533,1217,868,843,1249,1712,618,1680,2519,11236,9613,29799,26294,29007,36538,42067,20374,55610,6089,255400
SOS17,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
SOS19,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
