SOS_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOS10,52653,19965,111515,1025297,1074494,457321,352271,1081991,334305,4325678
SOS11,20379,10522,45558,225951,306441,151843,122575,252993,125837,1185649
SOS12,1291,598,2974,22073,31656,17012,14280,23477,12563,121062
SOS13,2629,1572,7371,84324,116972,64114,56355,74460,53349,449576
SOS17,5,0,10,23,36,19,40,163,93,374
SOS19,41,26,78,1976,1606,620,412,3500,3428,11545
