SOS_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOS10,48755,44230,92984,151777,142316,294101,42648,42058,84704,25578,24112,49693,220003,208490,428493,93906,91699,185601,43858,42313,86169,30517,29308,59824,168278,163323,331598,8410,8776,17191,8048,13280,21330,15874,7991,23869,15151,24148,39301,500,499,1003,47997,54698,102690,83815,94086,177904,30458,32526,62986,9929,11065,20994,24719,36114,60838,619,749,1373,149550,174542,324089,9421,11833,21254,11255,19767,31014,278,425,705,20952,32022,52969,170796,171081,341876,826321,848386,1674704
SOS11,14076,13173,27250,42979,40342,83321,12395,12348,24743,5597,5282,10881,60967,57975,118946,28528,27690,56221,9850,10046,19899,5691,6040,11725,44071,43777,87845,1629,2136,3758,1077,2530,3605,5070,3732,8799,4412,8474,12889,146,162,302,12328,17025,29358,5185,8555,13741,2463,4287,6742,1074,1982,3056,4214,8885,13100,67,100,164,13001,23806,36805,829,1125,1954,1606,3628,5237,77,100,177,2513,4859,7369,61222,61567,122795,208190,222180,430371
SOS12,1343,1240,2577,4815,4590,9405,933,975,1904,589,544,1130,6336,6110,12448,3202,3175,6377,943,1016,1955,602,591,1192,4743,4777,9526,123,200,319,66,199,258,509,300,808,380,776,1160,16,15,37,1094,1493,2587,384,596,979,123,325,447,91,137,225,320,798,1114,6,11,16,918,1867,2786,58,99,157,161,326,485,3,13,17,220,440,657,6311,6267,12584,20969,22190,43159
SOS13,4868,4304,9171,15726,14714,30439,5472,5245,10719,3007,2861,5870,24209,22819,47029,10647,10299,20942,4665,4981,9651,3605,3543,7148,18916,18821,37734,465,588,1044,214,569,780,2427,1159,3583,1231,2518,3752,63,34,99,4398,4859,9256,2014,2970,4988,528,1107,1635,411,721,1131,1158,3011,4167,18,38,52,4140,7840,11983,396,361,755,472,1249,1723,33,30,56,901,1638,2534,29330,25275,54606,86749,85572,172315
SOS17,0,0,0,3,7,10,0,0,0,0,0,0,4,7,10,4,10,9,0,4,3,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,3,3,7,21,33,46,29,62,93
SOS19,32,19,49,85,106,191,8,10,21,14,15,36,107,131,243,63,32,97,5,10,16,10,19,25,75,55,134,15,20,43,17,30,44,29,15,44,31,53,78,5,0,9,97,120,217,110,123,228,64,76,139,10,10,17,31,42,71,0,4,7,209,254,461,26,38,60,37,33,65,0,0,4,60,69,129,2231,1127,3360,2819,1779,4593
