SOS_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,361948,226813,111098,51804,2679848
SOS11,116538,89011,48870,21211,677536
SOS12,14675,10337,4246,1246,70028
SOS13,58874,38508,13290,3381,274729
SOS17,43,60,25,3,212
SOS19,1142,722,150,41,7741
