SOS_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOS10,91470,18421,111515,874275,287300,26940,1188514,2816845,320325,4325678
SOS11,35462,9677,45558,214686,90392,10213,315291,752760,117599,1185649
SOS12,2401,531,2974,21581,9428,1004,32009,77386,11670,121062
SOS13,5767,1423,7371,83180,35626,3171,121981,277482,50112,449576
SOS17,6,0,10,39,37,0,79,226,76,374
SOS19,49,28,78,847,475,45,1373,6811,3361,11545
