SOS_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOS10,196789,677919,601452,182884,94399,1753438,61256,1814697
SOS11,37606,211487,194094,57306,26212,526700,24745,551443
SOS12,2235,18019,20809,7257,3965,52284,2475,54761
SOS13,3001,38727,71495,35606,27435,176260,7150,183411
SOS17,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0
