SOS_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOS10,604319,33836,18513,8174,763,399,2412,668407
SOS11,117770,10759,7702,1658,253,148,1315,139608
SOS12,12921,1124,793,189,21,16,177,15232
SOS13,56338,3807,2444,796,95,60,564,64109
SOS17,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0
