SOS_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS10,223,3279,78,43495,1251,202,140,555,206,861,92,504,210,2981,23185,30186,519,134,227,229,95,216,46,183,126,3188,2541,7510,119293,18809,3095,53790,5904,49351,2540,30119,4393,151083,27891,466272
SOS11,44,633,28,4688,291,76,26,225,65,320,42,224,72,1610,7284,10238,149,51,86,115,23,88,18,104,52,2007,1219,3913,24816,6437,1053,19010,1744,12783,1091,11453,1755,69532,9628,159302
SOS12,7,53,0,503,30,13,6,27,3,47,3,23,14,183,837,1193,32,8,5,11,3,10,3,18,11,210,131,431,2409,860,153,2065,214,1505,124,1402,244,7628,1116,17712
SOS13,24,331,12,3526,174,57,18,144,41,192,23,117,44,489,3371,4675,204,53,73,102,28,63,16,50,36,585,387,1607,12992,4010,745,9703,926,6082,627,4990,911,20970,4284,66237
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
