SOS_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOS10,329148,647096,293671,246245,359554,226759,139639,190964,47221,2480298
SOS11,60569,100554,89640,74171,70529,60762,43864,71857,9351,581287
SOS12,7107,9781,9755,7253,7208,5356,4956,7379,1097,59891
SOS13,58990,40029,35665,22141,30410,18298,18031,27101,4727,255400
SOS17,3,22,18,16,21,17,10,18,5,130
SOS19,274,649,480,430,261,224,339,582,103,3331
