SOS_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SOS10,62737,167083,121096,951501,18738,1321154,234,1099,489,11401,257,13475,463282,6978,11630,11325,3869,497085,26626,3575,2093,7094,350,39744,25243,7821,4647,12954,433,51088,325945,138954,99208,832679,19131,1415913,94272,2299,7712,1242,993,106526,19855,2745,1940,9065,327,33930,49576,13028,9051,70210,1633,143498,71191,12189,6375,32146,1264,123158,13199,2361,1204,3171,187,20116,190882,3001,2552,1704,1137,199274,81325,37507,25793,324778,5117,474521,108575,26446,12160,70018,2295,219493,62340,411,1280,463,300,64787,107721,20952,9568,20483,1689,160408,27891,3172,1754,5144,333,38296,26287,6729,3746,16506,519,53798,19512,3151,2044,1489,436,26643,23465,8130,5986,3415,359,41360,27307,3918,2963,7692,314,42200,20733,1647,1609,3191,332,27512,74472,34200,24829,225155,3869,362530,21230,1843,1153,2116,319,26668,22260,2754,2064,911,164,28155,34773,2188,1816,3723,405,42908,22380,853,698,485,135,24555,21423,2187,1236,1458,246,26542,101297,1277,2419,1055,1244,107286,11740,3355,2185,11918,228,29424,673091,49015,38282,48696,7492,816574,26557,2607,1982,17312,281885,330347,2485927,342260,243127,1896888,341374,5309583
SOS11,5360,43154,30143,544331,11993,634983,37,354,134,10905,299,11734,7980,522,678,3011,160,12354,1827,394,204,806,39,3270,7816,2541,1655,5253,171,17436,65947,40358,28556,457502,11419,603794,6385,219,1425,326,171,8529,2288,542,391,3569,83,6872,10448,4012,2698,44232,923,62321,2341,791,311,2743,78,6267,1712,372,168,688,44,2978,8928,434,307,533,76,10272,13293,9324,6268,151231,2739,182858,9272,3764,1418,17585,455,32495,1192,33,80,60,8,1378,1114,417,155,1123,40,2849,450,118,52,208,11,843,2470,884,527,2688,90,6657,2565,837,525,809,86,4823,3797,2134,1523,1331,118,8908,3523,795,475,2245,77,7109,1385,290,215,752,20,2665,17114,10475,7545,113042,2179,150358,707,98,96,215,23,1132,2413,422,366,276,36,3507,2171,256,206,1245,63,3930,1021,110,75,108,12,1328,403,93,34,52,15,594,1390,62,132,56,25,1665,2725,1015,558,4587,97,8982,37208,7495,5169,13346,963,64173,2140,697,463,13856,96373,113525,185517,78252,54156,1017294,121848,1457064
SOS12,536,4512,3254,56725,1285,66304,0,49,19,2262,107,2441,431,69,61,300,12,868,159,52,18,66,4,295,938,313,201,524,22,1997,7443,4180,2945,45727,1176,61470,371,23,104,26,7,524,227,53,41,352,16,688,1205,438,311,4354,91,6397,244,108,32,285,13,689,172,56,38,71,3,332,316,32,14,60,7,438,1496,901,613,14488,276,17780,874,383,140,1773,38,3210,48,0,17,5,0,74,147,44,24,111,3,330,45,9,9,17,3,81,372,128,57,383,18,957,211,82,48,97,12,448,411,228,155,117,10,917,364,65,66,211,17,722,157,31,21,92,0,304,1767,1089,788,11715,255,15613,77,22,4,25,0,124,186,37,32,30,0,285,175,21,15,137,4,352,48,7,8,3,0,69,39,0,4,3,0,53,85,3,9,3,0,98,361,94,78,477,5,1013,2774,700,571,1433,74,5550,193,74,84,1440,9487,11274,17469,8166,5743,105002,12183,148561
SOS13,2017,15453,11858,201911,4012,235250,15,74,46,2881,65,3085,2331,166,237,1002,49,3779,1095,200,126,522,17,1960,3640,1110,746,1984,82,7563,25934,14099,11171,162976,3711,217887,1139,57,338,99,28,1665,948,207,158,1369,44,2733,4906,1427,1188,15666,333,23524,1094,373,163,979,26,2639,710,181,90,220,4,1205,1351,141,125,172,13,1796,5217,3304,2195,53706,1010,65431,6109,1993,770,7542,232,16649,273,14,16,23,6,329,1562,390,185,716,37,2891,236,45,15,98,3,398,3667,866,516,2915,76,8032,623,196,159,177,8,1165,1518,732,610,447,40,3345,1297,297,189,642,30,2448,620,126,111,282,4,1138,6205,3655,2729,44228,854,57681,465,73,44,127,5,714,954,176,129,102,6,1366,723,100,69,445,17,1355,189,24,29,23,5,270,199,21,22,40,3,283,337,23,62,20,3,441,1000,333,228,1524,44,3124,11474,2789,2149,4854,263,21529,704,273,190,5350,45512,52028,71830,29140,21745,375681,53913,552316
SOS17,6,17,7,91,0,125,0,0,0,0,0,0,33,0,0,3,0,39,3,0,0,0,0,3,3,0,0,0,0,0,39,12,6,72,10,137,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,31,0,44,10,0,0,0,3,10,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,14,0,7,24,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,23,0,0,4,0,26,8,0,0,3,38,52,166,17,13,176,42,412
SOS19,70,302,198,2595,82,3249,0,3,3,95,6,105,428,12,7,20,4,473,26,0,0,4,0,34,79,21,13,35,0,149,812,254,191,1952,70,3270,76,0,22,4,0,105,62,9,6,27,0,108,151,27,20,202,4,399,44,9,3,20,3,76,27,3,0,5,0,33,142,0,0,3,0,144,205,66,40,714,12,1039,123,30,15,95,8,265,45,0,0,0,0,45,79,10,5,16,0,111,10,0,0,0,0,9,18,8,0,8,0,43,54,10,7,6,0,79,60,17,8,6,6,94,38,6,8,13,0,70,22,0,3,6,3,34,189,57,46,536,16,840,18,0,0,0,0,15,39,3,4,3,0,50,53,0,0,10,0,65,13,0,0,3,0,11,27,0,0,0,0,36,82,3,3,0,0,86,32,8,7,25,0,66,890,76,55,102,26,1140,48,4,4,63,3194,3312,3262,554,393,4675,3398,12288
