CED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
CED101,0,0,3,3,3,0,0,0,0,8,4440,8056,7214,9946,4641,3954,2656,1618,842,43371,3,7,62,295,28,22,3,0,0,427,0,0,4,47,37,35,16,15,8,169,0,0,0,15,11,8,4,0,0,33,3,0,13,30,16,10,3,6,0,83,0,6,0,46,25,27,27,6,0,140,61,169,968,2807,1369,1287,608,364,111,7743,0,3,3,22,40,41,70,83,12,275,6,31,23,210,121,143,146,70,35,779,16,39,51,241,223,241,262,103,57,1234,0,9,19,144,70,61,29,20,0,354,0,4,0,27,14,9,3,3,0,57,0,3,11,31,29,13,55,15,13,170,0,16,30,51,92,170,219,214,48,844,10,29,139,485,237,373,125,43,8,1446,17,41,101,560,149,113,74,38,8,1090,0,23,64,314,122,72,44,24,4,666,0,3,8,59,19,16,5,0,0,101,3,4,4,36,21,13,8,3,0,91
CED102,0,0,0,3,4,0,0,0,0,16,4737,7526,6576,10829,4162,2529,1346,731,410,38840,12,28,235,1184,91,33,3,0,0,1589,0,0,3,55,16,13,16,15,3,125,0,0,5,16,14,9,3,0,0,45,0,3,7,50,13,13,11,0,4,102,0,3,11,72,52,33,52,18,0,246,57,171,1439,3600,1282,1252,628,367,130,8923,0,0,3,34,31,41,48,78,17,249,5,23,18,148,88,136,147,96,28,690,8,40,47,410,293,184,169,79,31,1263,0,12,20,138,88,81,51,18,6,415,0,3,9,70,16,14,6,6,0,125,3,3,6,58,25,17,27,25,8,166,5,31,47,129,180,348,672,859,246,2518,5,31,124,467,173,251,115,28,12,1214,59,74,89,1100,117,74,40,23,8,1585,9,20,106,478,121,82,70,24,3,907,0,6,8,106,14,14,8,0,0,157,0,4,8,35,24,15,4,3,0,88
CED103,0,0,13,64,25,29,15,8,0,163,4434,7511,6990,9234,4374,3545,2228,1421,820,40559,9,13,67,194,14,10,8,0,0,313,0,0,0,11,16,9,9,3,0,48,0,0,0,22,7,5,4,0,0,46,3,11,13,60,24,19,10,5,0,145,0,3,4,33,22,23,28,7,0,113,122,321,1771,4191,1399,1062,615,375,113,9977,0,0,3,12,18,20,44,43,12,159,3,9,5,43,31,38,56,36,10,244,24,96,90,430,382,300,297,146,57,1823,3,0,15,74,58,32,35,18,3,241,0,9,6,57,21,9,13,0,3,114,0,9,9,83,32,24,63,35,9,260,0,3,4,13,22,29,57,65,23,215,24,72,245,922,327,605,245,53,12,2514,93,168,268,2095,313,241,112,44,25,3368,5,21,118,323,90,85,43,24,8,716,3,26,43,551,143,126,86,37,12,1032,11,12,5,42,27,18,10,5,0,139
CED104,0,0,3,24,22,18,13,0,0,80,3821,8920,7981,8912,5566,4960,3437,1761,771,46132,0,0,7,28,14,15,8,0,0,71,0,0,0,3,6,3,0,0,0,22,0,0,0,9,4,0,0,0,0,12,0,7,9,43,42,32,9,10,0,156,0,3,4,8,12,20,22,6,0,73,37,150,241,1160,608,408,304,124,32,3056,0,0,0,8,28,19,15,19,3,97,0,0,3,18,22,25,30,17,6,128,37,219,215,542,732,570,633,308,98,3345,0,0,5,39,45,33,24,11,3,168,0,7,6,33,11,7,8,0,0,82,0,18,16,50,57,40,90,49,20,336,0,0,0,0,10,15,26,29,3,85,9,30,123,257,161,351,132,37,7,1104,7,127,179,732,452,265,143,60,24,1994,0,8,31,71,47,38,28,9,4,233,5,21,34,199,106,90,58,23,7,531,0,0,3,8,11,5,3,3,0,30
CED105,8,89,593,1378,239,111,14,7,0,2443,6014,9861,7696,8327,2051,1962,1452,720,449,38532,5,26,76,494,52,35,7,0,0,703,0,3,8,43,41,23,16,12,0,149,0,5,3,35,49,50,26,17,0,181,0,4,6,17,5,3,0,0,0,38,0,0,0,28,33,20,32,13,0,124,17,121,574,1961,1013,871,388,240,76,5267,0,0,3,14,28,28,75,77,9,231,15,41,35,237,77,80,73,43,6,606,3,10,21,60,86,83,129,56,45,496,0,16,43,153,88,90,40,16,3,451,0,0,0,7,9,4,6,0,0,37,0,0,16,27,17,15,77,27,9,191,0,3,12,39,60,82,175,168,32,563,0,10,62,155,63,84,22,7,3,406,47,81,297,1224,139,75,49,27,6,1943,5,19,31,143,62,45,34,10,6,351,5,37,90,256,36,23,6,3,0,463,7,72,150,475,302,110,30,15,0,1157
CED106,0,0,0,11,4,9,3,0,0,37,4047,8876,6905,7220,4893,3855,2997,2010,1105,41915,0,0,0,24,9,7,0,0,0,38,0,0,0,8,4,3,0,0,0,20,0,0,3,9,3,3,0,0,0,13,3,14,30,65,65,36,29,7,0,245,0,0,0,18,14,13,18,0,0,70,96,412,651,2333,921,658,473,279,63,5895,0,0,0,7,14,14,13,11,3,65,3,3,3,13,11,22,27,19,6,116,46,494,388,674,1004,611,545,347,142,4247,0,3,8,41,30,18,18,7,4,124,0,4,12,59,19,14,17,3,3,136,3,18,16,59,61,25,75,44,18,320,0,0,0,5,13,13,12,23,6,71,33,126,203,649,294,390,220,88,16,2023,45,162,115,1143,302,171,126,60,40,2159,3,17,37,189,51,41,40,26,6,401,13,68,42,496,181,116,60,27,12,1010,0,0,0,9,6,3,4,0,0,19
CED107,0,3,7,12,0,0,0,0,0,19,5072,10183,8948,15689,8453,8175,6340,3021,942,66819,0,5,0,28,0,5,4,0,0,39,0,0,0,4,5,3,0,0,0,16,0,0,0,7,0,3,0,0,0,8,0,6,3,25,8,4,9,3,0,58,0,0,0,6,6,3,4,0,0,23,0,8,26,75,31,32,25,6,0,201,0,0,0,0,6,11,12,16,4,55,0,4,6,9,3,4,4,0,0,42,0,38,53,149,262,324,443,263,69,1592,0,5,3,33,9,14,5,3,0,71,0,0,5,10,6,5,7,3,3,45,0,0,3,10,20,38,100,31,12,210,0,0,0,7,4,8,19,15,9,65,0,6,8,12,7,17,4,0,0,55,4,23,18,249,29,19,11,8,0,362,0,7,0,7,4,3,0,0,0,26,0,0,8,22,6,4,0,0,0,35,0,0,6,23,9,3,0,0,0,38
CED108,3,30,136,315,85,59,19,6,0,655,6238,10573,8385,9695,4071,3018,1925,768,194,44873,14,49,48,475,91,72,13,4,0,756,3,0,9,41,34,30,19,12,3,149,0,0,4,8,11,7,5,0,0,31,0,5,6,12,6,3,0,0,0,33,0,0,4,38,34,25,38,4,3,155,3,27,66,258,136,156,59,37,7,748,0,0,0,32,23,52,66,45,6,223,3,52,52,130,97,112,84,41,11,581,0,33,15,122,252,296,269,153,30,1173,4,67,201,887,494,323,134,53,7,2172,0,0,0,4,3,7,3,0,0,27,0,3,8,13,31,35,89,39,18,224,0,5,10,15,12,33,52,39,5,177,0,8,16,45,15,36,17,5,0,133,48,301,587,3008,518,296,148,59,12,4969,0,4,22,91,42,49,35,9,3,259,0,21,16,106,38,30,18,3,0,230,0,44,131,283,138,75,36,8,4,725
CED109,0,0,0,0,0,0,0,0,0,4,4032,7706,6819,12447,6315,5291,3611,2084,1049,49347,0,0,3,31,10,15,0,0,0,63,0,0,3,27,24,18,12,9,0,90,0,0,0,14,7,0,5,0,0,24,0,0,12,42,26,6,13,3,0,108,0,3,0,26,39,28,31,8,0,137,9,51,117,390,300,279,105,67,23,1343,0,4,0,19,27,28,28,53,8,162,0,13,9,122,75,152,133,85,33,632,29,108,102,511,427,371,370,213,95,2216,0,3,7,46,25,22,23,5,7,140,0,3,3,27,14,12,9,7,0,80,3,4,15,37,32,19,60,50,17,230,4,28,11,44,101,197,263,265,73,984,3,7,19,81,55,77,49,18,0,302,5,19,31,177,65,29,37,23,5,393,0,11,7,59,23,22,23,15,3,162,0,6,0,31,13,6,3,3,0,67,0,0,0,12,12,10,3,0,0,31
CED110,0,5,25,0,5,0,0,0,0,33,3818,8828,7383,12356,7595,9068,7657,3948,1449,62098,0,0,0,8,3,0,0,0,0,10,0,0,0,0,0,0,0,4,0,6,0,0,0,3,0,0,0,0,0,3,0,7,6,41,22,30,15,11,0,123,0,0,0,5,5,4,8,0,0,22,0,5,31,39,21,18,11,3,0,132,0,0,0,0,3,3,9,14,3,31,0,10,0,8,5,9,16,4,0,61,9,79,62,268,428,499,800,528,167,2835,0,0,7,33,13,21,8,7,0,86,0,3,5,15,5,9,12,4,3,62,0,12,3,28,25,51,129,77,13,340,0,3,0,0,5,9,10,3,3,27,0,4,9,16,11,15,8,3,0,60,11,26,19,188,21,26,30,11,8,336,0,0,0,3,3,0,4,3,0,24,0,6,13,10,6,3,0,0,0,35,0,0,0,5,3,0,0,0,0,10
