CED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED101,0,53,0,738,40,6,7,15,3,29,0,17,11,83,585,805,8,4,4,5,3,10,0,5,0,104,87,237,2914,552,87,1395,152,1405,69,903,134,4894,731,13236
CED102,0,35,4,862,38,17,8,17,8,20,7,20,4,93,764,996,10,3,9,3,3,6,0,4,3,86,95,224,4182,878,111,1900,207,1673,102,991,141,4885,921,15986
CED103,9,64,0,1249,31,3,3,29,6,23,3,16,0,90,752,949,10,0,5,8,0,4,3,4,0,76,62,184,3950,581,73,1718,191,1821,77,985,126,4893,867,15289
CED104,8,128,3,1418,15,9,4,8,10,24,0,12,5,86,604,784,14,0,5,9,4,7,3,13,3,70,43,173,2243,522,62,1408,134,1240,77,1033,116,4986,707,12535
CED105,0,15,0,206,20,5,8,9,11,23,6,12,13,73,432,613,10,0,5,8,0,7,0,3,3,92,109,238,1687,471,68,985,113,1455,62,781,140,4181,611,10549
CED106,18,436,7,2410,23,3,4,13,3,16,0,19,4,92,735,915,12,3,7,6,3,8,6,10,0,78,51,180,2823,618,87,1455,141,1495,57,1167,118,5350,822,14133
CED107,5,57,3,689,35,10,0,32,7,51,0,27,6,142,732,1047,25,9,11,14,5,11,7,7,7,200,118,406,3245,703,151,2326,204,1562,106,1133,203,5651,970,16255
CED108,0,18,0,235,39,4,4,16,4,37,0,12,14,94,360,578,11,0,8,3,3,7,0,11,4,106,90,249,2512,288,74,1098,152,1455,45,608,146,3600,522,10494
CED109,13,141,3,1220,31,0,0,18,9,21,0,12,5,110,679,896,10,8,10,5,4,8,0,8,4,131,81,262,3147,541,101,1461,198,1161,66,954,129,4985,820,13560
CED110,4,72,0,493,21,7,5,21,4,22,7,20,13,195,854,1162,18,7,13,13,3,10,3,13,6,219,137,432,2345,966,132,2132,181,1328,153,1469,218,9157,1115,19201
CED111,12,67,3,788,29,4,4,21,7,24,3,19,7,132,714,960,11,4,6,8,0,8,3,6,4,134,113,291,2740,534,67,1691,177,1285,101,1027,171,5989,899,14679
CED112,4,62,0,434,34,15,3,26,3,25,3,20,4,130,629,885,18,9,4,6,6,4,0,7,8,177,115,362,2488,550,98,1724,158,1310,81,983,159,6253,859,14654
CED113,13,62,0,1007,42,5,3,31,11,35,11,27,11,133,954,1271,25,9,7,7,0,5,0,4,5,139,112,317,3630,813,159,2212,260,1444,157,1210,229,5951,1193,17262
CED114,3,60,4,558,47,13,4,38,4,43,4,34,13,171,862,1227,28,14,24,26,7,10,3,21,13,270,159,572,3483,778,184,2697,255,1572,158,1209,242,6212,1188,17984
CED115,0,20,0,194,21,8,3,11,3,37,3,14,16,84,429,626,9,3,8,3,3,4,0,8,5,86,93,223,1570,322,71,805,99,1316,53,664,131,4465,600,10091
CED116,7,91,0,528,23,13,0,25,4,31,5,27,9,217,984,1335,15,6,12,9,3,4,3,10,4,267,139,467,2061,888,129,1895,138,1316,126,1573,254,10539,1268,20188
CED117,17,62,5,2898,55,7,3,11,17,19,4,10,3,45,993,1168,16,4,11,7,0,4,3,3,5,44,58,153,6068,674,116,2104,254,1526,98,748,112,2445,1092,15234
CED118,0,9,0,559,40,4,3,11,4,24,0,11,4,56,425,587,18,0,8,6,3,8,0,3,6,58,64,174,3408,360,82,1416,148,1526,55,611,120,3446,543,11709
CED119,8,41,0,871,38,0,6,14,7,27,0,13,3,78,563,746,10,3,6,4,5,8,0,4,6,92,40,176,3029,412,70,1451,148,1243,68,858,133,4335,633,12382
CED120,0,52,3,664,58,5,0,32,9,36,0,19,12,136,632,935,28,0,13,17,3,10,3,13,8,151,100,337,3375,537,107,2067,255,1487,103,979,167,4809,825,14714
CED121,4,62,0,627,38,10,0,35,3,28,10,28,5,152,746,1047,21,5,10,15,3,4,0,9,4,168,77,325,2781,584,95,1998,206,1522,120,1149,195,6692,934,16268
CED122,8,85,0,1850,52,6,11,21,9,24,3,15,3,80,937,1156,18,4,11,5,4,13,0,9,3,97,83,258,5068,647,121,1768,221,1431,79,843,105,3936,1089,15304
CED123,0,25,0,440,57,3,3,22,3,49,6,11,12,89,490,749,14,5,4,4,3,8,0,6,0,117,63,246,3883,388,65,1728,213,1641,78,757,153,3985,631,13523
CED124,3,81,3,473,26,9,6,26,3,41,3,37,4,241,849,1238,18,7,8,14,3,13,0,11,5,291,150,523,2039,904,137,1953,172,1341,148,1500,239,10397,1144,19975
CED125,3,13,0,340,31,3,3,10,8,24,5,18,6,82,435,640,15,3,11,8,0,12,0,4,0,101,56,214,3184,366,85,1510,167,1637,62,755,138,3867,571,12342
CED126,10,226,5,1591,38,13,3,21,10,19,7,16,3,108,754,985,25,10,6,13,0,4,5,9,5,108,64,251,3030,786,83,1803,154,1074,88,1176,103,5045,887,14228
CED127,5,64,0,742,40,17,0,31,3,30,0,23,6,87,614,846,21,4,4,6,0,7,3,5,4,94,51,206,2895,698,100,1876,161,1464,109,1102,147,4707,719,13973
CED128,3,16,0,264,37,6,4,9,5,33,5,13,8,94,458,661,14,3,9,7,0,9,0,3,9,96,71,219,2292,280,87,1055,129,1367,51,671,106,4466,607,11109
CED129,4,49,0,1139,26,3,3,7,3,23,0,15,0,68,512,655,20,3,0,11,3,8,3,8,0,77,53,183,2807,497,64,1286,135,1194,56,865,102,4572,603,12182
CED130,0,60,0,537,35,19,6,27,10,34,9,26,7,138,809,1128,54,12,15,16,4,20,0,10,9,192,138,456,3342,822,160,2413,226,1467,127,1161,177,5927,1086,16912
CED131,3,78,3,900,25,9,3,23,10,29,0,9,3,86,824,1015,7,3,3,5,0,8,0,4,3,96,56,189,3348,634,84,2046,201,1353,86,1035,154,4830,941,14717
CED132,20,349,3,4274,62,4,3,23,12,18,3,15,5,60,1140,1351,24,3,3,11,3,3,0,3,7,57,43,161,6646,770,114,2034,241,1909,81,1058,108,3610,1218,17782
CED133,0,53,0,386,34,18,5,23,12,39,7,18,3,193,794,1147,15,7,4,14,3,6,3,13,9,200,116,385,2376,1015,123,2316,178,1487,147,1535,240,8101,1078,18590
CED134,3,44,7,627,48,5,9,28,8,56,5,20,9,134,796,1124,65,8,18,26,4,28,4,16,10,191,175,542,3922,582,187,2172,238,1493,121,947,168,4790,1117,15736
CED135,3,28,0,617,32,5,6,16,3,22,3,8,13,61,658,829,9,8,3,8,3,6,0,6,0,71,66,181,3908,599,93,1709,187,2215,76,808,145,4006,781,14517
CED136,8,58,0,433,29,7,3,16,7,28,3,23,9,128,719,982,17,10,5,9,7,12,3,15,5,198,107,387,2670,567,99,1965,216,1480,123,1094,184,7267,918,16578
CED137,10,110,3,1963,33,15,9,18,8,24,0,10,11,62,918,1127,18,8,4,3,3,4,0,5,3,65,77,198,5269,875,129,2038,236,2093,109,1156,157,4467,1064,17596
CED138,8,95,7,570,12,4,6,23,3,33,3,18,6,196,858,1176,14,10,9,9,5,10,6,9,3,199,131,414,2181,1042,107,2056,178,1208,136,1433,204,7797,1140,17493
CED139,3,54,4,576,48,8,4,31,11,54,3,26,13,165,815,1188,36,8,19,22,5,19,3,11,12,183,138,449,3394,688,153,2435,229,1504,111,1174,208,5864,1055,16804
CED140,6,84,3,717,21,4,3,21,3,37,0,16,3,134,711,952,13,7,7,8,3,9,3,6,3,155,108,323,2476,627,104,1734,151,1351,101,1117,126,6441,907,15133
CED141,9,68,0,543,26,0,3,18,3,29,3,14,7,168,704,983,5,3,9,7,0,3,3,7,4,160,113,318,2314,532,90,1788,153,1301,79,1126,175,7602,921,16084
CED142,20,117,4,5351,82,18,11,28,15,34,3,11,8,49,1750,2005,33,5,15,10,3,10,0,3,4,30,79,191,11100,1389,224,3160,381,2497,130,995,130,2728,1890,24619
CED143,16,379,3,3548,63,5,3,14,7,23,4,20,0,64,958,1169,29,7,11,12,5,3,3,3,0,70,46,193,5106,691,110,1803,200,1362,82,1051,105,3568,1043,15141
CED144,3,18,3,375,17,4,3,15,8,25,3,17,7,79,603,795,13,3,8,5,5,9,0,9,4,80,93,218,2229,562,64,1273,135,1527,57,857,143,4201,783,11836
