CED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED111,0,8,6,26,24,15,3,0,0,77,11,56,42,287,98,156,64,13,8,731,0,3,3,60,21,74,39,37,43,276,3,14,14,80,179,221,245,158,69,989,9,15,16,33,9,17,7,9,0,108,0,28,63,190,80,81,51,25,4,512,0,0,5,43,63,87,83,96,25,408,3,12,53,107,31,24,15,9,3,263,3,5,15,49,13,4,4,0,0,97,11,57,109,242,55,26,11,3,0,516,0,4,14,178,364,522,587,375,80,2133,0,10,10,80,177,60,66,45,0,452,6,46,93,196,93,65,65,15,6,586,10,34,184,234,115,134,59,21,13,800,0,12,8,34,73,77,51,35,17,299,0,4,18,43,19,10,8,0,0,104,109,342,452,1288,714,602,547,453,221,4721,400,652,1098,2207,1208,1245,1130,809,442,9181,8904,18244,22576,40069,20198,18403,13888,8895,4206,155380
CED112,0,3,3,32,40,24,4,3,0,113,9,52,73,317,178,158,59,12,9,862,0,4,4,37,16,26,28,10,13,128,0,13,11,91,122,192,207,152,58,843,0,3,0,10,19,17,6,0,4,63,0,32,57,195,114,79,62,35,15,586,0,0,0,6,8,13,17,13,3,64,0,0,0,37,15,13,14,11,0,89,0,6,9,17,5,6,0,0,0,43,4,19,25,107,41,27,0,0,0,227,0,0,0,3,5,7,5,5,0,16,0,0,0,8,3,5,3,3,0,20,5,38,32,114,81,71,41,12,0,395,0,15,7,80,17,14,0,0,0,135,0,6,0,32,35,39,65,30,5,220,0,7,18,44,19,15,8,8,3,132,16,57,80,469,344,338,375,231,66,1975,400,872,970,2135,1400,1411,1338,1038,740,10300,9414,20542,18667,35890,20162,19082,15900,9592,4809,154067
CED113,0,0,0,51,64,28,9,0,0,154,4,80,69,265,112,117,29,14,4,698,0,0,0,45,5,43,26,21,25,169,0,11,3,58,97,147,190,83,22,609,3,4,8,24,29,23,3,3,0,98,3,37,54,148,102,75,41,22,4,495,0,0,0,6,26,24,37,38,6,146,3,12,5,49,29,20,19,4,0,140,0,0,24,81,3,3,0,0,0,107,7,20,27,107,34,27,11,0,0,230,3,4,19,120,124,131,83,36,16,543,0,6,3,11,18,4,0,0,0,42,19,70,52,166,90,117,99,18,3,631,0,0,11,68,35,21,4,3,0,150,0,0,3,16,41,31,28,18,3,147,0,3,3,35,19,22,19,0,0,103,12,58,79,527,350,381,417,287,106,2217,475,1080,1148,2799,2017,2088,1640,957,497,12698,8177,18454,15693,33623,21977,21968,16469,7961,3218,147532
CED114,0,4,5,20,19,6,3,0,0,63,22,80,88,355,127,110,47,10,4,846,0,0,0,8,3,12,8,3,16,50,0,0,10,41,62,88,132,85,27,442,3,0,3,13,10,5,4,0,0,45,3,33,58,117,80,41,30,8,6,392,0,0,0,0,7,10,16,13,6,54,5,26,15,104,27,13,6,4,0,203,0,3,44,198,3,0,0,0,0,240,6,13,27,73,40,16,5,0,0,177,0,0,0,3,0,3,3,0,0,10,3,0,12,43,27,14,10,0,0,102,6,25,25,64,29,39,21,6,0,228,0,6,3,32,7,4,3,0,0,61,0,3,0,13,16,21,30,10,0,91,0,9,15,40,22,13,0,0,0,109,20,93,141,578,311,244,204,153,52,1792,716,1522,1524,3383,2020,2459,2123,1453,677,15879,10127,21264,19165,36812,21197,22380,18021,10596,4422,163980
CED115,0,3,0,12,5,0,0,0,0,22,17,84,194,808,334,401,276,53,31,2196,3,0,3,88,61,145,88,59,66,515,0,0,0,13,16,50,50,30,18,175,0,5,9,22,11,28,12,5,3,92,3,7,13,37,26,18,13,11,0,129,0,0,13,204,154,232,206,125,31,973,4,15,19,73,41,36,38,14,3,246,0,0,14,56,18,30,14,0,0,135,13,59,137,703,138,109,44,6,3,1211,5,10,20,149,148,201,167,71,18,797,11,14,27,95,121,86,72,18,3,445,6,22,33,55,7,18,5,0,0,151,126,497,1713,8477,6059,5029,1900,807,390,24999,0,0,0,0,3,4,10,5,4,27,3,17,29,50,28,0,0,0,0,126,126,576,922,3089,2158,2004,1508,782,318,11485,767,1288,1375,3408,1523,1444,936,499,226,11454,10547,20783,23826,44846,22004,20231,12353,6702,2947,164235
CED116,0,0,0,22,31,24,3,3,0,89,10,36,31,165,91,91,42,12,0,487,0,0,0,25,5,36,36,26,18,145,4,15,10,49,86,198,274,173,71,881,0,3,0,19,16,10,13,5,0,67,0,17,19,95,73,70,120,25,3,428,0,0,0,0,9,22,23,33,5,101,0,10,0,30,11,4,12,4,3,67,0,0,4,10,0,0,0,0,0,10,5,17,20,97,28,12,12,0,0,200,0,0,0,0,10,24,16,6,0,60,0,0,0,6,8,0,3,0,0,22,4,39,35,103,68,93,101,22,7,479,0,0,9,66,25,10,8,0,0,119,0,3,4,20,32,55,79,37,15,245,0,3,6,18,6,17,10,4,0,69,18,34,42,271,231,320,462,312,94,1788,385,908,1019,2216,1636,1964,2069,1323,629,12150,7411,16822,14777,28497,18836,23941,22881,12371,4897,150436
CED117,0,0,3,57,34,21,5,3,0,130,9,64,119,840,219,192,121,25,12,1590,3,0,12,191,30,80,39,21,21,397,0,10,15,293,165,132,103,39,7,775,7,27,34,158,56,32,23,10,3,350,0,10,59,401,136,101,58,13,4,778,0,0,0,19,31,33,27,28,6,144,0,0,19,132,42,46,21,13,9,283,0,9,27,191,19,23,10,3,0,285,8,29,122,824,109,79,30,6,3,1206,0,3,3,38,25,38,40,35,3,193,0,7,18,148,67,46,44,10,0,344,48,115,117,585,210,112,76,23,6,1287,12,48,271,815,340,426,163,76,53,2202,0,0,3,90,53,30,26,6,0,214,0,0,5,53,28,7,3,0,0,97,45,132,357,2511,921,781,831,492,212,6274,561,791,1149,4854,1633,1240,846,458,201,11732,9087,14225,15454,56828,20915,15134,10097,5375,2391,149513
CED118,0,0,10,39,18,17,7,0,0,93,40,301,542,2598,1350,1055,436,96,61,6483,0,3,7,119,60,103,72,27,24,414,0,19,14,67,96,82,90,54,17,454,11,65,66,103,61,51,30,14,5,408,7,89,181,446,250,165,91,41,9,1272,0,0,0,48,35,61,59,54,15,269,35,217,385,2083,845,590,302,122,32,4601,8,3,17,103,19,36,17,0,3,207,7,24,37,155,53,28,9,7,0,311,0,0,0,16,11,12,15,3,0,62,0,7,42,226,202,105,55,17,0,661,19,98,120,174,75,49,20,4,0,557,3,3,12,181,83,87,28,8,0,415,0,5,0,11,15,18,16,12,3,76,0,9,57,87,45,23,3,0,0,230,71,320,695,1971,1007,808,531,313,102,5811,515,865,821,2499,1017,877,621,372,195,7784,13730,24834,21127,55950,21184,16390,10398,4744,1711,170067
CED119,0,6,3,31,31,23,5,0,0,100,3,45,69,458,224,242,86,13,15,1159,0,0,3,87,40,95,46,20,12,309,0,17,16,100,108,147,143,77,20,634,7,16,12,51,36,40,20,0,0,181,0,39,71,272,165,144,106,43,6,837,0,0,0,13,40,37,28,16,6,140,3,11,13,61,43,57,24,8,3,225,0,4,6,44,11,8,5,0,0,80,3,15,30,165,38,13,8,4,0,294,0,3,11,94,108,127,103,33,11,474,0,0,3,29,34,11,3,3,0,93,9,51,56,141,88,57,39,12,3,460,6,18,30,275,150,124,31,16,3,648,0,0,10,36,38,24,20,14,4,150,0,7,11,44,18,4,4,3,0,94,22,158,202,1177,672,543,436,221,95,3515,250,484,548,1397,737,667,520,337,195,5130,9871,20048,18108,38183,20171,17172,12202,5699,2827,144289
CED120,0,0,0,23,27,16,0,7,0,74,3,40,41,204,100,97,38,6,3,542,0,3,0,53,17,36,38,12,11,170,3,14,26,107,124,195,186,86,27,762,0,11,11,13,23,15,8,3,0,91,0,19,40,177,87,66,57,17,0,465,0,0,0,10,20,27,14,12,3,94,0,7,5,36,21,17,9,3,0,102,0,0,0,30,12,7,3,0,0,56,0,11,18,94,25,17,5,0,0,170,0,0,0,18,25,18,9,3,3,75,0,0,3,10,14,4,3,0,0,33,4,49,30,94,71,65,37,12,4,367,4,4,11,72,34,14,3,0,0,143,0,0,5,22,46,32,38,12,10,174,0,7,17,45,20,21,3,0,0,120,13,69,94,554,415,341,304,166,88,2044,434,870,934,2210,1399,1341,1116,694,271,9261,10094,21369,18567,37808,20761,18488,14126,6738,2705,150643
CED121,0,3,6,44,30,32,6,4,0,133,13,59,59,259,116,100,42,7,4,655,0,0,0,20,0,15,25,12,15,92,0,11,7,45,67,116,175,83,36,547,0,0,7,14,8,11,7,3,0,50,0,49,86,148,114,64,47,31,7,538,0,0,0,3,6,11,17,5,4,53,0,14,4,47,17,14,11,6,0,112,0,0,3,25,0,0,0,0,0,32,6,11,23,124,36,14,8,0,0,219,0,0,0,7,4,7,10,9,3,41,0,0,3,5,5,0,4,0,0,24,4,37,39,106,54,42,45,8,0,342,6,7,7,59,10,15,0,0,0,102,0,4,0,13,25,18,36,18,5,124,0,4,17,41,26,20,9,0,0,117,3,59,74,330,203,193,220,134,77,1293,435,992,907,2353,1431,1491,1421,765,417,10215,10244,20415,19012,38155,20372,20001,16168,8549,3882,156796
CED122,0,9,8,43,54,26,15,11,4,158,7,88,214,1023,366,311,128,53,13,2211,3,9,9,243,68,137,99,40,29,623,3,12,44,351,147,148,115,57,14,907,19,33,249,303,65,77,53,17,9,825,6,58,187,683,451,174,137,80,24,1804,0,0,4,29,38,55,29,29,14,203,0,4,69,164,51,41,43,10,4,391,7,8,94,295,51,56,30,9,3,558,8,36,160,609,128,95,30,4,4,1072,0,0,0,24,13,20,19,15,0,87,0,8,21,125,164,102,67,34,8,527,28,99,153,486,154,75,51,10,4,1067,9,33,149,427,141,138,62,29,7,981,4,8,5,104,38,20,19,7,4,210,0,3,20,79,37,19,6,4,0,167,116,322,948,4865,1483,1434,1373,776,316,11629,596,913,2026,4688,1567,1344,1083,692,413,13319,9752,16917,28577,59879,21337,16421,12274,7566,3521,176238
CED123,0,3,4,38,16,10,5,0,0,78,21,142,243,1171,538,466,181,49,27,2836,3,5,4,85,29,64,60,35,34,318,0,9,16,105,173,241,199,106,38,881,8,14,6,40,19,32,12,9,0,147,6,24,55,213,106,100,49,31,3,587,0,0,5,14,32,56,48,38,9,207,5,32,44,247,117,98,57,21,6,636,0,3,5,60,7,16,4,0,0,97,4,26,33,171,66,28,5,0,0,347,0,0,0,8,29,23,26,12,3,100,0,0,4,39,36,27,15,7,0,129,4,21,28,118,45,44,30,11,4,304,0,21,31,181,56,23,9,7,0,334,0,0,0,17,40,34,42,10,4,145,3,19,48,112,36,13,4,3,0,235,16,184,414,1409,792,586,496,234,114,4250,626,989,1239,3002,1338,1251,975,519,186,10112,12555,22777,22652,49722,20599,18094,12518,5505,2105,166528
