CED_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
CED101,604,849,424,434,734,321,161,205,41,3777,714,721,603,872,1078,449,173,263,75,4964,1162,599,4166,1159,1362,680,740,760,189,10809,65,43,50,121,218,97,51,56,9,723,186,161,150,246,544,208,113,131,19,1756,123,188,71,61,187,75,57,62,16,841,101,174,125,148,204,114,107,131,154,1264,6727,15574,6738,4626,7681,3446,1942,2434,835,49998
CED102,618,869,521,522,724,400,201,268,57,4178,764,847,772,957,987,617,219,365,86,5609,915,567,3607,1099,1149,631,715,776,189,9646,83,52,37,68,198,121,48,60,8,670,180,153,154,238,458,207,114,194,21,1714,116,205,107,95,186,98,64,138,20,1037,113,185,168,146,191,134,118,238,236,1518,7273,18438,7131,5542,8056,4362,2281,3887,1078,58051
CED103,698,1053,465,425,797,333,114,163,48,4092,749,869,578,705,899,424,119,206,66,4615,969,588,2975,948,1050,574,390,522,134,8149,62,52,47,68,179,81,18,52,13,569,175,179,123,202,462,185,60,97,13,1497,159,295,88,80,198,69,31,47,21,981,111,210,99,109,181,90,52,95,169,1113,9635,25818,6200,4474,9001,3858,1285,2050,995,63320
CED104,847,1193,367,412,875,239,84,122,53,4183,805,831,405,658,943,366,65,140,49,4267,1564,695,3664,900,1107,634,419,606,133,9722,68,58,55,70,208,94,19,44,6,618,285,180,127,197,512,181,61,106,25,1661,154,245,59,42,192,56,13,18,12,798,132,212,85,82,195,79,38,54,135,1020,10145,20951,5826,3729,7618,2871,952,1523,711,54322
CED105,318,424,404,364,455,235,216,220,56,2696,484,545,526,996,791,409,244,350,71,4417,680,363,3504,1078,919,510,815,831,191,8892,52,33,70,97,153,86,62,102,12,670,104,66,138,248,315,127,162,152,19,1332,76,111,133,76,128,80,86,105,34,828,87,132,212,146,161,113,138,228,201,1409,3575,9314,6104,4464,5124,2838,2440,2994,884,37738
CED106,818,1082,272,337,674,321,63,112,65,3760,671,755,302,492,715,361,63,122,46,3529,690,453,1465,549,536,365,162,262,70,4537,52,49,40,44,91,45,13,23,5,357,206,188,79,178,334,188,40,62,19,1307,170,326,43,52,175,64,19,30,21,905,119,265,58,82,137,71,19,45,116,919,12547,27082,3521,3347,7399,3325,619,1207,1014,60064
CED107,534,769,209,491,446,143,83,102,40,2814,642,615,434,1022,686,234,113,206,38,3988,2187,770,6502,2283,1891,1072,2021,1711,221,18651,153,54,108,161,305,188,92,187,10,1255,256,119,150,294,462,201,145,203,23,1838,66,90,28,59,85,50,37,60,11,477,247,141,184,189,192,163,189,283,138,1721,6232,10805,8075,5407,5174,2371,2811,3024,596,44494
CED108,294,455,399,389,444,182,303,226,40,2731,464,626,526,1007,882,414,390,291,76,4665,842,612,4242,1678,1541,688,1631,1229,231,12679,63,46,71,114,251,134,154,140,17,1001,110,91,126,284,369,153,258,224,33,1652,67,136,84,89,134,54,114,81,12,785,75,134,184,182,208,112,243,296,190,1619,3583,9546,6807,5346,6837,2727,4139,3364,877,43225
CED109,840,1116,342,549,816,374,89,104,36,4269,1013,890,499,934,1116,486,96,143,63,5238,1921,778,5167,1241,1561,847,736,789,216,13258,101,62,43,119,239,109,26,52,10,758,253,207,149,255,633,258,101,107,34,1998,109,187,62,64,204,80,30,39,18,790,176,218,108,146,237,127,62,88,143,1304,8553,14930,6968,4513,7047,3237,1326,1605,771,48955
CED110,472,823,173,491,439,156,48,97,26,2720,543,718,306,1009,803,325,62,191,59,4021,1729,794,5263,2428,1816,1206,977,1622,231,16054,70,45,87,180,269,227,57,204,9,1151,170,108,112,376,384,219,87,201,26,1687,35,89,33,57,86,31,16,48,11,403,149,147,181,221,179,146,100,236,125,1479,4690,10619,6479,5590,4882,2598,1418,2803,594,39676
