CED_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,89,290,541,615,561,454,103,23,0,2675,127,402,879,722,767,554,140,33,5,3640,3078,7055,17257,16117,15739,10817,2393,245,25,72728
CED102,75,274,772,674,616,399,98,5,0,2915,130,472,1426,932,789,528,124,39,3,4438,2598,8109,25862,18897,15429,9480,2076,194,24,82673
CED103,100,247,622,610,659,425,122,20,3,2813,95,332,1075,896,778,553,148,31,12,3923,2921,7520,21323,19073,16759,11271,2747,312,48,81976
CED104,142,266,392,473,618,466,136,12,0,2509,139,250,454,621,754,490,171,36,11,2922,4090,6758,10252,15709,18375,12911,3728,429,47,72293
CED105,99,282,698,650,505,372,77,0,0,2676,186,667,1591,1067,1051,622,104,18,14,5322,2626,7770,18325,13651,12297,8204,1482,99,18,64461
CED106,109,201,400,435,514,348,114,24,3,2151,93,226,611,745,833,478,172,54,6,3218,3283,6316,13272,17675,18569,11504,3855,662,83,75220
CED107,169,323,601,558,507,370,121,10,0,2666,183,215,388,455,507,413,190,78,17,2438,3961,5755,13023,13719,15243,11824,3486,638,105,67745
CED108,130,313,578,512,469,347,86,9,0,2441,238,580,1140,1016,933,590,130,19,3,4638,3595,7832,17769,16357,14307,9261,1622,91,11,70841
CED109,114,259,616,552,577,397,124,21,3,2670,108,300,618,705,708,529,183,35,16,3204,3295,5981,14083,15483,15640,11157,3056,382,56,69136
CED110,111,239,456,467,491,390,114,10,0,2283,144,158,349,401,450,383,143,65,5,2100,3774,4453,9951,11896,14270,11992,2878,381,50,59642
CED111,137,340,589,547,553,342,77,12,0,2598,128,285,501,482,520,319,92,38,11,2376,3802,7712,14522,15200,15125,9983,1860,213,26,68439
CED112,124,331,599,583,644,395,92,10,0,2782,174,265,495,556,648,439,128,36,5,2747,4231,6186,12611,14049,14875,10590,2193,178,26,64950
CED113,157,263,478,473,500,400,105,18,0,2392,172,256,390,490,600,478,151,49,13,2604,3907,5202,11884,14011,17012,12779,3448,546,84,68868
CED114,167,313,583,512,501,433,121,31,3,2662,223,299,466,494,611,539,239,68,10,2955,4401,6085,13300,13761,15863,13511,3817,649,113,71500
CED115,54,308,686,714,567,320,69,12,0,2733,177,588,1135,1020,1226,751,135,24,0,5055,2345,7296,14706,12444,12670,8814,1564,114,10,59969
