CED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED101,28,259,3251,13346,9122,2977,676,580,30239,55,242,698,1505,142,8,7,70,2725,7,338,825,2649,2160,277,21,141,6422,63,579,1523,4151,2300,288,28,217,9150,78,735,1250,272,29,3,3,109,2484,21,243,3445,1073,55,3,4,137,4971,15,538,3599,1103,50,5,3,120,5438,0,10,19,5,0,0,0,4,49,119,1526,8314,2449,144,14,11,367,12944,3,44,139,60,25,5,0,7,284,0,10,40,33,31,6,0,11,144,221,2415,13265,20041,11627,3292,715,1190,52765
CED102,41,240,3763,13219,6672,2321,645,648,27561,32,118,1517,1412,156,20,8,90,3355,9,149,444,1314,609,79,24,61,2687,42,269,1959,2727,761,103,29,152,6034,47,667,1650,289,57,15,8,99,2834,65,639,4133,572,33,4,7,156,5611,74,2241,10297,2024,97,14,7,384,15131,0,63,49,32,13,0,0,10,167,194,3610,16130,2920,200,31,25,651,23749,11,113,181,89,17,8,0,24,438,0,45,68,29,10,8,5,64,235,286,4277,22098,18980,7661,2464,712,1537,58015
CED103,42,193,2404,11967,10657,3646,997,520,30427,39,205,865,1878,134,11,6,73,3222,9,382,1914,2388,975,125,25,140,5953,52,586,2778,4267,1108,139,35,212,9182,40,603,778,250,33,8,3,76,1795,54,1342,6020,758,40,4,3,206,8425,54,2103,5022,1000,34,0,0,114,8327,0,5,14,6,0,0,0,0,30,149,4063,11829,2007,103,14,12,392,18579,7,26,57,37,0,3,0,5,146,0,31,86,52,27,16,5,44,260,249,4903,17164,18335,11895,3821,1050,1179,58587
CED104,30,319,1682,10941,18363,5978,1490,513,39324,3,203,507,443,69,7,4,37,1272,9,75,277,1897,396,29,7,29,2721,6,277,788,2336,464,40,5,65,3989,14,257,492,240,20,3,4,45,1075,77,197,475,50,4,0,0,31,825,13,79,201,37,0,0,0,3,331,3,21,13,9,4,0,0,4,47,107,551,1175,332,27,3,3,90,2285,4,38,61,35,16,3,4,12,175,3,20,38,34,31,8,4,40,178,156,1201,3741,13686,18901,6042,1511,721,45955
CED105,70,328,3870,13638,7902,2307,683,892,29689,55,214,410,701,82,7,0,94,1559,20,249,801,2672,1490,123,22,150,5516,77,455,1209,3372,1569,131,22,243,7081,154,837,2165,475,70,17,8,224,3948,74,298,3876,812,20,0,5,182,5272,42,188,2508,800,35,0,4,125,3710,6,20,49,32,8,4,4,11,133,273,1355,8597,2124,133,26,11,548,13063,4,33,115,98,27,10,3,17,313,7,32,59,41,37,6,3,47,225,422,2210,13855,19275,9666,2474,724,1744,50367
CED106,24,171,1262,9057,14920,6696,1417,407,33949,3,62,215,198,37,5,3,20,536,6,67,390,1212,252,26,6,43,2005,5,131,602,1402,289,35,12,59,2537,19,363,951,630,34,3,3,61,2071,54,475,3049,882,14,0,7,106,4590,99,1804,5828,2354,69,0,0,144,10298,0,3,0,0,0,0,0,0,3,169,2647,9824,3867,117,8,10,317,16968,0,14,18,6,4,3,0,0,49,0,27,25,18,18,8,4,22,122,203,3000,11727,14357,15346,6741,1440,809,53619
CED107,110,756,5712,22544,16628,3134,708,1193,50786,25,373,1824,818,68,3,6,143,3264,9,178,187,193,35,7,0,23,628,36,552,2010,1011,104,15,10,170,3898,35,396,852,189,22,3,12,86,1589,0,20,59,0,0,0,0,4,88,0,0,18,5,0,0,0,0,21,0,3,0,0,0,0,0,0,8,35,416,925,196,22,3,12,89,1703,35,115,146,297,172,34,14,60,881,7,96,90,137,74,17,10,140,566,223,1932,8884,24185,17002,3204,749,1656,57831
CED108,65,348,1890,22547,12638,2405,541,1101,41540,19,164,353,1199,180,17,3,86,2024,17,219,505,2498,925,45,4,115,4320,43,383,856,3694,1104,61,9,203,6341,13,367,166,61,3,0,0,44,662,6,32,432,22,0,0,3,28,525,6,48,883,69,4,0,3,28,1042,0,11,9,0,0,0,0,0,27,24,459,1482,155,11,0,5,106,2248,0,37,127,86,17,0,0,13,286,3,19,35,36,29,5,5,29,164,134,1256,4397,26517,13793,2477,557,1452,50580
CED109,24,179,1891,10790,10055,3437,694,466,27535,38,195,909,1333,63,13,3,87,2644,4,259,1213,3581,541,48,8,128,5787,42,454,2118,4914,611,56,14,220,8428,17,992,1233,344,35,3,5,76,2711,13,666,4807,960,19,0,3,162,6634,57,509,3351,923,16,0,0,106,4968,0,3,4,4,0,0,0,0,13,83,2176,9397,2232,71,3,13,350,14327,5,66,109,51,18,4,0,14,269,8,19,42,32,20,6,3,16,147,162,2890,13558,18024,10774,3506,725,1063,50704
CED110,152,815,5580,22505,13410,2410,508,994,46378,35,319,2490,1568,117,11,8,216,4765,4,132,743,1057,159,15,0,62,2181,43,453,3236,2624,275,28,10,279,6947,48,883,2278,822,60,8,6,213,4316,3,84,625,144,7,0,0,43,912,3,145,746,351,13,3,0,44,1308,0,5,0,3,0,0,0,3,18,59,1119,3660,1317,82,9,6,306,6547,104,368,465,121,31,3,8,80,1174,19,83,130,147,68,19,10,80,555,370,2840,13070,26716,13867,2474,534,1739,61604
