CED_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
CED101,124,425,620,581,715,714,1118,1132,861,6296,80,475,934,879,906,782,670,365,307,5403,40,504,1178,945,1027,806,426,232,100,5261,29,538,1300,1073,1113,780,323,130,88,5365,8,359,1399,1093,1008,800,252,86,53,5068,4,146,1054,830,736,442,113,36,24,3377,0,37,704,662,667,447,76,18,12,2622,0,15,394,545,487,296,57,19,5,1808,0,7,376,711,582,305,81,20,12,2104,4,7,92,251,260,122,47,26,14,818,296,318,693,530,601,531,481,441,414,4297,4592,5141,11685,10801,10845,9713,6617,4553,2735,66685,5008,1889,2261,1446,1386,2053,1020,522,281,15880,1910,819,437,448,423,648,495,244,76,5498,786,1121,939,889,991,1532,1307,958,324,8843,344,843,959,770,1103,1374,2459,2116,797,10772,306,862,1143,879,1135,1269,1805,1661,1174,10234,241,1042,1595,1248,1430,1331,1219,685,448,9245,125,1099,2141,1641,1670,1463,858,460,184,9635,53,1102,2771,2004,2116,1651,765,251,150,10863
CED102,118,601,1041,668,683,692,1087,994,647,6535,95,645,1350,954,858,689,550,293,168,5582,59,599,1675,1012,950,626,319,172,84,5483,27,552,1964,1102,1079,703,238,103,54,5820,15,459,2037,1231,964,641,178,57,30,5612,4,134,1357,932,779,408,106,19,7,3758,3,49,1003,806,654,339,75,14,11,2955,0,21,529,574,442,248,53,12,4,1876,0,16,613,927,660,262,40,4,7,2535,4,6,121,314,269,100,32,10,9,870,313,477,1265,855,709,605,533,611,730,6082,4433,6723,17411,12261,10812,8913,6395,4535,2408,73902,4948,3085,3646,1723,1540,2105,1210,644,213,19109,1564,846,614,456,434,602,497,278,84,5376,708,1177,1248,984,972,1343,1420,1106,332,9299,356,1142,1653,952,1142,1436,2647,2256,698,12285,289,1201,1964,1099,1178,1265,1862,1548,937,11348,231,1326,2518,1529,1451,1288,991,549,260,10150,143,1216,3268,1907,1725,1289,702,345,139,10732,67,1134,4350,2386,2119,1492,612,209,82,12450
CED103,103,472,626,556,578,650,903,911,615,5410,80,497,843,759,768,634,615,455,314,4976,44,485,1114,764,841,672,469,252,127,4775,31,513,1459,943,930,699,378,150,105,5211,14,481,1927,1147,1114,851,355,105,70,6074,4,212,1420,952,827,569,153,45,26,4210,3,64,1138,958,812,535,131,33,24,3696,4,14,610,745,649,391,88,15,8,2533,3,17,713,1215,947,539,94,35,14,3571,4,4,142,583,514,212,55,25,27,1561,247,374,782,567,497,456,437,476,592,4434,4563,6818,14652,12441,11210,9697,6320,4369,2675,72757,5385,3650,3620,2125,1557,2106,1151,553,218,20364,1940,1089,600,567,530,710,570,231,75,6315,826,1502,966,848,858,1166,1147,909,348,8577,297,995,968,711,872,1151,1731,1616,706,9041,221,928,1127,857,933,1118,1483,1380,885,8934,182,970,1528,1189,1227,1155,1111,790,448,8607,98,985,2007,1318,1401,1229,916,494,226,8693,63,984,2866,1774,1726,1451,831,351,175,10218
CED104,99,337,272,423,689,547,908,736,462,4473,111,392,430,665,837,739,851,430,233,4681,62,384,528,733,942,754,601,286,123,4410,41,431,657,770,993,816,479,198,90,4468,5,403,847,954,1112,882,397,147,66,4815,0,128,628,780,859,666,229,56,35,3397,0,46,532,800,834,615,182,53,24,3090,0,12,307,558,691,507,131,32,20,2247,3,9,339,990,1069,615,136,36,24,3221,0,6,74,519,631,302,96,47,20,1701,256,191,299,412,491,404,424,426,681,3582,5071,4239,6336,10130,11566,9722,7069,3850,2346,60335,5325,1058,933,1443,1270,1609,987,423,220,13276,2492,875,302,462,485,665,549,241,67,6137,941,1170,472,597,680,875,1132,658,204,6741,379,723,431,544,725,904,1705,1211,475,7097,299,693,484,566,927,869,1492,1175,660,7166,305,825,762,871,1145,1146,1435,810,345,7640,149,835,952,1060,1346,1241,1132,555,211,7489,84,926,1330,1283,1588,1470,1064,451,155,8346
CED105,134,580,1047,767,844,781,1020,887,616,6685,97,590,1317,1032,960,659,409,231,177,5465,54,544,1358,1023,944,672,258,100,65,5015,26,519,1235,863,892,626,141,53,37,4396,4,317,1160,789,709,468,113,41,28,3632,3,150,709,464,422,237,53,5,7,2047,0,30,464,385,308,168,39,3,5,1397,0,10,197,247,179,111,15,3,5,772,0,11,210,247,181,114,30,3,3,798,3,10,47,67,64,33,13,8,3,238,505,580,1068,839,796,653,513,451,468,5866,5508,6587,14274,10890,10265,8850,5608,3534,2071,67594,5990,2677,4325,2461,2041,2209,1067,467,201,21451,1984,1090,709,533,510,498,370,193,42,5933,1008,1597,2182,1853,1876,2146,1452,869,285,13270,431,1238,1884,1512,1797,2240,2941,1859,666,14560,341,1233,2076,1427,1543,1468,1737,1344,873,12049,236,1275,2574,1853,1753,1264,826,425,251,10448,144,1248,2944,2108,1939,1420,553,222,107,10695,77,1223,3323,2239,2123,1554,446,118,66,11163
CED106,106,336,317,485,543,454,686,670,499,4091,54,351,470,584,723,614,728,519,282,4322,43,312,618,647,737,610,555,384,186,4092,27,407,868,774,886,647,570,354,154,4673,5,353,1145,898,1045,792,510,242,158,5137,4,167,939,849,811,579,347,164,88,3950,4,71,787,806,887,635,282,141,85,3696,0,7,456,717,717,468,201,94,63,2714,3,8,592,1375,1290,749,286,164,93,4563,3,6,171,1083,1349,584,281,143,116,3740,321,254,455,499,558,399,455,526,857,4328,5659,4569,8911,11876,12488,9193,7140,4825,3209,67876,6531,1381,1657,2105,1838,1782,1035,514,241,17086,2539,1039,349,551,613,593,545,264,114,6603,817,1245,587,635,730,734,872,628,285,6520,319,875,520,573,622,690,1089,1016,439,6138,211,672,559,658,757,718,1113,1053,697,6447,145,722,815,835,1029,903,1117,868,467,6906,94,635,1118,994,1056,972,941,692,317,6818,48,753,1620,1281,1356,1166,1030,678,269,8195
CED107,205,443,739,712,846,939,1712,1309,679,7587,169,599,1043,1073,1087,923,827,419,264,6411,98,602,1131,1008,1114,874,530,247,84,5676,33,425,920,931,1078,834,357,143,77,4804,10,266,919,827,981,767,280,122,46,4229,0,108,615,542,670,458,126,47,7,2580,3,30,370,537,565,453,90,39,7,2099,0,13,183,400,439,322,71,25,7,1466,0,9,176,411,453,319,79,19,11,1469,4,10,42,124,153,126,71,33,12,575,686,477,779,816,961,970,1079,783,469,7019,5004,4512,9218,9609,10732,10326,8615,4900,2328,65239,4127,514,795,755,869,1436,648,256,120,9513,1992,471,404,409,432,632,442,170,64,5019,928,1107,1211,1009,1135,1593,1672,742,224,9615,447,687,938,1050,1324,1793,3498,2210,725,12671,499,730,1057,1046,1382,1652,3065,2072,972,12473,450,1038,1465,1458,1561,1566,1635,786,366,10328,228,1205,1901,1563,1788,1640,1155,538,152,10164,111,1004,2058,1772,2064,1861,903,291,124,10188
CED108,211,567,941,818,749,770,1157,798,514,6528,165,726,1324,1185,941,641,440,213,88,5721,115,789,1501,1329,1167,786,262,98,38,6080,74,639,1632,1274,1246,845,178,58,28,5973,8,369,1554,1174,1115,650,129,33,15,5048,5,146,880,741,640,379,56,3,0,2857,0,29,526,512,441,257,44,0,0,1814,0,7,266,310,278,156,21,4,3,1048,3,5,166,299,224,117,12,0,0,840,7,9,44,77,70,35,25,12,0,284,553,462,937,818,725,679,652,401,208,5434,6071,6189,13600,11910,10701,9038,5966,2935,1331,67745,6383,1606,2317,1714,1546,2012,1034,300,105,17006,2024,845,563,465,446,484,307,104,36,5270,1125,1284,1452,1335,1309,1673,1216,578,166,10143,448,949,1201,1196,1363,1717,3053,1568,414,11908,449,1048,1466,1218,1221,1247,1860,1198,671,10380,421,1348,1999,1711,1429,1101,835,379,124,9335,268,1598,2780,2275,2088,1519,578,194,71,11378,176,1407,3652,2804,2720,1848,456,110,42,13221
CED109,115,262,355,509,567,610,1109,1069,704,5295,115,370,565,766,790,751,803,477,354,4985,59,464,754,802,908,760,601,312,177,4824,39,490,1043,868,1003,819,415,208,112,4995,3,383,1299,976,1035,866,337,136,86,5115,0,165,1048,734,785,596,193,74,39,3634,0,49,787,737,723,531,168,52,31,3082,0,9,424,532,515,370,77,45,14,1996,0,7,422,790,693,435,110,45,34,2524,8,5,135,470,408,220,100,46,18,1416,259,225,643,587,575,548,519,543,608,4501,3886,3743,8896,9727,9918,8806,6943,4707,2913,59544,3671,665,847,975,966,1231,828,391,171,9748,1786,580,250,359,371,479,393,206,80,4514,705,712,460,569,563,789,1088,806,308,6014,309,572,437,555,696,844,1832,1634,715,7602,291,555,519,702,838,962,1763,1573,1017,8211,288,775,814,1035,1107,1116,1403,908,508,7958,155,925,1288,1203,1369,1260,1108,644,298,8255,84,994,1946,1489,1706,1504,909,407,184,9224
CED110,209,403,703,790,996,1377,2225,1605,798,9098,141,535,1050,1086,1225,1327,1295,625,381,7660,47,486,990,1055,1315,1152,747,390,189,6367,22,268,779,956,1167,1022,416,206,115,4964,8,162,627,777,938,754,312,144,87,3805,0,71,429,488,599,477,130,45,19,2252,0,15,270,364,518,368,88,19,14,1652,0,11,124,278,403,295,48,18,5,1187,0,3,93,251,319,257,61,24,16,1030,5,8,48,94,126,97,60,38,12,491,522,328,642,603,877,985,1168,1123,1181,7422,4429,3529,7655,8735,10923,12389,10973,6631,3503,68776,3294,370,587,649,824,1433,586,245,95,8081,2329,359,328,366,439,791,409,176,53,5246,980,986,1120,1058,1271,2307,1959,973,286,10932,428,634,972,1038,1581,2701,5140,3244,895,16633,453,737,1085,1243,1731,2589,3970,2656,1146,15608,317,988,1550,1547,1830,2179,2433,1190,556,12595,127,1024,1842,1783,2175,2184,1554,791,339,11817,51,679,1809,1855,2280,2170,1087,463,209,10612
