CED_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
CED101,49,185,968,3635,1785,1499,629,470,140,9372,0,0,4,30,52,55,102,73,12,328,4,26,33,195,102,144,115,69,52,734,8,44,23,197,175,193,188,125,94,1047,0,6,21,160,83,77,56,25,11,442,0,4,3,19,11,0,7,0,0,52,0,9,13,42,28,19,44,23,21,203,3,18,31,63,84,162,295,229,50,938,6,27,106,467,288,436,124,40,5,1498,11,47,71,494,151,121,65,42,15,1022,11,26,71,435,151,105,55,25,5,879,0,0,5,29,19,17,3,4,0,79,0,0,18,34,16,18,6,0,0,89,0,8,4,41,27,18,24,10,9,144,0,3,4,31,42,78,128,123,48,460,0,9,7,115,53,21,9,0,0,218,0,8,32,142,68,41,25,24,3,335,4,17,44,310,338,277,169,75,14,1258,4,16,36,222,76,122,69,17,10,573,0,0,0,4,5,26,51,35,15,141
CED102,51,179,1592,4571,1786,1530,674,441,178,11014,0,3,4,21,33,35,84,70,14,260,3,24,23,128,105,121,141,110,42,700,18,55,39,278,191,125,115,71,50,937,3,6,26,181,110,104,49,22,13,508,0,0,13,39,14,3,0,4,5,88,0,0,12,56,27,11,33,14,8,170,3,32,40,147,162,380,973,970,241,2947,12,15,98,474,195,337,102,35,13,1279,57,57,68,855,107,60,52,30,19,1304,0,19,134,576,161,128,77,26,7,1122,0,12,10,74,13,13,4,3,0,125,0,0,12,31,8,9,0,3,0,61,0,12,13,93,32,18,20,8,7,204,0,7,19,75,60,133,277,398,149,1120,0,4,31,194,74,23,10,7,0,349,3,7,35,202,64,40,21,11,3,380,9,39,70,521,522,410,233,100,42,1935,3,10,47,261,75,115,66,20,5,607,0,0,0,4,4,33,63,51,31,187
CED103,109,258,2034,5603,1865,1437,689,441,130,12558,0,0,3,15,26,46,46,27,6,170,0,5,5,43,29,48,44,40,17,230,23,93,76,319,254,260,223,150,93,1494,0,4,14,114,68,55,37,17,4,311,0,5,15,49,6,4,8,6,3,99,4,8,16,77,33,16,42,31,22,248,0,5,5,12,16,39,74,71,14,238,17,44,204,861,459,732,245,53,18,2625,105,185,210,1734,330,226,93,64,19,2970,0,24,119,457,128,92,51,20,12,909,8,23,42,404,119,143,95,43,26,904,7,6,4,46,27,10,10,15,0,126,7,9,12,74,45,23,24,18,10,217,0,5,7,54,63,145,245,263,124,909,4,29,49,234,104,34,19,6,3,480,37,195,498,1853,720,456,186,72,23,4039,0,8,5,112,131,154,102,58,17,592,13,46,110,451,196,203,171,57,10,1254,0,0,0,3,4,21,33,14,11,84
CED104,34,144,216,1611,777,537,313,132,76,3847,0,0,0,7,24,20,15,14,3,86,0,4,4,20,29,25,38,20,10,135,18,206,193,471,673,530,521,260,175,3040,0,0,4,54,50,47,24,14,0,198,0,4,3,22,15,11,4,3,0,66,0,13,14,49,46,38,97,47,25,329,0,3,0,8,13,10,24,26,4,85,4,36,93,254,246,406,114,21,15,1198,10,101,140,805,422,252,125,82,24,1968,0,8,24,119,64,50,34,11,3,319,0,13,29,201,96,86,48,17,9,500,0,0,0,12,3,6,3,0,0,30,0,12,6,40,48,30,21,15,9,190,0,3,4,15,27,96,109,108,62,430,3,14,16,82,59,31,12,9,0,223,8,56,93,387,240,154,66,21,5,1044,0,0,3,69,90,83,65,54,18,377,3,46,82,185,171,235,134,44,11,915,0,0,0,0,7,20,30,15,6,88
CED105,30,90,511,2152,1211,936,376,283,92,5689,0,0,3,12,21,47,83,63,14,248,23,33,33,158,56,88,68,44,16,518,5,8,9,60,38,86,87,67,48,418,7,11,25,190,114,113,64,28,4,551,0,0,0,11,6,0,4,8,0,35,0,0,11,23,3,13,91,25,30,200,0,5,9,31,43,108,210,161,35,600,0,6,40,149,67,92,31,12,0,406,54,109,164,807,120,91,64,25,25,1458,3,22,34,204,76,55,23,17,3,434,3,48,82,125,17,22,7,4,0,315,9,59,155,456,178,71,29,14,8,970,0,0,0,15,0,11,24,7,7,65,0,3,3,8,31,88,188,194,90,599,0,5,10,29,16,3,5,3,3,71,10,27,99,427,165,138,74,44,7,980,17,90,265,1530,1296,997,523,205,70,4998,8,14,51,142,58,54,35,10,0,377,0,0,0,7,3,29,45,43,17,139
CED106,109,398,727,3464,1484,952,560,289,95,8076,0,0,0,4,13,19,15,14,5,71,0,3,0,18,11,11,24,17,8,91,34,444,382,587,778,489,413,347,211,3687,0,4,7,48,17,31,18,9,0,134,0,6,15,42,15,14,15,9,4,131,0,19,29,62,68,43,80,46,35,382,0,0,0,0,5,8,21,16,0,60,22,108,209,690,388,526,251,69,17,2286,62,136,100,1090,279,179,136,71,30,2084,0,14,39,243,83,63,63,26,10,532,12,50,29,535,156,129,75,24,10,1009,0,0,0,6,7,3,3,0,0,20,0,16,5,55,64,32,29,15,9,232,0,0,5,21,30,46,64,75,35,266,26,73,69,324,196,90,50,24,7,859,28,150,254,1063,471,237,108,42,8,2355,0,0,5,16,28,26,19,17,5,124,11,42,72,384,205,196,157,45,17,1119,0,0,0,0,0,9,3,3,3,24
CED107,0,5,4,77,36,31,33,7,0,194,0,0,0,3,5,9,6,9,3,39,0,3,3,3,0,0,4,0,0,17,3,30,45,197,288,355,393,240,85,1641,0,0,7,19,18,8,11,0,0,68,0,0,0,8,8,3,7,3,0,32,0,0,4,26,18,35,122,30,21,259,0,0,0,0,3,4,11,6,3,32,0,0,4,4,6,13,3,0,0,36,11,30,26,208,21,25,20,3,0,333,0,3,4,15,9,4,10,3,0,45,0,3,0,18,9,3,0,0,0,29,0,0,3,7,3,3,0,0,0,19,0,7,0,27,13,9,16,8,3,83,0,0,0,11,7,24,31,26,22,117,0,0,7,22,9,6,5,0,0,42,0,6,4,35,4,0,3,0,0,54,0,0,0,4,10,4,4,0,5,25,0,0,3,25,21,9,5,3,0,77,0,0,0,0,6,10,6,4,0,28
CED108,4,22,66,364,176,171,60,41,25,925,0,0,4,25,35,57,75,55,27,287,8,52,58,138,81,108,85,37,14,572,9,18,10,117,216,265,256,169,54,1101,9,68,190,1097,505,309,197,59,15,2435,0,0,0,4,5,7,6,3,3,34,0,0,13,18,13,29,95,41,48,262,3,5,9,10,15,37,60,41,11,186,0,5,6,46,22,40,17,0,3,140,44,289,418,2805,445,277,144,60,17,4496,3,3,17,135,71,72,29,10,4,343,0,21,42,83,36,35,16,4,3,247,4,45,113,278,132,65,28,12,0,686,0,13,0,21,15,20,27,11,0,104,0,3,0,7,32,49,72,65,25,252,4,3,3,19,8,0,6,0,0,45,0,4,20,80,42,45,21,13,0,238,0,5,27,132,114,120,52,21,6,475,4,7,10,70,38,54,23,11,0,215,0,3,3,20,40,146,208,117,57,593
CED109,9,21,111,554,447,296,123,77,30,1668,0,0,0,22,32,39,47,29,4,172,3,13,7,115,100,132,148,79,43,642,15,83,84,465,380,318,355,263,137,2098,0,0,7,54,49,39,16,13,4,175,0,0,5,31,19,5,10,3,3,81,3,0,10,77,38,21,62,39,21,272,3,31,23,60,77,202,339,277,66,1080,3,8,10,101,51,91,39,19,3,324,11,21,18,152,61,36,28,23,6,360,0,3,5,97,38,33,27,8,6,210,4,5,0,27,9,4,3,0,0,53,0,0,0,22,9,9,4,0,3,42,0,18,3,88,38,35,22,20,11,235,0,0,3,25,31,75,144,137,50,469,0,10,9,55,30,12,10,0,3,126,0,0,5,43,18,21,8,3,0,99,0,3,12,88,78,67,42,18,14,317,0,3,8,51,37,64,45,17,3,231,0,0,0,3,8,25,75,46,18,165
CED110,0,10,13,62,33,27,6,4,3,168,0,0,0,0,0,3,5,4,0,15,0,3,3,6,7,8,13,0,3,47,8,59,67,270,433,569,781,545,259,2988,0,0,3,17,29,17,12,0,0,88,0,7,0,18,7,18,13,3,0,71,0,7,5,44,51,72,125,70,36,413,0,0,0,0,4,5,0,0,6,20,3,0,4,11,8,15,9,3,0,47,6,20,17,175,26,28,33,7,5,318,0,0,3,15,9,9,7,4,3,55,0,7,9,3,3,0,3,0,0,21,0,0,0,3,4,3,0,0,0,15,3,9,3,48,16,28,22,10,0,149,0,3,3,9,13,13,31,15,17,98,0,11,5,37,11,9,3,0,0,78,3,0,4,27,3,4,0,0,0,43,0,0,0,3,3,3,0,0,0,13,6,12,3,24,32,20,12,5,0,110,0,0,0,0,10,15,33,6,5,61
