CED_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED126,58013,60913,118926,1931,2045,3981,5286,5546,10829,98,81,176,144,125,270,18,14,37,50,39,94,11,6,15,20,15,34,24,25,49,0,0,0,5654,5852,11505,979,991,1970,129,138,274,8693,9029,17724,5002,5357,10362,71707,75304,147010
CED127,55451,58289,113733,2111,2155,4271,4899,5122,10024,76,109,179,137,144,281,26,27,51,47,46,98,9,19,30,19,22,43,28,23,51,0,0,0,5242,5509,10753,341,359,700,117,114,237,7816,8147,15961,5016,5183,10203,68279,71620,139902
CED128,65979,67583,133567,1788,1924,3711,5857,5653,11502,126,94,218,131,106,235,41,16,51,84,41,127,0,3,3,18,7,28,17,7,20,0,0,0,6267,5923,12190,1412,1546,2962,132,106,238,9600,9502,19102,5509,5276,10785,81087,82363,163453
CED129,61506,64439,125954,1203,1222,2416,6366,6613,12976,143,120,265,157,154,313,48,50,101,82,73,158,7,13,16,14,10,24,49,39,85,4,0,3,6878,7066,13944,1132,1322,2450,98,84,185,9308,9688,18991,3461,3433,6895,74276,77561,151841
CED130,56516,58933,115446,4118,4646,8763,4662,5138,9802,119,118,241,640,665,1306,52,48,96,54,54,107,26,16,44,46,45,92,51,41,97,3,3,5,5661,6126,11788,521,524,1043,197,171,375,10506,11461,21971,7522,7551,15076,74540,77947,152489
CED131,56707,58253,114963,2205,2231,4432,8379,8983,17366,157,176,330,334,293,627,68,62,131,83,93,175,23,31,57,46,53,98,66,55,122,0,3,3,9160,9747,18907,1149,1163,2307,206,186,396,12723,13326,26044,5138,5041,10176,74565,76617,151185
CED132,56699,61354,118056,2166,2240,4403,8405,8847,17254,227,230,457,251,297,545,86,89,172,142,138,277,8,24,35,33,21,55,89,109,190,3,0,3,9241,9751,18995,2581,2918,5495,105,125,223,14086,15031,29117,5944,6339,12277,76732,82722,159448
CED133,60127,62111,122233,3450,3820,7267,4559,4765,9324,196,197,394,1031,1057,2087,54,48,97,124,117,236,27,30,56,68,67,141,26,27,58,4,4,7,6090,6302,12396,305,345,647,216,194,410,10056,10658,20718,7429,7171,14602,77611,79941,157550
CED134,57634,58075,115710,3755,4233,7986,3955,4233,8188,150,169,315,482,504,985,121,92,219,83,103,189,10,14,23,41,33,75,26,30,55,3,0,4,4869,5176,10042,267,293,558,225,175,405,9119,9880,18994,8567,8417,16982,75320,76374,151688
CED135,68010,67667,135675,3091,2665,5755,8711,7704,16418,337,234,572,276,208,486,137,97,237,182,126,301,21,14,38,32,12,45,67,66,133,10,3,10,9764,8470,18236,4286,4515,8800,215,183,393,17352,15835,33186,7555,6976,14530,92918,90481,183395
CED136,58690,60490,119179,3332,3554,6890,6149,6574,12717,122,137,258,333,376,711,54,47,101,78,86,159,21,16,39,65,62,125,44,45,86,3,0,3,6863,7333,14199,282,315,599,184,185,370,10666,11393,22060,6135,6404,12535,75485,78290,153772
CED137,62959,66488,129450,3229,3055,6282,8631,8766,17393,310,230,537,294,301,591,103,73,177,147,111,259,20,28,47,35,19,55,71,96,165,0,3,4,9604,9618,19223,3937,3974,7912,219,190,406,16980,16847,33833,8574,7303,15870,88518,90633,179153
CED138,54856,58522,113379,3025,3355,6377,4528,5169,9694,327,378,708,1833,2034,3861,49,55,110,108,126,234,51,50,95,62,66,129,51,47,97,0,4,7,7006,7926,14938,550,595,1150,217,260,472,10795,12137,22937,7401,7798,15199,73047,78458,151508
CED139,58309,59741,118042,3779,4167,7944,4733,5191,9919,300,301,599,483,474,962,114,104,216,108,100,212,35,42,70,63,59,125,155,169,320,0,0,3,5985,6440,12427,327,364,694,155,134,287,10252,11097,21350,7651,6879,14536,76208,77722,153927
CED140,54009,57546,111558,2026,2295,4322,6077,6478,12554,88,90,176,182,188,367,19,24,43,48,50,97,19,11,30,22,22,42,28,32,64,0,0,0,6481,6897,13373,456,530,989,114,115,230,9084,9836,18919,5404,5711,11119,68498,73093,141590
CED141,56914,59715,116632,1876,1960,3838,5518,5855,11366,83,71,160,173,213,387,25,11,38,68,64,134,11,11,22,20,23,43,36,42,72,0,0,0,5927,6299,12229,229,312,545,142,137,279,8184,8703,16889,4611,4789,9397,69711,73209,142921
CED142,60323,55199,115519,4129,4137,8260,12470,12283,24753,680,666,1350,598,616,1215,148,153,298,355,298,653,65,44,109,54,49,104,235,270,511,3,3,3,14610,14391,28998,7841,8962,16805,344,291,636,26919,27782,54700,15590,12604,28194,102830,95587,198419
CED143,53551,57406,110954,2460,2518,4977,5918,6541,12457,140,168,303,143,162,306,33,46,81,89,99,193,9,12,21,20,26,45,51,54,101,0,4,4,6406,7103,13515,1838,2094,3933,119,123,245,10826,11848,22669,5750,6132,11874,70119,75381,145503
CED144,68322,68899,137218,2490,2137,4630,6296,6078,12374,112,101,215,123,94,218,65,47,107,74,56,133,6,6,8,16,22,42,26,28,50,0,0,0,6709,6433,13143,2383,2386,4770,148,105,255,11736,11064,22802,6381,6086,12463,86434,86050,172485
CED145,48070,52097,100168,2311,2432,4742,6887,7769,14655,284,329,607,249,305,555,52,64,119,166,173,335,8,10,18,20,19,42,90,79,172,19,4,19,7771,8756,16527,2492,2900,5385,165,138,301,12741,14219,26959,8119,8927,17047,68926,75247,144171
CED146,68183,70117,138299,1195,1195,2392,6340,6485,12827,85,74,155,113,113,231,26,16,43,43,27,71,0,0,3,20,25,41,20,9,32,0,0,0,6654,6751,13406,783,989,1773,139,130,267,8767,9064,17835,6214,6281,12498,83171,85462,168634
CED147,58684,62397,121076,2180,2345,4525,5795,6245,12036,83,82,164,209,205,416,26,26,49,49,41,91,8,19,28,27,13,41,54,45,101,0,0,0,6245,6681,12927,400,402,797,153,131,282,8973,9552,18532,5421,5593,11018,73081,77542,150624
CED194,1571,849,2420,430,257,688,1715,1489,3200,142,134,269,234,218,450,41,40,80,79,59,140,18,18,38,12,20,32,32,22,54,3,0,4,2271,1994,4263,508,493,1001,151,96,243,3356,2845,6200,2379,1210,3591,7308,4904,12213
CED197,138,182,322,0,0,0,6,19,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,31,7,3,6,0,0,0,14,21,43,22,32,52,171,239,412
